Matrics,Variables,Subbasin,Percent_Change
Loading,Water,1,-16.4908097
Loading,Water,2,-17.32820506
Loading,Water,3,-25.93315206
Loading,Water,4,-16.75542244
Loading,Water,5,-23.86918151
Loading,Water,6,-19.12731872
Loading,Water,7,-13.56413285
Loading,Water,8,-7.975399521
Loading,Water,9,-9.393122857
Loading,Water,10,-7.040212734
Loading,Water,11,-20.87039797
Loading,Water,12,-12.81329822
Loading,Water,13,-5.737628128
Loading,Water,14,-12.33522125
Loading,Water,15,-8.222599642
Loading,Water,16,-33.20511211
Loading,Water,17,-29.02280922
Loading,Water,18,-8.40691887
Loading,Water,19,-22.59441866
Loading,Water,20,-25.22779401
Loading,Water,21,-14.89872902
Loading,Water,22,-30.3553222
Loading,Water,23,-11.61899442
Loading,Water,24,-24.07354106
Loading,Water,25,-12.92690573
Loading,Water,26,-14.03828821
Loading,Water,27,-21.97245236
Loading,Water,28,-15.70645831
Loading,Water,29,-19.14111071
Loading,Water,30,-6.037845335
Loading,Water,31,-8.176528367
Loading,Water,32,-16.96748085
Loading,Water,33,-9.917392671
Loading,Water,34,-11.27228685
Loading,Water,35,-30.92873206
Loading,Water,36,-18.20259261
Loading,Water,37,-14.92139153
Loading,Water,38,-4.574144548
Loading,Water,39,-22.26879484
Loading,Water,40,-9.05792151
Loading,Water,41,-26.31803762
Loading,Water,42,-28.36276639
Loading,Water,43,-29.06245262
Loading,Water,44,-8.585880195
Loading,Water,45,-15.75340298
Loading,Water,46,-4.859616823
Loading,Water,47,-21.26503981
Loading,Water,48,-25.63233514
Loading,Water,49,-15.32232146
Loading,Water,50,-22.47977509
Loading,Water,51,-21.29483878
Loading,Water,52,-18.55086053
Loading,Water,53,-28.2971149
Loading,Water,54,-37.42081828
Loading,Water,55,-11.69324968
Concentration,Water,1,-16.49484536
Concentration,Water,2,-17.36006051
Concentration,Water,3,-17.33333333
Concentration,Water,4,-16.42451042
Concentration,Water,5,-13.09264305
Concentration,Water,6,-12.7840092
Concentration,Water,7,-17.04900938
Concentration,Water,8,-7.971014493
Concentration,Water,9,-7.195467422
Concentration,Water,10,-7.055702918
Concentration,Water,11,-17.63459841
Concentration,Water,12,-10.89799477
Concentration,Water,13,-5.75
Concentration,Water,14,-17.09626512
Concentration,Water,15,-13.16140507
Concentration,Water,16,-16.4882227
Concentration,Water,17,-14.17545665
Concentration,Water,18,-12.87726358
Concentration,Water,19,-11.95248701
