Matrics,Variables,Subbasin,Percent_Change
Loading,Water,1,-16.44
Loading,Water,2,-17.01
Loading,Water,3,-38.48
Loading,Water,4,-16.77
Loading,Water,5,-23.89
Loading,Water,6,-19.80
Loading,Water,7,-16.24
Loading,Water,8,-7.82
Loading,Water,9,-9.43
Loading,Water,10,-7.28
Loading,Water,11,-21.16
Loading,Water,12,-12.65
Loading,Water,13,-5.71
Loading,Water,14,-14.67
Loading,Water,15,-5.26
Loading,Water,16,-33.30
Loading,Water,17,-28.93
Loading,Water,18,-8.37
Loading,Water,19,-22.85
Loading,Water,20,-25.33
Loading,Water,21,-15.05
Loading,Water,22,-30.04
Loading,Water,23,-11.37
Loading,Water,24,-24.05
Loading,Water,25,-16.27
Loading,Water,26,-13.96
Loading,Water,27,-21.39
Loading,Water,28,-16.18
Loading,Water,29,-19.05
Loading,Water,30,-6.05
Loading,Water,31,-8.06
Loading,Water,32,-17.00
Loading,Water,33,-10.45
Loading,Water,34,-11.44
Loading,Water,35,-30.86
Loading,Water,36,-19.58
Loading,Water,37,-14.97
Loading,Water,38,-4.88
Loading,Water,39,-22.26
Loading,Water,40,-8.95
Loading,Water,41,-26.28
Loading,Water,42,-28.19
Loading,Water,43,-28.58
Loading,Water,44,-8.40
Loading,Water,45,-16.01
Loading,Water,46,-4.77
Loading,Water,47,-20.80
Loading,Water,48,-25.44
Loading,Water,49,-18.98
Loading,Water,50,-25.66
Loading,Water,51,-23.62
Loading,Water,52,-19.95
Loading,Water,53,-30.29
Loading,Water,54,-39.88
Loading,Water,55,-11.47
Concentration,Water,1,-16.45
Concentration,Water,2,-17.06
Concentration,Water,3,-18.05
Concentration,Water,4,-16.50
Concentration,Water,5,-13.16
Concentration,Water,6,-12.84
Concentration,Water,7,-17.62
Concentration,Water,8,-7.76
Concentration,Water,9,-7.14
Concentration,Water,10,-7.29
Concentration,Water,11,-17.66
Concentration,Water,12,-10.90
Concentration,Water,13,-5.72
Concentration,Water,14,-17.62
Concentration,Water,15,-12.76
Concentration,Water,16,-16.49
Concentration,Water,17,-13.94
Concentration,Water,18,-12.47
Concentration,Water,19,-11.95
Concentration,Water,20,-11.86
Concentration,Water,21,-15.05
Concentration,Water,22,-13.33
Concentration,Water,23,-11.44
Concentration,Water,24,-14.82
Concentration,Water,25,-12.95
Concentration,Water,26,-9.69
Concentration,Water,27,-21.43
Concentration,Water,28,-13.56
Concentration,Water,29,-15.09
Concentration,Water,30,-6.05
Concentration,Water,31,-7.11
Concentration,Water,32,-8.94
Concentration,Water,33,-10.87
Concentration,Water,34,-11.43
Concentration,Water,35,-17.07
Concentration,Water,36,-18.13
Concentration,Water,37,-15.45
Concentration,Water,38,-4.90
Concentration,Water,39,-22.27
Concentration,Water,40,-8.33
Concentration,Water,41,-26.28
Concentration,Water,42,-14.65
Concentration,Water,43,-15.00
Concentration,Water,44,-8.42
Concentration,Water,45,-16.02
Concentration,Water,46,-15.04
Concentration,Water,47,-15.17
Concentration,Water,48,-25.68
Concentration,Water,49,-18.10
Concentration,Water,50,-18.01
Concentration,Water,51,-17.18
Concentration,Water,52,-23.22
Concentration,Water,53,-17.19
Concentration,Water,54,-39.91
Concentration,Water,55,-14.79
Loading,TSS,1,127.78
Loading,TSS,2,12.00
Loading,TSS,3,-5.76
Loading,TSS,4,7.56
Loading,TSS,5,-13.39
Loading,TSS,6,-8.61
Loading,TSS,7,-9.39
Loading,TSS,8,30.43
Loading,TSS,9,54.76
Loading,TSS,10,119.48
Loading,TSS,11,-3.42
Loading,TSS,12,124.82
Loading,TSS,13,168.14
Loading,TSS,14,10.41
Loading,TSS,15,18.15
Loading,TSS,16,109.09
Loading,TSS,17,-5.32
Loading,TSS,18,7.30
Loading,TSS,19,-39.20
Loading,TSS,20,-60.78
Loading,TSS,21,62.87
Loading,TSS,22,-20.91
Loading,TSS,23,2.31
Loading,TSS,24,15.33
Loading,TSS,25,15.05
Loading,TSS,26,15.20
Loading,TSS,27,-50.75
Loading,TSS,28,3.28
Loading,TSS,29,87.20
Loading,TSS,30,77.12
Loading,TSS,31,50.26
Loading,TSS,32,9.23
Loading,TSS,33,-72.58
Loading,TSS,34,-33.33
Loading,TSS,35,-35.59
Loading,TSS,36,2.63
Loading,TSS,37,-4.29
Loading,TSS,38,234.65
Loading,TSS,39,-63.93
Loading,TSS,40,-5.23
Loading,TSS,41,-46.15
Loading,TSS,42,-56.86
Loading,TSS,43,-62.82
Loading,TSS,44,-13.57
Loading,TSS,45,44.44
Loading,TSS,46,24.75
Loading,TSS,47,-53.78
Loading,TSS,48,-38.10
Loading,TSS,49,24.04
Loading,TSS,50,-44.44
Loading,TSS,51,-56.25
Loading,TSS,52,-23.51
Loading,TSS,53,-34.36
Loading,TSS,54,5.13
Loading,TSS,55,-50.42
Concentration,TSS,1,164.66
Concentration,TSS,2,33.91
Concentration,TSS,3,141.81
Concentration,TSS,4,-14.35
Concentration,TSS,5,82.22
Concentration,TSS,6,41.45
Concentration,TSS,7,325.64
Concentration,TSS,8,37.54
Concentration,TSS,9,55.25
Concentration,TSS,10,134.93
Concentration,TSS,11,12.85
Concentration,TSS,12,151.02
Concentration,TSS,13,182.03
Concentration,TSS,14,350.07
Concentration,TSS,15,58.92
Concentration,TSS,16,129.90
Concentration,TSS,17,40.50
Concentration,TSS,18,21.74
Concentration,TSS,19,34.33
Concentration,TSS,20,9.18
Concentration,TSS,21,83.76
Concentration,TSS,22,55.78
Concentration,TSS,23,8.52
Concentration,TSS,24,43.62
Concentration,TSS,25,154.22
Concentration,TSS,26,25.09
Concentration,TSS,27,-37.35
Concentration,TSS,28,40.30
Concentration,TSS,29,84.13
Concentration,TSS,30,75.76
Concentration,TSS,31,57.76
Concentration,TSS,32,22.81
Concentration,TSS,33,-62.27
Concentration,TSS,34,-25.09
Concentration,TSS,35,3.69
Concentration,TSS,36,642.45
Concentration,TSS,37,8.89
Concentration,TSS,38,251.83
Concentration,TSS,39,-53.50
Concentration,TSS,40,7.85
Concentration,TSS,41,-31.48
Concentration,TSS,42,52.69
Concentration,TSS,43,36.56
Concentration,TSS,44,-5.87
Concentration,TSS,45,64.65
Concentration,TSS,46,473.82
Concentration,TSS,47,29.73
Concentration,TSS,48,-11.92
Concentration,TSS,49,545.09
Concentration,TSS,50,70.86
Concentration,TSS,51,145.49
Concentration,TSS,52,-4.02
Concentration,TSS,53,124.27
Concentration,TSS,54,74.88
Concentration,TSS,55,272.55
Loading,TP,1,-32.12
Loading,TP,2,-7.10
Loading,TP,3,-9.52
Loading,TP,4,-14.71
Loading,TP,5,-34.78
Loading,TP,6,-23.02
Loading,TP,7,-8.03
Loading,TP,8,-5.43
Loading,TP,9,13.35
Loading,TP,10,23.94
Loading,TP,11,-27.84
Loading,TP,12,18.81
Loading,TP,13,71.65
Loading,TP,14,-8.11
Loading,TP,15,-25.02
Loading,TP,16,8.45
Loading,TP,17,-55.08
Loading,TP,18,-4.00
Loading,TP,19,-59.50
Loading,TP,20,-81.86
Loading,TP,21,11.73
Loading,TP,22,-61.56
Loading,TP,23,-39.61
Loading,TP,24,-9.85
Loading,TP,25,-19.48
Loading,TP,26,6.59
Loading,TP,27,-33.91
Loading,TP,28,-9.27
Loading,TP,29,-30.90
Loading,TP,30,17.32
Loading,TP,31,14.56
Loading,TP,32,4.86
Loading,TP,33,-7.45
Loading,TP,34,-49.12
Loading,TP,35,-68.01
Loading,TP,36,-30.09
Loading,TP,37,-26.13
Loading,TP,38,6.80
Loading,TP,39,-72.39
Loading,TP,40,-50.26
Loading,TP,41,-60.65
Loading,TP,42,-77.00
Loading,TP,43,-65.62
Loading,TP,44,-34.79
Loading,TP,45,4.56
Loading,TP,46,1.71
Loading,TP,47,-76.31
Loading,TP,48,-71.80
Loading,TP,49,-42.26
Loading,TP,50,-75.76
Loading,TP,51,-74.16
Loading,TP,52,-38.83
Loading,TP,53,-27.86
Loading,TP,54,-36.26
Loading,TP,55,-62.38
Concentration,TP,1,-9.76
Concentration,TP,2,32.27
Concentration,TP,3,-42.64
Concentration,TP,4,-37.86
Concentration,TP,5,9.55
Concentration,TP,6,21.29
Concentration,TP,7,-34.97
Concentration,TP,8,7.53
Concentration,TP,9,24.50
Concentration,TP,10,32.91
Concentration,TP,11,-13.62
Concentration,TP,12,33.94
Concentration,TP,13,82.24
Concentration,TP,14,-36.12
Concentration,TP,15,66.54
Concentration,TP,16,-3.88
Concentration,TP,17,36.60
Concentration,TP,18,48.10
Concentration,TP,19,48.26
Concentration,TP,20,-0.60
Concentration,TP,21,32.08
Concentration,TP,22,4.71
Concentration,TP,23,-25.12
Concentration,TP,24,30.71
Concentration,TP,25,0.42
Concentration,TP,26,10.40
Concentration,TP,27,1.41
Concentration,TP,28,-9.43
Concentration,TP,29,-4.33
Concentration,TP,30,27.02
Concentration,TP,31,15.14
Concentration,TP,32,9.85
Concentration,TP,33,-1.13
