Scenario,Sub,Water,TSS,TP,TN,NO3
Base,1,23.28,52.816,0.317,23.52,22.605
Base,2,26.44,206.909,0.604,14.412,13.91
Base,3,1950,38.679,0.965,9.166,8.165
Base,4,63.32,201.919,0.419,7.272,6.824
Base,5,73.4,61.55,0.83,13.267,12.136
Base,6,69.54,171.542,0.876,13.763,12.688
Base,7,1918,91.844,1.137,9.346,8.392
Base,8,19.32,302.531,1.681,7.074,5.334
Base,9,35.3,202.41,1.353,8.116,6.691
Base,10,37.7,378.434,2.441,7.869,6.722
Base,11,113.3,581.598,1.223,9.605,8.721
Base,12,114.7,592.663,4.403,9.582,7.941
Base,13,88,344.416,3.653,5.646,3.239
Base,14,1901,87.856,1.14,9.3,8.246
Base,15,224.9,369.849,1.928,3.759,2.415
Base,16,140.1,191.91,1.174,7.641,6.705
Base,17,388.7,411.609,1.736,5.11,3.899
Base,18,248.5,535.155,2.066,3.684,2.319
Base,19,134.7,55.336,2.868,9.33,7.616
Base,20,135.7,86.599,1.629,5.798,4.583
Base,21,48.25,531.648,1.583,14.528,13.145
Base,22,190.6,178.246,1.62,8.152,6.929
Base,23,41.36,198.964,1.181,4.455,3.152
Base,24,425.2,521.904,1.938,5.914,4.762
Base,25,160.6,249.354,3.043,20.814,20.145
Base,26,153.8,974.54,0.939,3.289,2.998
Base,27,85.96,437.955,1.137,1.997,0.91
Base,28,810.4,106.972,1.017,5.119,4.325
Base,29,117.2,183.421,3.287,25.607,25.103
Base,30,46.28,176.896,0.454,1.309,0.886
Base,31,101.3,219.028,0.301,1.078,0.83
Base,32,130.9,776.91,0.868,1.728,1.397
Base,33,56.87,74.962,4.435,37.275,36.857
Base,34,19.68,194.744,1.719,23.894,23.23
Base,35,134.7,152.459,0.884,5.599,5.224
Base,36,1688,46.511,0.893,8.175,7.028
Base,37,120.4,132.467,0.698,5.065,4.707
Base,38,35.28,438.949,3.513,5.835,4.353
Base,39,45.57,129.109,0.776,5.541,5.284
Base,40,39.87,62.53,0.482,2.43,1.978
Base,41,27.4,210.361,0.796,30.733,30.273
Base,42,973.1,56.497,0.909,5.059,4.238
Base,43,1003,70.083,0.81,4.608,3.826
Base,44,36.46,324.535,0.565,2.404,1.991
Base,45,32.02,611.717,0.9,10.456,9.673
Base,46,1067,117.187,0.785,4.78,3.851
Base,47,1023,73.578,0.835,4.697,3.817
Base,48,64.83,129.553,0.881,31.691,31.278
Base,49,1613,65.058,0.866,8.188,6.879
Base,50,1599,118.757,0.897,8.312,7.089
Base,51,1508,89.313,0.92,8.533,7.378
Base,52,115.1,282.799,1.484,34.832,34.156
Base,53,1425,314.598,1.039,9.024,7.868
Base,54,38.64,190.305,1.283,2.302,1.859
Base,55,1154,108.687,0.791,5.421,4.463
BC1,1,19.44,133.126,0.286,1.536,1.189
BC1,2,21.85,279.508,0.815,2.507,1.44
BC1,3,1612,158.078,0.573,0.905,0.34
BC1,4,52.92,170.593,0.261,0.536,0.254
BC1,5,63.79,113.219,0.903,2.228,0.911
BC1,6,60.65,235.743,1.052,2.615,1.151
