ID,NAME,LAT,LONG,ELEVATION
1,T5130204,35.982091,-87.001965,230
2,T5130205,36.360988,-87.394819,186
3,T5130206,36.640866,-87.058717,174
4,T5140203,37.441286,-88.375378,121
5,T5140204,37.783494,-88.515257,111
6,T6010101,36.81152,-81.99845,522
7,T6010102,36.629259,-81.972175,551
8,T6010103,36.308149,-82.030237,814
9,T6010104,36.287025,-83.288245,327
10,T6010105,35.60772,-82.672789,676
11,T6010106,35.623326,-83.037211,1017
12,T6010107,35.876088,-83.48367,317
13,T6010108,35.954036,-82.259706,1111
14,T6010201,35.776129,-83.868431,286
15,T6010202,35.231412,-83.501031,772
16,T6010203,35.404757,-83.243624,934
17,T6010204,35.472767,-84.073786,474
18,T6010205,36.727537,-82.72871,541
19,T6010206,36.612943,-83.356045,437
20,T6010207,36.065477,-84.147307,268
21,T6010208,36.043187,-84.79205,486
22,T6020001,35.146625,-85.182775,226
23,T6020002,34.980756,-83.930055,557
24,T6020003,34.911094,-84.337085,514
25,T6020004,35.396043,-85.399943,575
26,T6030001,34.680148,-85.959019,195
27,T6030002,34.685423,-86.706232,204
28,T6030003,35.226823,-86.347884,305
29,T6030004,35.137198,-87.086757,248
30,T6030005,34.86535,-87.698376,184
31,T6030006,34.51783,-87.924891,189
32,T6040001,35.416928,-88.143702,121
33,T6040002,35.527168,-86.522536,217
34,T6040003,35.780282,-87.371873,187
35,T6040004,35.516432,-87.643529,264
36,T6040005,36.284925,-88.089462,109
37,T6040006,36.814274,-88.421724,147
