HUC8	CN2	ESCO	EPCO	OV_N	CH_N2	CH_K2	SOL_AWC	SOL_K	ALPHA_BF	GW_DELAY	RCHRG_DP	GW_REVAP	GW_SPYLD	SURLAG
6010101	52.122	0.892	0.249	0.404	0.217	83.05	0.222	12.917	0.617	71.432	0.462	0.111	0.206	4.389
6010102	45.535	0.822	0.548	0.369	0.19	97.873	0.141	21.465	0.756	26.093	0.657	0.15	0.286	5.042
6010103	61.426	0.747	0.404	0.038	0.454	9.51	0.239	10.555	0.767	261.685	0.124	0.021	0.106	11.859
6010104	77.923	0.224	0.295	0.247	0.398	112.581	0.382	3.676	0.801	364.27	0.304	0.179	0.341	7.831
6010105	41.535	0.976	0.475	0.366	0.239	70.159	0.103	0.935	0.222	8.745	0.74	0.125	0.154	1.186
6010106	45.824	0.373	0.227	0.063	0.171	0.834	0.312	7.072	0.514	44.172	0.601	0.059	0.157	9.811
6010107	35.174	0.676	0.026	0.149	0.372	117.75	0.062	0.835	0.208	239.031	0.054	0.022	0.086	1.131
6010108	43.841	0.22	0.348	0.451	0.147	3.564	0.286	0.086	0.433	69.773	0.938	0.085	0.154	0.671
6010201	51.224	0.834	0.58	0.304	0.181	63.164	0.148	13.84	0.257	49.692	0.403	0.125	0.078	2.526
6010202	46.33	0.442	0.107	0.163	0.445	89.442	0.175	5.316	0.11	62.15	0.894	0.125	0.104	10.327
6010203	43.896	0.736	0.741	0.269	0.376	53.058	0.231	6.383	0.678	57.953	0.914	0.125	0.098	11.494
6010204	35.001	0.071	0.785	0.382	0.302	139.182	0.141	0.962	0.011	376.55	0.017	0.192	0.182	0.504
6010205	86.483	0.531	0.224	0.376	0.162	84.621	0.172	12.975	0.452	118.237	0.199	0.107	0.033	0.861
6010206	75.36	0.103	0.047	0.251	0.198	10.317	0.21	21.412	0.521	1.993	0.856	0.1	0.197	1.139
6010207	43.355	0.258	0.747	0.376	0.29	38.515	0.3	8.593	0.54	325.329	0.092	0.136	0.386	0.532
6010208	67.152	0.879	0.984	0.022	0.388	24.096	0.28	21.992	0.358	2.19	0.305	0.111	0.269	2.226
6020001	43.762	0.271	0.345	0.24	0.325	75.681	0.31	19.792	0.352	9.018	0.644	0.121	0.16	8.586
6020002	41.31	0.41	0.477	0.421	0.285	104.475	0.317	3.413	0.631	101.683	0.043	0.08	0.299	0.59
6020003	41.645	0.697	0.713	0.189	0.221	103.07	0.094	3.417	0.264	103.44	0.211	0.071	0.127	5.762
6020004	56.032	0.278	0.75	0.135	0.389	56.784	0.233	12.219	0.232	3.552	0.447	0.102	0.148	6.834
6030001	52.197	0.869	0.214	0.397	0.11	58.412	0.286	44.052	0.611	27.218	0.215	0.063	0.172	3.205
6030002	69.991	0.998	0.818	0.079	0.271	86.931	0.231	9.029	0.698	28.478	0.243	0.18	0.284	0.89
6030003	47.897	0.78	0.331	0.216	0.293	67.098	0.186	30.075	0.671	11.834	0.245	0.14	0.249	3.212
6030004	65.774	0.603	0.49	0.243	0.282	94.511	0.19	31.814	0.441	14.812	0.04	0.115	0.202	1.564
6030005	40.197	0.558	0.786	0.286	0.133	129.237	0.361	24.688	0.873	36.796	0.002	0.192	0.288	9.756
6030006	54.856	0.405	0.285	0.579	0.193	72.077	0.276	27.753	0.531	479.794	0.079	0.151	0.051	0.527
6040001	41.414	0.968	0.871	0.559	0.201	18.796	0.379	6.167	0.418	461.847	0.077	0.102	0.111	0.531
6040002	64.3	0.722	0.088	0.474	0.094	6.977	0.284	69.259	0.366	30.714	0.103	0.047	0.32	0.527
6040003	67.289	0.889	0.68	0.249	0.239	108.305	0.287	14.759	0.396	13.846	0.374	0.077	0.269	2.165
6040004	87.582	0.212	0.403	0.53	0.189	44.882	0.322	21.902	0.059	312.34	0.549	0.151	0.175	1.313
6040005	77.953	0.717	0.165	0.419	0.36	93.34	0.295	80.502	0.404	10.281	0.234	0.06	0.33	0.579
6040006	73.512	0.357	0.744	0.443	0.043	50.426	0.241	25.273	0.843	0.553	0.261	0.132	0.286	1.418
