HUC8	nSub	SubID
6010101	1	2
6010102	4	1, 4, 5, 6
6010103	2	8, 9
6010104	2	11, 16
6010105	1	27
6010106	1	23
6010107	2	15, 18
6010108	1	13
6010201	3	17, 24, 28
6010202	1	31
6010203	1	30
6010204	2	26, 32
6010205	1	12
6010206	1	10
6010207	3	19, 20, 22
6010208	1	21
6020001	3	42, 43, 47
6020002	3	35, 37, 39
6020003	2	40, 44
6020004	1	45
6030001	2	46, 55
6030002	1	53
6030003	2	41, 48
6030004	1	52
6030005	2	50, 51
6030006	1	54
6040001	2	36, 49
6040002	2	33, 34
6040003	2	25, 29
6040004	1	38
6040005	2	7, 14
6040006	1	3
6000000	55	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
