      CROP        SUB        HRU       YEAR      YIELD    BIOMASS
      SWCH          4        153          1       27.4    23616.7
      SWCH          4        153          2        0.0        0.0
      SWCH          4        153          3        0.0        0.0
      SWCH          4        153          4        0.0        0.0
      SWCH          4        153          5        0.0        0.0
      SWCH          4        153          6        0.0        0.0
      SWCH          4        153          7        0.0        0.0
      SWCH          4        153          8        0.0        0.0
      SWCH          4        153          9        0.0        0.0
      SWCH          4        153         10        0.0        0.0
      SWCH          4        154          1       26.2    22457.7
      SWCH          4        154          2        0.0        0.0
      SWCH          4        154          3        0.0        0.0
      SWCH          4        154          4        0.0        0.0
      SWCH          4        154          5        0.0        0.0
      SWCH          4        154          6        0.0        0.0
      SWCH          4        154          7        0.0        0.0
      SWCH          4        154          8        0.0        0.0
      SWCH          4        154          9        0.0        0.0
      SWCH          4        154         10        0.0        0.0
      SWCH          4        155          1       26.1    22445.4
      SWCH          4        155          2        0.0        0.0
      SWCH          4        155          3        0.0        0.0
      SWCH          4        155          4        0.0        0.0
      SWCH          4        155          5        0.0        0.0
      SWCH          4        155          6        0.0        0.0
      SWCH          4        155          7        0.0        0.0
      SWCH          4        155          8        0.0        0.0
      SWCH          4        155          9        0.0        0.0
      SWCH          4        155         10        0.0        0.0
      SWCH          4        156          1       26.2    22504.9
      SWCH          4        156          2        0.0        0.0
      SWCH          4        156          3        0.0        0.0
      SWCH          4        156          4        0.0        0.0
      SWCH          4        156          5        0.0        0.0
      SWCH          4        156          6        0.0        0.0
      SWCH          4        156          7        0.0        0.0
      SWCH          4        156          8        0.0        0.0
      SWCH          4        156          9        0.0        0.0
      SWCH          4        156         10        0.0        0.0
      SWCH          4        157          1       87.9     7558.9
      SWCH          4        157          2        0.0        0.0
      SWCH          4        157          3        0.0        0.0
      SWCH          4        157          4        0.0        0.0
      SWCH          4        157          5        0.0        0.0
      SWCH          4        157          6        0.0        0.0
      SWCH          4        157          7        0.0        0.0
      SWCH          4        157          8        0.0        0.0
      SWCH          4        157          9        0.0        0.0
      SWCH          4        157         10        0.0        0.0
