0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
USGS_ID	Name	River	Lat	Long	SWAT_Subbasin	Subbasin	Height_m	Drainage_Area_km2	RES_ESA	RES_EVOL	RES_PSA	RES_PVOL	Annual_Mean_Flow_cms	IYRES	MORES	IRLOD1R	IFLOD2R	NDTARGR	IRESCO	RES_VOL	RES_ID
hc0824	South_Holston	SF_Holston 	36.5243	-82.0882	1	06010102	86.9	1820	3618	94238	3068	81101	31.63	1950	11	11	6	1	3	50214	1
hc0810	Fort_Patrick_Henry	SF_Holston 	36.4980	-82.5088	5	06010102	29.0	4927	360	3429	353	3318	94.10	1953	10	11	6	1	3	3117	13
hc0803	Boone	SF_Holston 	36.4402	-82.4379	6	06010102	48.8	4764	1785	23856	1760	23325	25.85	1953	9	11	6	1	3	12089	12
hc0826	Watauga	Watauga	36.3226	-82.1225	8	06010103	101.2	1212	2914	83507	2626	70123	91.27	1948	12	11	6	1	3	46194	2
hc0805	Cherokee	Holston	36.1663	-83.4985	11	06010104	53.3	8875	12258	190080	11497	171984	158.90	1941	12	11	6	1	3	63261	14
hc0807	Douglas	Frech_Broad	35.9611	-83.5383	15	06010107	61.6	11756	12444	180212	11501	150916	120.65	1943	2	11	6	1	3	29156	11
hc0809	Fort_Loudoun	TN	35.7909	-84.2426	24	06010201	38.1	24724	6277	48476	5908	44775	2137.74	1943	8	11	6	1	3	36244	15
hc0808	Fontana	Little_TN	35.4528	-83.8046	31	06010202	146.3	4067	4399	177991	4140	168790	254.25	1944	11	11	6	1	3	85226	5
hc0817	Norris	Clinch 	36.2243	-84.0926	12	06010205	80.8	7539	15880	314785	13695	251630	510.74	1937	1	11	6	1	3	122405	3
hc0815	Melton_Hill	Clinch 	35.8859	-84.2998	19	06010207	31.4	8655	2469	15542	2376	14802	963.81	1963	5	11	6	1	3	13578	4
hc0827	Watts_Bar	TN	35.6203	-84.7833	28	06020001	34.1	44814	17478	144934	15819	124582	773.05	1942	1	11	6	1	3	103160	16
hc0806	Chickamauga	TN	35.1062	-85.2280	42	06020001	39.3	53823	17066	91290	14666	76809	123.06	1940	1	11	6	1	3	52411	17
hc0813	Hiwassee	Hiwassee	35.1520	-84.1780	39	06020002	93.6	2506	2655	53533	2606	51930	9.46	1940	2	11	6	1	3	21143	8
hc0819	Ocoee_No1	Ocoee	35.0950	-84.6483	44	06020003	41.1	1540	797	10275	781	9856	70.89	1911	12	11	6	1	3	8081	10
hc0816	Nickajack	TN	35.0017	-85.6217	47	06030001	24.7	56619	4427	31034	4306	29702	1205.63	1967	12	11	6	1	3	29430	18
hc0812	Guntersville	TN	34.4261	-86.3914	55	06030002	28.7	63298	29291	134289	25309	109360	26.92	1939	1	11	6	1	3	112046	19
hc0825	Tims_Ford	Elk	35.2020	-86.2780	41	06030003	53.3	1370	4585	72183	4322	65375	45.76	1970	12	11	6	1	3	49807	9
hc0822	Pickwick_ Landing	TN	35.0700	-88.2500	50	06030005	34.4	84967	19312	136300	17317	113974	1262.92	1938	2	11	6	1	3	90367	22
hc0830	Wilson	TN	34.8048	-87.6266	51	06030005	41.8	79608	6584	79202	6511	77216	1801.44	1924	4	11	6	1	3	74134	21
hc0828	Wheeler	TN	34.8136	-87.3827	53	06030005	21.9	76605	29344	138162	27381	129516	1704.38	1936	10	11	6	1	3	95434	20
hc0831	Normandy	Duck 	35.4650	-86.2467	34	06040002	33.5	505	1214	15542	1200	15278	1651.20	1976	1	11	6	1	3	8279	7
