104 m3	m3/s
Storage	Release
12088.5298	37.9729
11912.3764	92.6244
11821.8531	71.9814
11753.3489	116.8353
12012.6860	61.4192
12032.2586	48.9881
12020.0257	58.6159
12032.2586	58.7858
11912.3764	61.7307
11755.7955	57.2567
11790.0476	49.9509
11978.4339	25.3153
12110.5490	16.7919
12046.9380	63.0333
11985.7736	81.9490
12105.6558	52.9525
11966.2010	56.5204
11878.1243	47.0909
11907.4832	17.3016
11719.0969	65.9216
11819.4065	142.1223
11755.7955	102.0539
11765.5818	21.0394
11726.4366	38.5675
11662.8256	44.9388
11814.5133	21.3226
11846.3188	21.1244
11785.1544	36.6137
11870.7846	39.1905
11902.5901	33.3572
11905.0366	35.0563
12717.2997	126.6896
13010.8888	124.1694
12922.8121	103.1583
12749.1052	105.1971
12555.8257	70.8488
12661.0285	31.2335
12761.3381	28.9681
12883.6668	63.3731
13160.1299	20.3881
13309.3710	25.5701
13150.3436	55.4444
12991.3162	103.3282
12780.9107	86.8195
13050.0340	31.7998
13265.3326	33.5838
13468.3984	34.2634
13522.2231	33.0741
13605.4066	32.8759
13764.4340	29.4778
13962.6067	38.5959
14175.4587	30.0442
14322.2533	29.5911
14447.0286	20.1899
14574.2506	20.3032
14767.5300	22.3137
14955.9163	34.5466
14946.1300	51.9614
14853.1602	57.0584
14960.8095	16.9618
15061.1191	16.9335
15134.5164	16.9901
15156.5355	33.4705
15161.4287	50.7438
15330.2424	32.3095
15420.7657	43.1832
15557.7739	22.3137
15604.2589	18.2077
15599.3657	21.2943
15670.3164	24.0976
15697.2287	23.5030
15792.6452	45.9582
15907.6342	42.6169
16056.8753	26.0798
16051.9822	22.0022
16005.4972	22.1438
16044.6425	22.1721
16110.7000	17.8396
16120.4863	22.3703
16135.1658	18.0095
16135.1658	22.2854
16162.0781	21.5774
16140.0589	21.6624
16213.4562	22.5685
16193.8836	24.8339
16083.7877	80.8446
16303.9795	43.0133
16379.8233	21.9456
16392.0562	18.8307
16382.2699	18.7458
16406.7356	18.5192
16445.8808	24.0127
16387.1630	29.4212
16450.7740	13.6770
16406.7356	26.9860
16379.8233	27.9204
16321.1055	27.1842
16367.5904	24.0693
16450.7740	22.6252
16489.9192	32.5644
16538.8507	23.2764
16622.0343	7.9854
16577.9959	22.7384
16538.8507	21.7757
16597.5685	22.9366
16759.0425	19.8501
16913.1768	18.3210
17018.3795	22.9933
17033.0590	24.2675
17243.4645	18.7458
17294.8426	22.9083
17324.2015	43.6079
17510.1412	21.6058
17490.5686	30.9503
17515.0344	27.7788
17534.6070	21.0394
17585.9851	23.2764
17669.1686	23.6163
17938.2919	23.6163
17979.8837	24.0410
18043.4947	18.8024
18094.8728	22.9650
18129.1248	22.5119
18197.6289	18.3776
18192.7358	20.6996
18185.3961	23.1915
18151.1440	22.3703
18168.2700	17.8396
18197.6289	22.4269
18129.1248	22.5685
18126.6782	22.4553
18121.7851	22.1438
18075.3002	27.0426
18134.0180	22.4553
18175.6098	22.4553
18263.6865	17.9529
18425.1605	13.7337
18491.2180	22.0588
18552.3824	23.2198
18586.6345	23.7578
18640.4591	18.6042
18642.9057	21.7190
18726.0893	38.1428
18934.0482	23.3897
19242.3167	9.3162
19323.0537	22.6535
