104 m3	m3/s
Storage	Release
63261.1040	38.7091
63921.6794	103.9795
65029.9781	121.0262
64807.3397	239.4473
65944.9974	136.1191
66434.3125	132.1830
66586.0002	135.8076
66338.8960	149.2298
66001.2686	150.8722
65607.3699	148.5785
65103.3754	154.4967
64601.8274	151.5518
64472.1589	68.8949
62845.1862	247.6308
60765.5969	335.8661
60163.7394	174.1769
60058.5366	89.2264
59936.2078	88.2353
59882.3832	72.8309
58595.4844	204.0229
56283.4705	362.1158
56082.8513	184.0029
56099.9774	108.5668
55434.5088	107.5757
54972.1060	110.8605
54906.0485	78.0695
54658.9444	71.8398
54137.8238	95.7676
53827.1087	94.1252
53827.1087	59.3804
53942.0977	51.5083
57704.9309	5.5784
64677.6712	0.0000
69482.7456	0.0000
71728.7020	0.0000
73517.1487	34.4333
74904.3570	0.0000
75687.2612	33.4705
75709.2804	123.3199
76289.1188	71.8398
76979.0531	0.0000
76979.0531	71.1886
77881.8395	71.5000
79154.0588	69.8577
79861.1191	73.1424
80054.3986	71.5000
80140.0287	69.2064
80333.3082	68.8949
80377.3465	74.7848
80702.7411	67.9038
81113.7658	67.5640
81568.8288	70.1975
82334.6070	30.1858
83061.2399	30.1858
84034.9770	0.0000
84524.2921	79.7119
85062.5387	73.4822
85669.2895	76.4272
86391.0292	76.7670
85916.3936	174.1769
86437.5142	36.0757
86755.5690	38.0578
86755.5690	71.8398
86528.0375	114.1452
86119.4594	148.5785
85669.2895	132.8343
85713.3278	78.0695
85600.7853	77.0785
85713.3278	38.3693
85375.7004	82.0056
84949.9962	123.6597
84079.0154	162.6803
83479.6043	157.7815
83567.6811	75.7759
84034.9770	0.0000
84392.1770	0.0000
84145.0729	78.3810
83878.3962	77.7297
83746.2811	72.4911
83479.6043	84.2993
83171.3358	76.7387
83658.2044	0.0000
84145.0729	0.0000
84191.5578	52.4711
84301.6537	52.8109
84012.9578	112.5028
83990.9386	120.7147
84367.7113	46.2414
84859.4730	0.0000
85444.2045	0.0000
85578.7662	34.4333
85984.8977	0.0000
86481.5525	0.0000
86640.5800	44.9388
87164.1471	0.0000
88103.6321	0.0000
88747.0815	0.0000
88840.0514	60.3432
89348.9391	13.7903
89742.8377	21.9739
89791.7693	63.6280
90303.1036	0.0000
90865.8159	0.0000
91382.0434	0.0000
91900.7174	0.0000
