104 m3	m3/s
Storage	Release
52410.5414	543.5702
53364.7059	959.4597
51634.9770	1137.4028
52640.5195	1012.1007
53944.5443	872.1589
54455.8786	1110.3885
54688.3033	1045.3730
54093.7854	1036.7647
53183.6593	1063.6374
50693.0454	1222.3533
51326.7085	872.8668
51823.3633	650.9477
52393.4154	506.5318
51020.8865	861.9082
50998.8673	848.4577
50967.0619	748.2727
50893.6646	687.8728
50957.2756	546.0338
51488.1824	414.0206
51656.9962	544.2781
51321.8153	1234.8410
53068.6703	959.0066
53203.2319	616.5993
53105.3689	639.1395
51757.3058	485.2941
52023.9825	287.0762
51923.6729	408.9519
51395.2126	605.0461
51823.3633	644.9162
52124.2921	589.6983
52985.4867	522.5591
58076.8104	1279.5817
60281.1750	1985.4923
58744.7255	2003.1904
56574.6130	1852.4032
55038.1636	1603.9228
54113.3580	1299.4035
54088.8923	1240.1646
53465.0155	1241.5805
52620.9469	1242.5149
51360.9605	1119.8180
52026.4291	1070.6033
52613.6072	1172.7988
52581.8017	1236.1436
52792.2072	1239.3434
54008.1553	1089.0093
53570.2182	1069.5556
52946.3415	1010.3168
52620.9469	988.4845
53372.0456	868.1379
53822.2155	1059.5314
52711.4702	1196.8682
52053.3414	1119.3366
51957.9250	741.5616
51238.6317	540.1438
51314.4756	841.2369
52124.2921	737.7671
51911.4400	837.3575
51791.5578	834.8656
51495.5222	822.6044
51517.5414	925.2530
51309.5824	572.5950
50773.7824	750.5097
51162.7879	675.4701
50710.1714	721.9663
50815.3742	853.0450
51265.5441	849.3921
51285.1167	442.3375
50874.0920	301.9425
51079.6043	437.2687
50854.5194	506.7583
51838.0428	667.6829
52819.1195	807.7380
51999.5167	687.1649
51644.7633	449.1901
51228.8454	324.5960
51590.9386	582.1377
52461.9195	441.9693
52498.6182	547.4496
52200.1359	531.8753
51957.9250	446.9248
52261.3003	275.1548
52549.9962	274.5601
53031.9716	404.2230
53455.2292	355.0366
53650.9552	450.9458
53707.2265	679.4911
54037.5142	674.0542
53739.0320	414.6153
52640.5195	506.7583
52442.3469	432.6531
53398.9580	282.2340
53939.6512	235.1431
53416.0840	244.0063
53973.9032	260.0336
54536.6156	216.5106
55094.4348	223.5898
56192.9472	215.8027
56535.4678	243.4116
57147.1117	239.3906
57340.3912	241.5144
59094.5858	188.5336
59094.5858	185.3621
59427.3201	186.8912
61015.1476	190.5441
62441.5012	187.0045
64467.2657	174.7433
66011.0549	185.3621
67828.8605	175.7910
68949.3922	172.3930
69446.0470	173.7805
69813.0333	245.8752
70356.1731	341.8127
70314.5813	208.4969
70417.3375	179.4722
70512.7539	191.9599
70539.6663	185.5886
70537.2197	180.4066
70373.2991	195.4995
70314.5813	194.5651
70647.3156	184.4276
72166.6390	178.3961
73189.3076	185.9567
73429.0720	183.4648
74569.1762	180.5199
74302.4995	257.2019
74838.2995	181.4544
76560.6887	187.0045
77128.2942	187.1177
77600.4833	181.0013
77796.2093	183.5781
79364.4643	172.9593
79227.4560	399.2675
77292.2148	628.1526
77140.5271	666.8617
76516.6503	372.7347
76342.9435	342.7471
76169.2366	177.3484
75452.3900	176.7538
76271.9928	178.6227
76717.2695	228.4320
77720.3655	325.8703
79330.2122	419.5707
78684.3163	348.6653
77842.6943	237.8615
77519.7463	186.1833
77196.7983	174.8565
78486.1436	311.7118
78716.1217	389.1301
79244.5821	385.9303
76560.6887	652.8166
76560.6887	441.4030
75804.6968	168.1171
