104 m3	m3/s
Storage	Release
29155.8408	56.4072
29128.9285	123.3199
28933.2025	184.0029
29324.6545	195.1597
30051.2875	185.3338
29760.1450	260.7698
29919.1724	160.3866
29628.0299	188.9300
29050.6381	192.5262
28637.1668	182.3605
28191.8901	177.7732
28240.8216	103.9795
28522.1778	63.6280
27700.1284	176.7821
27763.7393	93.1624
27976.5914	82.0056
28140.5120	71.5000
28419.4216	65.9216
28700.7778	64.6190
28419.4216	115.4478
27438.3448	179.1041
27501.9558	73.1707
27775.9722	44.9388
27988.8243	39.0206
28407.1887	42.9567
28727.6901	47.8838
29116.6956	41.3426
29194.9860	61.3343
28727.6901	134.4767
29141.1614	54.4533
29745.4655	48.2236
37161.0360	5.2386
46443.3437	0.0000
53741.4785	0.0000
57183.8103	101.0345
58649.3091	188.9300
58035.2186	385.0808
57367.3035	376.8689
55742.7773	442.1392
53643.6155	456.9206
52124.2921	378.1998
50352.9714	389.6681
51801.3441	319.1592
53528.6265	366.0519
52794.6538	478.8945
51121.1961	479.2060
50409.2426	332.9212
49611.6590	319.0459
48730.8918	315.8744
47894.1630	327.0313
47262.9465	319.4707
46851.9218	324.5394
46851.9218	261.7609
47840.3383	140.3949
48730.8918	135.1280
48346.7794	286.0285
48838.5411	248.3104
49352.3220	244.0346
49741.3275	244.6859
49225.1001	311.5986
49389.0206	172.1947
50149.9056	103.3282
50279.5741	178.7643
50335.8454	173.8371
49667.9302	232.5663
49132.1302	220.4183
48968.2096	184.6542
49205.5275	129.2381
50223.3029	52.7826
50392.1166	126.6046
50690.5988	123.9995
50203.7303	197.1419
49963.9659	171.5435
50260.0015	86.6496
50803.1413	53.1507
51480.8427	52.8109
51537.1140	124.9622
51649.6564	125.6135
51556.6866	133.8254
51517.5414	148.5785
51272.8838	129.5496
51745.0729	51.5083
52393.4154	56.0957
52679.6647	116.1274
52890.0702	115.1363
52124.2921	222.8819
51480.8427	195.4995
51424.5715	115.7876
51860.0619	52.4711
52469.2592	48.8749
52603.8209	101.6858
53257.0566	53.8020
53548.1991	85.2903
54482.7909	0.0000
54952.5334	51.1685
55803.9417	62.6369
56782.5719	53.1507
57954.4816	34.7731
58627.2899	74.1335
58957.5776	95.1163
59576.5612	48.8749
60178.4188	55.7559
60677.5202	47.8838
61076.3120	54.4533
61773.5861	50.1775
63520.4410	27.2125
65516.8467	70.8488
66813.5317	67.2525
67946.2962	51.5083
68888.2278	52.8109
69450.9401	63.9678
69631.9867	136.4589
70128.6416	63.6280
70720.7128	47.5723
71293.2115	63.9678
71912.1951	52.4711
72394.1705	59.6919
72856.5733	48.2236
73553.8473	66.9127
74275.5871	65.9216
75048.7050	36.4155
75993.0832	24.6073
76465.2722	76.0874
77084.2559	35.4244
77752.1710	19.3404
76939.9079	190.2326
77250.6230	44.9388
77561.3381	57.0868
77774.1902	59.0406
78398.0669	35.0846
78902.0615	65.2703
79095.3410	56.4072
78662.2971	177.4617
79843.9931	35.4244
80546.1603	61.3343
81204.2891	40.3515
82256.3166	36.7270
83190.9084	55.1046
84130.3934	54.7931
85025.8401	32.4794
84901.0647	145.6335
84355.4784	172.8460
84800.7551	58.7008
85400.1661	35.0846
85701.0949	56.4355
86075.4210	57.7381
86452.1936	54.7931
85676.6292	201.3894
85801.4045	57.3982
85250.9250	145.9733
84852.1332	131.5318
84976.9086	55.1046
84852.1332	106.6129
83709.5824	240.7781
83019.6481	206.3165
82256.3166	210.5924
81253.2206	217.1336
81767.0015	79.0606
82207.3851	60.3432
82699.1467	61.0228
82329.7138	172.5345
82674.6810	68.8949
82943.8043	108.9066
83438.0126	52.8109
83636.1852	57.7381
84081.4619	32.7909
83834.3578	113.8054
83511.4098	100.6947
83956.6866	46.8927
84304.1003	54.4533
84105.9277	90.5290
82970.7166	191.2237
83166.4427	41.3426
83093.0454	60.0317
81473.4124	249.6130
80644.0233	173.8371
79770.5958	168.9100
78757.7135	161.0379
78975.4588	38.0578
79046.4094	33.1307
79166.2916	57.3982
79119.8067	91.1802
79552.8506	65.2703
79552.8506	88.5751
79892.9246	51.5083
79939.4095	61.6741
80377.3465	33.7820
80595.0918	55.4444
80352.8808	92.8226
80184.0671	90.5290
79577.3163	129.8894
79724.1109	86.2531
78013.9546	265.0174
78109.3710	45.2786
77989.4888	55.7559
76607.1736	218.7760
76917.8887	31.4883
76939.9079	61.6741
76988.8394	45.9299
75403.4585	267.9906
74745.3296	143.9912
74182.6173	112.1913
72303.6472	279.7988
70674.2279	274.2203
69788.5676	171.2320
69766.5484	94.4650
69766.5484	90.5290
70539.6663	36.0757
71268.7458	57.7381
71682.2170	116.7787
72164.1924	111.5117
71430.2198	235.8227
70994.7293	245.0257
71498.7239	115.7876
72210.6774	62.3254
72719.5651	61.9856
72418.6363	128.2470
72164.1924	131.5318
71819.2253	129.5496
71498.7239	130.2292
71041.2142	136.4589
71041.2142	96.1074
70879.7403	104.6307
70265.6498	153.5056
68751.2195	262.4122
67300.4002	257.1453
66923.6276	143.3399
66216.5673	176.1308
67456.9811	0.0000
70493.1813	63.6280
73739.7871	22.3137
76157.0037	0.0000
76631.6394	174.1769
76680.5709	161.3777
76418.7873	164.9739
76702.5901	94.8048
77130.7408	74.7848
76440.8065	217.4734
75873.2010	237.4651
75119.6557	239.7587
74371.0036	241.7409
73600.3323	232.5663
72580.1103	245.0257
71452.2389	239.4473
71268.7458	101.0345
70356.1731	188.9300
69698.0443	182.7003
68954.2853	179.1041
68058.8386	203.3716
67611.1153	118.7325
67077.7619	118.7325
65954.7837	212.2064
64861.1644	211.5552
63672.1287	213.5373
62492.8793	204.3344
61878.7888	121.6775
62346.0847	0.0000
62324.0656	58.0495
61541.1614	132.1830
60511.1531	167.6074
59451.7859	173.5256
58279.8762	177.7732
57264.5473	173.8371
56983.1911	65.9216
56721.4076	64.2792
56361.7609	86.9327
56082.8513	91.8315
55762.3499	97.4100
54678.5170	204.6742
53761.0511	163.6714
53604.4703	64.6190
53548.1991	58.0495
52564.6757	168.2587
50952.3824	249.6130
50597.6289	100.0434
50279.5741	109.2181
50203.7303	90.5290
50428.8152	65.2703
50445.9413	62.6369
48801.8425	245.3372
48748.0178	48.8749
48165.7329	120.7147
47676.4177	109.8694
47245.8204	122.3571
47084.3465	61.0228
46851.9218	68.2153
46514.2944	79.7119
46088.5902	91.5200
44170.4750	293.6457
43793.7023	91.8315
42203.4282	224.6942
41951.4310	73.4822
41701.8802	74.4450
40730.5898	179.1041
40419.8747	75.7759
40241.2746	74.1335
40013.7431	77.7297
39996.6171	63.3165
39898.7541	56.4072
39835.1431	61.9856
39624.7376	72.1513
39367.8472	66.9127
39463.2636	45.9299
39641.8636	39.3604
39915.8801	40.3515
42421.1735	65.6101
45210.2696	61.9856
47820.7657	44.9388
49927.2672	67.9038
52107.1661	65.9216
53584.8977	63.9678
54619.7992	78.0695
55625.3417	61.6741
56300.5966	62.6369
55564.1773	233.2175
54619.7992	231.2354
54756.8074	101.6858
54893.8156	97.0985
54854.6704	102.9884
55346.4321	46.5812
55664.4869	54.4533
54678.5170	219.1158
53761.0511	208.9217
52794.6538	212.5463
52107.1661	206.9678
51801.3441	217.1336
53469.9086	56.0957
54600.2265	86.5929
54561.0813	164.0112
54228.3471	164.3227
54463.2183	96.1074
54795.9526	98.7408
55388.0239	105.9333
57103.0733	102.3371
59615.7064	103.6397
60364.3585	325.0491
60220.0106	324.7376
59265.8461	330.6275
58157.5474	326.6915
57022.3363	320.8016
55525.0321	328.6736
53895.6128	328.6736
52163.4373	347.6742
50299.1467	349.3166
48400.6041	357.1887
46565.6724	355.6879
44446.9380	402.7788
42152.0502	427.0747
39561.1266	438.8828
36652.1483	455.9295
34296.0961	396.2376
31949.8301	385.7321
29586.4381	382.4473
27952.1257	282.0924
27952.1257	100.3832
28534.4106	30.8370
29077.5504	36.0757
29390.7121	69.5462
28676.3120	184.3427
27888.5147	177.1219
28267.7339	65.9216
28255.5010	87.5840
28637.1668	40.6630
