104 m3	m3/s
Storage	Release
85226.4593	62.6652
85182.4209	104.8856
85101.6839	118.8175
85116.3634	129.7761
85050.3058	128.0205
84940.2099	118.1096
84683.3195	126.8312
84436.2154	127.5391
84311.4400	106.0749
84115.7140	114.9098
83797.6592	111.7383
83579.9139	110.5490
83587.2537	73.2840
83132.1906	126.3781
82620.8563	141.2444
82349.2864	106.8961
82070.3768	109.5012
81771.8946	113.4939
81813.4864	64.3076
81231.2014	142.0656
80127.7958	208.1288
79457.4341	156.4506
79188.3108	117.7414
79029.2834	96.6454
78676.9765	111.5117
78503.2697	86.7345
78305.0971	93.1058
77962.5765	106.4147
77600.4833	115.2779
77600.4833	61.2493
78195.0012	40.0117
83283.8783	9.5711
86858.3252	5.4368
89111.6213	0.0000
90251.7255	61.8157
91249.9283	59.9468
92226.1119	76.1157
93035.9284	68.7816
93405.3613	101.3460
94136.8874	40.3515
94731.4053	42.5885
95286.7779	64.0810
96788.9753	66.0632
97388.3863	110.0959
97770.0521	109.7278
98031.8357	110.3224
98374.3563	88.3769
98726.6632	65.6101
99098.5427	61.7024
99575.6249	63.0050
99981.7564	72.4345
100248.4332	68.8949
100622.7592	63.7129
101185.4716	45.7883
101755.5237	40.9462
102271.7511	64.4208
102993.4909	65.3553
103480.3595	66.7711
103969.6746	63.1183
104253.4773	86.2531
104884.6938	44.1176
105405.8144	43.1832
105579.5213	84.9505
105603.9870	100.4115
105491.4446	123.7729
105144.0308	132.7494
105092.6528	96.6454
105430.2802	55.1046
105745.8884	54.7365
105892.6830	72.0947
106007.6720	71.1602
105807.0528	109.2464
105405.8144	129.3230
105449.8528	89.6795
105596.6473	59.9468
105684.7240	61.3626
105745.8884	78.6925
105831.5186	70.1975
105885.3432	78.4377
105919.5953	82.1189
106103.0885	75.5210
106452.9488	52.9808
106788.1296	56.8602
106981.4091	75.9741
107164.9022	71.9814
107025.4474	102.8751
106900.6721	99.1090
106629.1022	111.7383
106893.3324	47.7988
107157.5625	45.4202
107157.5625	82.4870
107201.6009	86.0266
107245.6392	82.6002
107201.6009	86.2531
107299.4639	88.1503
107695.8091	66.5446
108131.2996	47.5440
108165.5516	86.9610
108353.9380	85.7717
108371.0640	93.4456
108353.9380	88.8583
108415.1023	69.9709
108647.5270	40.2382
108862.8257	34.9147
109290.9764	66.5446
109741.1463	70.0842
109939.3189	77.7581
110144.8313	62.4103
110245.1409	74.1052
110624.3601	32.7909
