104 m3	m3/s
Storage	Release
36243.5702	218.2663
36030.7181	411.1889
36077.2031	497.8951
36011.1455	583.9217
36285.1620	610.1148
35820.3126	617.7886
35879.0304	538.5015
35663.7318	476.6575
35631.9263	485.8605
35560.9756	458.2515
35529.1701	464.2830
35612.3537	353.2527
35634.3729	311.5986
35759.1482	337.9049
35761.5948	541.3332
35744.4688	490.2496
35717.5565	327.4277
35888.8167	252.9544
36052.7373	170.7223
36280.2688	248.5936
36652.1483	687.9861
36040.5044	736.6061
36879.6798	254.6251
36681.5072	139.9419
37261.3456	148.6634
37532.9155	195.7544
37471.7511	260.0336
37261.3456	299.2241
37386.1210	318.9326
37219.7538	283.9897
36994.6689	308.3138
40532.4171	762.3178
39218.6061	1323.4445
36473.5483	1093.2568
36042.9510	513.4694
35781.1674	498.0367
36099.2222	497.0739
36038.0579	621.5548
36250.9099	705.3160
36118.7948	698.6049
36025.8250	569.0553
36082.0962	579.0795
36510.2469	587.0932
36121.2414	788.9923
36153.0469	810.7963
36258.2497	767.0467
36517.5867	591.9354
36216.6579	569.1686
36314.5209	516.4426
36568.9647	554.6704
36921.2716	581.9112
36823.4086	654.2324
36091.8825	681.1334
36003.8058	370.2428
36358.5592	251.0855
36277.8223	520.9167
36361.0058	505.3424
36167.7264	556.4260
36334.0935	516.0745
36674.1675	450.3511
35844.7784	671.4774
35778.7208	323.5200
35754.2551	379.6723
35712.6633	393.2644
36206.8716	432.6531
35942.6414	660.0091
35673.5181	502.9921
35883.9236	286.2267
36231.3373	186.5514
36265.5894	294.1554
36507.8004	262.8653
36441.7428	539.6625
35964.6606	568.8288
36094.3291	411.1889
36177.5127	202.8336
36091.8825	187.8256
35893.7099	277.8732
35874.1373	340.7366
35636.8195	328.5887
35852.1181	289.0584
36109.0085	275.0415
36471.1017	204.4759
36625.2360	133.0892
36718.2059	263.3467
36630.1291	288.7186
36779.3702	344.6443
36948.1840	454.9668
36745.1182	407.0547
36776.9237	206.3732
36676.6141	206.3732
36461.3154	260.9964
36688.8469	179.6987
36997.1155	135.2129
37102.3182	135.3262
37454.6251	140.9896
37909.6881	132.2680
38149.4526	134.5050
38323.1594	172.0248
38861.4060	146.7662
39110.9567	154.6949
39453.4773	170.2692
39399.6527	207.6474
39473.0499	101.4593
39499.9623	139.3472
39906.0938	147.2476
40238.8281	136.8553
40353.8171	187.8256
40559.3295	142.2922
40483.4856	191.3652
40432.1075	123.2916
40664.5322	125.5286
40764.8418	214.5001
40921.4226	296.5057
41540.4063	94.7482
41951.4310	84.8373
42357.5625	88.6034
42408.9406	119.4121
42499.4639	102.3088
42612.0064	137.5632
42690.2968	157.1585
42751.4612	154.5533
42964.3132	173.8088
42991.2256	167.4375
43027.9242	142.6603
43096.4283	127.6523
43382.6777	174.6300
44062.8257	198.5860
44287.9106	124.7074
44410.2394	123.7729
44554.5873	161.7741
44410.2394	158.6876
44456.7243	146.0583
44772.3326	171.3169
44283.0175	307.4643
44153.3490	187.7124
43964.9626	149.1448
44119.0969	116.3256
44422.4723	73.5105
44588.8394	94.5216
44490.9764	165.7668
