104 m3	m3/s
Storage	Release
3116.9373	44.1460
3072.8989	103.5830
3060.6660	77.3899
3129.1701	114.1452
3124.2770	64.2226
3090.0249	55.9824
3119.3838	56.9169
3136.5099	59.2955
3112.0441	66.6862
3126.7236	58.2194
3058.2194	61.0228
3102.2578	23.1349
3058.2194	22.7384
3011.7345	71.5284
3004.3948	85.6301
3019.0742	52.8109
3065.5592	52.8109
3119.3838	37.7747
3072.8989	23.8428
2965.2496	82.3737
2992.1619	139.9985
3058.2194	97.5232
3055.7729	22.9366
3063.1126	40.6630
3087.5783	43.8628
3072.8989	22.7101
3072.8989	22.7101
3060.6660	39.2471
3102.2578	38.1428
3092.4715	34.0368
3094.9181	37.9729
2994.6085	156.9886
2992.1619	135.6660
3016.6277	106.6696
3028.8605	110.1525
3070.4523	70.9337
3121.8304	29.8460
3124.2770	33.7537
2950.5701	90.1042
2943.2304	23.3897
2989.7153	22.6252
3016.6277	55.7559
2977.4824	117.2601
2889.4057	100.8363
2906.5318	35.8491
3006.8414	24.8056
3004.3948	37.0384
2994.6085	37.4632
2977.4824	37.4915
2938.3372	37.2083
2977.4824	37.5198
2977.4824	33.5271
3028.8605	26.9576
3038.6468	23.1632
3041.0934	22.9083
3085.1318	22.8234
3087.5783	36.3305
3109.5975	56.9735
3131.6167	59.0406
3109.5975	22.8517
3092.4715	22.5685
3065.5592	22.7101
3055.7729	37.2650
3011.7345	62.2687
3006.8414	36.6420
3045.9866	40.8046
3048.4331	24.4941
3026.4140	22.8234
3028.8605	22.8517
3072.8989	22.8800
3085.1318	22.7384
3090.0249	48.5068
3001.9482	55.4727
3065.5592	22.8517
3053.3263	22.9366
3072.8989	22.7667
3082.6852	23.1065
3055.7729	23.1632
3055.7729	23.1349
3041.0934	23.2764
3036.2003	23.5596
3045.9866	23.0216
3041.0934	23.2481
3058.2194	23.1632
3092.4715	22.8800
3134.0633	78.9474
3080.2386	49.8377
3107.1509	23.0216
3080.2386	23.0499
3065.5592	22.9366
3041.0934	22.8234
3063.1126	22.7101
2972.5893	43.1266
2891.8523	23.3897
2940.7838	23.6163
2987.2687	23.6446
3043.5400	23.3048
3060.6660	22.9933
3077.7920	22.9366
3168.3153	22.9366
3182.9948	23.2764
3072.8989	22.7384
3087.5783	22.7667
3087.5783	22.9366
3112.0441	22.9083
3097.3646	22.9083
3072.8989	22.8517
3087.5783	22.9083
3102.2578	22.8800
3092.4715	22.7951
3102.2578	22.9083
3077.7920	49.0731
3068.0057	22.9650
3143.8496	24.0410
3019.0742	44.3442
3009.2879	23.0499
3026.4140	22.7101
3036.2003	23.1349
3072.8989	22.7101
3094.9181	22.6535
3065.5592	22.8517
3087.5783	22.8517
3094.9181	22.8234
3072.8989	22.8517
3045.9866	24.2109
3082.6852	22.8234
3068.0057	22.7101
3033.7537	22.7667
3041.0934	22.9366
3055.7729	22.8517
3072.8989	22.7384
3082.6852	22.7384
3134.0633	22.7667
3129.1701	22.9366
3148.7427	22.9083
3119.3838	22.5685
3050.8797	22.8234
3058.2194	22.8234
3082.6852	22.6252
3102.2578	23.0216
3072.8989	22.9933
3080.2386	22.6252
3156.0825	32.7626
3175.6551	22.3703
3082.6852	22.6252
3087.5783	22.7951
3094.9181	22.7101
3033.7537	23.0499
3041.0934	23.0216
3009.2879	22.7667
3026.4140	23.0216
3026.4140	22.7101
3031.3071	23.2198
2872.2797	145.8884
2975.0359	23.1632
3041.0934	36.6703
3045.9866	23.0782
3021.5208	22.7384
3041.0934	22.9933
3045.9866	22.9366
3072.8989	22.9650
3085.1318	22.9083
2997.0550	28.0903
2970.1427	23.0782
2977.4824	23.2764
2982.3756	22.9083
3004.3948	23.0216
3019.0742	22.9933
3041.0934	22.9650
3050.8797	23.1349
2938.3372	30.6671
3009.2879	29.3079
3016.6277	23.2198
2957.9098	41.6541
3026.4140	29.4495
2879.6194	80.8729
2933.4441	54.5666
2916.3181	49.7244
3080.2386	59.7485
3090.0249	22.6818
3094.9181	22.7384
3143.8496	35.5660
3080.2386	24.3242
2918.7646	57.3982
3048.4331	22.8517
2972.5893	54.4533
3031.3071	36.2456
3011.7345	38.1994
3016.6277	36.1606
3016.6277	36.6986
3041.0934	36.3871
3045.9866	36.0190
3026.4140	85.3470
3041.0934	36.2456
3028.8605	38.8507
3023.9674	74.4167
3050.8797	35.8208
3060.6660	36.0473
3072.8989	36.0190
3055.7729	80.7596
3085.1318	88.6600
3072.8989	88.5468
3026.4140	95.2296
3068.0057	108.5951
3060.6660	97.4949
3060.6660	80.8163
3077.7920	44.7406
3119.3838	36.5854
3129.1701	36.0190
3036.2003	85.0072
3048.4331	88.9715
3058.2194	99.4771
3072.8989	121.3660
3099.8112	123.9145
3094.9181	56.4921
3109.5975	39.7569
3116.9373	95.7109
3134.0633	87.4707
3126.7236	123.6314
3107.1509	116.3539
3006.8414	134.8448
3085.1318	98.5709
3087.5783	83.8462
3055.7729	81.5525
3045.9866	89.6228
3028.8605	98.3161
3009.2879	98.6559
3060.6660	49.0448
3041.0934	66.7994
3043.5400	36.3305
3038.6468	84.9505
3031.3071	102.1389
3043.5400	101.2610
3065.5592	92.8226
3065.5592	109.5862
3072.8989	57.1717
3055.7729	36.5004
2928.5509	105.7068
3026.4140	94.4650
3092.4715	88.4901
3102.2578	112.7577
3011.7345	106.4713
3014.1811	102.1672
3028.8605	101.1478
3004.3948	73.6804
2967.6961	74.9264
3009.2879	52.6977
3026.4140	53.5188
2989.7153	79.6836
2950.5701	61.7024
2891.8523	62.6085
2965.2496	80.4198
2965.2496	89.7361
2889.4057	93.4456
2938.3372	75.2095
2970.1427	46.9493
2972.5893	36.7270
2891.8523	48.1103
2891.8523	37.2650
2886.9591	91.3501
2962.8030	66.4313
3043.5400	66.4313
3082.6852	67.5074
3031.3071	38.7658
2977.4824	50.8004
2972.5893	39.1339
2928.5509	47.3741
2916.3181	37.5765
3063.1126	64.8739
3072.8989	49.0448
3045.9866	51.2818
3055.7729	36.2456
3102.2578	60.5697
3087.5783	78.9757
3036.2003	54.6515
3041.0934	68.7533
3094.9181	50.8571
3058.2194	34.6032
3038.6468	36.4438
2992.1619	119.3838
2979.9290	47.0626
3055.7729	44.1743
3097.3646	32.0547
2999.5016	36.7553
2977.4824	27.1275
2989.7153	31.0636
2838.0276	74.1901
2889.4057	58.7008
2879.6194	101.5159
2970.1427	36.3588
3009.2879	23.9844
2908.9783	38.6808
3004.3948	35.8491
3036.2003	63.9678
3055.7729	37.8596
3028.8605	47.1759
3006.8414	46.5812
3011.7345	40.4648
3026.4140	36.0757
3041.0934	37.3216
3041.0934	36.2456
3016.6277	39.1905
3023.9674	38.1711
3031.3071	31.0919
3011.7345	37.4066
3019.0742	36.8969
3026.4140	36.6137
3058.2194	37.2650
3031.3071	44.2592
3045.9866	57.5965
3026.4140	53.5755
3048.4331	45.1654
3048.4331	36.3022
3055.7729	36.6137
3014.1811	99.0806
3053.3263	111.9082
3072.8989	91.1802
3087.5783	111.6250
3060.6660	98.4010
3072.8989	40.1250
2926.1044	40.4365
