104 m3	m3/s
Storage	Release
112045.8205	691.5823
113144.3329	1114.8343
112924.1411	1318.5173
114702.8015	1171.6945
113203.0507	1228.4698
112434.8260	1329.5892
112718.6287	1283.3195
111470.8752	1253.3603
112535.1356	1284.2256
114343.1549	1262.1102
114959.6919	1148.8145
113239.7493	1076.8330
112593.8534	729.1871
111661.7081	955.2122
112119.2177	1009.3540
114546.2207	796.8077
114025.1001	849.9868
114083.8179	770.7846
114020.2069	553.4244
115500.3851	726.7236
115221.4755	1372.1494
113296.0206	1319.5934
113254.4288	879.0682
111862.3273	868.9024
110365.0231	765.4044
111299.6149	338.3014
113369.4178	338.2730
114242.8453	651.2025
114751.7330	748.3010
114881.4015	745.1578
116104.6893	724.6847
122595.4542	1871.2339
127625.6136	3002.0388
130023.2576	2741.8070
128014.6191	2748.8012
123532.4927	2891.2067
118913.3580	2477.6674
117633.7990	2071.1508
115720.5769	1975.7513
113144.3329	1843.9931
111864.7739	1543.6929
112801.8123	1376.7084
114575.5796	1620.4599
114443.4645	1903.1186
112623.2123	1898.0782
114005.5275	1536.1606
113215.2836	1393.3588
114504.6289	1281.9886
112926.5877	1255.8805
113689.9192	1332.3359
112909.4616	1378.5774
114071.5850	1397.1815
114937.6728	1401.3158
112067.8396	1366.0047
111505.1273	865.0230
112774.9000	1228.0733
112532.6890	1071.0281
114071.5850	964.7833
113685.0261	1200.2945
114025.1001	1294.7878
111617.6697	1294.7878
110722.2231	799.7810
112297.8177	840.7838
113680.1329	818.6684
114225.7193	981.6884
113320.4863	1110.6717
112968.1794	1186.6175
112209.7410	667.9378
113335.1658	337.5651
113592.0562	646.6435
113183.4781	653.1281
113308.2534	855.9050
113056.2562	1047.1287
111326.5273	976.1950
111006.0259	442.0543
111757.1245	337.9616
113366.9713	677.2257
113408.5630	590.8027
113281.3411	731.6507
114913.2070	718.3984
114414.1056	715.6517
115759.7221	404.2513
117506.5771	409.6315
117587.3141	646.8134
117124.9113	663.4354
117044.1743	737.9370
115561.5495	1065.8461
117323.0839	959.9977
115737.7030	774.4374
114746.8399	474.2505
116836.2154	511.1474
116797.0702	475.5814
116361.5797	507.9476
115343.8043	435.7963
117342.6565	432.9363
118546.3717	216.2558
121607.0377	209.0350
122578.3282	427.8392
124141.6900	436.0228
123904.3722	487.9842
122495.1446	424.4129
122580.7748	349.3166
121687.7747	283.1968
122142.8378	199.9169
124491.5503	308.9934
125991.3011	365.1457
127694.1177	437.4953
127275.7533	469.9464
124528.2489	656.5827
124755.7804	205.9484
124325.1831	194.8482
123945.9639	514.6021
122292.0789	569.1403
123082.3228	316.3841
124104.9913	210.0544
124347.2023	228.0639
123833.4215	241.9958
123278.0488	242.6187
124016.9146	290.1061
124391.2407	289.6530
125453.0545	287.9540
127190.1231	189.9777
125565.5970	563.2787
123273.1557	348.2406
122752.0351	255.6728
123167.9529	264.7059
124158.8160	272.0116
123593.6571	403.9681
124344.7558	354.4986
124315.3968	472.3533
124327.6297	418.0416
126419.4518	396.4359
124437.7256	651.4574
124300.7174	1041.9750
125565.5970	938.9866
122937.9748	588.7639
121594.8048	537.9635
122032.7419	219.7670
122429.0871	187.7407
123561.8516	225.6003
123906.8187	424.8660
123733.1119	349.3166
124043.8270	427.1879
123468.8817	500.8401
122977.1200	264.7342
123405.2707	98.4294
121690.2213	251.6235
122996.6926	405.4689
124156.3694	356.1410
123072.5365	545.4391
122940.4214	818.0454
122818.0926	454.0323
121156.8678	197.5666
121220.4788	866.9486
121641.2898	760.4489
120870.6185	795.3919
120973.3746	1076.2101
124975.9722	281.1297
125558.2572	188.2787
125291.5805	251.7368
124538.0352	678.9530
120767.8623	937.4575
116586.6647	853.9228
119975.1718	99.7886
120706.6979	95.0030
122245.5939	92.9642
123167.9529	118.2228
123221.7776	604.2815
120997.8404	675.9798
122407.0679	133.5706
126248.1915	110.5207
126094.0573	222.4855
126040.2326	342.8037
126847.6025	323.7182
124401.0270	749.6036
123657.2680	799.9509
120183.1307	1138.3655
119835.7170	1035.0374
122881.7036	55.3594
123723.3256	52.8109
125100.7476	54.5666
122671.2981	664.8796
121514.0678	554.5288
119532.3416	827.9280
121751.3857	154.3268
122583.2214	385.5622
123402.8242	141.0179
123877.4598	144.3310
123278.0488	651.0326
120638.1938	795.3636
118815.4950	866.2407
116456.9962	924.0920
119018.5608	353.8190
121301.2158	124.1694
121597.2514	158.2912
120540.3308	676.7160
116860.6811	860.7472
115630.0536	692.2336
118563.4977	249.6980
117910.2621	540.5969
119241.1992	334.5635
119970.2787	342.2091
117389.1415	862.9842
114154.7686	993.2417
114012.8672	923.8654
115338.9112	828.1262
117452.7524	824.1901
123278.0488	432.9080
123894.5859	710.4980
123204.6515	1032.5738
124432.8325	973.1934
121785.6377	1238.5789
117340.2100	1268.9628
118705.3991	867.2034
120696.9116	362.2008
122380.1556	344.4744
120873.0650	708.3176
119473.6238	676.0930
118482.7607	673.6011
116346.9003	694.2441
114560.9001	985.5678
113530.8918	327.7109
115796.4208	318.1964
118081.5223	901.4951
116513.2674	1016.7164
114825.1303	1073.8598
113552.9110	925.7627
114003.0809	739.6077
118262.5689	802.8676
125110.5339	594.4556
122942.8680	1156.2618
120491.3993	1406.3845
116097.3496	1399.8999
113579.8233	1118.8552
111392.5848	970.4466
117364.6757	44.0610
120868.1719	274.0788
119522.5553	1104.4703
119187.3745	1420.7411
117692.5168	1416.7202
117176.2894	1342.4167
116938.9716	1330.2971
118710.2923	1001.0572
117027.0483	368.3455
115121.1659	758.0986
115478.3660	819.9709
113354.7384	1076.3517
111054.9574	1091.5295
112916.8014	787.1517
114984.1577	90.3024
117181.1825	324.5960
118803.2621	916.0217
115793.9742	988.9659
112040.9273	1045.3164
111820.7355	900.4474
