104 m3	m3/s
Storage	Release
21143.3059	97.3250
21062.5689	95.0313
21033.2100	88.1787
21233.8292	80.6464
21226.4895	70.5089
21135.9662	65.2703
20998.9579	97.3533
20808.1251	95.9375
20661.3305	71.1886
20507.1963	93.1058
20289.4510	97.6648
20152.4428	68.4701
20142.6565	47.2042
19949.3770	95.4278
19839.2811	93.4456
19748.7578	74.3317
19636.2154	103.9228
19609.3030	58.7008
19381.7715	82.6286
19127.3276	75.8608
19014.7852	87.9238
18941.3879	100.2416
18828.8454	63.1749
18750.5550	57.7947
18481.4317	82.7701
18730.9824	29.0248
18748.1084	12.6010
18821.5057	32.0830
19168.9194	0.0000
19164.0263	34.3767
18921.8153	78.9474
20698.0292	32.0264
22187.9937	8.2402
22848.5691	17.2166
23230.2348	30.2141
23293.8458	85.2337
23279.1664	87.4141
23147.0513	82.4587
23034.5088	67.6773
22787.4047	73.1141
22454.6704	70.4240
22249.1581	67.3091
22241.8183	92.8509
22019.1800	96.9002
21970.2484	87.1593
21879.7251	90.7838
21750.0566	54.2834
21838.1334	22.7384
21923.7635	36.1889
22165.9745	33.8103
22574.5526	20.8978
22897.5006	26.6178
23205.7691	22.2854
23374.5828	23.4747
23489.5719	20.9545
23704.8705	51.4800
23920.1692	30.1574
24296.9418	49.4129
24646.8021	29.5062
24803.3829	46.5812
24840.0816	45.1087
25092.0788	22.6252
25339.1830	30.2990
25498.2104	59.6919
25625.4323	50.6872
25764.8871	58.4743
25828.4981	48.0254
25941.0406	51.0270
25860.3036	31.2335
25816.2652	48.9881
25718.4022	51.4517
25718.4022	52.1596
25676.8104	69.8577
25684.1501	46.7228
25750.2077	49.4412
25698.8296	50.4040
25681.7035	55.4444
25693.9364	35.6226
25728.1885	34.6881
25698.8296	58.6159
25740.4214	59.3804
25828.4981	44.8256
25906.7885	45.0238
25892.1090	57.9080
25923.9145	53.6321
25948.3803	56.2089
25975.2926	63.3731
25948.3803	39.8701
26046.2433	39.1905
26109.8543	16.8202
26036.4570	57.1151
26183.2515	25.9099
26237.0762	29.7610
26224.8433	29.8743
26271.3283	29.2513
26569.8105	4.3042
26731.2845	5.4368
26812.0215	21.0961
26966.1557	21.7190
27073.8050	23.1065
27176.5612	17.8679
27220.5996	17.9812
27352.7146	4.4741
27477.4900	4.2475
27629.1777	42.3337
27719.7010	17.4715
27812.6709	39.5303
27842.0298	22.3703
27820.0106	42.8151
28025.5229	27.5523
28108.7065	4.7006
27758.8462	88.9715
27807.7777	44.2592
27854.2626	38.2561
27915.4270	17.8962
27937.4462	43.8062
28035.3092	37.4066
28113.5996	8.9764
28086.6873	47.7422
28057.3284	37.8879
28120.9394	44.5707
28218.8024	44.2592
28301.9860	14.2151
28443.8873	28.9398
28524.6243	29.4212
28475.6928	50.5739
28661.6326	48.2236
28752.1559	43.3531
28774.1750	48.8466
28840.2326	40.3798
29062.8710	29.7610
29248.8107	4.1343
29376.0326	39.7852
29469.0025	41.8806
29774.8244	13.2806
29965.6573	29.4495
30036.6080	42.9850
30163.8300	3.7661
30278.8190	3.7378
30273.9259	34.2634
30273.9259	46.4396
30264.1396	43.8911
30249.4601	41.2010
30278.8190	27.9770
30308.1779	13.6487
30369.3423	27.1842
30423.1670	29.1664
30450.0793	34.8864
30604.2136	27.9204
30682.5040	35.8491
30770.5807	55.5860
30883.1232	38.3693
30892.9095	35.4244
30863.5506	56.5487
31100.8684	38.7658
31010.3451	69.4895
31010.3451	61.3343
31081.2958	58.4177
31299.0410	38.3693
31303.9342	35.7925
31259.8958	61.8157
31250.1095	58.7008
31404.2438	8.4384
31585.2904	23.6729
31661.1342	29.1380
31548.5917	22.7101
31651.3479	26.5895
31619.5424	41.5974
31636.6684	52.3012
31817.7150	25.8533
31854.4137	36.4438
31807.9287	67.0260
32023.2274	34.8014
32069.7123	4.4457
32013.4411	51.9048
32214.0603	52.1313
32287.4575	57.9646
32441.5918	48.3935
32505.2028	57.4266
32568.8137	31.6299
32698.4822	4.5873
32793.8987	30.6955
32789.0055	30.2424
32771.8795	17.8396
32894.2083	9.1463
32906.4411	21.7190
33053.2357	8.8915
33165.7782	4.5024
33021.4302	30.2990
32938.2466	30.4406
32884.4220	31.5167
32857.5096	32.4511
32784.1124	37.8030
32943.1398	13.4222
33001.8576	5.7483
32710.7151	57.1434
32762.0932	30.1008
32573.7069	41.8806
32329.0493	42.8434
32145.5562	42.8717
32069.7123	45.7034
31920.4712	48.9315
31778.5698	50.5456
31732.0849	48.9598
31761.4438	50.5739
31675.8136	48.5634
31524.1260	43.8345
31543.6986	30.0442
31590.1835	21.1527
31538.8054	48.2236
31722.2986	29.1947
31947.3835	29.9592
32074.6055	35.3111
32152.8959	34.3200
32130.8767	41.0594
32008.5479	26.8161
31827.5013	33.9236
31834.8411	38.4543
31896.0054	36.4438
31986.5287	33.2723
32111.3041	25.7117
32282.5644	22.0588
32214.0603	23.5596
32074.6055	34.5749
32157.7890	30.9220
32250.7589	30.7238
32275.2247	34.7165
32348.6219	30.3840
