10^4 m3	m3/s
Storage	Release
275117.4206	2299.865963
273960.1904	2271.917236
273387.6917	2252.265344
274884.9959	1889.328321
276727.2673	1467.633842
278204.9989	1624.339271
278505.9277	2052.999695
275552.911	2288.709126
271638.3902	2272.540206
272135.045	1862.31405
273448.8561	1489.466131
272433.5272	1492.071281
267359.3295	1506.937625
268222.9707	1316.620099
268996.0886	1330.070601
267880.4501	1101.298798
267383.7953	1477.544738
266774.598	1437.079965
263865.6196	1193.073697
267630.8994	1029.090839
271679.9819	1311.664651
271188.2203	1560.739634
271821.8833	1556.605374
269783.8859	1532.762589
272445.7601	1198.283997
269201.6009	1067.431849
265928.0828	1051.744316
265350.691	919.1082067
264306.0032	904.6099812
265118.2663	892.3487867
267298.1651	1194.970926
282344.6048	1592.709353
292585.97	2608.916027
290853.7945	3806.97349
289659.8657	3757.872078
292798.8221	3692.884915
294939.5757	3676.121341
293417.8057	3711.998786
290344.9068	3747.508112
286528.249	3757.532275
281730.5143	3719.191265
283159.3144	3538.784635
291724.7754	3697.33066
296845.4581	4385.798151
296534.743	4599.477075
290814.6493	4271.256506
285133.7009	3589.754959
283298.7692	3160.386614
280086.4155	2818.12089
278765.2647	2493.298342
274875.2096	2494.600917
274718.6288	2481.037148
277177.4372	2328.947365
276056.9056	2172.83659
268648.6748	2130.842706
272443.3135	1804.009663
268367.3187	1812.051647
269627.3051	1760.713204
273412.1574	1162.180018
281909.1143	852.5636172
295634.4032	850.8079727
291076.4329	849.5053978
292130.907	852.3370824
292916.2577	854.8289649
292617.7755	862.7293651
289725.9232	991.5710171
286853.6435	1133.495052
285921.4982	1132.673864
286726.4216	849.6186651
284076.7803	1044.778372
282051.0157	1274.258097
275330.2727	1454.070072
271611.4778	1465.991465
268242.5433	1357.084873
264323.1293	1054.576001
265032.6362	845.8525245
263961.0361	855.0554997
263603.8361	834.2992511
262241.0935	842.086384
264912.754	702.0312607
268413.8036	685.9756087
268905.5653	801.0269564
268496.9872	749.5752461
269561.2475	730.0932557
269585.7133	636.081325
270351.4914	714.1791879
272511.8176	655.3084638
276854.4892	710.6395821
280678.4868	677.2540199
278227.0181	884.7881886
279225.2209	887.846408
279773.2539	657.5454947
279910.2621	595.7298186
280255.2293	601.5064553
283651.0761	313.1276896
287027.3504	319.4989801
289111.8327	325.8702706
292270.3618	274.8999467
294809.9072	282.9419311
298499.3431	271.5019251
301582.0283	260.0336023
305780.352	250.3775576
310849.6565	236.9270554
315627.8186	224.637544
320053.6737	221.9474436
323794.4877	110.9170881
330126.2253	0
335699.5244	0
341267.9303	0
343920.0182	422.7422028
346430.2047	429.0002259
347736.6761	546.9965256
352938.0957	574.237332
353549.7396	815.0437955
353351.567	871.5642213
352199.2299	870.8563001
357481.3865	859.1897593
363157.4418	755.0120807
361165.9293	873.093331
356926.0138	877.8222444
361493.7704	887.5066059
367492.7736	1030.506681
369694.6916	1224.703615
365513.494	1254.91769
355607.3096	1260.920862
353571.7588	1108.123158
351188.7942	970.2201148
352473.2463	931.5109855
352529.5176	1173.846559
351966.8052	1201.342217
351039.5531	819.0647877
350489.0736	920.4107816
351788.2052	1036.62312
350232.1831	1332.081097
349158.1365	1365.098541
347147.0514	1005.474589
347061.4212	694.6971974
345454.0211	564.9210895
343863.747	566.8183182
343677.8072	566.3369318
344118.1908	566.3369318
351932.5531	566.5634666
353155.8409	831.3259822
352774.1751	833.3364784
351680.5559	835.3469745
348588.0844	720.8902805
347746.4624	569.5367355
346895.0541	571.29238
346780.065	569.8765377
346594.1253	575.6531744
350577.1503	818.1303317
351264.638	675.7249102
350207.7174	612.3518076
351908.0874	867.0901595
351418.7723	888.6675966
352473.2463	884.901456
355372.4384	871.5642213
355406.6904	846.9002479
355306.3808	567.6395068
352742.3696	572.0003012
358320.5619	848.0895554
357155.9919	950.5115896
353285.5094	977.4125938
351660.9833	902.3729503
352952.7751	580.9767415
354315.5177	576.2478281
354398.7013	572.9347571
355296.5945	572.3684202
356152.896	716.189684
353415.1779	725.5059265
350834.0407	744.251679
351345.375	568.8288143
355602.4165	571.1791126
355255.0027	569.1686165
354384.0218	715.3684955
355250.1096	735.4168228
356647.1042	914.2943428
355834.8411	1015.640337
355910.685	1017.650833
351575.3531	927.6032607
350941.69	603.8567536
349808.9256	567.5262394
349419.9201	710.2714631
348225.9912	851.7424286
347492.0185	850.3265863
352138.0655	853.7529247
354391.3616	846.4471783
354550.389	895.0388871
351763.7394	1020.82232
348429.057	1029.543908
345087.0348	1041.720152
342875.3305	1049.847087
343371.9853	1060.126103
338897.1986	1051.036395
336971.7437	1044.070451
337057.3738	728.3376112
335870.7847	731.9904844
332073.6994	722.4477071
329864.4417	566.3369318
330923.8089	787.43487
334566.7599	795.7033892
334857.9024	789.8134851
332364.8419	789.105564
329658.9293	904.3834465
328247.2552	888.2145271
327227.0332	803.2639873
332724.4885	972.4571457
334339.2284	807.0301279
338539.9986	811.1643875
342427.6071	1156.516649
339516.1822	1354.847842
336475.0888	1360.284677
334236.4722	1388.601523
329120.6827	1369.600919
327090.025	1131.965943
325289.3454	874.5091733
326573.7976	865.5610498
322727.7808	866.2689709
319950.9176	1103.16771
318059.7147	1090.67998
319554.5723	1118.402173
320127.071	923.6105853
319963.1504	921.2319702
319141.101	946.2640626
316589.3227	970.6731843
315282.8514	959.9410995
312721.2868	976.7046727
317027.2598	981.6601208
324117.4357	1164.417049
324374.3261	1369.006265
323393.2494	1352.35596
320207.808	1375.97221
316557.5173	1341.737142
312129.2155	1332.675751
312449.7169	1218.10579
311160.3716	1070.263534
309146.8399	849.6186651
307759.6316	952.7486204
303964.9929	1191.43132
301589.368	1180.472701
300395.4392	1186.843991
298332.976	1144.821791
300463.9433	1146.011098
299796.0282	858.4818381
299590.5158	995.1106229
298447.965	999.5846847
295049.6716	1002.784488
300711.0474	1013.969643
298763.5733	946.6038647
297902.3787	1002.897756
296568.995	995.9318115
294139.5455	836.4230146
289535.0903	912.5103814
286741.101	722.4477071
285466.4352	723.2688957
281686.4759	702.3710629
280321.2868	713.4712667
278723.673	704.0417568
278549.9661	707.0999762
279560.4018	570.3579241
280394.6841	712.0554244
279281.4922	715.4817628
281016.1142	570.4711914
280813.0485	573.7842625
279528.5963	698.9447244
278312.6483	710.2714631
278033.7387	567.2713878
276492.3961	572.2268359
279362.2292	576.1345608
280174.4923	575.3133722
280786.1361	581.9111975
281133.5499	572.0003012
281767.2129	658.1401485
280913.3581	777.5239737
280808.1553	768.0944638
279802.6128	750.1698999
278381.1524	785.1978391
275415.9028	915.2287987
274818.9384	721.3716669
273666.6013	804.793097
273517.3602	801.2534912
273578.5246	809.3804261
274297.8178	811.0511201
274542.4753	801.1402238
274329.6233	605.9805171
273436.6232	599.8357614
273803.6095	785.5659582
274407.9137	794.2875469
273913.7054	838.0653917
273507.5739	838.4051939
274297.8178	845.8525245
276729.7139	842.9075725
279093.1059	619.4310192
277811.1003	824.728157
276321.1358	829.6836051
278190.3195	1127.831683
280759.2238	1090.198594
281666.9033	1328.428224
279124.9113	962.2913977
277984.8071	746.4037593
282762.9692	960.4224859
281466.2841	986.0209152
279934.7279	837.838857
280061.9498	790.9744759
283876.1611	1077.824132
287898.3313	1078.050667
286721.5284	1081.816807
283355.0405	1374.074981
278948.7579	1425.753226
274491.0973	1442.969869
271019.4066	1507.985348
268526.3461	1324.407232
268024.7981	901.1836428
269125.7571	723.6086978
270845.6997	862.3612461
270473.8202	859.6428288
270185.1243	872.8667962
269683.5763	897.1626506
269137.99	918.1737507
269010.768	883.8537327
266366.0199	1162.774672
262419.6935	1066.497393
260645.9262	1018.358754
266595.998	777.5239737
266706.0939	1146.492485
264949.4526	1253.388581
264670.543	1012.327266
265030.1896	813.7695374
267799.7131	780.8370448
269654.2174	967.7282323
272619.467	1114.975835
272966.8807	1242.061842
275070.9357	1420.203124
276844.7029	1432.492635
274319.837	1292.777314
279428.2867	1625.613529
279212.9881	1942.648944
280830.1745	1422.921541
284622.3666	855.0554997
288769.3122	1151.079814
287144.786	1428.358376
281708.4951	1421.024313
275645.8809	1572.774293
267914.7022	1745.620325
265651.6198	1476.610282
267679.8309	1138.4505
269920.8941	1327.352184
270123.9599	1257.97591
267285.9323	1324.888618
267963.6337	1310.843462
270713.5846	1305.888014
273346.0999	1318.743863
271070.7846	1303.282864
269690.916	1324.039113
268783.2365	1086.432453
268577.7242	1029.090839
267997.8857	1022.832816
266603.3377	958.0438707
268812.5954	1195.678847
268641.3351	1123.584156
268834.6146	1157.564372
266199.6527	1044.070451
266463.8829	789.8134851
266003.9267	774.1259521
266439.4171	851.7424286
264041.7731	761.0152522
264005.0744	803.1507199
265592.902	843.8420284
265624.7075	845.9657919
264443.0115	831.920636
265433.8746	835.8283609
265915.85	852.1105476
265673.639	854.5741133
265644.2801	849.5053978
264599.5923	853.7529247
265238.1485	721.0318648
263968.3758	706.3920551
267356.883	728.4508786
266547.0664	709.2237397
265287.08	697.1890799
265698.1047	724.2033516
265729.9102	712.6500782
268822.3817	595.1351648
268956.9434	582.6191186
271085.4641	713.4712667
269179.5817	719.3611708
268597.2968	979.2815057
265947.6554	857.2925306
265671.1924	731.7639496
265773.9486	626.0288445
265086.4608	645.1427159
266309.7486	1082.298194
267227.2144	1044.778372
266627.8034	1070.036999
266131.1486	1088.188098
266314.6418	903.3074063
266684.0747	620.025673
273155.267	593.6060551
275044.0233	943.5456453
276455.6974	856.6978768
275741.2974	1103.422561
274329.6233	1300.564447
275785.3357	1466.472851
275878.3056	1404.742126
272399.2752	1253.728383
273074.53	1031.214602
272771.1546	1236.625008
270657.3134	1150.740012
270116.6202	1228.469756
271702.0011	1241.353921
275897.8782	1203.126178
278317.5414	1184.946762
282339.7116	1340.3213
