10^4 m3	m3/s
Storage	Release
275117.4206	2074.747033
273960.1904	2175.923126
273387.6917	2271.888919
274884.9959	2109.350219
276727.2673	1736.643885
278204.9989	1795.373024
278505.9277	2095.191796
275552.911	2480.980514
271638.3902	2536.736385
272135.045	2109.236952
273448.8561	1775.466281
272433.5272	1834.705124
267359.3295	1815.591253
268222.9707	1402.986481
268996.0886	1562.268743
267880.4501	1347.372195
267383.7953	1492.637618
266774.598	1604.149359
263865.6196	1210.884994
267630.8994	1029.175789
271679.9819	1477.035035
271188.2203	1841.076415
271821.8833	1608.425203
269783.8859	1473.58038
272445.7601	973.4482353
269201.6009	1381.748846
265928.0828	1265.253339
265350.691	1194.064787
264306.0032	1315.204257
265118.2663	1165.606356
267298.1651	1280.204634
282344.6048	1261.402248
292585.97	2734.925994
290853.7945	3970.078526
289659.8657	4046.703913
292798.8221	4151.617829
294939.5757	4435.01283
293417.8057	4371.781312
290344.9068	4078.815217
286528.249	3898.267003
281730.5143	3849.731928
283159.3144	3701.040166
291724.7754	3394.340401
296845.4581	3751.500787
296534.743	4313.476925
290814.6493	4201.597064
285133.7009	3592.558327
283298.7692	3231.178731
280086.4155	2969.049682
278765.2647	2821.773763
274875.2096	2854.224869
274718.6288	2843.492784
277177.4372	2612.115831
276056.9056	2634.401189
268648.6748	2479.139919
272443.3135	2149.475191
268367.3187	2313.259832
269627.3051	2117.505471
273412.1574	1657.724833
281909.1143	1263.157893
295634.4032	1261.402248
291076.4329	1401.683906
292130.907	1495.1295
292916.2577	1474.967905
292617.7755	1499.858413
289725.9232	1792.937776
286853.6435	1790.445893
285921.4982	1371.38488
286726.4216	776.8443694
284076.7803	1272.16265
282051.0157	1684.852372
275330.2727	2065.713959
271611.4778	2015.338289
268242.5433	1770.510833
264323.1293	1394.37816
265032.6362	722.6742419
263961.0361	1124.915048
263603.8361	959.4597131
262241.0935	923.3557337
264912.754	817.2808263
268413.8036	791.5974465
268905.5653	870.4032305
268496.9872	781.5732828
269561.2475	788.7091281
269585.7133	788.7091281
270351.4914	835.3752913
272511.8176	764.8946601
276854.4892	672.6950076
280678.4868	784.0085316
278227.0181	1101.412065
279225.2209	956.9395137
279773.2539	744.7613822
279910.2621	549.5733587
280255.2293	703.7302715
283651.0761	179.1890052
287027.3504	213.0276369
289111.8327	278.5811368
292270.3618	212.8860527
294809.9072	237.6349766
298499.3431	358.4346442
301582.0283	193.4890128
305780.352	141.9240351
310849.6565	128.1903645
315627.8186	198.8975305
320053.6737	231.1787356
323794.4877	205.4953557
330126.2253	-13.08238313
335699.5244	-29.44952046
341267.9303	1.897228722
343920.0182	273.5124212
346430.2047	342.6338438
347736.6761	556.1428671
352938.0957	546.2319708
353549.7396	1154.845955
353351.567	1055.340556
352199.2299	1078.418786
357481.3865	720.1540425
363157.4418	75.40776247
361165.9293	1028.835987
356926.0138	1356.376952
361493.7704	1159.065165
367492.7736	1344.823678
369694.6916	2037.397112
365513.494	2169.551835
355607.3096	2235.020385
353571.7588	1654.638297
351188.7942	1377.982706
352473.2463	1276.976514
352529.5176	1635.411158
351966.8052	1790.332626
351039.5531	1173.02537
350489.0736	991.2028981
351788.2052	1150.456843
350232.1831	1663.388203
349158.1365	1755.871023
347147.0514	1359.435171
347061.4212	710.101562
345454.0211	613.0597287
343863.747	451.2855841
343677.8072	545.3541485
344118.1908	607.3963594
351932.5531	614.4189374
353155.8409	773.2764467
352774.1751	772.7384266
351680.5559	829.0040008
348588.0844	725.9589961
347746.4624	602.667446
346895.0541	514.6586868
346780.065	654.8270774
346594.1253	660.6037141
350577.1503	789.8134851
351264.638	732.3586034
350207.7174	584.034961
351908.0874	838.7733129
351418.7723	916.9844432
352473.2463	884.901456
355372.4384	1013.148454
355406.6904	846.9002479
355306.3808	567.6395068
352742.3696	543.6834546
358320.5619	621.5547827
357155.9919	1035.462129
353285.5094	920.7789006
351660.9833	902.3729503
352952.7751	580.9767415
354315.5177	406.3467486
354398.7013	431.3505241
355296.5945	487.4178804
356152.896	716.189684
353415.1779	782.1396197
350834.0407	829.2022188
351345.375	568.8288143
355602.4165	514.5454194
355255.0027	512.5349233
354384.0218	743.685342
355250.1096	820.3673626
356647.1042	942.6111894
355834.8411	1043.957183
355910.685	1074.284526
351575.3531	927.6032607
350941.69	518.9062138
349808.9256	567.5262394
349419.9201	710.2714631
348225.9912	908.3761218
347492.0185	850.3265863
352138.0655	938.7034645
354391.3616	761.4966386
354550.389	866.7220405
351763.7394	879.2380867
348429.057	972.9102152
345087.0348	1041.720152
342875.3305	993.2133942
343371.9853	975.1755629
338897.1986	1249.254321
336971.7437	930.8030643
337057.3738	700.0207646
335870.7847	760.307331
332073.6994	750.7645537
329864.4417	594.6537784
330923.8089	759.1180234
334566.7599	682.4360029
334857.9024	761.4966386
332364.8419	845.7392572
329658.9293	904.3834465
328247.2552	1029.79876
327227.0332	689.9966009
332724.4885	802.5560661
334339.2284	891.9806676
338539.9986	924.4317738
342427.6071	1468.001961
339516.1822	1581.382615
336475.0888	1643.453143
334236.4722	1586.819449
329120.6827	1681.086232
327090.025	1188.599636
325289.3454	817.8754801
326573.7976	837.2442032
322727.7808	1036.17005
319950.9176	1103.16771
318059.7147	1147.313673
319554.5723	1259.986406
320127.071	1150.145358
319963.1504	1034.499357
319141.101	1144.481989
316589.3227	1112.257417
315282.8514	1158.159026
312721.2868	1118.288906
317027.2598	868.3927344
324117.4357	1504.219208
324374.3261	2133.561123
323393.2494	2201.861357
320207.808	2367.06184
316557.5173	2304.509926
312129.2155	2238.814842
312449.7169	1869.393261
311160.3716	1636.600466
309146.8399	1047.836591
307759.6316	1292.55078
303964.9929	1701.134559
301589.368	1803.443326
300395.4392	1838.131463
298332.976	1824.426109
300463.9433	1599.080644
299796.0282	1339.86823
299590.5158	1249.962242
298447.965	1367.70369
295049.6716	1342.586647
300711.0474	1240.504416
298763.5733	1116.504944
297902.3787	1087.848296
296568.995	1109.199198
294139.5455	1232.858867
289535.0903	1365.579927
286741.101	1345.418332
285466.4352	1006.437362
281686.4759	1013.856375
280321.2868	883.3723463
278723.673	704.0417568
278549.9661	735.4168228
279560.4018	711.942157
280394.6841	1023.540737
279281.4922	1026.967075
281016.1142	627.1048846
280813.0485	630.4179557
279528.5963	670.6278778
278312.6483	653.6377699
278033.7387	595.5882344
276492.3961	685.4942223
279362.2292	604.4514074
280174.4923	631.9470654
280786.1361	610.2280441
281133.5499	515.366608
281767.2129	686.4569951
280913.3581	1060.69244
280808.1553	1136.21347
279802.6128	1259.873139
