104 m3	m3/s
Storage	Release
13578.4943	83.5347
13558.9217	113.2674
13906.3354	89.1981
13879.4231	126.9444
14116.7409	128.8417
14006.6450	118.4494
13879.4231	154.8082
12893.4531	276.0893
12086.0832	264.7625
12064.0640	167.5508
12377.2257	135.4395
13025.5682	98.1745
13659.2313	56.6337
13409.6806	184.9940
13487.9710	150.5607
13898.9957	149.1448
13857.4039	147.2476
14013.9848	159.0557
14001.7519	151.0137
13182.1491	271.3603
12455.5161	344.9841
12223.0914	258.6178
12157.0339	190.6573
12281.8093	163.3033
12377.2257	126.0100
13189.4888	66.0632
13818.2587	58.9840
13879.4231	145.3504
13864.7436	156.6771
14295.3409	100.5248
14082.4889	193.9704
14451.9218	190.6573
14459.2615	112.3329
14221.9437	94.3800
13894.1025	106.6696
14009.0916	33.9802
14187.6916	21.7190
13825.5984	74.5583
13639.6587	142.0656
13771.7738	81.6375
13925.9080	56.6337
13350.9628	181.0013
13172.3628	172.7328
13639.6587	69.8577
13886.7628	104.2909
14062.9163	109.0199
14028.6642	132.6078
14028.6642	81.1844
13585.8340	170.3825
13120.9847	191.1387
12122.7819	243.0435
12210.8586	120.8280
12438.3901	59.9468
12900.7929	11.8081
13350.9628	11.8081
13409.6806	61.8157
13766.8806	59.4654
13705.7162	70.7921
13818.2587	96.7587
13627.4258	117.9963
13713.0560	67.4790
13894.1025	55.2179
13326.4970	137.8181
12844.5216	132.1547
12122.7819	181.7092
12139.9079	91.5484
12147.2476	72.6893
12714.8531	11.3267
13108.7518	11.8081
13287.3518	48.6200
13294.6915	71.7266
14021.3245	68.8949
14082.4889	116.5805
13987.0724	89.6795
13921.0149	58.9840
13852.5108	33.9802
13260.4395	120.8280
12597.4175	154.8082
12159.4805	130.7389
12169.2668	69.8577
12531.3600	34.9147
12913.0258	9.9109
12932.5984	11.8081
13370.5354	10.8454
13461.0587	40.5780
13507.5436	88.2353
13825.5984	80.2216
13786.4532	103.8379
13818.2587	45.3070
13798.6861	32.5644
13818.2587	33.9802
13994.4121	23.1349
14055.5765	23.5879
13933.2478	31.1485
13987.0724	32.5644
14241.5163	23.5879
14422.5629	11.3267
14221.9437	60.3998
14451.9218	41.5408
14043.3437	89.6795
13947.9272	46.7228
13845.1710	33.9802
13840.2779	33.9802
13771.7738	35.3961
13825.5984	35.3961
13818.2587	33.0458
13933.2478	24.0693
13771.7738	47.6573
13752.2012	22.6535
13825.5984	25.0038
13974.8395	22.6535
13818.2587	62.7784
13886.7628	24.0693
13906.3354	23.5879
13793.7930	35.8774
13659.2313	30.2141
13678.8039	25.9665
13793.7930	10.3923
13994.4121	11.8081
13798.6861	41.5408
13886.7628	20.7562
14180.3519	21.7190
13867.1902	87.7822
13982.1793	31.1485
14097.1683	15.5743
13744.8614	138.7525
13818.2587	28.3168
13913.6752	22.6535
13872.0834	21.2376
14009.0916	23.1349
14021.3245	22.1721
13906.3354	38.2277
13994.4121	65.1287
14187.6916	24.0693
14138.7601	23.1349
14055.5765	21.7190
13845.1710	26.9010
13779.1135	11.3267
13906.3354	0.0000
13886.7628	11.3267
13771.7738	59.4654
13813.3656	49.5545
13982.1793	31.1485
14048.2368	11.3267
13940.5875	11.3267
14021.3245	0.0000
14097.1683	0.0000
13967.4998	92.0298
13967.4998	47.6573
13732.6286	84.2426
13779.1135	77.3899
13786.4532	11.3267
13585.8340	65.1287
13417.0203	91.0953
13541.7957	117.5149
13534.4559	107.1226
13739.9683	65.6101
14187.6916	34.4616
13940.5875	53.8020
14077.5957	0.0000
14187.6916	54.2834
14508.1930	44.3725
14221.9437	75.5210
14270.8752	23.5879
14248.8560	23.5879
14138.7601	22.6535
14214.6039	20.7562
14657.4341	34.4616
14586.4834	31.1485
14417.6697	40.1250
14395.6505	31.6299
13894.1025	92.0298
13925.9080	22.1721
14192.5848	0.0000
14221.9437	93.4456
13894.1025	148.1821
13894.1025	148.6634
14229.2834	37.7464
14221.9437	71.7266
14283.1081	55.6992
14410.3300	22.6535
14275.7683	92.0298
14077.5957	76.4555
14124.0807	76.9369
14131.4204	53.3206
14173.0122	56.1523
14248.8560	31.1485
14165.6724	19.8218
14146.0998	76.4555
14036.0039	105.8484
14221.9437	104.7723
14319.8067	97.2117
14104.5080	146.3131
14124.0807	44.8256
14028.6642	21.7190
13987.0724	134.5050
14016.4313	67.4790
13867.1902	50.9703
14104.5080	37.7464
14111.8478	129.3230
14444.5820	89.1981
14642.7547	101.0062
14089.8286	204.8158
14062.9163	175.0831
14077.5957	151.0137
14146.0998	107.1226
14256.1957	98.1745
14473.9410	56.6337
14549.7848	49.5545
14422.5629	133.5706
14586.4834	154.8082
14354.0588	204.3627
13994.4121	210.9605
14165.6724	158.0930
14263.5355	101.9406
14158.3327	79.7686
13925.9080	138.7525
13982.1793	112.7860
14229.2834	156.2240
13940.5875	201.0496
13987.0724	179.8120
13859.8505	155.2613
13940.5875	127.4258
14055.5765	161.4060
13913.6752	176.9803
14180.3519	155.7427
14048.2368	195.3862
14187.6916	136.8553
14180.3519	125.5286
13859.8505	85.4319
13678.8039	164.2377
14082.4889	111.3702
14070.2560	160.9246
14270.8752	149.5979
14312.4670	151.9765
14270.8752	99.1090
14324.6998	131.6733
14402.9903	239.7587
13585.8340	277.9865
13872.0834	137.8181
13818.2587	198.6993
14111.8478	175.0831
14089.8286	183.1250
13974.8395	204.3627
13982.1793	128.8417
13752.2012	204.8158
13725.2888	188.3070
14036.0039	162.3405
13987.0724	185.4753
13429.2532	153.8454
13806.0258	82.6002
13759.5409	141.1028
13825.5984	124.1127
13894.1025	118.9308
13921.0149	118.9308
13994.4121	127.4258
14062.9163	79.7686
13913.6752	56.1523
13806.0258	118.4494
14021.3245	155.7427
13732.6286	199.6338
13894.1025	156.6771
13825.5984	185.9567
13845.1710	60.8812
13879.4231	11.8081
13818.2587	83.5347
14116.7409	81.1844
14339.3793	119.4121
14263.5355	166.1349
14263.5355	171.7983
14256.1957	123.6597
14229.2834	91.0953
14116.7409	145.8318
13686.1436	220.8714
13766.8806	146.3131
13744.8614	151.0137
13960.1601	116.0991
13739.9683	98.1745
13693.4834	62.2971
13145.4504	202.9468
12621.8833	215.6894
11975.9873	216.1425
12470.1956	85.8850
12788.2504	104.2909
13294.6915	11.3267
13651.8916	33.4988
13346.0696	137.8181
13732.6286	58.9840
13771.7738	55.2179
13852.5108	50.0359
13786.4532	70.7921
14048.2368	11.8081
14146.0998	11.8081
14346.7190	58.9840
14275.7683	58.9840
13813.3656	115.1646
13879.4231	42.9567
13994.4121	13.2240
14070.2560	11.3267
14036.0039	11.3267
14070.2560	28.3168
14043.3437	43.8911
14153.4396	13.2240
14214.6039	26.4196
14290.4478	22.6535
14312.4670	19.3404
14305.1272	36.3305
14275.7683	52.8676
14077.5957	65.1287
13025.5682	161.4060
12511.7874	91.0953
12022.4723	97.6931
11848.7654	31.1485
11912.3764	19.8218
11895.2503	31.1485
12360.0997	9.4295
12820.0559	0.0000
13165.0230	11.8081
13534.4559	1.8972
13678.8039	11.3267
13967.4998	0.0000
14097.1683	11.8081
14192.5848	12.2612
14283.1081	46.2414
14410.3300	56.8602
14221.9437	46.2414
14124.0807	44.8256
14089.8286	28.3168
14070.2560	32.0830
14138.7601	16.5087
14444.5820	20.7562
14701.4725	45.3070
14116.7409	144.8973
14016.4313	57.1151
14089.8286	41.9939
13519.7765	135.4395
12739.3189	157.6399
12379.6723	169.4197
12046.9380	99.1090
12276.9161	99.1090
12470.1956	99.1090
12690.3874	99.1090
12658.5819	33.0458
12670.8148	49.5545
12795.5901	45.4202
12957.0641	49.5545
13064.7134	50.6305
13377.8751	25.3719
13840.2779	23.5879
13906.3354	59.9468
14055.5765	49.5545
14248.8560	44.8256
14153.4396	66.0632
14138.7601	63.2315
14153.4396	104.2909
14153.4396	108.0854
14199.9245	72.2080
14089.8286	78.3527
14234.1765	114.6832
14361.3985	92.0298
14234.1765	84.0161
14366.2916	98.6276
14579.1437	86.3664
14466.6012	70.3107
14036.0039	119.8652
14158.3327	95.7959
14361.3985	93.4456
14111.8478	97.6931
14082.4889	112.7860
14153.4396	115.1646
13417.0203	161.4060
12812.7162	137.8181
12122.7819	155.2613
12169.2668	86.8478
12259.7901	92.9642
12881.2203	11.3267
13184.5956	11.3267
13605.4066	80.7030
13806.0258	161.4060
13960.1601	168.4852
13779.1135	119.8652
13921.0149	119.4121
14043.3437	61.8157
13894.1025	57.5681
13632.3190	160.9246
13160.1299	171.3169
12010.2394	257.6833
12360.0997	74.5583
12580.2915	94.3800
12993.7627	12.2612
12981.5299	12.7426
13191.9354	75.9741
13358.3025	153.3924
13620.0861	56.6337
13659.2313	68.8949
14036.0039	46.2414
13786.4532	60.3998
13698.3765	64.6474
13620.0861	58.5309
12976.6367	142.0656
12242.6641	155.7427
12259.7901	111.8515
12409.0312	63.2315
12881.2203	10.8454
13172.3628	10.8454
13096.5189	60.3998
13370.5354	109.5012
13441.4861	145.3504
13693.4834	137.3367
13612.7464	176.4989
13705.7162	58.9840
13593.1738	59.4654
13906.3354	125.0755
14486.1738	105.7068
14339.3793	118.9308
14028.6642	92.5111
