104 m3	m3/s
Storage	Release
29429.8573	560.9001
30374.2355	1122.4232
29432.3039	1223.1745
30401.1478	1114.6360
29833.5423	891.8674
29378.4792	1064.2320
30244.5669	1002.8978
30467.2053	1047.2419
30014.5888	1178.9153
30039.0546	1253.6151
29368.6929	1042.9944
29760.1450	735.6434
29547.2929	567.1581
29735.6792	738.8432
29243.9175	950.5116
29307.5285	849.0240
29341.7806	680.6804
29305.0819	554.8969
29327.1011	424.5262
28969.9011	675.5833
30406.0409	1323.2179
29723.4464	1025.7778
29371.1395	710.2715
29327.1011	533.7726
29806.6299	420.0238
29217.0052	391.8485
29446.9833	426.9897
29388.2655	645.1427
29537.5066	674.3091
29454.3230	624.4997
29486.1285	572.1136
30459.8656	1518.6042
30379.1286	2402.0898
30256.7998	2286.1040
29503.2546	2055.6898
29194.9860	1779.9403
30063.5204	1347.0607
30645.8053	1458.0911
30724.0958	1353.6585
30760.7944	1260.9209
30043.9478	1174.1014
30141.8108	1163.7091
30653.1451	1269.0761
30689.8437	1371.3566
30655.5916	1339.5001
29752.8053	1361.8138
30303.2848	1097.3911
29936.2984	1093.2568
30239.6738	986.8421
28791.3011	1107.5568
30288.6053	1010.7982
30339.9834	1257.7494
29796.8436	1258.0892
29637.8162	856.4713
29696.5340	580.1556
30021.9286	953.0884
29796.8436	893.9912
29740.5724	935.7585
29791.9505	914.2943
29887.3669	1057.4077
29963.2108	870.8563
29459.2162	618.6098
29635.3696	797.6006
29720.9998	817.5357
29662.2820	970.4466
29632.9231	863.6638
29491.0217	864.3717
29493.4683	490.4761
29728.3395	336.9705
29102.0162	571.4056
29899.5998	420.0238
29099.5696	806.6903
29486.1285	818.1303
29569.3121	656.0164
29911.8327	390.2911
29865.3477	311.1455
29843.3286	705.9107
29466.5559	564.2132
29363.7998	586.5268
29791.9505	569.5367
29395.6052	515.3666
29062.8710	347.7026
29371.1395	294.7217
29628.0299	463.3486
29889.8135	545.4674
29620.6902	570.5845
29632.9231	763.5071
29914.2792	912.5104
29640.2628	492.8264
29686.7477	175.4512
29459.2162	532.7248
29552.1861	367.8925
29779.7176	329.5515
29393.1587	340.0287
28903.8435	274.8999
29916.7258	233.9821
29491.0217	226.0534
29730.7861	432.3133
29471.4491	507.0981
29263.4902	231.4902
29542.3998	158.2345
28820.6600	225.4870
29478.7888	116.5805
29630.4765	204.1078
29459.2162	310.4376
29488.5751	317.1487
29884.9203	353.1394
29373.5861	343.1152
29456.7696	153.1375
29505.7011	142.2922
29231.6847	140.0551
29427.4107	316.1859
29684.3011	402.5806
29515.4874	255.7861
29290.4025	229.0267
29283.0628	236.4457
29363.7998	158.8009
29928.9587	148.5502
29733.2327	262.0441
29835.9888	352.5447
29444.5367	279.0342
29102.0162	221.5793
29378.4792	206.7130
29505.7011	132.4945
29481.2354	153.6189
29102.0162	305.9352
29493.4683	180.4066
29767.4847	186.8912
29642.7094	260.4017
29028.6189	321.8776
29689.1943	192.0732
29635.3696	202.5787
29853.1149	572.8498
29681.8546	666.2671
29718.5532	646.1055
29779.7176	362.2291
29652.4957	322.4722
29596.2244	202.6920
29642.7094	169.1932
29889.8135	277.5051
29745.4655	412.4915
29620.6902	253.2092
29757.6984	417.1921
29904.4929	428.5188
29593.7779	193.6306
29955.8710	63.8262
29620.6902	134.0236
29383.3724	430.4161
29706.3203	472.8913
29906.9395	405.4123
29965.6573	680.1990
29897.1532	473.2595
29760.1450	22.0588
30237.2272	726.0723
30288.6053	756.0598
29826.2025	836.7628
29581.5450	981.9999
28774.1750	649.6451
28138.0654	235.1431
29013.9394	165.1722
29579.0984	496.0262
29664.7285	453.0695
29606.0107	443.9798
29028.6189	486.4551
29904.4929	206.4864
29843.3286	286.0002
29065.3175	164.0112
29405.3915	483.3969
29456.7696	448.3406
29224.3449	305.4821
29285.5093	312.3065
29752.8053	336.8572
30295.9450	313.8356
29711.2135	353.7340
29990.1231	602.5542
29471.4491	619.7991
30479.4382	784.4899
30127.1313	835.4602
29755.2518	396.3226
29696.5340	125.7834
29432.3039	213.1975
29669.6217	343.1152
29437.1970	404.3363
29831.0957	529.2985
29882.4738	410.9624
29723.4464	428.5188
29559.5258	225.5720
29838.4354	212.3763
29789.5039	488.9470
29750.3587	563.1371
29828.6491	551.1308
29855.5614	584.6296
29982.7834	722.6742
29902.0464	372.9612
29028.6189	181.7092
29853.1149	479.9705
29466.5559	538.3882
29906.9395	599.3827
29821.3094	464.0565
29860.4546	515.1401
29916.7258	496.1395
29478.7888	420.7317
30083.0930	535.6698
30102.6656	789.9268
29943.6382	631.9471
30207.8683	783.7820
29838.4354	896.0017
29676.9614	689.8833
29652.4957	587.3480
29620.6902	622.8574
30386.4683	884.9015
29417.6244	979.7629
30017.0354	680.5388
29539.9532	826.2573
29769.9313	578.3716
29561.9724	528.1092
29755.2518	492.0052
29089.7833	503.9266
29258.5970	426.5367
29642.7094	420.8733
29483.6820	496.2527
29645.1559	441.8561
29708.7669	576.0213
30376.6820	1076.2667
30210.3149	939.0716
29549.7395	853.2715
29628.0299	799.2430
29481.2354	573.1896
29630.4765	684.6730
30298.3916	872.6403
30048.8409	864.2585
29899.5998	990.9764
29669.6217	860.7189
29322.2080	581.2033
29224.3449	722.1929
29601.1176	543.2021
29615.7970	390.9990
29904.4929	909.6787
29354.0134	1122.9895
29755.2518	1134.5711
30401.1478	1117.4677
30063.5204	1194.1497
29513.0409	837.2442
29911.8327	367.4111
29767.4847	583.6952
29997.4628	863.5506
29955.8710	772.0022
29887.3669	802.8959
29471.4491	682.4360
29911.8327	503.1054
29486.1285	521.5114
29887.3669	776.4763
29566.8655	801.9614
29532.6135	715.5950
29686.7477	717.6055
29464.1093	801.5933
29593.7779	268.8968
29591.3313	203.1734
29982.7834	731.8772
29383.3724	656.6110
29838.4354	680.9069
29809.0765	783.0741
29461.6628	892.6886
29858.0080	285.4055
29446.9833	172.6195
29520.3806	520.3221
29456.7696	498.8579
29980.3368	608.2175
29150.9477	652.1087
29853.1149	438.3165
29415.1778	372.3665
29493.4683	91.5484
29385.8189	579.5609
29904.4929	815.5252
30012.1423	886.0908
29997.4628	889.8569
29456.7696	835.8284
29725.8929	520.6902
29899.5998	354.4420
29738.1258	757.4756
29689.1943	563.9866
30151.5971	630.0498
30083.0930	872.9801
30034.1615	628.0393
29520.3806	380.2669
30031.7149	173.2142
29689.1943	645.6241
29794.3970	494.4971
29799.2902	536.7175
30031.7149	668.7590
30161.3834	822.1230
29559.5258	573.6427
29884.9203	210.8472
29960.7642	523.7484
29305.0819	662.8407
29588.8847	610.2280
30188.2957	653.8926
29897.1532	750.7646
29823.7560	337.0837
29640.2628	257.3435
29960.7642	568.5740
29150.9477	574.6055
29285.5093	430.6426
29676.9614	419.0893
29574.2052	445.1691
29789.5039	290.0211
29620.6902	218.7476
29733.2327	512.1951
