104 m3	m3/s
Storage	Release
8279.2117	5.8333
8362.3952	19.7085
8247.4062	31.1485
8264.5322	16.2822
8318.3569	7.4756
8355.0555	7.4756
8362.3952	7.4756
8372.1815	7.4756
8374.6281	7.4756
8372.1815	7.4756
8372.1815	6.6545
8369.7350	5.8050
8372.1815	4.9838
8379.5213	3.7095
8391.7541	2.9450
8418.6665	2.9450
8433.3459	2.9450
8462.7048	2.9450
8487.1706	2.9450
8499.4035	2.9450
8511.6363	2.9450
8528.7624	2.2937
8548.3350	1.8406
8565.4610	1.8406
8592.3733	1.8406
8602.1596	1.8406
8624.1788	1.8406
8651.0911	1.8406
8675.5569	1.8406
8702.4692	1.8406
8797.8857	1.8406
9064.5624	13.6487
9081.6884	24.8056
9013.1843	24.8056
8998.5049	13.2240
9204.0172	4.9838
9438.8885	15.9424
9463.3542	24.4091
9470.6940	16.1406
9492.7131	10.2507
9524.5186	10.3640
9786.3022	16.6503
9940.4365	33.9802
9827.8940	38.7941
9685.9926	38.5109
9605.2556	24.4941
9566.1104	17.7263
9534.3049	17.4432
9504.9460	17.4432
9571.0036	17.4432
9624.8282	17.7263
9634.6145	17.7263
9615.0419	17.7263
9573.4501	17.7263
9551.4309	17.4432
9514.7323	17.4432
9500.0529	11.0436
9514.7323	7.0509
9551.4309	3.6246
9607.7022	1.5574
9644.4008	1.5574
9693.3323	1.5574
9747.1570	1.5574
9786.3022	1.5574
9825.4474	1.5574
9871.9323	1.5574
9896.3981	1.5574
9960.0091	1.5574
10004.0474	1.5574
10045.6392	1.5574
10074.9981	1.5574
10121.4831	1.5574
10145.9488	1.5574
10177.7543	1.5574
10197.3269	1.5574
10224.2392	1.5574
10256.0447	1.5574
10273.1707	1.5574
10295.1899	1.5574
10336.7817	1.5574
10400.3927	1.5574
10471.3434	1.5574
10534.9543	1.5857
10598.5653	1.5857
10640.1571	1.5857
10684.1954	1.5857
10725.7872	1.5857
10760.0393	1.5857
10789.3982	1.5857
10830.9900	1.6141
10879.9215	1.6141
10909.2804	1.6141
10965.5516	1.6141
10982.6776	1.6141
11026.7160	1.6141
11058.5215	1.6141
11100.1133	1.6141
11139.2585	1.6141
11151.4914	1.6141
11173.5105	1.6141
11195.5297	1.6141
11215.1023	1.6141
11229.7818	1.6141
11271.3736	1.6141
11310.5188	1.6141
11352.1106	1.6141
11383.9160	1.4158
11408.3818	1.2459
11430.4010	1.2459
11454.8667	1.4442
11476.8859	1.5008
11494.0119	1.6990
11511.1380	1.7556
11525.8174	1.7556
11535.6037	1.7556
11557.6229	2.1238
11572.3024	2.4069
11574.7489	2.4069
11582.0887	2.4069
11594.3215	2.4069
11613.8941	2.9733
11609.0010	2.7184
11660.3791	2.3503
11667.7188	2.4919
11667.7188	2.7184
11667.7188	2.7184
11701.9709	2.7184
11721.5435	1.7840
11750.9024	1.3309
11794.9407	1.7556
11797.3873	2.0671
11804.7270	2.0671
11816.9599	2.0671
11826.7462	2.0671
11826.7462	2.0671
11821.8531	2.5202
11809.6202	3.2564
11802.2805	3.5679
11775.3681	3.5679
11758.2421	3.2848
11758.2421	3.0299
11758.2421	2.8317
11755.7955	2.6335
11748.4558	2.6335
11743.5626	2.8883
11728.8832	3.2848
11711.7572	3.4263
11714.2037	3.4263
11704.4174	3.0582
11694.6311	2.8600
11672.6119	3.2281
11660.3791	3.4263
11648.1462	3.4263
11628.5736	3.4263
11594.3215	3.4263
11579.6421	3.4263
11562.5160	3.6246
11562.5160	3.7378
11542.9434	3.5396
11525.8174	3.4263
11503.7982	3.5396
11508.6914	3.9077
11491.5654	3.5679
11484.2256	3.4263
11447.5270	3.6246
