104 m3	m3/s
Storage	Release
122404.6213	50.4889
123385.6981	90.2175
124980.8654	99.8169
126823.1368	109.6428
128398.7314	101.1195
130199.4110	100.8080
131251.4385	103.4698
131540.1344	149.0882
131488.7564	149.2581
131119.3235	147.8423
130722.9782	150.3341
130067.2960	152.7694
129675.8439	117.1751
128892.9397	154.5250
128139.3944	156.9036
127312.4519	148.4652
126487.9559	152.5712
125643.8874	149.6545
124905.0216	138.8375
123941.0708	159.6504
122279.8460	217.4734
120684.6787	217.2468
119449.1581	160.9530
118514.5662	142.4621
117758.5744	145.3221
117075.9798	126.0383
116229.4647	124.5092
115434.3276	145.0389
114428.7850	151.0987
113667.9001	127.4258
113004.8781	152.2597
116204.9989	31.2901
123510.4735	4.2475
130855.0933	4.2758
134603.2470	28.1186
137225.9760	4.2475
139415.6611	4.0210
141434.0860	4.0210
142270.8148	119.2706
143278.8039	59.0973
144066.6013	57.7097
144546.1301	96.1074
145908.8727	95.3428
147220.2371	94.9464
148108.3441	95.7676
148800.7250	94.7482
149204.4099	92.3696
149784.2483	55.4161
150014.2264	92.2563
150276.0100	92.3412
150799.5772	92.6810
151587.3745	97.6648
152818.0020	54.5099
154322.6460	44.7406
156045.0352	44.4008
157843.2682	66.4880
159320.9998	62.3254
160625.0246	62.5236
161510.6849	64.8456
161938.8357	87.9238
162675.2549	45.1654
163228.1810	47.9121
163719.9427	62.8917
163967.0468	64.5624
163905.8824	78.7492
163844.7180	79.8818
163998.8523	64.5624
164277.7619	45.9582
164463.7016	44.8256
164524.8660	66.8278
164710.8058	82.9967
164245.9564	108.8216
164030.6577	109.9260
163998.8523	62.2121
164307.1208	19.4254
164649.6414	18.7741
164649.6414	61.3909
164586.0304	62.2971
164524.8660	61.6741
164431.8961	72.0664
164338.9263	63.1466
164710.8058	17.8679
165236.8195	17.6414
165611.1456	40.9745
166046.6360	40.2099
165983.0250	103.4698
165890.0552	104.3476
165765.2798	101.9406
166232.5757	17.8679
166763.4826	17.2166
167265.0306	28.4584
167734.7731	18.7741
168204.5156	19.9917
168676.7047	17.7830
169403.3377	17.8679
170352.6090	20.8129
171402.1899	17.8679
172326.9954	26.1648
173095.2202	41.6541
173802.2805	32.7060
174509.3408	25.4002
175189.4888	17.8679
175803.5793	17.6131
176420.1163	17.6414
177039.0999	16.3955
177692.3356	17.7830
178181.6507	18.1228
178575.5494	26.3064
178903.3905	19.6519
179297.2892	18.9440
179625.1303	23.4463
179625.1303	49.3279
179955.4180	17.9529
180185.3961	18.2927
180349.3167	18.4343
180613.5468	17.9529
180912.0290	18.7741
181242.3167	18.2927
181374.4318	17.5281
181773.2236	19.5669
182203.8209	18.4343
182903.5415	19.0006
183336.5854	18.2644
183772.0759	18.4909
184173.3143	18.0095
183838.1334	99.3921
184104.8101	17.9246
184439.9910	17.5281
184608.8047	18.1794
184775.1718	18.4909
184943.9856	18.4343
185078.5472	19.0856
184775.1718	83.0816
184843.6760	17.9246
185010.0431	4.7006
185247.3609	4.6723
185447.9801	4.6723
185651.0459	4.6723
185920.1692	4.7289
186223.5446	4.6723
186155.0404	53.4339
185954.4213	71.1886
186020.4788	16.4804
186257.7966	4.4174
186830.2953	4.1909
187610.7529	4.2758
188288.4543	4.5307
188051.1365	112.9276
188322.7064	4.6723
188119.6406	72.9159
188016.8844	55.8691
188188.1447	4.5873
188153.8927	51.7066
187645.0050	116.3539
187067.6131	96.0224
186629.6761	100.8080
186120.7884	98.8258
186358.1062	27.5240
186729.9857	4.3608
187136.1172	4.5024
186695.7336	96.4472
186629.6761	43.0416
186561.1720	57.1434
187270.6789	4.7572
187813.8187	21.8040
188153.8927	22.7101
188322.7064	44.2875
188288.4543	42.0788
188493.9667	20.8412
188662.7804	20.0200
188731.2845	21.9172
188528.2187	60.2016
