104 m3	m3/s
Storage	Release
8081.0390	23.3048
8196.0281	23.7295
8215.6007	40.9462
8117.7377	40.6347
8176.4555	26.7311
8176.4555	27.5240
8156.8829	25.1737
8117.7377	28.8549
8117.7377	25.2303
8137.3103	23.5313
8137.3103	22.9083
8156.8829	24.7772
8100.6116	23.2764
8081.0390	26.9010
8061.4664	23.9277
8100.6116	21.6341
8081.0390	21.1244
8081.0390	21.9739
8117.7377	2.6901
8044.3404	30.2141
7988.0692	34.7448
8176.4555	15.4327
8156.8829	19.3121
8176.4555	22.9366
8176.4555	22.6818
8156.8829	24.5790
8156.8829	23.2764
8137.3103	23.9561
8117.7377	24.5790
8100.6116	23.4463
8215.6007	23.5596
9497.6063	59.7769
9708.0118	75.0396
9475.5871	75.0396
9111.0473	75.0396
8805.2254	75.0396
8575.2473	69.8577
8514.0829	40.2949
8452.9185	31.2052
8411.3267	31.4317
8372.1815	30.3840
8313.4637	32.5927
8430.8993	24.9471
8472.4911	20.5580
8553.2281	18.4626
8658.4309	13.5355
8763.6336	16.2822
8849.2638	15.7725
8849.2638	25.0887
8871.2829	24.8056
8849.2638	31.0069
8575.2473	38.3976
8616.8391	37.8879
8514.0829	46.2131
8411.3267	46.3830
8372.1815	38.2277
8372.1815	24.9471
8372.1815	30.6671
8313.4637	28.6850
8313.4637	20.0766
8293.8911	13.5355
8372.1815	13.6487
8254.7459	29.2513
8274.3185	15.7442
8333.0363	14.9230
8372.1815	20.9828
8372.1815	19.7652
8391.7541	12.9691
8411.3267	12.9691
8430.8993	12.0630
8452.9185	11.1852
8452.9185	13.4222
8472.4911	11.4966
8472.4911	9.7410
8492.0637	10.2790
8514.0829	10.2790
8514.0829	9.4295
8533.6555	7.9570
8553.2281	8.5800
8594.8199	14.4416
8678.0035	8.5800
8763.6336	9.7410
8827.2446	11.2135
8827.2446	10.2507
8827.2446	14.0452
8763.6336	19.7085
8763.6336	14.4416
8763.6336	14.4416
8805.2254	12.9691
8893.3021	12.9691
8912.8747	8.5800
8893.3021	13.8186
8893.3021	11.6665
8912.8747	8.8915
8934.8939	10.0242
9022.9706	15.1778
9111.0473	14.7814
9111.0473	13.2523
9111.0473	12.9974
9135.5131	14.9796
9111.0473	11.7232
9111.0473	14.4416
9135.5131	15.9141
9157.5323	13.8186
9223.5898	7.1075
9292.0939	8.5800
9360.5981	10.0242
9407.0830	14.4416
9382.6172	15.9141
9429.1022	15.9141
9475.5871	14.4416
9429.1022	15.9141
9407.0830	10.0242
9453.5679	7.1075
9522.0720	7.1075
9544.0912	7.1075
9590.5762	12.9691
9639.5077	12.8558
9615.0419	12.9691
9639.5077	15.9141
9639.5077	15.9141
9615.0419	17.3865
9685.9926	15.9141
9685.9926	18.8590
9685.9926	15.9141
9708.0118	17.3865
9685.9926	17.4149
9708.0118	17.3865
9639.5077	17.3865
9661.5268	15.9141
9708.0118	17.3865
9732.4775	18.0661
9708.0118	21.0111
9756.9433	20.3315
9708.0118	21.6341
9685.9926	16.7636
9708.0118	20.3315
9708.0118	18.7458
9708.0118	16.3671
9639.5077	12.9691
9615.0419	12.9691
9590.5762	12.9691
9568.5570	10.0242
9544.0912	14.4416
9590.5762	14.4416
9615.0419	12.6859
9615.0419	15.9141
9590.5762	15.9141
9615.0419	15.9141
9639.5077	21.7757
9661.5268	14.8097
9639.5077	17.3865
9639.5077	17.3865
9639.5077	17.2166
9615.0419	16.5937
9639.5077	17.5281
9661.5268	16.9901
9685.9926	15.4327
9708.0118	14.1584
9732.4775	15.9141
9685.9926	21.3509
9685.9926	19.9351
9708.0118	19.3121
9756.9433	15.9141
9708.0118	18.8590
9685.9926	20.3315
9708.0118	17.8396
9685.9926	18.6891
9661.5268	23.7295
9661.5268	15.9141
9661.5268	20.8412
9685.9926	22.2570
9685.9926	16.9901
9708.0118	16.5937
9708.0118	19.0856
9615.0419	31.1202
9639.5077	24.8056
9615.0419	28.9398
9661.5268	21.8606
9778.9625	31.1202
9708.0118	21.9739
9708.0118	31.6299
9732.4775	25.7400
9685.9926	27.0143
9732.4775	23.7578
9756.9433	23.4463
9778.9625	28.2885
9778.9625	30.3840
9756.9433	25.7400
9732.4775	33.4422
9708.0118	33.7254
9708.0118	32.3662
9685.9926	32.3095
9685.9926	32.1396
9685.9926	31.4034
9685.9926	30.2990
9661.5268	30.7238
9661.5268	30.2990
9685.9926	30.2990
9685.9926	27.3258
9708.0118	32.1963
9708.0118	32.1963
9732.4775	32.5927
9756.9433	26.0515
9708.0118	26.9293
9685.9926	26.2780
9685.9926	23.9561
9756.9433	23.9561
9803.4282	22.4836
9803.4282	23.3331
9803.4282	26.5046
9756.9433	28.7982
9708.0118	25.5135
9708.0118	25.9099
9732.4775	23.9561
9732.4775	23.3331
9708.0118	23.3331
9708.0118	23.7862
9732.4775	23.1632
9732.4775	24.3808
9732.4775	26.3630
9732.4775	23.9561
9732.4775	25.0604
9756.9433	23.7012
9756.9433	23.7012
9756.9433	24.1826
9708.0118	25.0604
9685.9926	25.3436
9756.9433	25.1170
9756.9433	33.0174
9756.9433	28.1469
9803.4282	28.1469
9778.9625	28.6850
9778.9625	28.1753
9778.9625	29.2513
9756.9433	32.5644
9923.3104	47.0060
9849.9132	50.9137
9708.0118	48.6767
9708.0118	31.0919
9708.0118	28.2885
9756.9433	32.3662
9778.9625	29.4495
9803.4282	29.4495
9827.8940	28.1753
9803.4282	39.5870
9849.9132	28.6850
9827.8940	33.9519
9803.4282	37.8596
9732.4775	32.0830
9732.4775	30.1008
9732.4775	30.3840
9756.9433	30.8937
9778.9625	28.7982
9778.9625	33.0174
9732.4775	23.3331
9732.4775	20.3315
9708.0118	21.5491
9708.0118	21.7757
9685.9926	19.4254
9708.0118	18.2644
9708.0118	18.2644
9685.9926	20.1899
9685.9926	14.2151
9685.9926	15.0929
9661.5268	25.4852
9661.5268	24.9471
9685.9926	25.4568
9708.0118	23.1632
9732.4775	24.0127
9756.9433	15.9141
9732.4775	15.9141
9778.9625	14.4416
9898.8447	12.9691
9803.4282	30.6955
9803.4282	15.9141
9803.4282	12.9974
9756.9433	6.4846
9708.0118	7.1075
9661.5268	16.4804
9661.5268	11.3267
9661.5268	11.4966
9685.9926	12.1196
9685.9926	12.9691
9708.0118	14.4416
9708.0118	14.4416
9708.0118	15.9141
9732.4775	17.3865
9778.9625	20.3315
9756.9433	24.7206
9732.4775	27.8355
9732.4775	17.3299
9732.4775	17.2733
9708.0118	20.3315
9708.0118	20.3315
9778.9625	17.2733
9756.9433	27.5523
9778.9625	18.8590
9778.9625	19.9067
9778.9625	18.9723
9732.4775	27.2691
9685.9926	24.9471
9685.9926	25.5984
9708.0118	25.7966
9778.9625	22.8800
9708.0118	24.3242
9639.5077	24.9755
9615.0419	24.1260
9615.0419	31.1768
9568.5570	31.8281
9544.0912	35.3111
9475.5871	35.0563
9429.1022	29.9592
9407.0830	31.6016
9382.6172	32.9891
9314.1131	32.5077
9270.0748	34.7731
9201.5706	34.2917
9179.5515	31.9697
9179.5515	23.7295
9245.6090	23.7295
9179.5515	32.3662
9157.5323	33.6121
9089.0282	30.9786
9067.0090	31.2901
9089.0282	28.9115
9089.0282	30.0442
9111.0473	31.5167
9179.5515	15.8008
9089.0282	20.2182
9044.9898	19.0856
9022.9706	18.8590
9022.9706	21.7757
9111.0473	20.7846
9360.5981	19.7652
9314.1131	37.3499
9338.5789	28.7133
9179.5515	31.0919
8934.8939	37.2933
8678.0035	30.6671
8763.6336	2.6901
8871.2829	2.6901
8805.2254	7.9570
8722.0418	20.1616
8658.4309	21.7757
8533.6555	30.6671
8636.4117	30.9503
8616.8391	35.1695
8594.8199	35.9624
8575.2473	37.8879
8514.0829	38.0578
8492.0637	37.9446
8452.9185	35.3677
8411.3267	31.2618
8391.7541	30.5822
8411.3267	34.4899
8391.7541	34.7731
8391.7541	29.8460
8430.8993	29.3646
8430.8993	30.6105
8430.8993	35.8491
8430.8993	36.4721
8411.3267	37.9446
8391.7541	36.4721
8391.7541	34.4050
8411.3267	41.1444
8352.6089	42.1921
8254.7459	39.3887
8235.1733	33.4139
8235.1733	35.9341
8215.6007	36.8969
8156.8829	32.3378
8137.3103	34.8864
8100.6116	35.7075
8081.0390	34.2351
8100.6116	24.4941
8137.3103	18.5759
8137.3103	23.0499
8100.6116	31.1202
8081.0390	31.6582
8156.8829	17.4432
8156.8829	14.0452
8081.0390	16.0840
8044.3404	15.5176
8005.1952	22.7384
8061.4664	17.1034
8100.6116	16.1406
8100.6116	18.0661
8061.4664	18.6042
8117.7377	14.6681
8044.3404	13.3089
8081.0390	32.7626
8137.3103	37.9446
8156.8829	32.0830
8176.4555	30.6105
8100.6116	30.2424
7968.4966	23.2481
8005.1952	11.2135
8061.4664	11.4966
8081.0390	14.6681
8100.6116	14.6681
8117.7377	14.6681
8117.7377	17.1600
8117.7377	17.3865
8117.7377	16.5937
8100.6116	17.3299
8081.0390	20.1616
8117.7377	25.9382
8156.8829	24.3242
8156.8829	23.4747
8156.8829	14.3850
8196.0281	14.0452
8293.8911	15.8008
8678.0035	44.7123
8616.8391	47.1759
8514.0829	41.6258
8333.0363	41.0028
8313.4637	21.5491
8274.3185	22.8800
8254.7459	20.2749
8235.1733	13.1957
8235.1733	14.5265
8254.7459	13.1957
8274.3185	11.7232
8274.3185	14.5265
8235.1733	14.0452
8235.1733	14.6681
8215.6007	20.2182
8293.8911	17.1034
8293.8911	17.6131
8274.3185	21.4642
8293.8911	10.2790
8313.4637	10.2790
8313.4637	12.9691
8313.4637	14.3283
8313.4637	12.9691
8553.2281	11.4966
8849.2638	30.3557
8871.2829	37.3216
8785.6528	40.7479
8763.6336	24.8056
8636.4117	31.5167
8594.8199	29.6477
8616.8391	32.9891
8575.2473	24.1543
8553.2281	17.5564
8533.6555	16.5937
8533.6555	17.4432
8514.0829	15.8008
8533.6555	17.3865
8514.0829	16.9901
8472.4911	18.2360
8472.4911	15.9141
8514.0829	9.9109
8514.0829	14.1584
8492.0637	14.4416
8492.0637	12.9125
8533.6555	8.5800
8533.6555	8.5800
8636.4117	8.5800
8722.0418	8.5800
8741.6144	8.5800
8849.2638	8.5800
8934.8939	8.4667
9000.9514	7.4473
9044.9898	8.5800
9135.5131	8.5800
9179.5515	7.9570
9157.5323	8.5800
9201.5706	8.5800
9223.5898	8.5800
9270.0748	10.0242
9270.0748	9.4295
9314.1131	10.0242
9382.6172	8.8915
9382.6172	10.0242
9360.5981	10.0242
9407.0830	9.4295
9382.6172	9.4295
9382.6172	10.0242
9429.1022	10.0242
9497.6063	9.3162
9453.5679	10.0242
9453.5679	9.4295
9453.5679	10.0242
9453.5679	9.9392
9453.5679	10.0242
9497.6063	10.0242
9544.0912	10.0242
9522.0720	10.0242
9497.6063	10.0242
9453.5679	10.0242
9429.1022	10.0242
9453.5679	10.0242
9522.0720	10.0242
9544.0912	10.0242
9544.0912	11.4966
9522.0720	11.4966
9522.0720	11.4966
9475.5871	11.4966
9497.6063	11.4966
9544.0912	11.4966
9615.0419	11.4966
9590.5762	12.9691
9590.5762	12.9691
9615.0419	12.9691
9615.0419	12.9691
9615.0419	12.9691
9639.5077	12.9691
9661.5268	12.9691
9685.9926	12.9691
9685.9926	12.9691
9778.9625	17.3865
9732.4775	21.7757
9732.4775	15.0079
9708.0118	20.3315
9661.5268	20.5580
9639.5077	20.3315
9639.5077	11.4966
9639.5077	11.4966
9615.0419	13.1957
9590.5762	12.9691
9615.0419	12.9691
9639.5077	12.9691
9685.9926	12.9691
9708.0118	12.9691
9661.5268	14.4416
9661.5268	13.5355
9661.5268	15.8008
9661.5268	15.9141
9685.9926	15.9141
9685.9926	14.0452
9639.5077	20.5863
9639.5077	18.1511
9661.5268	17.8396
9661.5268	19.9351
9661.5268	17.3865
9661.5268	15.8008
9661.5268	19.9351
9639.5077	16.4804
9568.5570	15.5176
9544.0912	14.3283
9568.5570	13.7054
9590.5762	14.4416
9639.5077	14.4416
9898.8447	14.2434
9849.9132	26.5046
9732.4775	31.1202
9615.0419	26.6462
9590.5762	17.9529
9568.5570	17.8396
9568.5570	18.0661
9544.0912	17.2166
9522.0720	17.5281
9522.0720	17.6131
9522.0720	15.5176
9453.5679	14.0452
9453.5679	17.6131
9497.6063	15.9141
9429.1022	16.6786
9382.6172	11.4966
9382.6172	11.4966
9429.1022	12.5727
9497.6063	9.7410
9568.5570	11.4966
9615.0419	11.4966
9590.5762	14.0452
9568.5570	14.8947
9568.5570	14.0452
9639.5077	15.8008
9639.5077	14.0452
9639.5077	18.8590
9661.5268	20.3315
9568.5570	19.3121
9544.0912	14.3283
9522.0720	12.7709
9544.0912	10.8737
9568.5570	10.4489
9590.5762	12.9691
9615.0419	12.8558
9639.5077	10.2790
9590.5762	11.4966
9568.5570	11.4117
9615.0419	10.0242
9661.5268	12.9691
9661.5268	15.1778
9685.9926	13.1957
9732.4775	10.0242
9661.5268	14.4416
9615.0419	13.6204
9639.5077	12.0347
9661.5268	12.9691
9685.9926	12.8558
9732.4775	11.9214
9827.8940	16.3671
9732.4775	26.1931
9732.4775	15.6875
9756.9433	14.5549
9732.4775	14.9796
9708.0118	15.9141
9708.0118	15.2911
9708.0118	15.6592
9708.0118	13.9036
9661.5268	13.6204
9615.0419	15.0929
9590.5762	15.9141
9590.5762	13.1957
9615.0419	15.9141
9615.0419	14.0452
9708.0118	12.4028
9803.4282	25.9382
9661.5268	33.0741
9590.5762	29.1947
9590.5762	19.6236
9590.5762	20.1333
9568.5570	14.7814
9544.0912	12.9691
9544.0912	11.8364
9544.0912	12.7426
9544.0912	10.3640
9590.5762	12.9974
9615.0419	12.9691
9590.5762	12.9691
9639.5077	19.0289
9639.5077	19.9917
9639.5077	14.5549
9639.5077	15.7158
9639.5077	15.7158
9639.5077	15.7158
9590.5762	16.8768
9522.0720	10.9869
9497.6063	12.1479
9544.0912	7.4190
9497.6063	11.8364
9568.5570	11.4966
9568.5570	10.6755
9590.5762	12.9691
9568.5570	12.1479
9568.5570	12.1479
9568.5570	9.2030
9568.5570	10.0242
9590.5762	11.4966
9615.0419	11.4966
9685.9926	11.4966
9661.5268	11.8364
9639.5077	12.9691
9661.5268	12.9691
9639.5077	12.9691
9615.0419	10.0242
9639.5077	10.0242
9661.5268	24.7206
9756.9433	35.3961
9661.5268	30.1291
9685.9926	11.8364
9661.5268	13.6204
9661.5268	14.7531
9685.9926	13.6204
9615.0419	23.2481
9756.9433	10.0242
9732.4775	10.0242
9732.4775	10.0242
9661.5268	27.6656
9732.4775	91.9448
9568.5570	72.4345
9429.1022	35.3677
9475.5871	8.5800
9497.6063	8.5800
9522.0720	8.4667
9522.0720	8.5800
9497.6063	12.9691
9475.5871	12.9691
9475.5871	10.9303
9497.6063	10.8737
9522.0720	10.0242
9544.0912	10.0242
9590.5762	11.4966
9590.5762	23.2481
9615.0419	15.7442
9590.5762	16.0273
9639.5077	11.5250
9778.9625	13.1957
9756.9433	33.3856
9778.9625	20.0766
9708.0118	32.0830
9568.5570	31.6016
9453.5679	29.9309
9382.6172	23.4463
9338.5789	25.9665
9360.5981	22.7384
9453.5679	21.1244
9338.5789	17.9246
9270.0748	33.6404
9639.5077	51.9331
9661.5268	50.9420
9544.0912	69.3763
9475.5871	69.3763
9201.5706	69.3763
8871.2829	69.3763
8553.2281	69.3763
8514.0829	40.9462
8533.6555	38.0012
8594.8199	36.6986
8575.2473	38.2844
8553.2281	43.0982
8472.4911	40.0400
8472.4911	43.4097
8472.4911	41.0877
8616.8391	37.0101
9022.9706	43.6363
9044.9898	53.2640
8849.2638	66.6295
8678.0035	60.3715
8492.0637	60.9945
8430.8993	44.2592
8411.3267	41.6824
8391.7541	41.1444
8391.7541	42.3054
8352.6089	41.9939
8313.4637	38.9357
8333.0363	39.3321
8274.3185	39.6436
8274.3185	37.7747
8313.4637	37.3499
8333.0363	37.1517
8372.1815	37.2650
8372.1815	37.4632
8352.6089	37.3499
8352.6089	38.0862
8352.6089	39.9834
8313.4637	40.1533
8273.3399	39.6153
8195.5388	40.9462
8099.8777	35.9058
8137.7996	30.6105
8137.7996	30.6105
8156.8829	27.1842
8195.5388	27.5806
8234.1947	23.9561
8137.7996	36.9818
8080.7944	34.8297
8099.8777	30.4406
8061.9558	28.9681
8061.9558	29.1097
8043.1171	29.5911
8080.7944	27.0992
8118.7163	24.3525
8099.8777	29.7327
8391.7541	30.6388
9337.6002	55.4161
9201.5706	76.8519
8979.4216	75.2945
8742.1038	75.0396
8472.4911	75.0396
8332.3024	48.8749
8273.3399	47.3741
8492.7977	38.2561
8452.1846	44.4858
8332.3024	46.8927
8214.8667	44.7406
8234.1947	34.7731
8234.1947	34.0652
8195.5388	33.3006
8352.1196	41.1727
8452.1846	35.7075
8452.1846	39.8701
8332.3024	44.8822
8214.8667	46.2131
8214.8667	30.4123
8214.8667	30.8937
8195.5388	32.2246
8214.8667	30.5256
8214.8667	29.9026
8195.5388	30.8654
8176.2108	31.3751
8176.2108	30.6671
8214.8667	30.6671
8253.7673	30.1291
8312.4851	30.6671
8273.3399	36.7836
8195.5388	40.4081
8176.2108	30.8937
8195.5388	32.3945
8332.3024	25.4285
8332.3024	41.3709
8332.3024	36.9818
8312.4851	39.1056
8273.3399	38.4826
8574.7580	59.0689
8979.4216	90.0193
9521.8274	82.8268
9383.3512	80.1084
9156.7983	79.3155
8913.8534	75.0396
8636.9010	75.0396
8574.7580	53.9436
8253.7673	73.8787
8234.1947	43.4947
8292.9125	42.7868
8292.9125	43.3814
8292.9125	48.5634
8292.9125	43.5796
8253.7673	43.2965
8195.5388	45.2786
8176.2108	46.4396
8205.0804	43.2681
8214.8667	38.1711
8195.5388	42.5036
8234.1947	39.5586
8292.9125	40.9462
8234.1947	43.0133
8234.1947	46.0998
8253.7673	35.4244
8214.8667	38.8790
8214.8667	30.4406
8292.9125	24.8905
8371.9369	24.3242
8452.1846	24.8905
8472.4911	23.3048
8472.4911	20.5863
8492.7977	30.0725
8616.1051	21.3792
8678.7374	20.5580
8721.0632	31.8281
8721.0632	25.7966
8805.9594	24.8905
8892.3235	18.6608
8957.6471	23.1065
9045.4791	25.7966
9045.4791	35.2828
9045.4791	37.1517
8979.4216	38.5392
8979.4216	38.3976
8957.6471	33.8386
8957.6471	33.2157
9067.7430	31.9131
9045.4791	34.9713
9314.8471	44.7406
9498.5849	26.4196
9662.0162	24.4091
9685.5033	43.2115
9662.0162	48.3085
9732.4775	40.4648
9732.4775	42.7018
9708.9904	46.3830
9732.4775	37.3216
9708.9904	37.1517
9732.4775	36.2172
9732.4775	34.6881
9685.5033	33.7820
9685.5033	37.9729
9732.4775	32.0264
9756.2093	22.0588
9756.2093	23.0216
9708.9904	23.3331
9732.4775	31.7149
9779.6964	29.2796
9779.6964	24.4941
9732.4775	33.4422
9685.5033	25.1737
9615.0419	23.7295
9662.0162	25.5701
9708.9904	27.9770
9732.4775	27.0992
9685.5033	26.9293
9708.9904	31.1768
9756.2093	23.7295
9756.2093	22.7951
9708.9904	26.9293
9732.4775	30.0442
9732.4775	30.4972
9779.6964	31.1202
9779.6964	29.7044
9803.4282	19.3121
9803.4282	18.6891
9779.6964	22.3703
9779.6964	29.8176
9756.2093	33.9519
9708.9904	32.5077
9685.5033	32.5077
9685.5033	29.1664
9662.0162	29.2513
9708.9904	31.1768
9708.9904	28.4018
9685.5033	32.5077
9708.9904	13.1957
9662.0162	17.8396
9708.9904	17.8396
9708.9904	18.4626
9685.5033	23.1632
9685.5033	29.7044
9708.9904	29.7044
9732.4775	29.7044
9662.0162	27.2691
9803.4282	18.6891
9803.4282	18.2927
9756.2093	21.3792
9732.4775	28.4018
9803.4282	23.9561
9779.6964	23.7012
9732.4775	28.4018
9779.6964	17.8396
9850.8918	17.2166
9850.8918	24.1543
9803.4282	33.8953
9756.2093	29.7044
9756.2093	26.9293
9732.4775	28.4018
9756.2093	20.7846
9732.4775	20.0766
9708.9904	23.2481
9685.5033	25.6267
9662.0162	24.3242
9685.5033	22.8517
9732.4775	19.3121
9756.2093	19.3121
9779.6964	18.6891
9803.4282	24.1543
9827.1600	24.1543
9803.4282	29.7044
9756.2093	25.5701
9850.8918	19.5386
9898.6000	19.1422
9874.8682	19.6236
9874.8682	29.3929
9827.1600	33.8953
9756.2093	40.8329
9732.4775	24.3242
9708.9904	24.1543
9732.4775	19.8501
9732.4775	21.9456
9708.9904	26.8444
9708.9904	22.3986
9708.9904	22.5968
9708.9904	23.6729
9708.9904	23.6729
9708.9904	23.3331
9732.4775	22.9083
9732.4775	24.5224
9708.9904	22.9083
9685.5033	22.9083
9708.9904	27.8638
9756.2093	26.9293
9732.4775	30.0725
9756.2093	30.6105
9756.2093	33.0741
9756.2093	32.1679
9732.4775	24.8056
9756.2093	27.0143
9756.2093	25.5418
9779.6964	24.1543
9756.2093	25.2586
9756.2093	26.6462
9756.2093	25.5418
9756.2093	22.5968
9685.5033	25.5418
9662.0162	23.3331
9662.0162	22.5968
9662.0162	22.5968
9708.9904	22.5968
9708.9904	19.6236
9732.4775	18.9157
9756.2093	19.9067
9732.4775	21.1244
9732.4775	21.1244
9732.4775	20.3598
9779.6964	22.6818
9779.6964	20.3315
9756.2093	22.0305
9732.4775	22.4553
9708.9904	20.7562
9756.2093	15.9424
9779.6964	15.4327
9756.2093	17.7830
9779.6964	14.4416
9756.2093	13.9319
9732.4775	13.7337
9708.9904	14.7531
9756.2093	14.2717
9803.4282	13.8186
9803.4282	12.5727
9803.4282	13.8469
9827.1600	15.2061
9827.1600	18.8873
9803.4282	18.5759
9803.4282	18.6891
9803.4282	18.6891
9803.4282	15.3760
9779.6964	17.6697
9756.2093	16.3671
9732.4775	18.6042
9708.9904	19.0006
9732.4775	14.6681
9779.6964	14.2717
9779.6964	14.2717
9708.9904	21.3792
9685.5033	22.3420
9708.9904	17.8679
9708.9904	19.8501
9732.4775	18.4909
9756.2093	17.3299
9732.4775	18.3776
9779.6964	24.0410
9779.6964	31.3467
9756.2093	31.1202
9732.4775	31.7432
9685.5033	25.2303
9708.9904	21.6341
9685.5033	25.5701
9685.5033	24.5790
9685.5033	23.0216
9685.5033	22.4836
9708.9904	21.8323
9708.9904	22.7951
9732.4775	24.7206
9708.9904	25.2020
9685.5033	24.6640
9685.5033	23.9561
9662.0162	23.9561
9638.5290	27.2691
9662.0162	23.2481
9662.0162	24.7206
9708.9904	12.9691
9685.5033	12.9691
9638.5290	13.1957
9591.7994	12.5727
9568.3123	12.5727
9591.7994	11.4966
9638.5290	12.9691
9615.0419	8.5800
9591.7994	7.1075
9568.3123	6.6828
9521.8274	8.5800
9498.5849	8.5800
9545.0699	8.5800
9591.7994	8.5800
9568.3123	8.5800
9545.0699	8.5800
9545.0699	9.9392
9498.5849	9.9392
9475.5871	9.4295
9475.5871	7.8438
9452.3446	5.6351
9452.3446	7.8438
9475.5871	7.8438
9452.3446	11.4966
9406.3490	10.3640
9383.3512	11.8364
9360.5981	9.3162
9337.6002	10.0242
9314.8471	10.0242
9360.5981	11.4966
9314.8471	14.3283
9292.0939	12.1479
