104 m3	m3/s
Storage	Release
90366.7145	905.7993
88832.7116	1481.3392
91176.5310	1489.8342
91369.8105	1601.3177
92583.3120	1429.2928
93234.1011	1485.5867
92353.3339	1592.8226
91758.8160	1628.9266
90645.6241	1610.8888
89547.1117	1634.2502
89715.9254	1491.9580
91330.6653	1143.6608
92253.0243	852.7052
88480.4048	1213.7450
89696.3528	1111.8043
91421.1886	751.8123
92001.0270	1036.3966
91920.2900	1255.1442
91964.3283	538.3882
92451.1969	745.4410
93192.5093	1663.7280
91969.2215	1586.4513
91318.4324	1298.6955
91832.2133	827.2200
89715.9254	1129.8422
90197.9008	530.9409
89894.5254	493.7892
90109.8241	792.1638
90295.7638	870.7430
90604.0323	787.9163
91680.5256	809.1539
93767.4545	2239.9758
94198.0518	3204.6458
93921.5888	3183.7480
93806.5997	3370.5259
96495.3863	3872.6969
95191.3615	3694.4140
93681.8244	3414.0772
93640.2326	3181.0579
93412.7011	2986.4929
92864.6682	2746.9607
95245.1862	2373.3199
98340.1042	2667.6735
99054.5043	3128.5302
97796.9645	3267.0562
99299.1618	2720.9092
96925.9836	2369.1856
93919.1422	2355.2537
92314.1887	1989.9664
91961.8818	2009.0803
92463.4298	1799.9037
90151.4159	2142.8774
88800.9062	2274.5507
90158.7556	1841.3029
91467.6735	1319.9332
91112.9201	1722.3722
91457.8872	1419.7501
92201.6462	1593.8987
90530.6351	1654.4118
88573.3746	1794.5802
88035.1280	1846.6265
89427.2295	1099.0618
87966.6239	1310.3621
88700.5966	1056.5865
88999.0788	1222.2400
89202.1446	1241.3539
89588.7035	985.4263
89742.8377	846.3339
90454.7912	455.5614
90122.0570	822.9725
89701.2460	860.1242
89512.8596	955.6936
90288.4241	1141.5370
90254.1720	987.5500
90266.4049	595.7298
89745.2843	477.8468
89904.3117	724.2034
89872.5063	657.3190
90266.4049	729.5269
90875.6022	685.9756
92583.3120	692.3469
93060.3942	422.6289
93075.0736	416.2576
94606.6299	445.9903
95374.8547	422.6289
97028.7397	464.0565
98144.3782	784.7448
98335.2111	872.8668
99905.9126	616.9675
101403.2168	450.2379
101092.5017	636.0813
101628.3018	344.0497
102912.7539	299.4507
104960.5377	305.8219
105939.1679	320.6883
106978.9625	300.5267
105613.7733	296.2792
107666.4502	296.2792
109229.8120	292.0316
108767.4092	594.6538
108713.5846	393.9723
108344.1517	398.2198
107367.9680	412.0101
107487.8502	408.8386
108371.0640	415.2099
108185.1242	403.5151
109332.5682	406.7149
110054.3080	414.1339
111505.1273	408.8386
110756.4751	396.0961
109650.6230	405.6388
110467.7792	529.8932
112853.1904	627.5863
113682.5795	534.1407
114235.5056	405.6388
114394.5330	454.4854
115456.3468	431.1240
114629.4042	441.7428
113824.4809	442.8188
113689.9192	405.6388
116549.9661	413.0862
118074.1826	1009.8637
118093.7552	1572.6610
115989.7002	1280.6294
115030.6426	685.9756
114658.7632	985.4263
113198.1575	618.0152
115243.4947	941.9033
113826.9275	1243.4777
113543.1247	1172.3174
113401.2233	597.8536
114025.1001	729.5269
113379.2041	1045.9677
114710.1412	1147.9083
112909.4616	1426.1213
112160.8095	876.0666
112513.1164	683.8518
112500.8835	238.9376
112904.5685	252.7279
112784.6863	268.6702
112960.8397	486.3418
112909.4616	598.9013
113386.5439	449.1901
112640.3383	540.5120
113251.9822	295.2031
113203.0507	132.7494
113623.8617	297.3269
114076.4782	402.4673
114624.5111	367.4111
115297.3194	700.8420
113308.2534	983.3025
112199.9547	576.6159
110709.9902	318.5645
111488.0012	767.7547
115030.6426	704.0418
115862.4783	745.4410
112999.9849	1066.1293
112473.9712	700.8420
111510.0204	236.8138
110969.3272	230.4425
112985.3055	628.6340
112053.1602	768.8024
113636.0946	301.5744
113007.3247	422.6289
111534.4862	519.2743
110558.3025	433.2478
109430.4312	399.2675
112187.7218	488.4656
112919.2479	659.4427
113834.2672	341.8127
113450.1548	401.3913
113680.1329	444.9426
112708.8424	544.7595
110328.3244	556.4260
111903.9191	521.3981
113225.0699	607.3964
113599.3959	793.2398
114294.2234	815.5252
110320.9847	770.9261
110377.2559	433.2478
109792.5244	236.8138
111925.9383	318.5645
111478.2149	399.2675
113269.1082	631.8338
113873.4124	511.8270
112655.0178	879.2381
111475.7684	585.1110
108870.1654	592.5300
109900.1737	413.0862
110572.9820	512.9030
110832.3190	526.6933
111473.3218	565.9971
110778.4943	860.1242
107960.0393	716.7843
107182.0283	582.9872
107436.4721	487.4179
108084.8146	440.6951
109675.0888	256.9754
109704.4477	206.0051
108209.5900	770.9261
106805.2556	889.8569
105716.5295	527.7694
106489.6474	513.9508
107938.0201	565.9971
108278.0941	628.6340
108968.0284	551.1308
110262.2669	1073.5766
109797.4175	866.4955
107871.9626	1147.9083
106244.9898	1732.9910
106563.0447	967.3884
107133.0968	1129.8422
106883.5461	1138.3372
106805.2556	912.1706
105462.0857	862.2480
104422.2910	416.2576
105175.8363	486.3418
106805.2556	401.3913
107013.2146	562.7973
107734.9543	846.3339
108043.2229	1250.8967
106007.6720	1102.2333
103612.4745	921.7134
105564.8418	1033.2251
107049.9132	808.1062
107216.2803	904.7232
107933.1270	713.5845
110739.3491	947.1985
111813.3958	2008.0325
110675.7382	2010.1563
109775.3984	1832.8079
107972.2722	1827.5126
107240.7461	1729.8195
106991.1954	1582.2038
104598.4445	1889.1018
104407.6116	1080.9956
103419.1951	534.1407
105212.5350	1030.9598
107522.1023	1225.0717
108517.8585	1478.1394
108972.9216	1641.6692
108904.4175	1423.9693
106856.6337	1686.2682
105611.3268	1128.7945
102819.7841	1123.4709
103649.1732	1051.2629
103857.1321	920.6656
103509.7184	1024.7300
102670.5430	864.3717
99925.4852	954.6458
98418.3946	784.7448
99198.8523	904.7232
100517.5565	876.0666
100478.4113	920.6656
102457.6909	804.9064
103551.3102	606.2071
99803.1564	732.6984
98785.3810	371.6586
100248.4332	662.6142
99661.2550	787.9163
99563.3920	1025.7778
99808.0496	860.1242
100422.1400	848.4577
97542.5206	538.3882
97456.8905	465.1042
97804.3042	425.8287
98134.5919	395.0200
98002.4768	387.6010
100395.2277	625.4625
100299.8112	595.7298
100412.3537	505.4557
99328.5208	419.4574
98516.2577	663.6903
98560.2960	772.0022
98046.5152	987.6633
99744.4386	1093.7382
99118.1153	1062.9578
99076.5235	860.1242
98929.7289	755.0121
98332.7645	816.6012
98636.1399	865.4478
98264.2604	932.3322
98119.9124	916.4181
96096.5945	925.9609
97557.2001	591.4823
96368.1643	466.1802
98557.8495	631.8338
97965.7782	557.5021
97909.5069	731.6507
99269.8029	727.4032
99318.7345	946.1508
98437.9673	1031.1013
96903.9644	636.0813
96935.7699	543.6835
96911.3041	727.4032
97801.8576	1083.1194
99612.3235	1231.7828
97566.9864	1501.5008
97244.0384	802.7826
98019.6028	611.6722
95409.1067	1539.7285
95509.4163	1277.4579
95825.0246	664.7380
96326.5726	651.9954
98548.0632	659.4427
98029.3891	684.9279
97021.4000	569.1686
97407.9589	837.8389
96466.0274	1232.8589
97163.3014	1238.1541
95643.9780	1446.6511
95413.9999	1406.5261
95017.6546	1159.5749
94406.0107	894.1044
94320.3806	1143.6608
95413.9999	1030.0253
95137.5368	965.2647
93623.1066	1008.7877
93826.1723	952.5221
95291.6711	669.0988
95034.7807	629.7100
95130.1971	756.0598
93823.7258	1000.2926
92338.6544	1160.6509
90838.9036	1169.1460
91041.9694	955.6936
90985.6981	693.4229
91401.6160	473.5993
91076.2214	931.2845
90704.3419	1022.6063
91078.6680	928.0846
91766.1557	695.5467
92903.8134	841.0103
93711.1833	1216.9165
92023.0462	1266.8391
90848.6899	1708.3270
89804.0021	1829.1550
88531.7829	1836.2342
88634.5390	1641.7824
88118.3116	1747.8574
89260.8624	1524.8622
90315.3364	1027.9015
90643.1776	1272.1343
89564.2377	975.8835
89463.9281	1253.0205
89111.6213	1333.7235
87151.9142	1559.9184
90413.1995	1144.7085
91418.7420	858.0005
91653.6133	1361.3324
91010.1639	1786.0851
89290.2213	1686.2682
