104 m3	m3/s
Storage	Release
50213.5166	9.4578
50487.5330	19.7368
50854.5194	19.2555
51431.9112	35.7925
51950.5852	19.1422
52288.2127	19.0856
52457.0264	19.7085
52513.2976	25.3719
52535.3168	25.8533
52527.9771	25.0887
52457.0264	25.7400
52422.7743	18.9723
52505.9579	9.5428
52310.2318	38.3127
52097.3798	39.0206
51957.9250	25.6834
51957.9250	19.1705
51886.9743	19.4254
51908.9934	9.7410
51725.5003	30.4972
51118.7495	77.3333
51008.6536	19.7368
51028.2262	10.3640
50959.7221	19.1988
50820.2673	26.5046
50820.2673	9.5145
50812.9276	9.5711
50702.8317	26.6178
50551.1440	26.6178
50482.6399	18.5759
50453.2810	19.3970
52183.0099	10.1374
54088.8923	2.0671
55331.7526	0.0000
55791.7088	21.7190
56290.8103	1.4158
56711.6212	1.4158
57022.3363	3.0865
57132.4322	27.8355
57333.0514	9.2313
57496.9720	9.2596
57602.1747	19.5103
57856.6186	18.7741
57976.5008	24.5224
58013.1994	26.3347
58020.5392	25.0604
58071.9173	18.3776
58184.4597	9.1180
58216.2652	18.9157
58252.9638	18.2927
58297.0022	18.3493
58426.6707	18.7741
58695.7940	9.0331
59089.6927	3.4830
59569.2215	3.0016
60009.6051	10.3073
60540.5120	9.2030
60956.4298	8.8349
61264.6983	9.1747
61592.5395	3.0582
61856.7696	3.6812
62098.9806	2.8034
62277.5806	8.9764
62245.7751	27.3541
62199.2902	24.5790
62199.2902	23.8711
62412.1423	1.4442
62568.7231	1.7556
62725.3040	1.8406
62852.5259	11.3834
62969.9615	9.0897
62852.5259	36.0473
62732.6437	36.1323
62788.9149	9.3729
62921.0300	2.9450
63023.7862	3.0016
63087.3971	8.8915
63136.3286	9.0331
63207.2793	8.7499
63285.5698	8.6083
63341.8410	9.3446
63451.9369	2.9450
63635.4301	2.9733
63777.3314	8.8915
63919.2328	8.9198
63752.8657	44.3725
63603.6246	44.7406
63713.7205	9.8259
63872.7479	4.1343
64017.0958	2.9450
64095.3863	8.9764
64176.1233	9.1747
64232.3945	8.5800
64359.6164	8.5800
64455.0329	8.6650
64584.7014	3.1715
64736.3891	3.3414
64785.3206	13.7337
64888.0767	9.3162
64897.8630	21.2093
65010.4055	9.6560
65228.1507	3.0865
65365.1590	2.9733
65533.9727	2.9450
65582.9042	17.5848
65582.9042	20.2749
65614.7097	20.4164
65622.0494	20.4731
65656.3015	20.1899
65607.3699	21.4075
65582.9042	20.5014
65436.1097	36.3588
65379.8384	20.5863
65323.5672	14.5832
65284.4220	14.7531
65299.1014	17.2166
65284.4220	11.7798
65470.3617	8.5800
65639.1754	0.2832
65776.1837	1.8972
65859.3672	1.8972
66013.5015	2.9166
66150.5097	1.8972
66272.8385	1.8972
66387.8275	1.8972
66502.8166	1.8972
66593.3399	1.8972
66666.7372	4.9271
66715.6687	1.8972
66813.5317	1.8972
66918.7344	1.8972
67043.5098	1.8972
67141.3728	4.9271
67207.4304	4.9271
67280.8276	4.9271
67322.4194	4.9271
67371.3509	4.9271
67488.7865	4.9271
67603.7756	4.9271
67735.8907	4.9271
67826.4140	4.9271
67985.4414	4.9271
68484.5428	4.9271
69152.4579	4.9271
69986.7402	4.9271
70454.0361	4.9271
70776.9841	4.9271
71006.9622	4.9271
71170.8827	4.9271
71315.2307	4.9271
71427.7732	4.9271
71547.6554	4.9271
71616.1595	4.9271
71701.7896	4.9271
71797.2061	4.9271
71762.9540	12.7143
71762.9540	12.7143
71736.0417	12.7143
71728.7020	12.7143
71762.9540	12.7143
71780.0801	12.7143
71770.2938	12.7143
71701.7896	12.7709
71581.9074	11.2135
71599.0335	11.1852
71643.0718	11.1852
71718.9157	11.1852
71804.5458	11.1852
71804.5458	11.1852
71780.0801	11.1852
71718.9157	11.1852
71711.5759	11.1852
71728.7020	11.1852
71770.2938	11.1852
71831.4581	11.1852
71780.0801	12.2895
71537.8691	33.9519
71290.7650	33.7537
71016.7485	34.6032
70999.6225	5.6634
71068.1266	2.9733
70931.1183	22.2570
70828.3622	18.1794
70742.7320	23.2198
70752.5183	8.5800
70725.6060	13.8753
70735.3923	8.6083
70742.7320	8.7216
70605.7238	22.6535
70505.4142	22.6818
70368.4060	23.0499
70265.6498	22.6535
70028.3320	37.7747
70003.8662	8.5517
70028.3320	8.5800
69852.1785	34.4050
69852.1785	22.6818
69724.9566	25.4568
69590.3949	22.9650
69287.0196	42.6452
69052.1483	34.0085
68834.4031	34.8014
68516.3483	42.3620
68190.9537	43.1266
67850.8797	43.3814
67753.0167	22.6818
