104 m3	m3/s
Storage	Release
49807.3850	13.8186
49765.7933	55.2745
49396.3604	70.9054
49178.6151	70.5656
48897.2589	69.4046
48657.4945	56.7753
48522.9329	41.4275
48491.1274	27.6089
48481.3411	28.9398
48368.7986	27.6089
48263.5959	27.9770
48224.4507	18.6325
48275.8288	13.7054
47987.1328	48.1670
47720.4561	46.2131
47566.3218	30.7238
47485.5848	23.1349
47434.2068	23.7012
47463.5657	9.2879
47373.0424	28.8549
46844.5821	69.5179
46763.8451	23.7295
46754.0588	9.7127
46754.0588	9.3446
46734.4862	9.7410
46763.8451	9.4295
46795.6505	9.5428
46825.0095	9.7127
46825.0095	9.5711
46895.9601	9.4578
47118.5985	9.5145
48522.9329	6.2863
49628.7850	0.0000
50348.0782	0.0000
50634.3276	9.4012
51277.7770	6.5412
51752.4126	36.9252
51688.8016	74.2185
51493.0756	73.9353
51407.4455	55.8975
51546.9003	18.8307
51850.2756	36.8119
52146.3113	46.2980
52058.2346	74.3034
51818.4701	73.8503
51524.8811	73.7371
51546.9003	36.9535
51612.9578	18.6325
51471.0564	41.7107
51524.8811	41.7673
51612.9578	46.7511
51407.4455	70.5939
51170.1276	66.3181
50849.6262	73.3973
50529.1248	72.1513
50103.4207	85.4319
49555.3878	90.5006
49261.7987	54.6232
48938.8507	55.1895
48637.9219	53.9153
48855.6672	0.0000
49041.6069	0.0000
49281.3713	0.0000
49418.3795	0.0000
49618.9987	0.0000
49807.3850	0.0000
49976.1988	0.0000
50145.0125	0.0000
50335.8454	0.0000
50560.9303	0.0000
50761.5495	0.0000
50945.0427	0.0000
51106.5167	0.0000
51233.7386	0.0000
51341.3879	0.0000
51461.2701	0.0000
51612.9578	0.0000
51720.6071	0.0000
51808.6838	0.0000
51928.5660	0.0000
52209.9222	0.0000
52474.1524	0.0000
52650.3058	0.0000
52826.4593	0.0000
52990.3798	0.0000
53134.7278	0.0000
53313.3278	0.0000
53423.4237	1.0760
53513.9470	0.0000
53802.6429	0.0000
54005.7087	0.0000
54252.8128	0.0000
54355.5690	15.0079
54208.7745	31.1485
54490.1306	0.0000
54786.1663	0.0000
55104.2211	0.0000
55390.4705	0.0000
55517.6924	0.0000
55654.7006	0.0000
55794.1554	0.0000
55943.3965	0.0000
56095.0842	0.0000
56351.9746	0.0000
56503.6623	0.0000
56667.5829	0.0000
56877.9884	0.0000
57054.1418	0.0000
57183.8103	0.0000
57289.0131	0.0000
57359.9638	0.0000
57408.8953	4.8139
57526.3309	4.6156
57717.1638	0.0000
57824.8131	0.0000
57871.2981	4.6156
57942.2488	4.6156
57966.7145	4.5873
58074.3638	4.6156
58123.2953	4.6156
58218.7118	4.6156
58289.6625	4.6156
58326.3611	4.6156
58338.5940	4.7289
58363.0597	4.6156
58409.5447	4.6156
58482.9419	4.6156
58541.6598	4.7572
58566.1255	4.6156
58590.5913	4.6156
58602.8241	4.6156
58651.7557	4.6156
58771.6379	4.6156
58808.3365	4.6156
58832.8023	4.6156
58832.8023	4.6156
58832.8023	4.6156
58820.5694	4.6156
58808.3365	4.6156
58857.2680	4.6156
58903.7529	4.6156
58903.7529	4.6156
58903.7529	4.6156
58867.0543	5.2386
58857.2680	2.1804
58857.2680	2.1804
58857.2680	2.1804
58879.2872	5.2386
58867.0543	4.4741
58845.0351	4.5873
58832.8023	5.1253
58820.5694	2.2370
58820.5694	2.2370
58808.3365	5.2669
58783.8707	4.6156
58759.4050	4.6156
58663.9885	9.2030
58686.0077	9.7693
58639.5228	2.2370
58639.5228	1.6707
58578.3584	9.2030
58553.8926	9.2030
58482.9419	9.2030
58421.7776	9.2030
58350.8269	9.7127
58338.5940	2.2370
58338.5940	1.6707
58385.0789	9.2030
58458.4762	9.2030
58397.3118	9.2030
58326.3611	9.2030
58289.6625	9.7693
58265.1967	2.2370
58289.6625	1.6707
58255.4104	9.2030
58169.7803	9.2030
58135.5282	9.0048
58074.3638	9.2030
57978.9474	9.7693
57966.7145	2.2370
58003.4131	1.6707
58015.6460	9.7127
57966.7145	9.2030
57895.7638	9.2030
58037.6652	9.2030
57991.1803	9.7410
58015.6460	2.2370
58015.6460	2.2370
58049.8981	2.2370
58049.8981	2.2370
58074.3638	2.2370
58086.5967	2.2370
58086.5967	2.2370
58062.1310	2.2370
58062.1310	2.2370
58062.1310	2.6335
58062.1310	2.9166
58062.1310	2.9166
58049.8981	2.9166
58015.6460	2.9733
58003.4131	2.9166
58003.4131	2.9166
58003.4131	2.9166
58027.8789	2.4352
58027.8789	2.2370
58015.6460	2.2370
58135.5282	2.2370
58135.5282	2.2370
58135.5282	2.2370
58206.4789	2.2370
58265.1967	2.2370
58326.3611	2.2370
58338.5940	2.2370
58338.5940	2.4636
58338.5940	2.8317
58326.3611	2.8317
58301.8954	2.5768
58363.0597	2.2370
58566.1255	2.2370
58651.7557	2.2370
58676.2214	2.2370
58686.0077	2.2370
58710.4735	2.2370
58734.9392	2.2370
58734.9392	2.2370
58747.1721	2.2370
58734.9392	2.2370
58891.5201	2.5202
59268.2927	2.8600
59647.5119	2.8600
59855.4708	2.8600
60026.7311	2.8600
60100.1284	2.8600
60224.9037	2.8600
60310.5339	2.8600
60520.9394	2.8600
60743.5778	2.8600
60917.2846	2.8600
61078.7586	2.8600
61142.3696	2.8600
61191.3011	2.8600
61254.9120	2.8600
61291.6107	2.8600
61328.3093	2.8600
61367.4545	2.8600
61191.3011	16.9335
60990.6819	27.5523
60816.9750	27.6089
60618.8024	27.6089
60582.1038	9.2030
60533.1723	9.2030
60396.1640	18.1511
60286.0681	18.4060
60149.0599	18.4060
60002.2654	18.4060
59831.0051	17.8396
59782.0736	8.9198
59671.9777	8.8915
59623.0462	8.9481
59549.6489	9.2030
59488.4845	9.0897
59415.0872	9.0897
59378.3886	8.9764
59304.9913	9.1463
59231.5941	9.0048
59207.1283	9.0614
59133.7310	9.1180
59050.5475	8.9764
59145.9639	9.2030
59062.7804	9.1463
58977.1502	9.2030
58915.9858	9.0897
58940.4516	9.1463
59941.1010	9.0331
60112.3613	10.6755
60249.3695	8.9764
60298.3010	9.1463
60224.9037	9.0614
60322.7668	9.0614
60210.2243	18.1511
60075.6626	18.2077
59977.7996	18.3493
59831.0051	18.4060
59757.6078	18.1228
59769.8407	9.0331
59769.8407	9.0614
59684.2105	17.7263
59598.5804	18.3493
