104 m3	m3/s
Storage	Release
46193.7930	6.5978
46237.8313	13.6487
46274.5300	13.5355
46294.1026	22.2004
46413.9848	13.7903
46445.7902	14.5265
46489.8286	14.0452
46489.8286	6.9093
46573.0122	6.7394
46597.4779	8.1553
46577.9053	7.7022
46597.4779	6.8527
46577.9053	6.7960
46394.4122	27.5806
46230.4916	26.9860
46166.8806	13.3939
46206.0258	6.5978
46206.0258	6.7111
46218.2587	6.6261
46017.6395	31.3184
45415.7819	75.4927
45202.9299	19.8784
45185.8038	6.9093
45153.9984	7.1358
45134.4257	9.1747
45158.8915	6.6261
45153.9984	6.6261
45166.2312	6.7394
45134.4257	8.0137
45166.2312	6.1164
45202.9299	6.7111
45998.0669	3.3980
46864.1547	0.0000
47527.1766	0.0000
47818.3191	6.6545
48094.7822	0.0000
48314.9740	0.0000
48542.5055	0.0000
48535.1658	26.9293
48569.4178	6.9943
48679.5137	6.5412
48796.9493	6.9093
49281.3713	6.6545
49472.2042	6.5129
49604.3193	7.2491
49702.1823	7.0509
49780.4727	6.5978
49846.5303	6.5129
49907.6946	6.4279
50012.8974	6.4279
50091.1878	6.8244
50186.6043	6.6828
50326.0591	6.5129
50570.7166	0.0000
50905.8975	0.0000
51113.8564	7.3624
51407.4455	6.4846
51644.7633	6.2863
51845.3825	6.2863
52036.2154	0.0000
52192.7962	0.0000
52373.8428	0.0000
52457.0264	6.3147
52461.9195	16.0557
52461.9195	14.4416
52449.6866	14.3283
52496.1716	6.7111
52645.4127	0.0000
52721.2565	0.0000
52789.7606	7.8721
52843.5853	6.4279
52885.1771	6.9376
52926.7689	6.6261
52980.5935	6.8527
53049.0977	0.0000
53122.4949	0.0000
53190.9990	3.1998
53286.4155	2.8883
53293.7552	1.5857
53391.6182	1.4725
53457.6758	1.6141
53540.8593	1.6141
53677.8676	1.5574
53753.7114	3.2281
53814.8758	3.1432
53746.3717	23.7295
53787.9635	3.4547
53883.3799	3.1715
53966.5635	1.2743
54054.6402	0.0000
54164.7361	1.6141
54235.6868	1.5857
54387.3745	0.0000
54460.7717	1.4442
54585.5471	0.0000
54725.0019	1.6424
54930.5142	0.0000
55001.4649	1.5291
55111.5608	0.0000
55180.0650	1.6990
55263.2485	2.6618
55410.0431	0.0000
55520.1390	1.5574
55610.6623	0.0000
55755.0102	1.4725
55958.0760	0.0000
56109.7637	1.5857
56263.8979	0.0000
56373.9938	1.5857
56501.2158	0.0000
56591.7390	1.5857
56577.0596	12.7709
56652.9034	1.6141
56738.5336	0.0000
56799.6980	1.6424
56877.9884	0.0000
57002.7637	2.0954
57142.2185	0.0000
57156.8980	12.8275
57198.4898	6.3147
57289.0131	6.6261
57284.1199	6.8810
57367.3035	6.3713
57416.2350	6.5695
57423.5747	7.0792
57479.8460	6.2863
57506.7583	6.3430
57570.3693	7.0509
57570.3693	6.4846
57548.3501	8.0986
57555.6898	9.2879
57555.6898	8.0703
57585.0487	9.4578
57604.6213	7.7305
57626.6405	6.2580
57717.1638	7.7305
57704.9309	7.9570
57829.7063	7.8154
57927.5693	7.7871
57900.6570	7.7022
57915.3364	6.2014
58155.1008	6.2297
58436.4570	6.3147
58668.8817	6.2014
58859.7146	6.2297
58982.0434	6.2580
59060.3338	6.2863
59094.5858	7.8154
59116.6050	6.6828
59172.8763	7.8438
59194.8954	6.7111
59229.1475	6.2863
59295.2050	6.3996
59187.5557	33.6404
59123.9447	22.3986
58933.1118	35.9907
58903.7529	22.7951
58889.0735	22.2854
58925.7721	6.3713
58967.3639	6.3147
58938.0050	19.2555
58996.7228	12.7426
59045.6543	12.6576
59075.0132	6.2014
59087.2461	6.2297
59109.2653	6.4846
59158.1968	6.3996
59172.8763	9.7410
59202.2352	6.2863
59216.9146	6.2014
59216.9146	6.1164
59229.1475	6.2580
59224.2543	6.2014
59224.2543	6.2863
59158.1968	15.4610
58918.4324	35.5943
58641.9694	39.1056
58267.6433	38.5959
58111.0625	19.1422
58111.0625	3.1432
58155.1008	3.1432
58069.4707	14.3000
58054.7912	7.9570
58027.8789	14.3000
58020.5392	6.1731
57998.5200	9.4012
58013.1994	6.2014
58020.5392	6.2580
57934.9090	14.5549
57878.6378	13.9885
57810.1337	14.2434
57739.1830	13.7054
57457.8268	38.3693
57443.1473	6.1731
57430.9145	6.1164
57220.5090	34.4616
57183.8103	14.3850
57115.3062	14.3283
57032.1226	14.3850
56640.6706	48.7333
56361.7609	39.1339
56033.9198	39.3038
55666.9335	49.1014
55270.5883	49.2713
54847.3307	49.5262
54800.8457	15.1495
54771.4868	15.3760
54937.8540	6.1731
55055.2896	6.7394
54979.4458	22.7667
55001.4649	23.0499
54959.8732	29.5911
54925.6211	29.7044
54888.9225	30.2424
54979.4458	6.6545
54994.1252	6.7394
54888.9225	22.8234
54771.4868	22.9366
54490.1306	46.8927
54164.7361	46.8361
53841.7881	47.0343
53616.7032	33.3572
53396.5114	33.5555
53225.2511	26.8727
53034.4182	27.0426
52735.9360	40.7196
52491.2784	40.7196
52354.2702	26.9010
