104 m3	m3/s
Storage	Release
103159.8581	393.4909
101770.2032	789.4454
100610.5263	853.0450
102012.4141	818.7250
103737.2499	777.1842
103061.9950	988.3712
101836.2607	874.7640
102056.4525	844.0686
101939.0169	853.5264
101488.8470	786.1606
100524.8962	744.9596
100527.3428	533.0646
100578.7209	410.5943
100960.3866	557.2472
101545.1182	739.7776
101564.6908	631.9471
101388.5374	524.6829
101924.3374	416.7390
101983.0552	317.7433
102408.7594	437.6085
102724.3676	1042.1732
102413.6525	1060.6924
101929.2306	523.2670
100184.8222	472.5515
100348.7428	314.3170
101016.6579	193.2625
101760.4169	328.4754
101806.9018	468.1624
101268.6552	549.2902
100571.3811	454.2589
101682.1264	550.2813
106934.9241	1042.2865
110707.5436	1554.3683
110536.2833	1441.3275
105904.9158	1252.6807
102741.4936	1121.0073
102296.2169	904.7232
102205.6936	933.1534
102548.2142	958.4120
102599.5923	971.9758
101608.7292	755.2386
102340.2553	908.2629
102954.3457	873.6880
103771.5020	970.5599
103908.5102	1022.1249
103392.2827	1032.3756
102085.8114	866.6088
102122.5100	773.5313
101733.5045	780.3557
102570.2334	780.9503
102758.6197	911.6892
102438.1183	954.7591
102575.1265	882.0698
101674.7867	558.7763
101403.2168	320.0936
101665.0004	694.4707
101843.6004	636.1946
101782.4360	702.3711
101508.4196	686.7968
101278.4415	649.0504
101422.7894	854.3476
101185.4716	407.5361
100720.6222	591.8221
101121.8606	560.4470
101337.1593	592.8981
102124.9566	756.2863
100911.4551	761.3834
100823.3784	324.6810
101371.4113	214.1603
101530.4387	368.6004
101929.2306	362.9370
102107.8306	657.3190
101731.0579	776.3630
101892.5319	497.6686
101723.7182	311.7118
101616.0689	209.9128
100953.0469	526.6933
101569.5840	458.5064
101574.4771	442.5640
101811.7949	403.1753
101579.3703	339.6889
102328.0224	212.0365
101824.0278	212.8577
101775.0963	333.3176
102369.6142	316.4408
103747.0362	355.8578
103864.4718	588.5090
103426.5348	574.4922
103573.3293	301.2346
103404.5156	274.5601
103864.4718	330.4859
103852.2389	266.4049
103656.5129	241.5144
