104 m3	m3/s
Storage	Release
95433.5725	890.4799
98070.9809	1220.5127
97540.0740	1751.7368
95910.6547	1583.9594
97195.1069	1479.6968
98036.7289	1516.7353
96766.9562	1540.3798
97640.3836	1470.2673
97777.3919	1491.8731
95695.3561	1565.6101
93532.5833	1528.6000
92292.1695	1344.0591
91264.6077	1021.5586
92458.5366	816.0915
92940.5120	1140.8291
93999.8792	863.7771
93941.1614	928.8775
92517.2544	1115.2873
93353.9833	575.4550
95391.9807	645.5675
95086.1588	1680.5765
95528.9889	1351.5631
93444.5066	1194.5745
94609.0765	824.2468
93667.1449	886.5155
93813.9395	476.0911
93329.5175	478.4698
92595.5448	791.4559
92867.1147	879.9460
93476.3120	758.0420
94149.1203	798.3652
101530.4387	2071.3207
108615.7215	2859.8599
112219.5273	2859.5768
112116.7712	3168.3720
108432.2284	3881.1919
107977.1653	3275.3813
108104.3873	2750.3870
105687.1706	2875.6041
101542.6716	2814.6379
97608.5781	2465.6045
97677.0823	1929.7365
103110.9266	2153.6095
104975.2171	2618.6570
102746.3868	2702.2200
98102.7864	2579.6364
97028.7397	1954.0040
95509.4163	1718.6627
95729.6081	1538.7658
96316.7863	1663.1900
98871.0111	1536.7269
99409.2577	1777.4201
98058.7480	1921.2131
96828.1205	1760.2885
94699.5998	1426.6594
94459.8354	1614.4001
95230.5067	1273.8900
93914.2491	1465.3119
94342.3998	1445.3202
95108.1779	1470.5788
95250.0793	1605.9050
93977.8600	1134.9392
92913.5997	1136.9214
91812.6407	1055.0008
92377.7996	1107.4152
93026.1421	1157.5644
93444.5066	1191.3181
93432.2737	814.3925
93092.1997	490.5894
93021.2490	727.2333
92673.8353	798.9881
92637.1366	948.1047
91934.9694	1196.8965
92659.1558	961.5552
92245.6845	569.5934
91815.0872	401.5046
92118.4626	693.3380
92040.1722	679.7459
92529.4873	731.5091
94061.0436	647.2665
93946.0545	679.2928
95558.3478	422.4307
96977.3617	416.8240
98731.5563	536.2361
100891.8825	541.7013
102156.7621	644.9728
104468.7760	909.1124
104874.9075	896.0300
107098.8447	742.0146
107871.9626	524.0599
108762.5161	545.9771
110869.0176	432.2567
112701.5027	479.4608
114783.5385	439.1943
115138.2920	439.1377
117939.6210	239.5322
119860.1828	237.8898
119926.2403	561.7213
120258.9746	556.1429
122010.7227	469.9464
122637.0460	453.8907
122637.0460	471.9569
123503.1338	317.2903
122871.9173	411.3022
121969.1309	438.8545
123363.6790	444.3763
125154.5723	451.9369
124951.5065	578.1167
125817.5942	635.4867
125631.6545	294.5802
125541.1312	295.9677
125303.8134	596.8059
124298.2708	701.3800
126399.8792	437.4953
128041.5314	255.2481
127995.0465	354.2438
127437.2272	353.2527
126683.6820	350.0529
127608.4875	357.8966
128034.1917	350.6475
130436.7289	375.9628
128741.2520	810.1733
128560.2054	1031.1013
130099.1014	591.5389
130940.7234	413.9357
128180.9862	682.3511
130267.9152	392.6131
129932.7343	847.5232
127131.4053	901.6084
126642.0902	911.7741
128782.8438	444.4046
128530.8465	643.0190
127787.0876	843.2757
128376.7123	1174.6394
127552.2163	1090.7083
125753.9833	820.3390
124814.4983	731.5374
126353.3943	200.8797
127175.4437	176.6688
127787.0876	282.8570
128105.1424	498.1500
126473.2765	487.3046
127146.0848	458.8462
127327.1313	556.7942
127239.0546	337.2536
127777.3012	121.5925
127239.0546	308.3988
126517.3148	551.2724
126622.5176	405.0442
126091.6107	641.0368
125367.4243	814.1093
126556.4601	440.1004
127177.8902	181.5676
126512.4217	874.3959
124449.9585	1001.2554
124149.0297	855.3953
128709.4465	577.1823
123344.1064	966.4823
122869.4707	152.4013
125022.4572	105.5369
123960.6434	788.8507
125993.7477	655.1386
130365.7782	441.1198
128521.0602	410.3111
125927.6901	371.0073
124853.6435	372.9612
125949.7093	303.1318
126333.8217	524.3714
128704.5534	690.2231
127263.5204	423.4218
124846.3037	434.8901
123033.3913	461.1115
123265.8159	443.7816
122512.2707	393.6325
123750.2379	577.1257
124219.9804	787.2083
127694.1177	826.2289
130896.6851	764.9513
126277.5504	611.5589
122930.6351	425.4040
123620.5694	121.2811
126688.5751	410.9624
130099.1014	355.8861
130642.2412	695.8016
128180.9862	560.4187
123459.0954	867.2034
121932.4323	448.6804
121545.8733	271.3603
121484.7089	484.0765
123738.0050	564.3548
127980.3670	567.0165
128981.0164	661.6798
127735.7095	671.5057
124775.3531	496.8191
119840.6102	655.1386
120491.3993	475.2416
123994.8954	523.0405
127520.4108	317.8849
128435.4301	283.8198
127432.3341	637.4689
124056.0598	716.6994
122480.4652	511.9120
122930.6351	645.9356
127160.7642	706.6186
129854.4439	676.4611
130720.5316	741.9863
128450.1095	1241.1557
127424.9944	850.4682
126911.2135	1045.2598
124356.9886	1593.7854
124415.7064	1060.2111
126421.8984	1158.5271
129348.0028	1031.7243
128107.5889	1000.2360
125526.4517	748.9240
124520.9092	453.2961
124579.6270	660.0374
127207.2491	567.9510
129597.5535	624.2732
128090.4629	943.8854
126837.8162	1099.9113
123187.5255	896.7096
119248.5389	694.7821
116882.7003	1087.1121
119072.3854	897.9838
120721.3774	863.2391
122497.5912	767.2450
125181.4846	865.2212
127011.5231	1553.8020
125005.3312	1449.2562
124376.5612	1489.8909
126209.0463	1416.4370
126918.5532	1471.2584
125144.7860	1326.0496
120462.0404	1508.5800
115652.0728	846.5321
115586.0153	572.8781
116630.7030	1153.3168
117225.2209	1470.9186
117983.6593	1434.2766
117017.2620	1430.5388
116718.7798	1440.3930
112270.9054	1426.3196
110132.5984	872.7535
110465.3327	700.7004
109158.8613	1011.7326
110475.1190	921.5718
112361.4287	902.5995
113381.6507	680.0291
110034.7354	651.2025
108972.9216	594.8237
107864.6228	952.0973
108809.0010	977.2993
109856.1353	950.4550
110193.7628	911.0662
110626.8066	749.5469
107693.3626	444.9992
107228.5132	360.1903
105192.9623	724.6281
106536.1323	695.4618
106636.4419	903.5906
107015.6611	885.2413
107375.3077	878.3319
109405.9654	261.5344
103614.9211	597.7686
103556.2033	507.3529
104708.5404	413.5675
105085.3130	490.2779
106242.5433	666.2954
106849.2940	673.8560
107835.2639	493.5626
107700.7023	251.0288
105454.7459	607.9344
107054.8063	753.4830
107023.0009	959.2898
106976.5159	1201.8236
106328.1734	1082.8362
106633.9953	763.9319
106851.7406	643.3588
107676.2365	747.2533
108106.8338	825.5777
105533.0363	862.6161
105188.0692	907.1302
104970.3240	758.3818
104155.6143	685.6358
103923.1896	333.0061
103154.9649	792.5036
107074.3789	464.3963
106357.5323	715.0853
105557.5021	854.7440
105320.1843	869.1573
103825.3266	866.2123
103162.3046	455.2216
103891.3842	542.4092
104730.5596	632.5417
105863.3240	927.8015
105244.3404	1192.5923
104892.0336	1114.9192
103886.4910	691.8655
102597.1457	670.1748
99096.0961	1164.4454
99313.8413	1090.1136
98675.2851	712.4519
97681.9754	664.9928
98848.9919	642.6792
101298.0141	479.1210
102242.3922	360.7283
102521.3018	710.7528
102795.3183	952.7203
101430.1292	1157.9042
100874.7565	1201.7670
99426.3838	1162.4915
97645.2768	1111.7194
97579.2192	769.7935
97300.3096	1051.0647
96715.5781	980.5841
96960.2356	908.4894
97077.6712	816.2614
97043.4192	788.2277
97160.8548	731.4808
97371.2603	508.6555
97143.7288	647.6063
98763.3618	738.3901
97200.0000	969.4272
95612.1725	891.1028
96311.8931	952.7203
96576.1233	642.7075
96497.8328	499.4242
95621.9588	844.8898
94557.6984	915.5120
93914.2491	759.0331
95120.4108	664.9928
96377.9506	847.2117
97094.7973	1182.7947
98354.7837	1087.0554
98557.8495	1517.7830
98934.6221	1608.2270
97669.7425	1650.1642
96524.7452	1623.2632
95932.6739	1655.7427
95925.3342	1509.9392
94105.0820	1053.6982
93823.7258	1205.4198
93241.4408	815.1004
93801.7066	1127.0954
95565.6876	1159.2067
97525.3946	1234.8977
98756.0221	1373.5653
99827.6222	881.3335
101023.9976	1413.5487
97295.4165	1542.9850
95763.8602	1423.7144
95213.3807	1406.6960
93437.1668	1365.3817
91692.7585	980.2726
91783.2818	719.3895
91612.0215	676.4611
91915.3968	597.7969
93346.6435	1122.5081
92563.7394	1211.3381
92169.8407	910.1318
92734.9996	540.4270
93138.6846	443.7533
93544.8162	524.7112
94004.7724	565.6573
95237.8464	544.0233
95829.9177	542.0694
96177.3314	779.6761
95524.0958	642.6792
96177.3314	554.8403
94750.9779	1047.4685
94579.7176	974.3827
94731.4053	833.4497
93309.9449	775.4285
93559.4956	596.8059
94190.7121	546.9965
94484.3012	423.4218
93336.8572	590.4346
93226.7613	706.6469
93845.7449	695.7732
93946.0545	585.9888
94484.3012	588.6223
94484.3012	243.8364
93999.8792	177.9431
94486.7477	524.3714
94841.5012	550.2813
95027.4409	545.3825
95453.1451	513.3561
96106.3808	461.7628
94565.0382	589.2736
93451.8463	349.6847
96458.6876	947.4817
95577.9204	1397.1532
93620.6600	1325.4266
93928.9285	795.3919
94836.6080	611.5589
94719.1724	393.6042
94543.0190	381.1448
94954.0437	526.0137
95308.7971	428.6887
95406.6601	415.9178
96994.4877	682.3794
98276.4933	986.5023
96781.6356	795.1371
96160.2054	702.6542
97322.3288	786.8685
97728.4603	1468.3134
96304.5534	1513.8186
94523.4464	1305.0385
96500.2794	857.6606
98031.8357	1044.5235
98601.8878	1079.5515
102183.6744	1027.1370
110365.0231	1879.2758
117066.1935	2418.0605
118967.1827	2497.3760
116315.0948	2596.4000
109758.2723	2702.5598
106024.7980	2397.9555
100715.7291	2208.3459
98455.0933	1488.8998
95712.4821	1418.8156
95196.2547	1331.3165
94687.3669	1249.0278
93889.7833	1319.4801
93581.5148	707.2699
93547.2627	546.0338
91976.5612	1098.9202
93601.0874	1175.6305
92879.3476	1177.2729
92390.0325	1139.2151
92730.1065	534.1973
93092.1997	365.1174
93192.5093	756.3996
93968.0737	771.3226
96923.5370	788.5392
96348.5917	1719.0025
96162.6520	1853.7057
96138.1862	1340.1514
98012.2631	730.8295
97794.5179	1171.9776
97978.0111	1109.7372
101789.7758	1145.8129
104236.3513	1370.9601
105501.2309	1682.6720
105545.2692	1620.3466
103891.3842	1274.2581
104794.1705	670.2314
107903.7681	545.6656
107509.8694	613.5411
107823.0311	591.5956
109738.6997	586.6401
109660.4093	349.3449
109609.0312	286.1134
109958.8915	352.3182
110389.4888	311.9950
110328.3244	347.3911
110565.6423	369.6764
110497.1381	357.5568
110949.7546	254.0021
111118.5683	221.2112
111106.3355	342.4639
110460.4395	369.3366
109702.0011	429.7931
109577.2257	335.2715
110433.5272	353.6208
110555.8560	224.4960
110472.6724	136.9969
110528.9436	292.6546
108769.8558	343.4833
109768.0586	320.8582
110756.4751	244.4877
111015.8122	249.6980
111047.6176	233.6706
109824.3299	240.5516
110259.8203	265.1590
110484.9053	222.5138
110298.9655	271.7001
109134.3956	262.4972
108889.7380	214.6983
108427.3352	152.6844
108366.1708	171.0621
108593.7024	222.1740
108366.1708	271.3887
107854.8365	253.0110
107668.8968	230.3575
107235.8529	268.0756
107235.8529	171.7417
108720.9243	193.0359
108720.9243	244.4877
108720.9243	232.0282
107512.3160	243.8080
107908.6612	221.5510
109141.7353	220.8714
109430.4312	186.1266
109753.3792	168.1171
109687.3216	217.3035
109699.5545	228.4037
110313.6450	235.9643
110391.9354	220.8714
110778.4943	212.0649
110565.6423	214.3302
109846.3490	239.2774
110269.6066	197.0286
110673.2916	198.6427
110056.7545	249.1033
110130.1518	260.2318
109831.6696	222.8536
109890.3874	200.5965
111610.3300	219.2573
113985.9549	211.1021
116753.0318	208.4120
123503.1338	247.0928
128198.1122	746.9135
125213.2901	1044.4952
124973.5257	820.7072
125249.9887	222.7969
125709.9449	186.1549
127699.0108	238.2296
127491.0519	194.3385
129932.7343	356.5657
128949.2109	509.9581
128088.0163	407.3662
129680.7370	217.6150
130015.9179	517.8302
129039.7342	606.2637
126820.6902	534.1973
127175.4437	423.4218
128592.0109	495.2050
129597.5535	540.1155
129396.9343	469.2951
128347.3534	434.2955
126793.7779	452.2484
124880.5558	409.9996
122387.4953	275.2964
120897.5308	623.3671
124506.2297	251.6801
127065.3478	198.6144
127723.4766	391.9901
127310.0053	599.7508
126064.6984	513.8941
123833.4215	378.5396
121932.4323	286.1134
124631.0051	180.2367
131427.5920	162.2272
128550.4191	787.5765
127305.1122	565.3458
126443.9176	307.0396
124012.0215	510.2696
122245.5939	497.1872
124535.5886	578.1451
129739.4548	479.1777
129514.3699	554.2173
126938.1258	692.5168
124327.6297	671.8738
123424.8433	475.1850
121467.5829	527.6561
125526.4517	513.8941
130165.1590	361.8327
129680.7370	523.0688
129316.1973	438.2032
126265.3176	669.5802
123581.4242	822.9725
121599.6980	860.3224
124677.4900	448.6521
129054.4137	192.3847
128286.1890	486.3702
126632.3039	507.5795
124513.5695	581.7413
122245.5939	718.0869
121846.8021	701.6915
126642.0902	240.2118
131180.4878	349.7131
128521.0602	467.6527
126752.1861	440.8367
