1985-01-01
     obs	     sim
   12088	   12230
   11912	   12180
   11821	   11880
   11753	   11500
   12012	   11260
   12032	   11140
   12020	   10930
   12032	   10700
   11912	   10450
   11755	   10250
   11790	   10110
   11978	   10100
   12110	   10090
   12046	   10160
   11985	   10050
   12105	    9939
   11966	    9666
   11878	    9495
   11907	    9472
   11719	    9475
   11819	    9566
   11755	    9012
   11765	    8979
   11726	    8893
   11662	    8813
   11814	    8757
   11846	    8714
   11785	    8705
   11870	   10730
   11902	   14270
   11905	   15330
   12717	   14390
   13010	   13370
   12922	   12520
   12749	   12070
   12555	   11470
   12661	   11220
   12761	   10990
   12883	   10930
   13160	   10850
   13309	   11210
   13150	   10970
   12991	   10290
   12780	    9820
   13050	    9836
   13265	    9903
   13468	   10430
   13522	   10640
   13605	   10560
   13764	   10840
   13962	   10780
   14175	   10790
   14322	   10680
   14447	   10570
   14574	   10750
   14767	   10730
   14955	   10570
   14946	   10270
   14853	    9912
   14960	    9804
   15061	    9690
   15134	    9577
   15156	    9410
   15161	    9368
   15330	    9449
   15420	    9536
   15557	    9387
   15604	    9260
   15599	    9102
   15670	    9040
   15697	    8975
   15792	    8964
   15907	    8959
   16056	    8852
   16051	    8691
   16005	    8524
   16044	    8417
   16110	    8355
   16120	    8484
   16135	    8492
   16135	    8551
   16162	    8463
   16140	    8335
   16213	    8252
   16193	    8136
   16083	    8054
   16303	    8084
   16379	    8015
   16392	    7996
   16382	    7871
   16406	    7796
   16445	    7678
   16387	    7495
   16450	    7975
   16406	    7856
   16379	    7742
   16321	    7627
   16367	    7580
   16450	    7474
   16489	    7401
   16538	    7286
   16622	    7250
   16577	    7420
   16538	    7510
   16597	    7523
   16759	    7554
   16913	    7592
   17018	    7571
   17033	    7547
   17243	    7570
   17294	    7553
   17324	    7601
   17510	    7619
   17490	    7471
   17515	    7410
   17534	    7655
   17585	    7693
   17669	    7566
   17938	    7479
   17979	    7394
   18043	    7557
   18094	    7425
   18129	    7302
   18197	    7216
   18192	    7114
   18185	    6982
   18151	    6853
   18168	    6817
   18197	    6691
   18129	    6621
   18126	    6730
   18121	    6594
   18075	    6720
   18134	    6959
   18175	    7220
   18263	    7465
   18425	    7463
   18491	    7415
   18552	    7341
   18586	    7289
   18640	    8144
   18642	    8723
   18726	    8744
   18934	    8695
   19242	    8754
   19323	    8672
   19391	    8595
   19508	    8595
   19545	    8491
   19587	    8458
   19587	    8431
   19582	    8761
   19619	    8724
   19085	    8138
   19139	    8348
   19242	    8685
   19440	    8963
   19746	    9162
   19885	    9134
   19949	    9585
   20098	    9852
   20311	    9911
   20558	   10030
   20786	   10030
   20832	   10100
   20852	   10100
   20945	   10290
   21042	   10300
   21131	   10270
   21189	   10250
   21280	   10260
   21194	   10130
   21214	   10090
   21165	    9980
   21140	    9915
   21018	    9843
   21175	    9974
   21463	   10220
   21383	   10190
   21409	   10140
   21373	   10200
   21353	   10290
   21615	   10520
   21683	   10610
   21683	   10530
   21554	   10420
   21458	   10200
   21358	   10060
   21392	   10100
   21493	   10290
   21573	   10310
   21659	   10330
   21598	   10420
   21620	   10220
   21529	   10760
   21424	   10800
   21806	   10830
   21933	   10900
   22004	   10930
   22019	   11070
   22009	   11000
   21984	   10970
   22041	   11030
   21994	   11340
   22041	   11630
   21948	   13010
   22036	   13390
   22422	   13420
   22635	   13300
   22537	   13290
   22501	   13360
   22474	   13730
   22542	   13340
   22437	   12900
   22408	   12590
   22381	   12430
   22178	   12310
   22163	   12320
   22077	   12230
   22060	   12090
   21923	   11910
   21909	   11630
   21857	   11540
   21825	   11510
   21816	   11410
   21821	   11570
   21796	   13250
   22009	   15150
   22190	   15160
   22371	   15110
   22329	   15170
   22214	   15010
   22173	   14850
   22121	   14720
   21801	   14630
   21933	   14580
   22153	   14990
   22082	   15200
   22112	   15160
   22163	   15200
   22134	   15110
   22121	   15050
   22139	   14990
   22112	   14930
   21948	   14590
   21843	   14500
   21867	   14550
   21923	   14590
   21830	   14510
   21862	   14360
   21764	   14310
   21544	   14120
   21409	   13920
   21280	   13740
   21160	   13610
   21194	   13530
   21101	   13380
   20964	   13260
   20998	   13350
   20737	   13120
   20732	   13100
   20732	   13080
   20602	   12810
   20627	   12750
   20512	   12640
   20472	   12660
   20353	   12580
   20353	   12730
   20216	   12640
   20353	   12630
   20306	   12450
   20142	   12330
   20142	   12640
   20098	   12920
   20211	   12810
   19942	   12570
   19839	   12400
   19895	   12360
   19797	   12250
   19386	   12030
   19462	   11910
   19291	   11780
   19305	   11730
   19349	   11800
   19413	   11800
   19323	   11680
   19200	   11510
   18912	   11240
   18841	   11170
   18779	   10980
   18965	   11180
   18968	   11710
   18765	   11700
   18912	   11850
   19009	   11720
   18845	   11540
   18735	   11370
   18635	   11170
