1985-01-01
     obs	     sim
   63261	   63200
   63921	   63530
   65029	   63390
   64807	   62420
   65944	   61980
   66434	   61430
   66586	   60790
   66338	   60060
   66001	   59330
   65607	   58570
   65103	   57760
   64601	   56780
   64472	   56440
   62845	   54770
   60765	   52580
   60163	   51700
   60058	   51460
   59936	   51160
   59882	   50830
   58595	   49610
   56283	   47480
   56082	   46770
   56099	   46380
   55434	   45890
   54972	   45340
   54906	   44980
   54658	   44600
   54137	   44090
   53827	   45700
   53827	   53560
   53942	   55770
   57704	   58010
   64677	   59700
   69482	   61600
   71728	   63180
   73517	   63820
   74904	   64350
   75687	   64450
   75709	   64030
   76289	   63920
   76979	   66060
   76979	   66630
   77881	   67210
   79154	   67630
   79861	   67550
   80054	   67390
   80140	   67450
   80333	   67620
   80377	   67520
   80702	   67990
   81113	   68090
   81568	   67950
   82334	   68040
   83061	   68160
   84034	   68600
   84524	   68240
   85062	   67950
   85669	   67740
   86391	   67580
   85916	   66400
   86437	   66340
   86755	   66280
   86755	   65960
   86528	   65400
   86119	   64490
   85669	   63930
   85713	   63610
   85600	   63250
   85713	   63220
   85375	   62750
   84949	   61920
   84079	   60860
   83479	   59920
   83567	   59550
   84034	   59790
   84392	   60000
   84145	   59530
   83878	   59050
   83746	   58720
   83479	   58300
   83171	   58110
   83658	   58580
   84145	   58940
   84191	   58770
   84301	   58560
   84012	   58100
   83990	   57520
   84367	   57580
   84859	   57890
   85444	   58150
   85578	   58080
   85984	   58290
   86481	   58580
   86640	   59090
   87164	   59700
   88103	   60220
   88747	   60650
   88840	   60470
   89348	   60630
   89742	   60690
   89791	   60360
   90303	   60580
   90865	   60970
   91382	   61460
   91900	   61810
   91971	   61650
   92468	   61890
   92945	   62110
   93398	   62320
   93853	   62520
   94237	   62710
   93564	   61870
   93373	   61340
   93733	   61540
   94117	   61920
   94596	   62390
   95127	   62810
   95563	   63090
   95807	   63340
   96343	   63620
   96365	   63760
   96830	   64140
   97222	   64420
   97197	   64200
   97591	   64430
   96610	   63410
   97050	   63620
   97393	   63810
   97762	   63990
   97640	   63810
   97887	   64000
   98183	   64170
   98504	   64360
   98455	   64250
   98677	   64660
   98702	   64760
   98778	   64770
   99025	   65020
   99372	   65340
   99247	   65200
   98924	   65700
   98504	   66180
   98577	   66850
   98702	   66950
   99423	   67310
  100270	   67600
  100872	   67860
   99896	   66680
  100294	   66900
   99871	   66260
   99348	   65870
   99671	   66590
   99497	   66190
   98256	   65620
   98256	   65190
   97518	   64970
   96561	   64220
   96732	   64240
   97050	   64590
   97371	   65060
   96659	   64740
   96610	   64790
   96561	   64490
   97099	   64810
   97124	   64700
   97469	   65200
   97346	   65760
   97075	   65790
   97444	   66220
   97738	   66560
   97566	   66680
   96903	   65700
   97197	   66130
   97493	   66590
   96414	   65240
   94621	   63650
   94043	   62760
   93804	   62390
   93924	   62730
   94163	   62900
   94379	   63380
   94068	   62900
   93875	   63010
   93327	   62720
   93398	   62780
   93062	   62660
   93136	   62700
   93493	   63070
   93278	   62510
   92659	   62300
   92042	   61750
   91499	   61220
   90046	   60170
   90467	   60260
   90865	   60760
   89835	   59890
   90046	   59940
   90420	   60310
   90349	   60220
   88933	   58940
   88563	   58620
   88563	   58600
   87506	   57380
   86459	   56420
   86209	   56140
   86165	   57380
   85916	   57840
   86209	   58510
   86868	   59180
