1985-01-01
     obs	     sim
   52410	   50560
   53364	   49310
   51634	   47780
   52640	   47190
   53944	   47230
   54455	   46780
   54688	   46390
   54093	   45820
   53183	   44970
   50693	   42260
   51326	   42240
   51823	   42290
   52393	   42320
   51020	   40610
   50998	   41250
   50967	   41540
   50893	   41400
   50957	   41210
   51488	   41380
   51656	   41210
   51321	   39760
   53068	   41540
   53203	   41970
   53105	   41390
   51757	   41120
   52023	   41200
   51923	   40630
   51395	   41880
   51823	   46270
   52124	   56140
   52985	   62820
   58076	   62260
   60281	   60000
   58744	   58290
   56574	   54350
   55038	   51700
   54113	   49860
   54088	   48320
   53465	   46770
   52620	   47360
   51360	   45820
   52026	   45370
   52613	   44100
   52581	   42850
   52792	   42010
   54008	   43910
   53570	   43180
   52946	   41880
   52620	   41120
   53372	   40980
   53822	   40170
   52711	   38680
   52053	   37390
   51957	   37740
   51238	   38400
   51314	   37880
   52124	   37670
   51911	   37380
   51791	   36830
   51495	   36150
   51517	   36000
   51309	   35640
   50773	   34800
   51162	   34640
   50710	   34210
   50815	   34200
   51265	   34160
   51285	   34530
   50874	   34770
   51079	   34640
   50854	   34070
   51838	   34260
   52819	   34660
   51999	   33990
   51644	   33910
   51228	   33950
   51590	   33610
   52461	   35250
   52498	   35880
   52200	   36020
   51957	   36200
   52261	   36660
   52549	   36900
   53031	   36780
   53455	   37170
   53650	   37070
   53707	   36690
   54037	   36780
   53739	   37120
   52640	   35750
   52442	   35500
   53398	   35980
   53939	   36630
   53416	   39360
   53973	   39790
   54536	   39930
   55094	   39860
   56192	   40370
   56535	   40430
   57147	   40640
   57340	   40720
   59094	   41800
   59094	   44030
   59427	   44600
   61015	   45040
   62441	   45590
   64467	   46750
   66011	   47980
   67828	   49600
   68949	   50370
   69446	   50730
   69813	   51520
   70356	   51650
   70314	   51870
   70417	   52120
   70512	   52500
   70539	   52500
   70537	   52360
   70373	   53030
   70314	   54550
   70647	   56150
   72166	   56910
   73189	   57160
   73429	   57480
   74569	   58030
   74302	   58870
   74838	   60310
   76560	   61730
   77128	   62700
   77600	   64220
   77796	   67260
   79364	   68220
   79227	   67000
   77292	   63970
   77140	   62670
   76516	   62560
   76342	   62280
   76169	   62370
   75452	   62420
   76271	   62550
   76717	   63230
   77720	   63710
   79330	   64600
   78684	   64120
   77842	   63820
   77519	   63930
   77196	   63990
   78486	   64340
   78716	   64190
   79244	   64630
   76560	   63540
   76560	   63200
   75804	   63810
   75638	   62540
   75496	   62360
   75146	   63740
   73874	   66010
   76981	   68840
   77551	   70760
   77157	   71620
   77321	   75230
   77634	   76210
   74926	   74620
   74393	   73390
   74889	   74690
   75540	   75860
   76203	   77490
   76783	   77920
   75892	   77040
   75119	   77040
   74393	   76380
   74635	   76350
   76472	   77590
   77500	   78890
   76917	   78510
   75672	   77540
   74241	   76040
   73693	   75490
   75232	   77450
   76959	   79860
   77421	   80170
   75804	   79310
   74845	   77880
   74079	   76990
   73211	   76320
   74970	   77220
   76186	   78350
   76382	   79160
   75628	   78270
   74706	   77060
   74241	   76210
   72805	   74760
   71579	   73450
   74505	   75870
   76159	   78200
   75716	   77060
   74662	   75700
   72555	   73150
   71811	   72730
   73781	   72620
   74192	   72410
   74985	   72870
   74958	   72460
   72876	   70410
   72961	   69320
   71525	   68750
   70302	   67980
   68805	   67120
   66798	   65540
   66196	   64300
   64053	   62590
   62338	   63740
   61969	   66610
   62510	   68190
   62404	   68220
   62262	   67960
   62886	   68710
   64386	   72380
   66852	   77880
   69996	   85840
   72054	   87730
   73622	   86430
   73876	   85810
   70062	   82310
   69311	   81820
   69216	   84360
   67454	   83680
   67801	   85810
   70940	   86530
   71080	   84470
   70642	   83940
   69306	   81920
   68829	   81320
   68310	   85280
   67532	   84600
   69901	   86820
   71151	   88290
   71276	   83480
   71119	   81810
   70498	   81300
   69282	   80400
   67987	   78680
   68995	   79020
   71305	   80750
   70182	   80010
   69551	   77880
   68369	   78490
   67297	   79990
   66957	   83490
   69389	   85700
   71026	   86160
   69663	   84730
   68964	   84600
   68680	   84540
   67601	   84750
   66676	   84520
   68885	   86290
   70564	   87760
   70691	   86580
   70020	   85980
   68736	   84300
   66918	   84190
   66718	   83980
   68416	   85640
   70532	   87730
   70480	   87420
   70480	   87230
   70319	   86890
   69362	   86100
   69367	   87170
   69010	   87530
   70150	   89610
   70356	   86510
   71946	   85300
   73301	   84320
   73972	   84740
   71995	   83840
   70537	   82810
   69602	   81430
   68472	   83020
   69734	   84000
   69137	   82780
   67929	   81980
   66837	   80550
   66957	   80020
   66316	   80120
   66957	   79640
   66957	   79240
   66236	   78280
   65964	   78000
   65820	   77510
   65051	   78460
   64633	   80310
   64880	   84560
   64716	   87010
   63769	   85400
   63650	   84750
   62967	   84020
   62901	   84410
   62940	   84310
   62595	   83510
   61986	   83040
   61313	   82740
   60506	   82080
   59537	   81450
   59500	   84730
   59649	   89320
   59909	   87140
   59642	   86000
   58783	   84500
   58813	   84240
   58360	   83880
   58140	   83620
   58067	   83450
   58509	   82990
   58201	   82440
   57291	   81570
   56941	   81050
   56241	   80460
   55422	   79670
   55632	   79600
   55211	   78880
   54651	   78270
   54194	   77880
   54671	   77640
   54624	   77590
   54402	   77150
   54798	   77310
   54411	   77290
   53455	   78430
   52493	   83260
   52427	   85400
   54925	   85880
   52650	   82080
   52523	   81100
   52518	   80690
   53795	   80620
   54685	   81290
   54815	   81380
   54098	   80740
   52946	   79790
   52968	   79770
   53876	   80630
   53491	   81960
   52518	   82130
   52613	   82230
   52273	   81330
   52295	   81680
   53866	   82990
   54377	   82460
   54013	   82090
   54656	   83290
   54115	   83160
   54715	   83260
   53858	   83270
   53895	   83210
   52792	   82900
   52870	   83440
   52082	   82990
   51028	   82410
   51517	   82890
   51363	   83230
   51395	   84290
   51287	   88100
   51757	   87350
   52124	   87740
   51975	   87210
   52586	   85790
   52833	   86700
   52567	   86940
   52258	   85080
   52393	   85870
   52131	   85460
   51791	   85750
   51360	   85400
   51015	   85480
   50812	   85730
   51275	   86800
   51923	   86260
   51957	   87210
   52361	   87340
   52192	   87490
   52092	   88470
   51757	   88690
   52664	   87500
   52765	   87720
   53036	   87650
   53002	   88120
   52598	   87970
   53061	   88610
   53105	   89350
   52273	   82820
   51679	   81030
   51708	   81270
   52058	   81630
   52934	   81880
   52258	   81900
   52192	   81350
   51857	   80870
   51691	   82510
   53171	   84570
   53259	   86900
   52461	   85050
   52645	   85430
   53604	   86400
   53283	   86420
   53139	   82860
   52425	   81460
   51860	   82010
   51564	   84420
   53002	   87630
   53164	   88440
   55892	   86720
   60036	   82660
   61095	   80800
   61032	   79970
   60657	   78920
   58257	   76520
   56413	   74510
   55388	   73010
   53878	   71580
   53036	   70220
   51957	   69350
   51226	   68540
   51823	   68990
   52158	   69440
   52278	   69720
   51326	   68810
   50453	   68010
   51461	   68360
   51397	   69060
   51757	   70020
   52058	   70670
   50700	   69600
   50763	   71370
   51336	   75280
   51162	   78280
   51128	   78510
   52058	   79110
   52664	   79660
   51992	   85180
   51282	   86410
   53719	   86570
   53457	   82700
   50908	   80810
   52046	   80950
   51277	   80910
   51857	   81240
   51175	   81450
   50967	   81350
   50511	   81570
   50296	   81450
   50475	   82140
   51025	   82500
   50793	   82800
   50991	   83110
   52461	   83590
   53105	   84090
   52496	   84330
   53024	   84900
   52731	   85650
   53105	   89110
   53423	   89570
   54529	   89600
   55069	   89640
   55916	   89790
   56073	   89700
   56699	   89660
   56305	   89660
   56447	   89690
   56699	   89750
   56550	   89740
   56662	   89750
   56755	   89800
   57609	   89770
   58054	   89650
   58911	   89710
   58421	   89750
   58137	   89830
   58292	   89740
   58580	   89770
   58764	   89730
   58363	   89720
   58260	   89790
   58690	   89840
   58874	   89630
   59094	   89710
   58891	   89860
   59167	   89600
   58947	   89750
   59464	   89650
   58764	   89610
   59317	   89490
   59500	   89320
   59544	   89460
   60095	   89470
   60058	   89530
   59904	   89380
   60369	   89410
   60489	   89390
   60675	   89550
   60675	   89450
   61064	   89390
   61076	   89470
   61597	   89310
   61585	   89530
   61744	   89390
   61754	   89430
   61793	   89470
   62441	   89320
   63366	   89460
   63818	   89480
   64988	   89680
   66045	   89720
   67080	   89800
   68435	   89770
   68724	   89760
   70074	   89750
   70397	   89820
   70816	   89850
   71192	   89730
   71863	   89780
   72019	   89720
   71909	   89760
   72614	   89770
   72922	   89730
   73054	   89690
   72978	   89700
   73607	   89260
   74126	   89170
   74402	   89710
   75014	   88020
   75452	   88330
   76203	   88210
   76614	   88810
   75848	   87480
   74718	   86480
   72792	   85750
   73749	   89180
   74608	   86490
   75276	   87760
   76071	   87960
   74706	   87260
   73725	   86790
   73959	   87600
   74282	   87890
   74755	   87520
   75496	   89150
   76523	   88960
   75144	   88500
   74405	   87520
   72313	   87250
   72932	   87930
   73925	   86990
   74207	   86880
   74926	   88080
   75946	   86310
   73292	   85920
   71868	   86600
   72829	   87260
   73561	   88140
   74466	   86970
   73859	   85760
   73424	   85090
   72222	   84620
   70940	   84680
   71657	   86590
   72589	   87430
   73994	   87150
   75401	   86490
   74498	   86100
   72115	   85790
   69548	   84890
   70314	   86630
   71109	   87870
   72081	   88790
   74371	   88350
   74835	   87100
   72477	   85680
   69820	   84820
   70236	   86520
   70356	   88360
   70857	   88550
   71530	   88460
   72511	   89460
   70143	   87790
   68888	   87380
   69783	   89150
   70534	   88790
   70605	   88110
   70647	   88120
   70439	   86950
   68783	   86640
   67200	   86390
   67136	   88420
   68626	   88800
   69702	   87710
   70691	   89130
   71065	   88920
   69531	   87110
   67160	   85200
   67765	   86820
   68785	   88080
   70194	   87990
   70940	   87260
   70936	   86560
   69487	   87270
   67684	   87420
   68778	   88240
   69857	   87860
   69636	   86300
   71464	   86130
   72384	   85450
   70131	   83510
   67667	   81530
   68335	   82390
   69176	   83230
   69384	   86210
   69984	   86220
   71320	   87180
   70074	   86340
   68430	   86660
   68761	   88310
   69032	   86680
   70314	   87200
   71278	   86850
   70454	   86580
   69984	   86110
   67442	   85240
   68467	   87040
   68964	   87490
   69568	   86220
   70287	   85510
   71126	   85120
   69798	   84900
   68743	   84680
   69901	   85270
   70111	   86560
   69629	   86700
   69746	   86300
   69844	   86670
   69685	   86860
   68939	   86180
   68335	   85840
   68428	   86770
   67929	   87300
   68034	   87680
   68746	   88530
   68017	   89120
   68496	   89150
   69360	   89000
   69142	   87800
   67858	   86040
   65773	   83930
   64300	   82140
   65012	   82480
   64645	   82270
   64026	   81460
   64418	   81690
   63755	   85080
   63327	   85160
   64181	   85350
   66556	   84680
   67596	   83640
   66160	   81370
   65103	   79720
   63598	   77910
   62556	   76230
   60963	   74500
   60826	   74130
   60432	   73480
   60320	   72620
   60883	   73180
   59204	   74730
   58257	   82510
   60070	   86400
   60357	   86700
   58047	   85500
   58145	   86090
   57932	   86090
   57448	   85700
   59304	   83950
   61492	   84000
   60814	   84090
   59427	   82660
   58389	   81900
   57633	   83880
   56192	   83700
   55843	   83120
   56758	   86700
   57147	   86600
   57978	   86560
   62018	   83230
   62536	   79040
   69035	   79270
   67924	   76570
   65822	   73630
   61712	   70520
   57125	   66590
   55035	   64120
   54106	   62850
   54414	   62550
   56136	   63420
   55368	   63270
   52970	   68910
   52072	   81420
   54326	   82790
   58336	   80850
   60584	   79800
   61624	   77980
   61166	   76180
   59495	   73690
   57176	   71710
   56466	   71260
   56259	   72290
   56555	   72280
   56897	   72200
   56606	   72260
   54756	   70810
   53176	   72450
   53181	   80650
   53783	   80570
   56621	   80570
   56961	   81240
   57438	   81870
   56359	   81370
   55458	   81130
   53565	   80980
   52953	   80960
   52378	   80950
   52529	   81040
   53743	   81000
   52909	   80970
   53232	   82380
   52166	   83110
   52055	   82950
   51561	   82370
   51559	   82650
   51695	   83000
   51419	   84610
   51176	   84710
   50738	   85420
   51251	   85490
   51857	   84830
   52124	   86200
   51428	   85680
   51883	   86930
   53841	   86970
   61038	   82690
   63197	   81070
   62556	   79640
   59961	   76900
   56965	   79190
   56644	   80620
   57669	   80310
   60885	   80620
   61296	   80530
   59828	   80510
   58653	   80540
   57037	   79940
   55063	   80600
   54115	   80610
   56553	   80610
   57170	   80600
   57836	   80720
   57376	   80670
   57105	   80660
   55352	   79290
   52938	   76920
   52179	   78330
   52219	   80650
   51998	   81900
   52313	   82270
   52034	   82250
