1985-01-01
     obs	     sim
   29155	   31340
   29128	   35130
   28933	   35280
   29324	   34250
   30051	   33050
   29760	   31020
   29919	   29770
   29628	   28240
   29050	   26650
   28637	   25120
   28191	   23620
   28240	   22740
   28522	   22210
   27700	   20690
   27763	   20060
   27976	   19400
   28140	   18840
   28419	   18330
   28700	   17780
   28419	   16790
   27438	   15250
   27501	   14630
   27775	   14250
   27988	   13920
   28407	   13550
   28727	   13180
   29116	   12820
   29194	   12530
   28727	   19600
   29141	   46650
   29745	   66230
   37161	   71830
   46443	   74640
   53741	   76480
   57183	   77500
   58649	   76690
   58035	   73860
   57367	   70900
   55742	   67380
   53643	   72070
   52124	   72260
   50352	   70210
   51801	   68130
   53528	   65400
   52794	   61540
   51121	   59010
   50409	   58840
   49611	   62420
   48730	   72810
   47894	   81790
   47262	   84620
   46851	   86370
   46851	   86100
   47840	   86670
   48730	   89040
   48346	   87770
   48838	   86170
   49352	   84410
   49741	   82520
   49225	   79970
   49389	   78590
   50149	   78550
   50279	   77280
   50335	   75930
   49667	   74010
   49132	   72920
   48968	   71740
   49205	   70900
   50223	   70860
   50392	   70010
   50690	   69280
   50203	   67820
   49963	   66510
   50260	   65870
   50803	   65520
   51480	   65140
   51537	   64120
   51649	   63080
   51556	   63600
   51517	   64770
   51272	   67110
   51745	   69570
   52393	   70240
   52679	   69840
   52890	   69210
   52124	   67530
   51480	   66020
   51424	   65550
   51860	   65840
   52469	   65860
   52603	   65290
   53257	   65020
   53548	   64410
   54482	   71820
   54952	   73840
   55803	   75840
   56782	   76540
   57954	   76850
   58627	   76610
   58957	   76050
   59576	   75820
   60178	   75530
   60677	   77860
   61076	   82420
   61773	   84760
   63520	   85630
   65516	   85570
   66813	   85340
   67946	   85130
   68888	   84850
   69450	   84450
   69631	   83700
   70128	   83410
   70720	   83180
   71293	   82840
   71912	   83370
   72394	   84310
   72856	   84450
   73553	   84240
   74275	   84050
   75048	   85030
   75993	   85320
   76465	   84990
   77084	   84910
   77752	   84930
   76939	   84190
   77250	   84950
   77561	   85340
   77774	   85580
   78398	   87740
   78902	   91280
   79095	   95320
   78662	   95480
   79843	   98140
   80546	  101500
   81204	  103800
   82256	  104500
   83190	  104600
   84130	  104600
   85025	  104600
   84901	  104100
   84355	  103400
   84800	  103400
   85400	  103400
   85701	  103100
   86075	  102800
   86452	  102500
   85676	  100900
   85801	  100500
   85250	   99320
   84852	   98830
   84976	  102100
   84852	  102700
   83709	  101300
   83019	  102400
   82256	  106400
   81253	  111500
   81767	  113100
   82207	  113700
   82699	  115800
   82329	  118100
   82674	  119500
   82943	  119400
   83438	  119500
   83636	  120400
   84081	  121000
   83834	  122800
   83511	  122900
   83956	  123100
   84304	  123000
   84105	  122500
   82970	  121100
   83166	  122200
   83093	  122200
   81473	  120400
   80644	  119200
   79770	  118000
   78757	  116900
   78975	  117900
   79046	  120000
   79166	  123000
   79119	  123600
   79552	  125200
   79552	  126700
   79892	  129600
   79939	  132100
   80377	  133000
   80595	  133200
   80352	  132800
   80184	  135900
   79577	  136200
   79724	  137100
   78013	  135500
   78109	  135500
   77989	  135800
   76607	  134200
   76917	  134200
   76939	  133900
   76988	  133700
   75403	  131500
   74745	  133100
   74182	  137400
   72303	  140000
   70674	  144200
   69788	  150100
   69766	  159300
   69766	  166600
   70539	  172300
   71268	  174500
   71682	  177400
   72164	  179200
   71430	  178200
   70994	  178000
   71498	  178100
   72210	  178300
   72719	  178300
   72418	  178900
   72164	  179100
   71819	  179100
   71498	  178600
   71041	  177900
   71041	  177400
   70879	  176900
   70265	  175900
   68751	  174000
   67300	  175400
   66923	  179000
   66216	  178700
   67456	  180200
   70493	  179700
   73739	  180000
   76157	  180200
   76631	  178700
   76680	  178600
   76418	  178800
   76702	  179400
   77130	  179600
   76440	  178300
   75873	  177000
   75119	  175600
   74371	  174700
   73600	  173400
   72580	  171800
   71452	  170200
   71268	  169700
   70356	  168500
   69698	  167300
   68954	  166100
   68058	  164700
   67611	  164000
   67077	  163300
   65954	  161800
   64861	  160300
   63672	  158800
   62492	  157400
   61878	  156600
   62346	  157000
   62324	  156800
   61541	  156000
   60511	  154800
   59451	  153600
   58279	  152300
   57264	  151100
   56983	  150800
   56721	  151000
   56361	  150700
   56082	  150700
   55762	  151400
   54678	  150300
   53761	  149400
   53604	  149200
   53548	  150700
   52564	  152200
   50952	  154600
   50597	  155400
   50279	  155300
   50203	  155100
   50428	  154900
   50445	  154600
   48801	  152800
   48748	  152500
   48165	  151700
   47676	  150900
   47245	  150000
   47084	  149600
   46851	  149300
   46514	  149500
   46088	  149100
   44170	  146800
   43793	  146300
   42203	  144500
   41951	  146900
   41701	  150400
   40730	  150600
   40419	  151500
   40241	  152200
   40013	  152100
   39996	  152000
   39898	  151900
   39835	  151600
   39624	  151500
   39367	  153300
   39463	  160000
   39641	  164400
   39915	  167400
   42421	  176300
   45210	  179700
   47820	  179800
   49927	  179600
   52107	  179600
   53584	  179500
   54619	  179200
   55625	  178900
   56300	  178500
   55564	  176700
   54619	  174800
   54756	  174100
   54893	  173500
   54854	  173200
   55346	  173100
   55664	  172900
   54678	  171200
   53761	  173400
   52794	  178400
   52107	  178400
   51801	  177900
   53469	  178100
   54600	  177900
   54561	  177100
   54228	  178700
   54463	  179400
   54795	  179400
   55388	  179300
   57103	  179300
   59615	  179300
   60364	  177300
   60220	  175200
   59265	  172800
   58157	  170400
   57022	  168100
   55525	  165500
   53895	  163000
   52163	  160300
   50299	  159000
   48400	  158400
   46565	  156600
   44446	  153800
   42152	  150700
   39561	  147300
   36652	  143800
   34296	  140700
   31949	  137700
   29586	  134700
   27952	  132600
   27952	  132100
   28534	  132200
   29077	  132200
   29390	  131900
   28676	  130600
   27888	  129400
   28267	  129200
   28255	  128700
   28637	  129200
   28688	  129900
   29219	  130200
   29745	  130400
   29850	  130100
   30293	  129900
   30521	  129700
   30709	  129300
   30105	  128300
   29733	  127400
   29050	  126300
   28483	  125300
   28585	  125000
   28869	  124900
   29077	  124700
   28987	  124200
   28818	  123600
   28960	  123400
   29207	  123100
   29180	  124500
   29417	  124800
   29652	  125400
   29652	  125300
   29958	  124900
   30158	  124500
   30078	  124000
   30105	  123700
   30616	  123500
   30995	  123400
   29402	  121300
   27952	  119600
   27563	  121400
   27900	  122100
   28304	  122400
   28830	  122600
   29246	  123100
   29694	  124400
   30251	  125200
   30927	  125800
   30506	  124900
   30968	  124600
   31629	  125000
   32285	  126300
   32495	  126400
   31257	  124500
   30105	  122800
   29077	  121300
   28446	  124200
   28896	  139400
   29285	  153800
   30601	  158600
   34122	  160900
   37831	  161900
   40794	  162800
   42739	  163000
   44361	  163400
   45807	  163500
   46176	  162600
   46193	  163800
   46264	  163400
   46619	  162900
   47497	  162100
   47784	  160900
   48657	  160600
   48530	  159200
   47299	  157100
   46619	  155300
   45841	  153600
   44948	  151800
   45736	  151800
   46352	  152700
   45525	  151400
   45087	  157800
   44429	  165600
   44811	  170600
   47030	  172400
   50299	  173100
   53391	  173400
   55485	  177400
   56562	  178000
   57996	  178200
   58076	  176500
   58057	  174800
   57954	  173100
   58915	  172900
   59512	  172300
   60405	  172200
   61117	  172000
   61942	  171900
   62536	  171700
   62984	  171500
   63564	  171200
   64058	  171000
   64428	  170700
   64687	  170400
   65406	  170400
   65822	  170200
   65866	  169900
   66042	  171100
   66725	  172000
   66989	  172100
   67278	  171800
   67545	  171800
   67633	  171500
   67701	  171200
   67767	  170800
   67968	  170700
   67946	  170500
   67946	  170100
   68124	  169700
   68124	  169800
   68237	  170400
   68394	  170800
   68572	  170800
   68888	  170700
   69157	  170400
   69179	  170000
   69450	  169700
   69494	  169500
   69494	  169200
   69654	  168900
   69766	  168400
   69744	  167800
   69879	  167500
   70038	  167000
   70084	  166600
   70062	  166100
   70106	  166000
   70197	  165700
   70243	  165400
   70265	  165000
   70424	  164600
   70334	  165000
   70312	  165900
   70219	  167000
   70265	  166900
   70446	  168100
   70720	  171200
   70994	  173500
   71268	  176700
   71567	  179400
   72049	  179700
   72325	  179700
   72648	  179700
   72927	  179700
   73761	  179700
   74581	  179800
   75496	  179700
   76276	  179700
   77250	  179700
   78422	  179700
   78926	  178900
   78853	  177900
   79021	  177600
   79046	  177100
   78853	  176500
   78733	  175900
   78997	  176600
   79335	  177500
   79432	  178100
   79675	  179700
   79868	  179700
   80086	  179700
   80255	  179700
   80864	  179700
   81228	  179600
   81326	  178900
   81424	  178600
   81546	  178400
   80692	  177200
   80159	  176300
   79843	  175700
   79626	  175300
   79144	  174600
   79021	  174200
   78877	  173800
   77297	  172000
   75922	  170400
   75378	  169600
   75261	  170600
   74300	  171500
   74111	  171800
   74043	  172300
   73925	  174600
   73274	  176100
   73066	  176200
   73159	  176300
   73367	  176200
   73436	  176000
   73274	  175600
   71934	  174100
   71041	  177200
   70016	  178900
   69563	  179400
   68910	  178900
   68863	  179700
   68506	  179500
   68594	  179600
   68482	  179500
   67833	  178800
   67300	  178000
   66747	  177100
   66659	  176700
   66461	  176300
   65734	  175600
   64687	  178200
   64017	  179300
   62664	  178700
   61223	  178100
   60865	  179300
   61245	  179300
   60865	  178900
   60677	  178400
   60405	  177900
   59615	  177000
   59121	  176500
   58813	  176100
   58504	  175700
   57893	  176000
   57406	  176700
   57367	  177800
   57205	  177600
   57286	  178000
   57386	  179900
   57367	  179900
   57609	  179800
   57731	  179800
   57487	  179500
   56843	  179200
   56161	  179000
   56202	  179800
   56102	  179700
   56222	  178900
   56762	  179600
   57144	  179900
   57244	  179600
   57264	  179600
   57406	  179800
   57567	  179800
   57183	  179200
   56640	  179100
   56161	  179200
   56002	  178800
   55485	  178300
   55644	  179800
   55742	  179800
   55287	  179300
   55150	  179200
   55326	  179200
   55762	  179300
   55943	  179200
   57225	  179900
   58015	  180200
   57934	  179400
   57709	  178900
   56843	  178800
   55982	  178100
   54991	  177200
   55268	  177500
   55525	  177800
   55131	  177400
   54247	  176200
   53142	  175000
   51955	  174300
   51801	  175100
   51784	  175300
   51916	  175400
   51708	  175800
   49851	  174200
   48129	  172300
   46531	  170600
   45790	  169700
   45349	  169200
   44914	  168700
   44344	  168100
   43982	  167600
   43113	  166600
   42352	  165700
   41420	  165200
   41687	  165600
   41520	  165400
   41073	  165000
   40843	  167600
   40517	  169800
   40207	  171800
   40045	  172400
   39818	  177200
   39803	  179800
   39803	  179800
   39884	  179800
   40336	  179800
   40745	  179800
   40960	  179800
   41041	  179600
   40960	  179400
   40353	  178500
   39737	  177600
   39032	  176700
   38254	  179100
   37457	  179100
   37799	  180100
   38286	  180200
   39208	  179700
   40419	  179700
   41073	  179600
   41354	  179800
   41604	  179800
   41853	  179900
   42002	  179900
   41618	  179300
   41107	  179200
   40794	  179300
   39803	  178700
   38888	  178600
   39304	  179300
   39933	  179900
   40451	  179800
   40943	  179800
   41371	  179800
   39769	  177600
   38937	  176800
   38856	  176500
   39142	  176500
   38969	  175900
   38937	  177500
   38651	  177500
   38538	  176900
   38474	  177900
   38729	  179800
   39128	  179800
   39416	  179600
   40664	  180200
   41753	  180200
   44637	  180200
   47693	  180000
   50428	  180000
   52393	  180000
   53024	  179100
   51272	  176900
   50392	  174400
   49574	  171700
   48363	  168800
   46585	  167800
   44221	  172400
   41753	  176400
   40926	  177800
   41936	  179100
   43553	  179000
   45420	  179000
   46993	  179100
   47713	  179100
   48219	  178900
   48547	  179100
   48767	  179000
   48038	  177500
   45702	  174500
   43179	  171300
   40598	  169100
   37753	  176500
   34812	  176300
   33598	  176900
   35066	  177100
   35365	  175200
   34990	  173200
   36042	  173200
   35666	  172000
   34504	  170600
   32637	  168300
   30696	  165800
   28381	  163200
   28178	  162600
   28805	  162900
   28740	  162500
   28817	  162100
   28573	  161600
   28229	  161200
   27925	  160700
   28039	  160400
   28267	  160500
   28356	  160300
   28483	  160600
   28611	  161400
   29102	  163000
   29298	  176300
   29495	  179500
   29918	  179600
   33931	  180200
   37425	  179400
   40451	  179500
   42404	  179500
   43845	  179600
   44949	  179600
   46318	  179600
   46923	  178000
   46691	  177400
   46994	  178300
   46656	  178200
   46318	  178300
   46780	  178400
   47209	  178300
   46177	  176900
   45176	  176800
   44188	  176000
   43095	  174200
   41686	  171800
   40909	  170200
   40713	  169400
   39705	  167600
   38681	  165700
   37363	  163800
   36073	  163400
   34591	  163100
   35170	  167400
   36179	  169100
   36043	  168600
   36930	  168300
   38066	  174300
   39111	  179000
   39738	  179000
   40696	  179600
   42152	  179800
   43469	  178900
   44862	  178800
   46869	  179800
   48638	  179800
   51159	  179100
   54873	  178200
   63886	  177400
   70084	  175300
   72556	  172500
   73112	  169300
   72395	  166000
   71314	  162900
   69699	  160900
   68169	  159900
   66217	  157200
   64383	  154000
   62536	  151100
   60448	  147800
   58977	  145400
   59121	  146100
   60281	  146700
   60469	  147100
   59679	  150200
   59782	  150800
   59990	  150600
   60511	  150100
   62068	  150700
   63327	  151100
   63929	  151500
   64535	  151400
   64492	  150700
   64992	  151500
   65668	  151500
   66482	  154500
   67478	  162200
   67589	  163500
   67678	  163500
   68819	  169800
   70220	  171000
   71017	  171200
   72326	  177100
   74112	  179900
   75897	  179200
   78158	  178800
   80716	  178900
   84628	  179300
   88449	  179500
   91914	  179900
   94998	  179900
   96428	  178500
   97440	  178500
   99375	  179000
  102426	  178500
  108173	  178500
  114747	  179400
  119171	  179500
  121317	  178300
  123180	  178500
  124597	  179000
  125932	  179100
  127904	  178800
  131140	  179300
  134758	  179800
  136625	  178900
  137747	  178300
  138310	  177700
  138111	  176900
  138244	  176100
  139242	  177300
  140379	  178600
  141219	  178500
  141455	  178100
  141691	  177500
  141826	  177100
  141927	  176600
  142706	  176900
  143521	  177200
  143214	  176700
  143079	  176300
  142841	  176300
  142502	  175700
  142232	  174900
  143079	  176100
  143929	  177500
  143589	  178600
  142638	  178100
  141657	  177800
  141589	  178400
  142604	  179500
  143997	  179700
  145330	  179800
  146051	  179400
  145880	  178800
  145776	  178800
  145571	  178800
  145605	  178800
  146774	  179800
  147500	  179800
  146878	  178500
  146913	  178500
  147016	  178400
  147050	  178300
  147155	  177800
  147777	  178100
  148366	  178200
  146844	  176100
  145262	  175100
  144133	  174100
  143316	  174200
  142638	  173600
  143147	  173900
  143725	  177800
  142875	  178600
  142638	  178700
  142333	  178600
  142029	  178600
  142638	  178900
  143827	  179800
  145125	  180000
  144954	  178500
  145228	  179000
  145022	  178800
  144611	  178900
  144270	  178500
  145433	  179400
  146395	  179900
  145536	  178300
  144407	  178300
  144133	  178700
  143589	  178700
  143997	  179400
  145159	  179800
  147050	  180000
  147500	  178400
  147881	  178000
  147985	  177500
  146913	  176200
  145467	  175800
  145296	  177200
  145605	  178400
  144714	  177400
  143622	  176200
  143045	  175300
  141826	  173800
  140883	  172500
  140245	  171800
  139609	  171000
  138278	  169600
  137119	  168300
  135804	  166700
  134432	  165200
  132908	  163600
  131717	  162900
  130948	  162200
  129198	  160400
  127558	  158600
  125807	  156700
  124196	  155000
  122781	  153300
  121134	  151600
  119622	  149900
  117824	  148200
  116101	  150800
  114893	  151700
  113927	  151600
  112384	  150800
  111402	  150700
  110625	  149900
  109024	  148200
  108173	  147000
  107127	  145900
  106144	  144700
  104942	  143500
  103694	  142700
  102784	  141600
  101631	  140200
  100350	  138600
   99078	  137000
   97708	  135300
   96375	  133600
   95288	  132300
   94577	  131200
   92953	  129400
   91345	  127600
   89827	  126200
   88856	  126600
   88297	  126100
   87612	  125500
   86931	  124700
   85976	  123500
   85375	  122800
   84752	  122100
   84305	  121900
   83635	  128200
   83413	  139300
   83363	  147500
   82772	  148900
   83710	  148700
   83982	  148700
   83413	  152200
   82845	  153600
   83660	  154600
   84677	  154900
   84429	  153700
   83660	  152200
   82403	  150400
   81082	  149000
   79601	  148100
   79095	  147400
   78782	  146800
   77178	  145000
   75449	  142800
   73716	  140700
   72741	  139300
   72026	  138200
   72118	  137800
   72118	  137400
   70288	  136900
   68505	  135100
   66658	  133000
   64992	  131000
   63671	  129300
   62557	  127800
   61793	  127000
   60240	  124800
   58444	  122800
   56441	  120500
   54423	  118100
   51612	  115200
   51159	  114400
   50447	  113400
   48857	  111500
   47496	  109800
   45280	  107300
   43793	  105500
   43095	  104400
   42959	  104000
   42807	  103600
   42353	  103300
   41935	  102700
   41338	  101700
   39191	   99320
   38666	   98540
   38570	   98140
   38381	   98400
   38097	   98420
   37799	   98170
   37705	   97810
   37721	   97590
   37643	   97260
   37627	   96900
   37534	   96480
   37239	   95880
   37177	   95500
   37053	   95080
   37099	   94780
   35349	   92710
   35200	   92340
   35125	   97330
   35036	   99420
   34842	  100200
   34842	  100400
   34576	   99680
   34783	   99500
   34902	   99270
   34887	  108400
   34606	  113100
   34355	  114700
   34680	  114500
   35334	  113700
   35200	  112800
   34606	  111500
   34591	  111000
   34004	  109900
   33438	  109000
   32894	  109000
   32936	  109500
   32965	  109900
   33194	  110000
   33481	  109900
   31864	  107700
   32496	  107600
   32936	  107900
   33079	  107800
   33409	  107700
   33583	  107400
   33786	  107100
   33208	  106200
   32865	  105800
   32751	  105900
   32808	  106700
   32950	  106700
   33251	  107700
   33684	  111000
   33873	  111800
   33655	  111600
   32993	  110200
   32694	  108900
   31795	  107600
   32102	  107900
   32158	  108300
   32369	  108300
   32666	  109500
   33008	  115700
   33438	  119400
   33960	  124700
   34798	  130300
   36362	  132900
   37084	  133200
   36776	  131900
   36255	  131800
   37007	  132400
   37611	  132700
   38128	  133600
   38840	  133800
   39351	  133800
   37783	  131900
   36240	  129800
   34576	  127600
