1985-01-01
     obs	     sim
   85226	   85960
   85182	   86790
   85101	   86260
   85116	   85370
   85050	   84370
   84940	   83410
   84683	   82350
   84436	   81270
   84311	   80380
   84115	   79400
   83797	   78440
   83579	   77490
   83587	   76860
   83132	   75770
   82620	   74710
   82349	   73890
   82070	   73000
   81771	   72050
   81813	   71510
   81231	   70290
   80127	   68500
   79457	   67150
   79188	   66140
   79029	   65300
   78676	   64340
   78503	   63610
   78305	   62810
   77962	   61950
   77600	   67160
   77600	   80160
   78195	   88330
   83283	   90280
   86858	   91840
   89111	   95040
   90251	   97760
   91249	   99130
   92226	   98850
   93035	   98430
   93405	   97640
   94136	   97350
   94731	   98080
   95286	   97800
   96788	   97350
   97388	   96460
   97770	   95560
   98031	   95810
   98374	   97270
   98726	   98930
   99098	  100400
   99575	  101200
   99981	  101000
  100248	  100700
  100622	  100200
  101185	  100400
  101755	  102200
  102271	  103100
  102993	  102800
  103480	  102400
  103969	  102000
  104253	  101300
  104884	  100900
  105405	  101100
  105579	  100600
  105603	   99890
  105491	   98900
  105144	   97990
  105092	   97270
  105430	   96880
  105745	   96470
  105892	   95890
  106007	   95320
  105807	   94410
  105405	   93330
  105449	   92600
  105596	   92110
  105684	   91620
  105745	   90970
  105831	   90390
  105885	   90720
  105919	   91170
  106103	   91720
  106452	   92830
  106788	   92770
  106981	   92320
  107164	   91820
  107025	   91000
  106900	   90200
  106629	   89650
  106893	   89440
  107157	   89150
  107157	   88510
  107201	   87820
  107245	   87140
  107201	   90210
  107299	   91520
  107695	   91320
  108131	   91100
  108165	   90450
  108353	   89780
  108371	   89020
  108353	   88290
  108415	   87980
  108647	   89710
  108862	   92400
  109290	   94410
  109741	   94230
  109939	   93770
  110144	   93360
  110245	   92790
  110624	   92560
  110842	   92250
  110734	   91630
  110661	   91050
  110670	   90500
  110624	   89990
  110643	   89800
  110824	   89820
  111123	   89640
  111096	   89070
  110979	   88930
  110878	   89470
  110915	   89180
  111096	   88730
  111277	   88520
  111588	   88320
  111370	   88300
  111297	   89710
  111370	   90700
  111541	   90690
  111715	   90630
  112089	   91330
  112420	   91380
  112686	   91170
  113183	   91080
  113516	   91270
  113875	   91490
  114081	   91220
  114573	   91030
  114861	   90790
  115236	   90590
  115365	   90200
  115338	   89740
  115375	   89170
  115620	   88920
  115769	   88560
  115928	   88330
  116014	   88080
  116239	   87720
  116483	   87520
  116466	   87030
  116126	   86250
  116219	   85940
  116408	   85680
  116156	   84970
  115779	   84250
  115441	   84160
  114908	   85690
  115152	   87040
  115431	   86980
  115544	   87600
  115152	   88910
  115047	   88810
  115348	   88770
  115554	   88560
  115806	   88420
  115911	   88130
  115977	   88930
  115815	   88740
  116023	   88790
  116295	   88710
  116351	   88390
  116090	   87710
  116090	   87380
  116163	   87030
  115789	   86170
  115365	   85360
  114798	   84310
  114274	   83850
  114367	   85740
  114387	   88510
  114656	   90100
  115113	   90910
  115431	   90880
  115468	   90750
  115630	   91220
  115835	   91690
  115977	   91660
  116202	   91470
  116126	   91020
  116097	   91340
  116004	   91090
  115977	   91370
  115534	   90820
  115620	   91010
  115815	   91740
  115497	   91220
  115647	   91090
  115789	   90790
  115977	   90600
  115507	   89780
  115152	   88980
  114685	   89040
  114061	   90030
  113413	   90180
  113063	   90820
  113017	   92180
  112953	   94420
  113083	   96210
  113266	   97540
  113452	   98920
  113533	  100500
  113110	  101200
  112466	  100500
  112593	  100300
  112613	   99940
  112640	   99610
  112136	  100000
  111735	   99950
  111250	  100200
  110895	   99960
  110497	   99310
  110308	   98760
  110091	   98360
  109856	   97830
  109462	   97000
  108862	   96910
  108263	  104600
  108131	  108700
  108933	  110500
  109875	  110500
  110100	  110000
  109775	  109000
  109442	  107900
  108843	  107500
  108344	  111100
  108131	  112100
  108522	  112700
  108212	  111900
  107793	  110900
  107343	  109800
  106724	  108900
  106514	  108000
  106567	  107600
  106575	  107200
  106592	  106800
  106120	  105800
  105501	  104700
  104772	  104700
  104013	  103900
  103857	  103500
  103438	  102700
  102714	  101600
  101916	  100400
  101227	   99270
  100497	   98140
   99766	   96980
   99220	   96090
   98949	   95500
   98220	   94320
   97615	   93340
   96828	   92210
   96040	   91030
   95215	   89840
   94954	   89290
   94675	   89310
   93970	   88450
   93412	   87960
   92779	   87340
   92030	   86460
   91744	   85910
   91404	   85250
   90941	   84560
   90374	   84070
   89757	   83680
   89028	   83040
   88431	   82230
   87753	   81210
   87374	   80560
   87022	   79890
   86295	   78750
   85688	   77810
   84998	   76700
   84145	   75500
   83298	   74280
   82672	   73400
   82063	   72460
   81174	   71330
   80316	   70170
   79457	   68910
   78613	   67700
   77757	   66560
   77084	   66610
   76369	   67550
   75586	   68150
   75063	   68020
   74339	   67600
   73637	   66620
   72932	   65590
   72350	   64870
   71726	   63990
   70847	   63190
   70045	   63690
   69132	   65410
   68325	   66710
   68115	   67390
   67958	   67930
   67464	   69130
   67249	   69540
   67077	   68740
   66860	   67860
   65815	   66100
   64697	   64320
   63513	   62500
   62179	   60590
   60794	   58710
   59505	   56890
   59317	   56240
   59268	   55950
   59248	   56090
   59373	   56060
   59708	   55980
   59857	   55780
   60021	   56900
   60242	   60280
   60633	   62150
   61450	   62290
   61903	   62180
   62162	   61950
   62532	   62060
   62786	   62810
   63148	   65750
   63659	   71180
   64516	   73150
   66042	   74780
   67266	   75760
   68283	   75830
   69186	   75820
   69928	   75800
   70473	   75680
   70916	   75480
   71317	   75270
   71694	   75060
   72056	   74850
   72418	   75860
   72822	   78250
   73441	   79960
   74077	   80130
   74713	   80140
   75156	   80000
   75741	   79910
   76281	   79770
   76753	   79600
   77076	   79320
   77634	   79210
   78023	   79020
   78503	   78840
   78946	   78720
   79374	   78640
   79139	   77870
   78916	   77050
   79014	   76590
   79388	   76410
   79702	   76590
   80071	   78930
   80570	   79770
   81133	   80100
   81559	   80160
   81977	   80150
   82434	   80120
   82924	   80070
   83154	   79780
   83340	   79470
   83051	   78670
   82909	   78040
   83154	   77780
   83435	   77660
   83643	   77520
   83550	   77040
   83073	   76130
   82686	   75230
   82916	   75080
   83203	   77530
   83376	   77820
   83609	   77870
   83587	   77470
   83462	   76990
   83276	   76490
   83146	   75930
   83046	   75510
   83305	   75330
   83543	   75150
   82995	   74190
   82234	   73660
   81722	   72830
   81649	   72340
   81850	   72310
   82048	   72240
   82219	   72000
   82405	   72130
   82642	   72780
   82836	   73980
   82571	   73520
   82449	   73030
   82606	   72950
   82836	   73790
   82672	   73460
   81928	   72340
   81302	   71200
   80837	   70320
   80837	   72470
   81148	   76380
   81380	   86180
   82256	   88060
   84304	   89490
   85461	   89600
   86496	   89680
   87186	   89630
   87695	   89540
   88235	   89760
   88710	   89720
   89224	   90810
   89733	   91020
   90290	   90990
   90743	   90900
   91220	   90740
   91675	   90560
   92076	   90390
   91861	   89560
   91976	   89030
   92133	   88710
   92279	   88240
   92646	   88060
   92982	   88750
   93248	   88800
   93615	   94000
   93924	  101900
