1985-01-01
     obs	     sim
   36243	   34690
   36030	   33020
   36077	   31380
   36011	   29990
   36285	   27520
   35820	   25660
   35879	   23470
   35663	   22250
   35631	   21030
   35560	   19940
   35529	   18760
   35612	   17940
   35634	   16620
   35759	   17040
   35761	   16570
   35744	   14670
   35717	   13530
   35888	   12780
   36052	   12560
   36280	   12870
   36652	   11590
   36040	    7675
   36879	    7092
   36681	    7249
   37261	    7283
   37532	    6776
   37471	    5563
   37261	    4794
   37386	    8417
   37219	   24060
   36994	   25440
   40532	   19980
   39218	    9090
   36473	    1627
   36042	       0
   35781	       0
   36099	       0
   36038	       0
   36250	       0
   36118	       0
   36025	    1477
   36082	     704
   36510	       0
   36121	       0
   36153	       0
   36258	       0
   36517	       0
   36216	       0
   36314	       0
   36568	       0
   36921	       0
   36823	       0
   36091	       0
   36003	       0
   36358	       0
   36277	       0
   36361	       0
   36167	       0
   36334	       0
   36674	     261
   35844	       0
   35778	       0
   35754	       0
   35712	       0
   36206	       0
   35942	       0
   35673	       0
   35883	       0
   36231	       0
   36265	       0
   36507	       0
   36441	       0
   35964	       0
   36094	       0
   36177	       0
   36091	       0
   35893	       0
   35874	       0
   35636	       0
   35852	       0
   36109	     218
   36471	       0
   36625	       0
   36718	       0
   36630	       0
   36779	       0
   36948	       0
   36745	       0
   36776	       0
   36676	       0
   36461	       0
   36688	       0
   36997	       0
   37102	    1008
   37454	     748
   37909	     319
   38149	       0
   38323	       0
   38861	       0
   39110	       0
   39453	       0
   39399	       0
   39473	     830
   39499	     841
   39906	     289
   40238	       0
   40353	       0
   40559	       0
   40483	       0
   40432	       0
   40664	       0
   40764	       0
   40921	       0
   41540	       0
   41951	       0
   42357	       0
   42408	       0
   42499	       0
   42612	       0
   42690	       0
   42751	     211
   42964	       0
   42991	       0
   43027	       0
   43096	       0
   43382	     646
   44062	       0
   44287	       0
   44410	       0
   44554	       0
   44410	       0
   44456	       0
   44772	       0
   44283	       0
   44153	       0
   43964	       0
   44119	       0
   44422	       0
   44588	       0
   44490	       0
   44784	     327
   44451	       0
   43757	       0
   44123	     143
   44295	       0
   44508	       8
   44571	       0
   44495	      10
   44287	       0
   44251	       0
   43867	       0
   44050	       0
   44268	     837
   44180	     646
   44031	       0
   44141	    2128
   43595	    1446
   43419	       0
   43859	     230
   44253	     909
   44424	    1238
   44104	       0
   43524	       0
   43392	       0
   43830	     574
   44241	    1212
   44708	    4418
   44153	    1972
   43700	       0
   43649	       0
   44057	     130
   44493	     936
   44305	       0
   44331	       0
   44388	     571
   43986	       0
   43779	       0
   43681	       0
   43835	       0
   44131	     634
   44664	    1261
   44444	      63
   44571	       0
   43632	       0
   43292	       0
   43737	     605
   44256	     976
   44586	    1205
   44155	      67
   44141	       0
   44248	       0
   43982	       0
   43473	       0
   43935	       0
   44236	     284
   44270	     428
   43938	       0
   43316	       0
   43649	     356
   43553	     672
   44023	       0
   44341	       0
   43984	       0
   44393	       0
   44246	       0
   43933	       0
   43468	       0
   44226	     810
   44654	    1284
   44380	     823
   44146	    4118
   43979	    8659
   43923	    6859
   43321	    4194
   44089	    4619
   44346	    4950
   43960	    4312
   43898	    3439
   43771	    2377
   43573	     945
   43558	       0
   44111	       0
   44258	       0
   44363	       0
   44214	       0
   43999	       0
   43512	   18390
   43529	   34710
   44351	   35310
   44520	   37430
   44084	   37050
   43502	   35300
   43169	   34860
   43228	   34240
   43213	   36000
   44040	   36380
   44571	   37790
   44339	   37280
   44290	   34850
   43605	   32930
   43492	   32090
   43372	   31280
   43903	   30810
   44356	   31510
   43810	   29570
   43952	   29370
   44031	   28800
   43651	   27230
   43228	   25830
   44031	   25950
   44818	   26950
   44527	   26150
   44214	   24560
   43803	   22740
   43654	   21750
   43191	   19400
   44143	   19990
   44574	   20320
   44420	   19730
   44696	   19710
   44557	   17970
   44060	   16030
   43823	   14900
   44375	   14450
   44559	   14470
   44412	   13180
   44424	   11940
   44390	   10780
   44065	   10150
   43835	    8469
   44510	    8568
   44730	    8532
   44442	    8438
   44667	    8317
   44331	    4362
   44180	    3259
   44363	    2478
   44375	    1614
   44554	     920
   44400	     621
   44119	       0
   44072	       0
   44297	       0
   44490	       0
   44508	       0
   44525	       0
   44390	       0
   44444	       0
   44468	     710
   44309	       0
   44451	       0
   44618	       0
   44231	       0
   44591	     479
   44517	       0
   44552	       0
   44454	       0
   44258	       0
