1985-01-01
     obs	     sim
    3116	    3048
    3072	    2534
    3060	    2489
    3129	    2443
    3124	    2418
    3090	    2357
    3119	    2371
    3136	    2367
    3112	    2327
    3126	    2319
    3058	    2224
    3102	    2242
    3058	    2190
    3011	    2116
    3004	    2090
    3019	    2091
    3065	    2124
    3119	    2207
    3072	    2150
    2965	    2008
    2992	    2026
    3058	    2064
    3055	    2049
    3063	    2032
    3087	    2041
    3072	    2029
    3072	    2015
    3060	    1992
    3102	    2192
    3092	    2426
    3094	    2408
    2994	    2073
    2992	    1973
    3016	    1984
    3028	    1995
    3070	    1994
    3121	    2005
    3124	    1963
    2950	    1732
    2943	    1705
    2989	    1839
    3016	    1839
    2977	    1718
    2889	    1597
    2906	    1561
    3006	    1684
    3004	    1735
    2994	    1725
    2977	    1684
    2938	    1617
    2977	    1626
    2977	    1594
    3028	    1615
    3038	    1604
    3041	    1589
    3085	    1583
    3087	    1567
    3109	    1522
    3131	    1504
    3109	    1452
    3092	    1402
    3065	    1354
    3055	    1320
    3011	    1219
    3006	    1180
    3045	    1215
    3048	    1195
    3026	    1155
    3028	    1151
    3072	    1160
    3085	    1166
    3090	    1143
    3001	    1031
    3065	    1057
    3053	    1049
    3072	    1042
    3082	    1032
    3055	     984
    3055	     992
    3041	     958
    3036	     956
    3045	     945
    3041	     930
    3058	     924
    3092	     939
    3134	     954
    3080	     893
    3107	     904
    3080	     866
    3065	     829
    3041	     790
    3063	     800
    2972	     679
    2891	     653
    2940	     697
    2987	     741
    3043	     778
    3060	     786
    3077	     783
    3168	     864
    3182	     863
    3072	     734
    3087	     743
    3087	     739
    3112	     746
    3097	     718
    3072	     677
    3087	     676
    3102	     686
    3092	     650
    3102	     648
    3077	     599
    3068	     585
    3143	     643
    3019	     519
    3009	     556
    3026	     562
    3036	     565
    3072	     572
    3094	     598
    3065	     609
    3087	     610
    3094	     606
    3072	     567
    3045	     535
    3082	     538
    3068	     534
    3033	     491
    3041	     485
    3055	     487
    3072	     487
    3082	     481
    3134	     525
    3129	     541
    3148	     580
    3119	     570
    3050	     491
    3058	     485
    3082	     489
    3102	     497
    3072	     515
    3080	     534
    3156	     585
    3175	     594
    3082	     480
    3087	     479
    3094	     478
    3033	     391
    3041	     395
    3009	     361
    3026	     386
    3026	     445
    3031	     438
    2872	     238
    2975	     350
    3041	     410
    3045	     414
    3021	     369
    3041	     373
    3045	     434
    3072	     479
    3085	     478
    2997	     372
    2970	     327
    2977	     324
    2982	     335
    3004	     385
    3019	     386
    3041	     395
    3050	     387
    2938	     283
    3009	     342
    3016	     361
    2957	     278
    3026	     348
    2879	     165
    2933	     208
    2916	     175
    3080	     337
    3090	     339
    3094	     361
    3143	     416
    3080	     363
    2918	     178
    3048	     295
    2972	     212
    3031	     252
    3011	     212
    3016	     220
    3016	     250
    3041	     247
    3045	     256
    3026	     225
    3041	     225
    3028	     230
    3023	     210
    3050	     211
    3060	     206
    3072	     206
    3055	     187
    3085	     180
    3072	     153
    3026	      80
    3068	      86
    3060	      78
    3060	     154
    3077	     148
    3119	     147
    3129	     141
    3036	      79
    3048	      60
    3058	      41
    3072	      22
    3099	       0
    3094	       0
    3109	       0
    3116	       0
    3134	       0
    3126	       0
    3107	       0
    3006	       0
    3085	      45
    3087	      20
    3055	       0
    3045	       0
    3028	       1
    3009	      65
    3060	     151
    3041	      74
    3043	      62
    3038	      18
    3031	       0
    3043	       0
    3065	      53
    3065	      24
    3072	      27
    3055	       0
    2928	       0
    3026	      54
    3092	     133
    3102	      85
    3011	       0
    3014	       0
    3028	       0
    3004	       0
    2967	       0
    3009	      43
    3026	      42
    2989	       0
    2950	       0
    2891	       0
    2965	      46
    2965	       5
    2889	       0
    2938	      19
    2970	      22
    2972	      17
    2891	       0
    2891	       0
    2886	       0
    2962	      65
    3043	     128
    3082	     134
    3031	      74
    2977	       0
    2972	       0
    2928	       0
    2916	       0
    3063	     136
    3072	     138
    3045	      75
    3055	     103
    3102	     150
    3087	     113
    3036	      62
    3041	      50
    3094	      91
    3058	      23
    3038	       0
    2992	       0
    2979	       0
    3055	      55
    3097	      92
    2999	       0
    2977	       0
    2989	       5
    2838	       0
    2889	      31
    2879	       0
    2970	     114
    3009	     135
    2908	      69
    3004	     194
    3036	     185
    3055	     171
    3028	     139
    3006	      90
    3011	      86
    3026	      86
    3041	      73
    3041	      68
    3016	      33
    3023	       9
    3031	      24
    3011	       0
    3019	      47
    3026	     108
    3058	      99
    3031	      39
    3045	      39
    3026	       2
    3048	       2
    3048	       0
    3055	       0
    3014	       0
    3053	      10
    3072	       0
    3087	      15
    3060	       0
    3072	       0
    2926	       0
    3107	     162
    3146	     191
    2989	      80
    3072	      99
    3178	     168
    3112	      85
    3102	      58
    3163	     137
    3138	     186
    3168	     342
    3182	     405
    3239	     407
    3104	     166
    3055	      81
    3004	       0
    2864	       0
    2864	       0
    2933	      42
    3041	     106
    3180	     203
    3227	     217
    3236	     162
    3001	       0
    3045	      33
    3087	      34
    3080	      21
    3146	      68
    3129	       4
    3107	       0
    3085	       0
    3090	       0
    3063	       0
    3090	      14
    3072	       1
    3090	       0
    3048	       0
    3048	       0
    3075	      19
    3146	      83
    3187	     121
    3214	     147
    3156	      79
    3072	       0
    3060	       0
    3072	      14
    3107	      37
    3104	      29
    3068	       0
    3023	       0
    3028	       3
    3072	      51
    3102	      54
    3065	      12
    3060	      11
    3041	       0
    3033	       0
    3082	      41
    3087	      37
    3124	      62
    3041	       0
    3048	      41
    3055	      51
    3041	      44
    3107	      98
    3126	     112
    3121	      87
    3131	     100
    3097	      66
    3055	      18
    3014	       0
    2911	       0
    3004	      56
    2997	     201
    3001	     198
    2992	     184
    3026	     217
    3065	     286
    3104	     327
    3077	     287
    3087	     358
    3058	     314
    2987	     230
    3060	     258
    3055	     248
    3090	     256
    3195	     355
    3156	     267
    3082	     194
    3136	     479
    3151	     596
    3134	     702
    3109	     658
    3092	     651
    3141	     579
    2967	     307
    2935	     259
    3021	     307
    3019	     287
    3043	     283
    3087	     332
    3146	     378
    3102	     313
    3087	     286
    3041	     216
    3050	     219
    3048	     205
    2979	     120
    2926	      59
    2945	      76
    3129	     203
    3045	     144
    3033	     132
    3063	     159
    3026	     126
    3053	     191
    2987	     183
    3048	     233
    3043	     214
    2994	     146
    3006	     175
    3041	     224
    3072	     248
    3129	     285
    2984	     149
    2908	      53
    2935	      73
    2953	      89
    2970	     107
    2979	     126
    3014	     149
    3026	     168
    3028	     173
    2997	     144
    2928	      66
    2943	      83
    3006	     143
    3060	     199
    3060	     184
    3068	     208
    3072	     208
    3107	     245
    3143	     274
    3112	     249
    3102	     236
    3102	     229
    3072	     209
    3041	     179
    3060	     193
    3077	     212
    3050	     194
    3072	     211
    3041	     182
    3045	     213
    3045	     228
    3050	     228
    3058	     239
    3077	     245
    3072	     248
    3019	     189
    3033	     200
    3048	     202
    3068	     210
    3090	     224
    3072	     195
    3097	     200
    3087	     176
    3077	     161
    3092	     166
    3124	     185
    3112	     158
    3102	     123
    3075	      79
    3021	      28
    2982	      19
    2977	       1
    2955	       0
    2965	      26
    3014	      74
    3082	     187
    3026	     115
    3011	      98
    3021	     130
    3041	     126
    3009	      84
    3021	      85
    3041	     116
    3070	     149
    3082	     150
    3124	     662
    3099	     664
    3048	     594
    3072	     592
    3092	     596
    3082	     550
    3082	     548
    3097	     536
    3053	     478
    3023	     430
    3060	     462
    3058	     448
    3070	     458
    3070	     473
    3060	     474
    3072	     455
    3072	     454
    3075	     443
    3082	     437
    3087	     425
    3085	     407
    3090	     391
    3104	     394
    3087	     360
    3065	     332
    2992	     229
    2992	     227
    2860	      60
    3006	     200
    3134	     293
    3124	     280
    3153	     288
    3087	     240
    3023	     153
    3041	     165
    3060	     170
    2948	      88
    2982	     164
    2989	     127
    2977	      89
    3033	     144
    3041	     122
    3116	     182
    3178	     224
    3173	     621
    3156	     789
    3112	    1048
    3053	    1059
    3060	    1440
    3087	    1505
    3138	    1645
    3131	    1611
    3075	    1538
    3011	    1450
    3011	    1433
    3031	    1437
    3004	    1420
    3033	    1409
    3021	    1395
    2972	    1311
    3055	    1367
    3109	    1416
    3055	    1334
    3109	    1378
    3087	    1336
    3033	    1249
    3048	    1255
    3077	    1248
    3050	    1197
    3050	    1189
    3053	    1174
    3072	    1179
    3041	    1124
    3055	    1142
    3085	    1156
    3085	    1139
    3043	    1153
    3016	    1145
    3023	    1137
    3041	    1133
    3048	    1113
    3060	    1115
    3072	    1117
    3077	    1241
    3080	    1391
    3102	    1765
    3109	    1769
    2999	    1792
    3050	    2415
    3045	    2513
    3055	    2496
    3048	    2480
    3163	    2744
    3102	    2996
    3109	    3037
    3092	    3041
    3048	    3030
    3014	    3037
    2984	    3031
    3033	    3033
    3055	    3033
    3055	    3036
    3082	    3035
    3009	    2427
    3060	    2460
    3033	    2420
    3014	    2361
    2982	    2296
    2864	    2199
    2554	    1859
    2194	    1479
    1913	    1175
    1683	     919
    1445	     659
    1237	     451
    1034	     270
     824	      78
     685	       3
     692	       0
     689	       0
     687	      26
     680	      18
     682	      27
     694	      33
     692	      30
     702	      24
     699	       0
     665	       0
     685	      41
     685	      57
     687	      75
     675	      95
     670	     109
     677	     131
     682	     148
     689	     167
     670	     169
     675	     199
     675	     223
     677	     284
     685	     443
     694	     461
     689	     467
     702	     481
     699	     455
     682	     421
     675	     400
     694	     403
     689	     401
     692	     373
     682	     347
     680	     384
     680	     376
     831	     547
     870	     575
     915	     617
     937	     635
    1022	     718
    1064	     768
    1130	     839
    1189	     911
    1215	     947
    1264	    1036
    1296	    1118
    1333	    1232
    1404	    1361
    1492	    1682
    1543	    1764
    1656	    1907
    1854	    2234
    2170	    2484
    2378	    2727
    2497	    2542
    2935	    2639
    3077	    2770
    3097	    2795
    3156	    2674
    3173	    2585
    3045	    2441
    3023	    2415
    3129	    2497
    3085	    2484
    3082	    2493
    3053	    2481
    3043	    2485
    3014	    2458
    2989	    2416
    3058	    2484
    3109	    2535
    3156	    2587
    3158	    2508
    3141	    2429
    3178	    2387
    3195	    2395
    3146	    2336
    3063	    2251
    3119	    2469
    3141	    2619
    3141	    2634
    3112	    2629
    3043	    2528
    2987	    2291
    3014	    2315
    2957	    2257
    2933	    2233
    2921	    2282
    2972	    2304
    3045	    2396
    3097	    2449
    3124	    2473
    3116	    2467
    3143	    2564
    3116	    2563
    3156	    2529
    3146	    2513
    3158	    2524
    3185	    2555
    3195	    2572
    3109	    2473
    3266	    2626
    3305	    2568
    3242	    2520
    3212	    2412
    3025	    2221
    2993	    2192
    3004	    2209
    3030	    2241
    3040	    2268
    3109	    2338
    3094	    2332
    3084	    2326
    3069	    2323
    3086	    2341
    3050	    2311
    3075	    2350
    3054	    2344
    3050	    2357
    3045	    2760
    3050	    3094
    2983	    3074
    3034	    2941
    3107	    2912
    3114	    2918
    3088	    2859
    3120	    2887
    3124	    2863
    3180	    2884
    3207	    2387
    3175	    2725
    3133	    2669
    3124	    2647
    3019	    2520
    3005	    2499
    2995	    2471
    3001	    2463
    2993	    2447
    2995	    2441
    2977	    2427
    2977	    2418
    2983	    2420
    3052	    2495
    3071	    2510
    3079	    2520
    3071	    2521
    3075	    2530
    3085	    2592
    3088	    2628
    3126	    2703
    3145	    2925
    3246	    3085
    3194	    3006
    3137	    3119
    3124	    3220
    3082	    3218
    3066	    2996
    2982	    2766
    2988	    3219
    2987	    2945
    3040	    2074
    3060	    2044
    3094	    2008
    3042	    1904
    3061	    1890
    3061	    1852
    3053	    1816
    3072	    1791
    3100	    1809
    3105	    1796
    3122	    1803
    3118	    1784
    3054	    1677
    3071	    1689
    3040	    1634
    3033	    1661
    3017	    1637
    3014	    1633
    3050	    1742
    3014	    1707
    3045	    1704
    3004	    1635
    3019	    1639
    2987	    1629
    3022	    1631
    3029	    1630
    3038	    1624
    3040	    1645
    3020	    1634
    3024	    1921
    3081	    3221
    3110	    3223
    3068	    2814
    3091	    2878
    3089	    2870
    3063	    2880
    3126	    3218
    3154	    3221
    3129	    2959
    3071	    3015
    3077	    3224
    3023	    2731
    2922	    2492
    2932	    2520
    2949	    2329
    3156	    1996
    3153	    1601
    3171	    1823
    3248	    1564
    3261	     231
    3293	       0
    3248	       0
    3247	       0
    3187	       0
    3249	      45
    3252	      54
    3276	       0
    3215	       0
    3235	       0
    3246	       0
    2969	       0
    2980	       0
    3065	      60
    3156	     130
    3259	     292
    2900	       0
    2876	       0
    3104	     226
    3194	     306
    3069	     129
    3019	      37
    2927	       0
    2925	       0
    2977	      57
    2985	      48
    3168	     231
    3145	     184
    3216	     244
    3154	     184
    3191	     218
    3077	      87
    3067	      55
    3075	      73
    3039	      18
    3061	      29
    3035	       0
    3062	      42
    3088	      52
    3052	       5
    3062	       0
    3020	       0
    2990	       0
    3013	       0
    2952	       0
    3162	     183
    3099	     115
    3077	      74
    3065	      52
    3078	      50
    2982	       0
    2971	       0
    2962	       0
    3040	      44
    3156	     176
    3082	      79
    3125	     104
    3139	     100
    2985	       0
    3019	      15
    2957	       0
    2969	      13
    3006	      42
    3050	      66
    3034	      54
    3048	      65
    3101	     105
    3068	      75
    3099	      83
    3087	      68
    2987	       0
    2989	       0
    3063	      54
    3105	      78
    3053	      48
    3069	      32
    3071	      72
    3114	     121
    3152	     140
    3101	      72
    3078	      12
    3161	      73
    3052	       0
    2944	       0
    2993	      42
    3040	      65
    2988	      24
    3005	       2
    3041	       7
    3088	      40
    3100	      26
    3082	       0
    3061	       0
    3061	       0
    3094	      18
    3061	       0
    3125	      54
    3144	      35
    3161	      32
    3086	       0
    3038	       0
    3004	       0
    3010	       0
    2973	       0
    3019	      13
    3061	      39
    3098	      54
    3132	      86
    3183	     106
    3207	      96
    2994	       0
    3086	      62
    3051	      12
    3044	       0
    3126	      56
    3133	      46
    3160	      37
    3137	       0
    3099	       0
    3017	       0
    3045	      33
    3047	      18
    3087	      52
    3077	      24
    3040	       0
    3132	      74
    3125	      51
    3128	      37
    3019	       0
    3072	      36
    3114	      67
    3102	      70
    3102	     100
    3111	      75
    3098	      63
    3101	      36
    3196	     120
    3201	     107
    3175	      63
    3166	      40
    3063	       0
    3050	      15
    3040	     304
    3029	     444
    3142	     681
    3142	     681
    3119	     980
    3052	    1125
    2991	    1024
    2948	     983
    2789	     790
    2796	     769
    2791	     744
    2791	     735
    2888	     850
    2919	     872
    2956	     905
    2940	     892
    2957	     913
    2990	     941
    3069	    1019
    3114	    1061
    3104	    1045
    3084	    1028
    3111	    1097
    3123	    1081
    3080	    1061
    3031	    1002
    3058	    1021
    2990	     972
    2986	     968
    3016	     995
    3051	    1012
    3073	    1011
    3093	    1031
    3061	     966
    3064	     951
    3053	     938
    3056	     938
    3066	     925
    3049	     883
    3031	     868
    3018	     846
    3058	     875
    2915	     736
    2869	     666
    2911	     664
    2956	     715
    2922	     658
    2969	     693
    2974	     701
    2956	     688
    2961	     683
    2965	     699
    2887	     625
    2862	     586
    2926	     639
    2940	     678
    2951	     683
    2848	     574
    2862	     595
    2934	     669
    2981	     720
    3021	     768
    3047	     799
    3073	     876
    3087	     914
    3126	     945
    3113	     939
    3114	     935
    3085	     922
    3083	     912
    3111	     978
    3148	    1040
    3082	     956
    3079	     958
    3098	    1001
    3073	    1001
    3058	    1003
    3034	    1005
    3033	    1009
    3068	    1056
    3101	    1107
    3106	    1118
    3134	    1165
    3125	    1157
    3175	    1220
    3228	    1282
    3260	    1309
    3192	    1280
    3107	    1212
    3075	    1181
    3118	    1235
    3077	    1193
    3067	    1181
    3080	    1202
    3087	    1227
    3098	    1261
    3066	    1252
    3103	    1302
    3092	    1322
    3129	    1369
    3153	    1420
    3126	    1418
    3096	    1415
    3057	    1396
    3064	    1425
    3079	    1460
    2993	    1392
    2985	    1407
    3113	    1733
    3105	    1807
    3124	    1854
    3191	    1955
    3148	    1905
    3108	    1846
    2971	    1700
    2989	    1739
    3047	    1797
    3082	    1811
    3099	    1834
    3137	    1859
    3122	    1847
    3204	    1929
    3116	    1820
    3166	    1851
    3019	    1684
    2998	    1664
    2973	    1620
    3040	    1732
    3041	    1721
    3119	    1815
    3173	    1856
    3074	    1743
    3040	    1746
    3032	    1754
    2996	    1856
    3064	    1910
    3067	    1893
    3036	    1845
    3061	    1857
    3049	    1852
    3043	    1839
    3036	    1825
    3056	    1830
    3046	    1816
    2965	    1730
    3027	    1788
    3031	    1801
    3045	    1868
    3024	    1899
    3043	    2038
    3081	    2052
    3019	    1870
    2861	    1661
    2946	    1717
    2913	    1659
    2874	    1582
    2956	    1652
    2935	    1630
    3065	    1749
    3056	    1710
    3054	    1716
    3021	    1678
    3019	    1659
    3069	    1700
    3097	    1729
    3058	    1681
    3083	    1702
    3035	    1649
    3029	    1646
    3063	    1687
    3092	    1713
    3047	    1668
    3029	    1642
    3061	    1677
    3092	    1714
    3047	    1655
    3054	    1671
    3031	    1638
    3052	    1674
    3045	    1681
    3007	    1639
    3039	    1677
    3032	    1673
    3049	    1695
    3046	    1698
    3064	    1707
    3064	    1693
    3057	    1747
    3077	    1753
    3079	    1754
    3091	    1768
    3089	    1773
    3120	    1795
    3099	    1779
    3038	    1712
    3026	    1697
    2998	    1668
    2998	    1667
    3038	    1712
    3054	    1720
    3002	    1684
    3003	    1706
    3040	    1735
    3050	    1739
    3040	    1721
    3040	    1765
    3007	    1753
    3009	    1765
    3113	    1868
    3104	    2072
    3094	    2217
    3101	    2336
    3137	    2974
    3174	    3188
    3137	    3186
    3084	    3225
    3033	    3222
    2987	    3222
    2989	    3223
    3021	    3222
    3044	    3219
    2999	    3200
    3035	    3170
    3012	    3143
    2996	    3130
    2966	    3110
    3143	    3116
    3145	    3113
    3144	    3100
    3138	    3206
    3100	    3226
    3049	    3198
    3050	    3201
    3070	    3196
    3084	    3200
    3102	    3190
