1985-01-01
     obs	     sim
  112045	  109300
  113144	  110100
  112924	  109400
  114702	  109200
  113203	  106900
  112434	  104300
  112718	  102000
  111470	  100200
  112535	   99210
  114343	   98920
  114959	   98390
  113239	   96210
  112593	   95470
  111661	   93330
  112119	   92990
  114546	   93660
  114025	   92790
  114083	   91490
  114020	   90960
  115500	   89980
  115221	   87790
  113296	   85410
  113254	   84700
  111862	   82490
  110365	   80040
  111299	   80960
  113369	   81970
  114242	   81320
  114751	   84310
  114881	   97680
  116104	  100700
  122595	   97090
  127625	   95050
  130023	  100000
  128014	   97350
  123532	   88950
  118913	   80350
  117633	   75300
  115720	   70450
  113144	   69030
  111864	   68030
  112801	   67080
  114575	   64810
  114443	   60880
  112623	   56650
  114005	   56160
  113215	   54690
  114504	   53770
  112926	   52470
  113689	   49640
  112909	   46900
  114071	   45700
  114937	   44190
  112067	   40820
  111505	   40280
  112774	   37500
  112532	   35630
  114071	   35110
  113685	   32750
  114025	   29490
  111617	   26360
  110722	   26210
  112297	   26250
  113680	   26020
  114225	   24440
  113320	   22630
  112968	   20400
  112209	   20450
  113335	   21870
  113592	   20690
  113183	   19370
  113308	   18190
  113056	   16340
  111326	   14430
  111006	   15410
  111757	   16280
  113366	   16070
  113408	   16810
  113281	   18190
  114913	   18530
  114414	   18090
  115759	   18940
  117506	   19070
  117587	   17450
  117124	   15670
  117044	   13630
  115561	   10090
  117323	    8530
  115737	    7565
  114746	    6876
  116836	    7024
  116797	    6944
  116361	    6437
  115343	    8246
  117342	    8631
  118546	   10080
  121607	   11200
  122578	   11320
  124141	   11020
  123904	    9738
  122495	    8465
  122580	    7933
  121687	    9740
  122142	   11490
  124491	   12310
  125991	   12610
  127694	   12440
  127275	   11510
  124528	    8235
  124755	    8550
  124325	    8788
  123945	    7177
  122292	    5698
  123082	    5888
  124104	    6717
  124347	    7396
  123833	    7545
  123278	    7455
  124016	    7453
  124391	    8983
  125453	    9960
  127190	   11210
  125565	    8945
  123273	    8034
  122752	    7883
  123167	    9527
  124158	   11050
  123593	   10840
  124344	   11080
  124315	   10540
  124327	   10450
  126419	   10000
  124437	    9103
  124300	    5992
  125565	    4044
  122937	    3546
  121594	    2749
  122032	    3813
  122429	    4673
  123561	    5535
  123906	    5515
  123733	    5645
  124043	    5747
  123468	    5536
  122977	    6181
  123405	    7367
  121690	    7073
  122996	    6828
  124156	    7835
  123072	    7195
  122940	    5733
  122818	    6734
  121156	    7338
  121220	    4924
  121641	    4775
  120870	    5401
  120973	    5269
  124975	    9783
  125558	   12340
  125291	   13130
  124538	   11700
  120767	    8020
  116586	    5007
  119975	    8719
  120706	   10980
  122245	   13140
  123167	   15060
  123221	   13930
  120997	   12320
  122407	   14630
  126248	   16890
  126094	   18300
  126040	   18540
  126847	   19020
  124401	   17220
  123657	   15590
  120183	   12240
  119835	   10460
  122881	   14710
  123723	   17130
  125100	   19100
  122671	   16220
  121514	   14960
  119532	   12920
  121751	   16150
  122583	   16990
  123402	   18710
  123877	   19870
  123278	   17840
  120638	   15620
  118815	   12930
  116456	   10010
  119018	   12910
  121301	   16300
  121597	   17980
  120540	   15940
  116860	   12930
  115630	   11960
  118563	   14210
  117910	   14040
  119241	   15560
  119970	   16750
  117389	   14450
  114154	   21060
  114012	   21500
  115338	   23860
  117452	   31880
  123278	   38310
  123894	   39430
  123204	   36870
  124432	   36110
  121785	   34010
  117340	   29990
  118705	   29890
  120696	   32760
  122380	   35150
  120873	   34180
  119473	   35200
  118482	   34480
  116346	   33010
  114560	   29220
  113530	   30870
  115796	   33260
  118081	   33890
  116513	   33810
  114825	   32600
  113552	   68580
  114003	   73360
  118262	   74400
  125110	   77550
  122942	   75740
  120491	   72580
  116097	   68820
  113579	   66220
  111392	   80160
  117364	   88920
  120868	   92180
  119522	   98530
  119187	  102100
  117692	  101400
  117176	  100500
  116938	   99860
  118710	   99840
  117027	  101900
  115121	  100800
  115478	  101100
  113354	   99120
  111054	   97150
  112916	   97140
  114984	  101800
  117181	  104300
  118803	  103000
  115793	  101800
  112040	  100800
  111820	  101100
  112297	  103700
  113829	  107800
  114695	  110300
  115126	  109900
  114330	  109200
  112464	  108400
  111991	  110500
  112858	  113700
  112985	  116700
  114242	  119800
  114191	  119800
  114947	  120700
  115913	  123200
  115351	  125200
  113327	  125900
  114012	  127700
  114020	  133200
  114854	  129500
  118174	  128200
  120625	  127900
  120633	  125100
  118313	  124900
  118233	  125200
  116689	  125000
  117638	  124700
  117345	  124300
  116650	  124000
  117677	  124600
  117611	  124800
  117345	  125500
  115737	  126100
  117161	  125700
  114739	  124200
  114688	  124000
  115157	  124100
  116378	  124900
  117425	  126400
  115933	  128300
  116757	  129500
  118304	  129000
  117068	  127500
  116611	  126400
  116740	  126900
  117345	  128800
  117587	  129500
  118076	  128100
  113518	  125400
  113628	  126000
  113462	  126300
  113589	  126600
  113653	  127000
  114514	  128000
  113829	  128800
  114140	  127400
  114685	  127400
  114025	  126200
  115299	  126500
  116244	  127400
  114932	  126800
  112897	  124600
  113024	  123700
  113291	  123500
  112951	  123600
  114695	  124500
  113968	  123900
  112845	  123700
  112990	  123400
  110984	  121500
  111529	  121300
  113078	  122200
  110961	  120200
  111549	  120900
  113141	  122000
  112491	  122000
  112290	  123100
  112960	  125200
  115583	  126400
  116973	  128000
  119852	  125700
  120843	  125800
  121418	  122600
  120941	  121200
  119605	  119500
  118333	  117200
  116386	  114800
  112373	  110800
  112383	  110100
  109702	  107600
  110460	  108900
  111152	  113700
  112410	  115000
  113611	  115500
  114404	  114900
  112884	  113700
  110196	  110300
  113229	  110400
  112437	  111000
  111664	  109000
  113048	  109400
  113689	  110700
  113506	  110500
  113117	  110100
  111982	  110200
  111561	  108800
  111453	  110300
  112535	  110900
  113163	  112600
  112547	  113600
  112782	  114300
  113215	  114400
  112914	  115100
  113229	  117100
  113753	  120900
  111392	  121500
  112946	  122500
  113293	  124400
  111556	  123900
  111238	  124600
  113261	  126100
  113310	  126300
  113286	  127000
  113335	  127600
  113388	  127200
  113934	  127800
  113044	  126800
  112625	  126500
  111864	  128200
  112674	  130000
  113702	  131500
  113978	  129800
  113565	  130100
  113012	  129900
  113276	  130200
  114595	  130800
  113614	  130800
  113499	  131000
  113112	  125500
  114255	  123000
  113785	  124700
  113567	  125400
  113677	  126100
  113318	  126800
  113667	  126900
  113225	  127000
  113626	  127400
  114497	  128000
  112290	  126400
  112241	  124500
  113379	  124800
  114546	  125000
  113256	  124100
  112366	  120700
  112471	  122300
  115267	  126200
  116224	  126700
  118017	  127100
  114702	  127900
  116461	  126500
  123084	  120600
  126754	  117000
  126304	  112800
  127652	  110700
  123074	  106600
  116953	  100600
  113763	   96580
  115588	   96690
  115659	   96720
  114333	   95670
  112559	   93940
  110489	   91810
  109755	   90980
  110470	   91780
  112143	   92470
  110572	   91240
  111258	   91430
  112505	   91760
  113760	   94560
  111693	   95100
  112070	   94440
  113217	   97470
  110191	   96740
  111852	   96750
  112307	   94730
  112062	   93550
  112295	   93820
  113347	   95920
  111859	   96850
  113900	   95760
  117007	   95320
  118132	   94520
  116043	   91900
  114817	   91200
  115674	   91270
  114612	   91070
  113917	   90270
  114502	   89660
  111691	   88220
  112273	   89490
  112258	   90280
  113046	   90930
  113870	   91680
  114056	   91930
  113741	   91760
  112334	   91430
  112650	   92060
  112943	   93110
  113467	   93880
  114881	   94650
  114842	   95500
  115593	   96010
  114719	   95480
  113870	   95690
  113631	   96490
  113633	   96610
  113489	   97590
  113795	   98900
  114910	   99820
  114333	  101200
  113521	  103300
  113335	  106100
  113814	  108600
  113741	  110300
  114825	  112100
  114810	  113300
  116087	  114900
  116092	  116500
  116356	  118600
  117264	  120300
  117670	  121400
  117748	  122200
  117905	  123600
  118482	  124400
  118238	  125000
  117748	  125600
  117506	  126500
  116278	  127200
  117002	  128100
  117995	  128400
  117831	  128500
  117506	  128700
  116474	  130200
  118157	  131300
  118238	  132000
  118534	  132300
  119302	  132300
  117907	  132400
  118646	  132700
  119630	  133300
  120608	  132300
  120349	  132300
  120816	  132700
  120912	  132400
  121425	  132600
  122546	  132800
  121690	  132500
  124525	  132500
  123285	  130200
  125010	  131600
  126248	  131100
  125736	  131000
  122458	  129900
  122776	  131100
  122786	  132800
  123698	  132600
  122825	  132800
  123789	  132600
  124550	  132700
  124491	  133000
  125169	  133000
  125736	  132100
  125736	  131900
  126165	  132600
  125565	  131500
  123011	  130000
  119794	  129400
  118130	  129400
  119370	  132100
  120574	  132400
  121834	  132700
  124156	  133900
  123153	  130700
  121470	  129000
  120082	  128100
  119463	  127400
  119045	  129900
  119948	  132000
  120875	  132900
  124007	  134000
  121893	  129400
  119069	  127000
  118678	  130400
  120782	  131600
  123784	  133800
  124697	  133400
  125822	  133000
  121384	  127100
  116598	  123100
  118482	  124100
  119422	  129300
  121367	  130900
  121521	  132300
  123635	  131300
  117149	  126200
  114942	  124600
  116427	  127300
  116682	  129200
  118563	  131100
  119821	  130500
  121680	  128600
  119241	  125700
  112740	  123200
  113535	  124900
  114624	  126300
  115815	  127800
  118000	  129400
  117144	  128200
  113494	  125800
  110680	  122900
  111894	  125500
  114191	  127400
  113976	  127700
  113435	  128600
  115698	  132600
  113320	  129500
  110922	  128700
  111223	  129200
  113582	  131700
  114274	  132700
  115791	  132700
  116224	  133600
  112461	  128300
  110201	  128000
  112725	  130900
  113924	  132900
  114854	  132200
  116011	  131900
  117090	  130700
  115192	  128300
  110345	  125900
  112659	  129000
  114710	  131700
  114893	  131600
  115517	  132700
  116819	  133000
  114171	  127900
  112789	  124500
  111514	  128600
  113746	  132200
  115674	  132400
  115955	  131500
  116158	  129900
  112168	  127500
  110864	  128600
  111695	  131600
  114531	  132200
  116948	  131700
  117604	  129000
  117961	  128000
  114264	  125100
  109467	  120900
  111556	  122500
  113875	  124400
  115331	  128300
  115463	  129700
  117264	  129600
  111965	  126600
  111228	  125100
  113286	  127400
  113425	  129600
  115111	  130800
  116992	  130600
  117944	  130500
  115089	  128600
  112623	  126100
  113839	  127000
  114426	  127700
  115644	  129600
  115926	  129100
  117261	  129200
  116339	  128100
  113765	  126900
  113998	  127400
  114399	  127400
  114223	  127000
  114984	  128100
  115830	  129300
  115862	  130600
  115280	  129600
  114693	  129000
  114247	  129900
  114012	  130800
  115121	  131800
  115950	  131800
  115304	  132300
  116097	  132300
  116562	  132000
  116058	  129600
  115705	  128800
  115581	  128200
  116574	  129000
  117523	  131100
  116828	  131500
  116757	  127400
  116938	  126700
  116430	  127600
  116481	  127000
  117592	  127500
  120026	  125800
  120926	  124000
  119432	  120600
  119158	  119400
  117305	  116600
  114798	  114500
  112588	  112000
  113276	  113500
  113511	  114200
  114169	  113600
  114384	  113700
  114815	  114000
  114304	  114500
  114634	  120900
  115529	  124900
  115177	  128400
  115752	  125700
  115282	  128500
  116574	  127800
  116112	  126700
  114595	  126000
  114409	  126700
  116868	  128000
  116728	  126200
  116439	  125400
  118798	  126300
  122020	  126400
  120493	  126500
  117844	  126400
  117105	  126000
  125922	  121200
  127016	  114800
  128736	  106800
  127632	   99790
  123505	   91280
  118639	   84830
  115776	   80480
  114516	   78380
  112855	   76090
  113090	   75350
  112701	   74640
  112762	   73890
  111786	   74080
  114284	   79580
  113420	  118100
  115713	  119700
  123300	  119700
  127099	  118300
  127992	  114900
  126524	  111000
  122416	  106100
  118744	  101300
  116271	   98120
  114250	   95510
  113388	   93440
  112143	   91680
  111850	   90900
  111764	   90540
  112439	   96860
  113533	  103800
  114759	  107200
  116493	  107800
  116983	  107700
  116963	  109400
  115906	  110200
  115439	  111800
  116383	  116000
  116055	  118600
  114836	  121400
  114927	  121800
  115204	  122400
  112066	  121100
  110391	  119400
  112503	  125300
  113716	  124900
