1985-01-01
     obs	     sim
   21143	   20730
   21062	   20270
   21033	   19860
   21233	   19180
   21226	   18570
   21135	   18010
   20998	   17170
   20808	   16340
   20661	   15940
   20507	   15140
   20289	   14290
   20152	   13700
   20142	   13300
   19949	   12470
   19839	   11850
   19748	   11230
   19636	   10360
   19609	    9863
   19381	    9153
   19127	    8499
   19014	    7739
   18941	    6872
   18828	    6326
   18750	    5826
   18481	    5110
   18730	    4866
   18748	    4761
   18821	    5045
   19168	   10340
   19164	   15070
   18921	   19380
   20698	   19620
   22187	   20330
   22848	   21130
   23230	   22330
   23293	   21670
   23279	   20950
   23147	   20250
   23034	   19690
   22787	   19070
   22454	   18550
   22249	   18000
   22241	   17220
   22019	   16400
   21970	   15670
   21879	   15350
   21750	   14970
   21838	   15120
   21923	   15270
   22165	   15020
   22574	   14880
   22897	   14680
   23205	   14510
   23374	   14800
   23489	   16470
   23704	   16140
   23920	   15920
   24296	   15530
   24646	   15350
   24803	   14990
   24840	   14630
   25092	   14810
   25339	   14590
   25498	   14110
   25625	   13710
   25764	   13330
   25828	   12960
   25941	   12550
   25860	   12320
   25816	   11930
   25718	   11530
   25718	   11110
   25676	   10540
   25684	   10170
   25750	    9780
   25698	    9378
   25681	    8931
   25693	    9631
   25728	    9968
   25698	    9863
   25740	   10050
   25828	    9745
   25906	    9400
   25892	    8939
   25923	    8509
   25948	    8059
   25975	    7546
   25948	    7235
   26046	    7388
   26109	    7281
   26036	    6824
   26183	    6632
   26237	    6406
   26224	    8588
   26271	    8531
   26569	    8545
   26731	    8542
   26812	    8398
   26966	    8246
   27073	    8078
   27176	    7956
   27220	    8541
   27352	   10150
   27477	   10450
   27629	   10130
   27719	   10020
   27812	    9713
   27842	    9554
   27820	    9218
   28025	    9015
   28108	    9009
   27758	    8367
   27807	    8019
   27854	    7721
   27915	    7818
   27937	    7818
   28035	    7530
   28113	    7487
   28086	    7108
   28057	    7394
   28120	    7402
   28218	    7054
   28301	    6960
   28443	    6740
   28524	    6512
   28475	    6496
   28661	    6455
   28752	    6540
   28774	    6772
   28840	    6470
   29062	    7941
   29248	    8007
   29376	    7701
   29469	    7373
   29774	    7325
   29965	    7274
   30036	    6924
   30163	    6920
   30278	    7006
   30273	    6739
   30273	    6368
   30264	    6016
   30249	    5687
   30278	    5471
   30308	    5377
   30369	    5384
   30423	    5154
   30450	    4878
   30604	    4659
   30682	    4373
   30770	    3914
   30883	    3605
   30892	    3323
   30863	    2857
   31100	    2545
   31010	    3295
   31010	    4557
   31081	    4160
   31299	    3867
   31303	    4302
   31259	    5277
   31250	    4851
   31404	    4810
   31585	    4631
   31661	    4490
   31548	    4316
   31651	    4677
   31619	    4629
   31636	    4198
   31817	    3992
   31854	    3692
   31807	    3128
   32023	    2840
   32069	    2812
   32013	    2373
   32214	    1932
   32287	    1441
   32441	    1031
   32505	     925
   32568	    1620
   32698	    2150
   32793	    1909
   32789	    1665
   32771	    1846
   32894	    2076
   32906	    1902
   33053	    1835
   33165	    1804
   33021	    1549
   32938	    1291
   32884	    1024
   32857	     748
   32784	     425
   32943	     314
   33001	     269
   32710	       0
   32762	       0
   32573	       0
   32329	       0
   32145	       0
   32069	       0
   31920	       0
   31778	       0
   31732	       0
   31761	       0
   31675	     278
   31524	     774
   31543	    1002
   31590	    1280
   31538	     887
   31722	     646
   31947	     395
   32074	      96
   32152	       0
   32130	       0
   32008	       0
   31827	       0
   31834	       0
   31896	     161
   31986	     913
   32111	     731
   32282	     558
   32214	     361
   32074	      68
   32157	       0
   32250	    1907
   32275	    4296
   32348	    4912
   32747	    4731
   32989	    4600
   32979	    4341
   33124	    4080
   33151	    4339
   33133	    5551
   33080	    7611
   33332	    7350
   33547	    7681
   33630	    7316
   33770	    6912
   33863	    6502
   33946	    6145
   34066	    5814
   34026	    5392
   33880	    4982
   33796	    4627
   34039	    4526
   34088	    4352
