1985-01-01
     obs	     sim
   13578	   13160
   13558	   13040
   13906	   13150
   13879	   12990
   14116	   12760
   14006	   12600
   13879	   12160
   12893	   11020
   12086	   10020
   12064	    9854
   12377	    9969
   13025	   10440
   13659	   10990
   13409	   10710
   13487	   10800
   13898	   10910
   13857	   10960
   14013	   10890
   14001	   10790
   13182	    9810
   12455	    8671
   12223	    8379
   12157	    8160
   12281	    7991
   12377	    8162
   13189	    8709
   13818	    9280
   13879	    9322
   13864	    9990
   14295	   12490
   14082	   12430
   14451	   11320
   14459	   10550
   14221	   10110
   13894	    9654
   14009	    9552
   14187	    9470
   13825	    8896
   13639	    8571
   13771	    8963
   13925	    9268
   13350	    8556
   13172	    7905
   13639	    8120
   13886	    8046
   14062	    8764
   14028	    8740
   14028	    8744
   13585	    8069
   13120	    7422
   12122	    6210
   12210	    6028
   12438	    6059
   12900	    6536
   13350	    7025
   13409	    7099
   13766	    7141
   13705	    7085
   13818	    6809
   13627	    6513
   13713	    6472
   13894	    6532
   13326	    5892
   12844	    5321
   12122	    4585
   12139	    4678
   12147	    4706
   12714	    5084
   13108	    5429
   13287	    5569
   13294	    5652
   14021	    5974
   14082	    5924
   13987	    5783
   13921	    5588
   13852	    5518
   13260	    4924
   12597	    4189
   12159	    3845
   12169	    4024
   12531	    4487
   12913	    4756
   12932	    4897
   13370	    5135
   13461	    5147
   13507	    5171
   13825	    5379
   13786	    5391
   13818	    5350
   13798	    5301
   13818	    5267
   13994	    5283
   14055	    5283
   13933	    5814
   13987	    5906
   14241	    5976
   14422	    6094
   14221	    5815
   14451	    5793
   14043	    5334
   13947	    5199
   13845	    5114
   13840	    5436
   13771	    5553
   13825	    5511
   13818	    5434
   13933	    5419
   13771	    5229
   13752	    5236
   13825	    5211
   13974	    5221
   13818	    5056
   13886	    5085
   13906	    5078
   13793	    4949
   13659	    4899
   13678	    4864
   13793	    4957
   13994	    5030
   13798	    5276
   13886	    6089
   14180	    6325
   13867	    5829
   13982	    5769
   14097	    5822
   13744	    5358
   13818	    5469
   13913	    5555
   13872	    5636
   14009	    5641
   14021	    5637
   13906	    5482
   13994	    5503
   14187	    5582
   14138	    5543
   14055	    5504
   13845	    5362
   13779	    5336
   13906	    5424
   13886	    5461
   13771	    5338
   13813	    5490
   13982	    5521
   14048	    5563
   13940	    5546
   14021	    5626
   14097	    5705
   13967	    5593
   13967	    5396
   13732	    5169
   13779	    5055
   13786	    5154
   13585	    4954
   13417	    5024
   13541	    4994
   13534	    5576
   13739	    5996
   14187	    6097
   13940	    5794
   14077	    5937
   14187	    6244
   14508	    6332
   14221	    6163
   14270	    6139
   14248	    6118
   14138	    6402
   14214	    7043
   14657	    7239
   14586	    7242
   14417	    7100
   14395	    7018
   13894	    6634
   13925	    6750
   14192	    6973
   14221	    6927
   13894	    6599
   13894	    6493
   14229	    6847
   14221	    6848
   14283	    6913
   14410	    7060
   14275	    6952
   14077	    6764
   14124	    6827
   14131	    6807
   14173	    6847
   14248	    6875
   14165	    6920
   14146	    6886
   14036	    6706
   14221	    6647
   14319	    6686
   14104	    6495
   14124	    6540
   14028	    6676
   13987	    6513
   14016	    6353
   13867	    6306
   14104	    6378
   14111	    6347
   14444	    6498
   14642	    6590
   14089	    6003
   14062	    5757
   14077	    5470
   14146	    5733
   14256	    5876
   14473	    5946
   14549	    5963
   14422	    5826
   14586	    6068
   14354	    6050
   13994	    5555
   14165	    5387
   14263	    5155
   14158	    5218
   13925	    5067
   13982	    5340
   14229	    5308
   13940	    4870
   13987	    4622
   13859	    4372
   13940	    4335
   14055	    4244
   13913	    4023
   14180	    4712
   14048	    6728
   14187	    6793
   14180	    6073
   13859	    5609
   13678	    5165
   14082	    5362
   14070	    5185
   14270	    5396
   14312	    6104
   14270	    6315
   14324	    5920
   14402	    5249
   13585	    3837
   13872	    4023
   13818	    3924
   14111	    3924
   14089	    3701
   13974	    3400
   13982	    3175
   13752	    2790
   13725	    2788
   14036	    2926
   13987	    2786
   13429	    2216
   13806	    2492
   13759	    2292
   13825	    2221
   13894	    2212
   13921	    2187
   13994	    2087
   14062	    2008
   13913	    1957
   13806	    1869
   14021	    1775
   13732	    1420
   13894	    1492
   13825	    1313
   13845	    1117
   13879	    1262
   13818	    1220
   14116	    1500
   14339	    1678
   14263	    1563
   14263	    1407
   14256	    1333
   14229	    1314
   14116	    1751
   13686	    1160
   13766	    1083
   13744	     961
   13960	    1043
   13739	     699
   13693	     579
   13145	       0
   12621	       0
   11975	       0
   12470	     400
   12788	     708
   13294	    1138
   13651	    1464
   13346	    1320
   13732	    1443
   13771	    1504
   13852	    1614
   13786	    1541
   14048	    2000
   14146	    2334
   14346	    2497
   14275	    2681
   13813	    2150
   13879	    2195
   13994	    2362
   14070	    2427
   14036	    2439
   14070	    2469
   14043	    2449
   14153	    2676
   14214	    2807
   14290	    2971
   14312	    3435
   14305	    3496
   14275	    3317
   14077	    3018
   13025	    1851
   12511	    1276
   12022	     643
   11848	     603
   11912	     671
   11895	     634
   12360	     930
   12820	    1372
   13165	    1822
   13534	    2301
   13678	    2500
   13967	    2744
   14097	    2852
   14192	    3223
   14283	    3466
   14410	    3527
   14221	    3443
   14124	    3305
   14089	    3289
   14070	    3582
   14138	    4331
   14444	    4894
   14701	    5041
   14116	    4246
   14016	    4181
   14089	    4131
   13519	    3347
   12739	    2599
   12379	    1993
   12046	    1816
   12276	    1907
   12470	    2039
   12690	    2056
   12658	    2097
   12670	    2255
   12795	    2521
   12957	    2666
   13064	    2763
   13377	    3160
   13840	    3514
   13906	    3552
   14055	    3664
   14248	    3821
   14153	    3835
   14138	    3975
   14153	    3971
   14153	    3856
   14199	    3852
   14089	    3894
   14234	    3818
   14361	    3847
   14234	    3870
   14366	    3939
   14579	    4171
   14466	    4518
   14036	    4461
   14158	    4631
   14361	    4683
   14111	    4588
   14082	    4541
   14153	    4384
   13417	    3628
   12812	    3052
   12122	    2320
   12169	    2446
   12259	    2537
   12881	    3037
   13184	    3475
   13605	    4023
   13806	    4176
   13960	    4109
   13779	    4101
   13921	    4239
   14043	    4339
   13894	    4427
   13632	    3909
   13160	    3388
   12010	    2117
   12360	    2430
   12580	    2645
   12993	    2984
   12981	    3122
   13191	    3382
   13358	    3205
   13620	    3635
   13659	    3648
   14036	    3780
   13786	    3764
   13698	    3658
   13620	    3756
   12976	    3069
   12242	    2314
   12259	    2201
   12409	    2239
   12881	    2679
   13172	    3113
   13096	    3127
   13370	    3324
   13441	    3383
   13693	    3570
   13612	    3610
   13705	    4985
   13593	    6372
   13906	    5976
   14486	    5440
   14339	    4722
   14028	    4224
   13786	    3940
   13974	    3996
   14062	    4074
   13385	    3267
   12937	    2680
   12117	    1878
   11946	    1687
   12169	    1895
   12616	    2411
   13140	    2792
   13350	    3064
   13987	    3778
   13940	    3598
   13766	    3267
   13793	    3322
   13713	    3140
   13585	    3142
   12768	    2646
   12597	    3137
   12272	    3097
   12306	    3007
   12416	    3235
   12768	    3468
   13101	    3655
   13216	    4382
   13311	    4735
   13982	    4777
   14062	    4661
   14153	    4518
   14158	    4425
   14657	    4768
   14138	    4316
   13507	    3529
   12384	    2445
   12242	    2308
   12360	    2472
   12604	    2737
   12744	    2904
   13108	    3285
   13554	    3784
   13561	    3890
   13627	    3993
   14124	    4490
   14361	    4781
   14388	    5206
   14263	    5265
   14402	    5366
