1985-01-01
     obs	     sim
   29429	   26190
   30374	   21340
   29432	   20470
   30401	   19550
   29833	   19410
   29378	   19790
   30244	   20160
   30467	   20080
   30014	   19060
   30039	   18840
   29368	   17350
   29760	   16700
   29547	   16310
   29735	   17180
   29243	   16770
   29307	   15990
   29341	   16080
   29305	   16090
   29327	   16180
   28969	   14920
   30406	   13920
   29723	   13340
   29371	   12630
   29327	   13550
   29806	   14210
   29217	   13600
   29446	   13310
   29388	   12890
   29537	   13970
   29454	   19000
   29486	   19200
   30459	   17150
   30379	   10280
   30256	    9256
   29503	    7412
   29194	    5848
   30063	    5421
   30645	    3560
   30724	    2673
   30760	    4783
   30043	    4578
   30141	    3956
   30653	    3442
   30689	    2392
   30655	    1651
   29752	       0
   30303	       0
   29936	       0
   30239	     160
   28791	       0
   30288	     522
   30339	      92
   29796	       0
   29637	       0
   29696	     196
   30021	       0
   29796	       0
   29740	       0
   29791	       0
   29887	       0
   29963	     566
   29459	     441
   29635	      81
   29720	       0
   29662	       0
   29632	     101
   29491	      85
   29493	      50
   29728	     125
   29102	       0
   29899	     781
   29099	       0
   29486	       0
   29569	     446
   29911	    1258
   29865	    1694
   29843	     458
   29466	      44
   29363	     307
   29791	     392
   29395	      77
   29062	       0
   29371	      31
   29628	       0
   29889	       0
   29620	       0
   29632	       0
   29914	       0
   29640	       0
   29686	    2923
   29459	    2242
   29552	    1844
   29779	    1259
   29393	    1635
   28903	    1851
   29916	    1968
   29491	    2105
   29730	     381
   29471	       0
   29263	     180
   29542	    1007
   28820	     898
   29478	    3211
   29630	    3593
   29459	    2801
   29488	    1855
   29884	     479
   29373	       0
   29456	     327
   29505	     716
   29231	    1117
   29427	     465
   29684	       0
   29515	       0
   29290	       0
   29283	       0
   29363	     385
   29928	     778
   29733	     643
   29835	      42
   29444	     265
   29102	     317
   29378	     375
   29505	    1012
   29481	    1578
   29102	    1484
   29493	    2100
   29767	    2603
   29642	    2256
   29028	    2028
   29689	    3316
   29635	    3633
   29853	    2087
   29681	    1745
   29718	    2133
   29779	    2722
   29652	    3228
   29596	    3520
   29642	    3959
   29889	    3357
   29745	    1886
   29620	    2548
   29757	    2621
   29904	    2200
   29593	    2984
   29955	    4542
   29620	    5207
   29383	    4150
   29706	    3475
   29906	    3497
   29965	    3193
   29897	    3273
   29760	    5150
   30237	    4496
   30288	    4026
   29826	    3599
   29581	    6284
   28774	    5687
   28138	    5996
   29013	    6822
   29579	    6772
   29664	    7503
   29606	    8220
   29028	    7978
   29904	    8384
   29843	    7886
   29065	    8489
   29405	    8344
   29456	    8642
   29224	    8347
   29285	    8345
   29752	    8036
   30295	    8787
   29711	    8751
   29990	    7270
   29471	    7100
   30479	    7481
   30127	    7195
   29755	    7723
   29696	    8921
   29432	    9023
   29669	    9252
   29437	    9016
   29831	    9020
   29882	    9460
   29723	    9334
   29559	    9567
   29838	    9680
   29789	    8910
   29750	    8185
   29828	    7292
   29855	    6759
   29982	    6476
   29902	    6809
   29028	    7824
   29853	    8408
   29466	    8643
   29906	    8680
   29821	    7527
   29860	    7172
   29916	    7181
   29478	    7902
   30083	    9067
   30102	    9000
   29943	    9310
   30207	    8880
   29838	    8676
   29676	    8405
   29652	    9150
   29620	    9129
   30386	    8434
   29417	    7372
   30017	    8422
   29539	    8081
   29769	    8350
   29561	    8355
   29755	    8918
   29089	    9360
   29258	    9053
   29642	    8333
   29483	    9278
   29645	   12560
   29708	   13770
   30376	   13560
   30210	   12330
   29549	   14640
   29628	   24130
   29481	   22290
   29630	   21960
   30298	   22620
   30048	   21560
   29899	   21770
   29669	   21430
   29322	   26010
   29224	   24790
   29601	   23740
   29615	   24850
   29904	   23170
   29354	   21330
   29755	   21230
   30401	   21200
   30063	   20660
   29513	   21040
   29911	   21960
   29767	   22010
   29997	   20830
   29955	   20410
   29887	   20490
   29471	   20540
   29911	   20660
   29486	   22090
   29887	   22660
   29566	   23800
   29532	   24850
   29686	   24830
   29464	   24110
   29593	   24640
   29591	   25040
   29982	   22790
   29383	   21700
   29838	   25150
   29809	   24270
   29461	   23320
   29858	   24520
   29446	   25430
   29520	   24660
   29456	   25880
   29980	   25780
   29150	   25400
   29853	   27250
   29415	   27740
   29493	   30240
   29385	   26030
   29904	   23990
   30012	   23380
   29997	   21670
   29456	   20530
   29725	   20930
   29899	   22240
   29738	   21390
   29689	   22220
   30151	   23380
   30083	   22000
   30034	   22000
   29520	   22650
   30031	   24340
   29689	   23080
   29794	   22890
   29799	   22680
   30031	   22810
   30161	   21630
   29559	   22080
   29884	   24380
   29960	   24010
   29305	   24740
   29588	   25760
   30188	   25380
   29897	   24550
   29823	   24790
   29640	   25310
   29960	   24330
   29150	   23820
   29285	   24140
   29676	   24480
   29574	   24680
   29789	   25510
   29620	   25830
   29733	   26610
   29914	   24850
   29755	   24080
   30163	   24010
   29892	   22790
   29679	   22340
   29150	   23560
   29632	   24300
   29429	   23990
   29608	   23730
   29948	   23390
   29916	   21940
   29410	   22440
   29454	   23710
   29493	   23520
   29336	   23450
   29904	   23340
   29674	   22580
   29522	   23040
   29606	   23000
   29236	   22660
   29006	   22710
   29865	   24640
   29674	   24640
   29517	   24060
   29251	   25220
   29882	   22020
   30432	   21920
   29955	   20240
   30359	   19070
   28947	   18100
   28896	   18380
   29344	   18900
   29608	   19470
   29642	   19680
   29767	   19950
   29926	   20370
   30039	   21850
   30119	   21870
   30308	   20560
   29882	   18940
   29363	   19680
   29684	   21750
   30300	   22000
   30019	   20350
   29341	   20120
   29045	   20670
   29620	   20680
   29515	   21400
   29473	   21880
   29116	   21820
   29072	   22710
   29708	   22040
   29493	   21690
   30012	   20970
   29698	   22200
   29378	   22690
   28798	   26410
   28979	   27790
   29637	   26930
   29701	   25730
   29517	   25800
   29787	   25900
   29601	   23860
   29615	   24110
   29212	   24620
   28969	   24450
   29982	   25340
   29865	   24980
   29089	   25370
   29637	   24560
   29676	   25710
   29114	   26260
   29681	   26930
   29826	   27730
   29356	   28160
   29718	   28920
   29774	   26820
   29811	   27610
   29843	   27450
   29789	   27340
   29473	   26610
   29226	   27270
   28906	   27660
   30039	   22790
   30298	   20440
   29733	   19830
   29334	   19200
   30021	   19210
   29772	   19740
   29743	   19940
   29373	   19910
   29133	   19910
   29645	   20170
   29762	   19190
   29681	   20030
   29828	   20800
   29835	   21210
   29557	   18900
   29305	   23080
   29498	   21240
   30048	   22050
   29831	   23430
   29454	   24910
   29239	   29230
   29476	   25570
   30954	   20020
   30682	   18000
   30628	   16940
   30552	   15000
   29877	   14930
   29848	   15370
   29821	   15110
   29784	   14830
   29434	   14840
   29153	   14800
   29845	   14960
   29811	   14200
   29395	   14880
   29331	   15140
   30065	   14540
   30078	   14380
   30009	   14420
   29552	   13840
   29750	   13590
   29676	   15290
   29902	   15070
   29862	   14840
   29750	   14490
   29204	   14850
   29336	   15310
   29765	   16250
   29606	   16390
   29515	   15960
   29938	   14860
   29552	   13010
   29755	   17900
   29926	   17690
   30097	   18690
   29818	   20940
   29456	   20690
   29713	   21240
   29469	   20980
   28942	   20340
   29363	   20710
   29280	   21030
   29429	   21370
   29513	   20420
   29784	   20150
   29395	   19850
   29175	   20210
   29442	   20770
   29740	   20770
   29371	   21800
   29598	   21160
   29084	   21770
   29285	   22160
   29187	   23660
   29072	   25400
   29579	   27180
   29598	   29290
   29285	   29510
   29574	   29180
   29667	   28470
   29417	   28570
   28857	   29300
   29160	   30470
   28942	   30290
   29542	   28980
   29698	   29520
   29371	   28860
   29503	   29740
   29199	   29290
   29322	   30060
   29708	   30120
   29138	   29220
   29231	   29210
   29500	   29500
   29657	   28620
   29784	   28890
   29904	   29950
   29642	   30580
   29772	   29110
   29906	   29020
   29777	   28360
   29880	   28300
   29163	   28490
   28541	   29810
   29505	   30090
   29818	   28960
   29566	   29070
   29236	   28830
   29004	   29190
   29187	   29120
   29349	   29310
   29561	   29620
   29566	   28630
   29175	   28940
   28967	   29300
   29150	   29120
   29672	   28860
   29583	   29360
   29730	   29630
   29376	   28530
   29199	   28560
   29554	   29210
   29598	   28500
   29569	   28860
   29319	   29890
   29593	   30390
   29767	   29180
   29187	   29500
   29542	   30210
   29102	   29270
   29261	   29000
   29466	   30020
   29902	   29840
   29610	   28380
   29486	   29230
   29312	   29210
   29231	   29540
   29583	   29260
   29818	   28930
   29708	   29020
   29877	   27360
   29835	   27900
   29902	   28120
   29743	   27800
   30110	   26960
   29522	   26940
   29902	   27690
   29706	   27140
   29317	   26330
   29444	   26930
   29735	   28010
   29615	   26470
   29601	   27710
   29823	   28730
   29628	   27300
   29591	   26900
   28668	   27190
   29349	   28310
   29850	   28520
   30102	   28030
   30193	   27790
   29628	   26900
   29630	   26410
   29469	   26960
   29574	   27520
   29275	   26060
   29703	   26990
   29902	   27190
   29495	   26700
   29356	   27050
   29637	   26350
   30017	   25590
   29243	   24080
   29684	   24650
   29860	   25540
   29652	   25020
   29579	   24800
   29569	   25110
   29344	   25810
   29549	   25540
   30019	   26480
   29906	   27610
   29652	   26630
   29481	   26270
   29358	   27260
   28991	   28580
   29197	   26690
   29774	   27500
   29931	   26930
   29598	   26480
   29456	   25900
   29442	   28750
   28918	   27710
   29273	   28910
   29640	   28010
   29769	   27780
   29417	   28400
   29706	   28370
   29549	   28080
   29831	   27130
   30021	   26270
   29691	   27530
   29958	   28460
   29720	   26510
   29486	   28250
   29591	   28200
   29253	   28680
   29488	   28200
   29735	   26830
   29637	   28150
   29806	   26130
   29809	   27140
   29591	   28320
   29517	   27520
   29897	   26300
   29777	   27310
   29924	   26940
   29143	   27640
   29221	   26090
   29708	   26080
   29816	   25850
   29701	   25250
   29598	   25860
   29858	   26230
   29596	   25680
   29610	   24710
   29473	   25470
   29356	   25930
   29532	   26960
   29867	   28120
   29997	   28190
   28725	   26680
   29522	   27240
   29444	   26600
   29454	   25640
   29439	   25870
   29645	   26480
   29630	   27640
   29410	   27050
   29424	   26590
   29388	   25520
   29755	   25370
   29576	   24600
   29175	   25220
   29295	   27090
   29779	   25930
   29224	   25740
   29395	   26780
   29831	   26080
   29838	   26220
   30017	   26930
   29733	   27180
   29650	   27220
   29522	   26670
   29481	   27270
   29684	   27100
   29835	   27790
   29713	   29140
   29698	   29190
   29630	   28190
   29598	   27350
   29799	   26250
   29366	   25330
   29569	   24040
   29933	   24570
   29787	   25150
   29897	   24040
   30002	   23820
   29620	   24080
   29928	   24480
   29564	   24650
   30396	   24680
   30007	   23340
   29840	   21430
   28906	   20790
   29953	   21100
   29821	   20720
   29662	   20890
   29706	   21640
   29904	   22480
   29853	   22060
   29613	   21540
   29782	   21660
   29429	   21970
   29831	   25280
   29862	   26330
   29894	   25730
   29855	   24750
   29006	   24520
   29339	   25040
   29172	   22500
   29390	   24380
   29816	   24800
   29926	   23520
   29620	   23560
   29373	   23080
   30097	   22900
   30342	   20920
   29738	   25430
   30276	   27450
   29919	   26540
   30834	   19560
   30291	   14190
   30662	   10560
   31059	    7430
   30687	    4904
   30665	    5066
   30682	    5042
   30401	    3257
   30516	    3680
   29694	    3237
   29559	    2728
   30065	    2136
   29972	    5054
   29963	   22070
   29390	   21910
   30880	   20310
   30662	   15910
   30626	   14870
   30628	   14080
   30403	   13610
   30499	   14340
   30682	   14670
   30562	   14870
   30462	   15560
   30594	   15620
   30501	   16430
   30381	   17270
   30616	   19830
   30484	   19390
   30547	   20630
   30552	   20550
   30344	   20300
   30014	   20580
   29828	   20610
   30435	   21630
   30643	   20530
   30386	   19620
   29860	   20750
   30228	   20710
   30661	   20660
   30373	   20660
   29690	   21290
   29826	   22080
   30103	   21750
   30026	   21620
   29877	   21880
   29881	   22190
   29815	   22540
   29591	   23360
   29967	   24810
   29619	   24750
   28906	   23730
   29587	   26750
   29605	   25120
   29802	   25480
   30089	   25370
   31017	   16660
   30825	   15400
   30698	   13480
   30630	   13110
   30761	   14430
   30672	   15340
   30883	   14890
   30871	   12230
   30755	   18590
   30663	   20180
   30526	   20020
   30790	   20260
   30620	   19500
   30272	   20450
   30508	   20310
   30599	   19450
   30575	   19740
   30620	   20190
   30660	   19810
   30543	   19930
   30648	   20010
   30412	   19950
   30179	   20320
   29387	   20220
   29405	   21980
   29984	   22220
   29676	   24880
   29792	   27040
   30175	   22690
   30282	   21650
   30416	   22350
   30578	   21640
   30115	   20190
   30107	   20240
   29573	   19090
   30714	   21290
   30679	   19360
   30568	   20150
   30187	   15870
   32096	    7076
   31276	    2831
   30305	       0
   30404	       0
   30018	       0
   30050	      68
   29614	      76
   29154	     315
   29281	    2115
   29175	    2969
   29362	    2630
   29234	    1760
   28947	    1953
   29086	    2844
   29451	    4319
   30312	    6553
   29577	    9071
   30338	   11550
   30327	   15260
   30046	   17060
   30068	   17040
   29764	   17810
   29742	   17430
   29663	   18450
   29853	   18990
   29856	   18960
   29637	   19530
   29622	   19780
   29620	   20220
   29877	   22460
   29712	   25290
   29783	   24380
   29829	   23770
   29173	   23390
   29823	   24960
   29248	   23950
   29800	   25900
   29236	   28770
   29699	   27560
   29586	   26080
   29053	   26360
   29454	   27520
   29704	   28740
   29516	   29690
   29751	   29840
   29803	   27140
   29772	   26680
   29714	   24660
   29691	   25730
   29021	   24850
   29914	   24910
   29619	   23120
   29596	   22250
   29811	   21570
   28973	   22690
   28811	   23920
   29774	   24340
   29043	   23960
   29595	   26180
   30009	   23960
   29869	   23060
   29333	   22870
   29612	   23320
   29922	   24510
   29777	   25800
   29934	   25820
   29917	   23190
   29675	   25420
   29358	   23520
   29537	   24750
   29988	   24160
   29781	   24370
   29822	   25820
   29849	   23760
   29571	   23930
   29424	   24210
   29628	   24790
   29838	   25770
   29825	   27210
   29776	   28590
   29784	   25400
   30032	   24910
   29938	   24080
   29492	   23120
   29132	   24200
   29762	   24290
   29754	   24650
   29721	   25140
   29988	   22940
   29545	   22890
   28988	   22690
   29523	   24000
   29844	   25290
   29183	   25410
   29220	   24510
   30013	   23480
   29835	   24290
   29829	   24330
   29808	   24350
   29281	   24390
   29841	   24940
   29263	   24010
   28839	   23790
   28995	   25350
   29716	   25680
   30012	   24810
   29935	   24170
   29972	   26640
   29660	   24690
   29408	   25730
   29778	   23830
   29757	   25080
   30140	   27570
   29776	   26710
   30247	   27810
   30125	   25440
   29459	   23680
   30320	   24660
   29355	   24630
   29609	   26130
   29801	   26680
   29464	   27040
   29583	   25130
   30060	   23960
   29408	   24240
   29916	   23950
   29358	   25860
   29273	   29720
   29758	   27870
   30052	   23610
   30299	   22130
   30497	   20840
   29996	   19740
   30025	   19970
   29772	   18830
   29684	   19750
   29804	   23010
   30183	   22840
   29832	   22300
   30089	   22490
   30074	   22240
   29838	   22450
   29311	   22300
   30333	   22610
   30174	   22950
   29926	   24260
   29776	   24160
   30364	   23600
   29712	   22520
   29518	   22720
   30213	   23840
   30315	   22560
   30219	   23290
   29863	   23230
   30510	   23740
   30511	   23190
   29484	   23220
   30213	   22780
   29788	   22950
   29843	   24010
   30013	   23620
   30257	   22660
   30412	   23180
   29472	   23500
   30111	   24480
   30290	   22750
   30122	   21820
   30041	   21880
   30017	   23010
   30208	   25170
   29886	   25240
   29982	   24430
   29508	   25650
   29453	   23660
   30033	   23000
   29804	   22880
   29913	   21550
   29261	   22120
   29188	   22410
   29281	   24440
   30298	   24280
   29825	   23710
   29689	   24870
   29249	   25040
   29155	   25290
   29528	   24930
   29530	   23700
   29591	   23950
   29554	   23550
   29150	   22770
   29492	   24590
   29907	   25700
   29560	   26620
   29816	   24910
   29610	   24890
   29683	   25370
   29626	   25440
   29832	   25660
   29383	   25610
   29934	   25430
   29835	   25430
   29971	   23920
   29846	   22740
   29676	   22900
   29432	   23560
   29163	   23240
   29460	   22770
   29625	   22520
   29642	   23480
   29950	   24360
   29860	   23640
   29388	   24420
   29248	   24950
   29861	   26330
   29794	   24630
   29564	   25930
   29486	   23840
   29814	   24440
   30086	   24630
   29245	   23660
   29342	   22040
   29249	   21250
   29767	   21490
   29687	   21550
   29417	   21300
   29500	   21630
   29432	   21520
   29120	   21350
   29350	   22230
   29916	   23350
   29738	   23860
   29642	   24440
   29924	   24900
   29718	   26260
   29652	   26250
   29645	   25430
   30061	   24340
   30166	   23620
   30322	   23120
   29782	   22920
   29432	   24390
   29874	   23650
   29664	   23120
   29245	   22680
   29358	   23470
   29530	   24080
   29810	   24310
   29297	   24740
   29469	   23830
   29579	   23120
   29603	   23260
   29231	   23840
   30009	   23510
   29659	   23150
   29236	   25690
   29505	   25180
   29712	   24500
   29342	   24580
   29358	   25440
   29510	   25980
   29754	   25340
   29089	   27470
   29504	   26820
   29591	   26410
   29325	   25510
   29681	   24630
   30181	   23700
   29886	   23360
   28979	   24170
   29371	   24470
   29477	   24710
   29690	   25070
   29250	   26160
   29352	   26770
   29698	   27270
   29788	   27380
   29830	   25200
   29771	   25300
   29774	   25020
   29926	   25160
   29810	   24990
   29767	   25260
   29685	   25860
   29916	   25590
   29640	   25360
   29102	   25210
   29261	   25700
   29131	   25670
   29610	   26580
   29604	   27750
   28942	   27180
   29206	   27110
   29645	   26670
   29174	   25190
   29872	   25670
   29469	   25870
   29428	   27390
   29925	   25770
   29603	   26570
   29816	   27750
   29573	   28830
   29537	   28480
   29856	   24930
   29882	   25940
   29971	   25200
   29535	   23420
   29635	   23480
   29676	   23400
   29706	   23360
   29461	   23270
   29714	   24520
   29686	   23830
   29784	   22230
   29671	   22090
   29818	   22910
   29983	   23930
   29827	   23080
   29723	   23830
   29760	   23410
   29914	   23800
   29136	   24280
   29625	   23670
   29698	   23580
   29636	   26730
   29750	   26740
   29583	   25490
   30864	   21970
   30883	   13430
   29994	    9646
   29786	    8221
   30260	    8631
   30068	    9068
   29891	    8900
   29640	    9180
   30102	   10260
   29068	    9563
   28703	    9282
   29640	   10200
   29586	   12010
   29385	   12810
   29771	   13200
   28942	   13530
   29974	   14640
   29916	   14510
   29881	   13460
   29655	   15030
   29499	   15330
   29802	   15130
   29264	   15230
   29511	   15860
   29374	   16600
   29550	   16760
   29511	   17760
   29820	   16830
   29141	   16470
   29399	   17290
   29505	   17840
   29380	   18140
   29758	   17970
   29547	   18810
   29650	   19170
   29456	   19320
   29763	   18950
   29618	   18070
   29336	   18020
   29513	   19620
   29701	   20950
   29676	   21130
   29309	   21390
   29431	   21490
   29248	   21910
   30001	   21640
   29591	   20600
   29374	   21610
   29756	   22880
   28979	   26930
   29456	   28280
   29730	   27820
   29436	   26130
   29710	   27680
   29662	   27830
   29447	   22410
   29951	   21330
   30018	   20260
   29786	   20660
   29491	   20640
   29695	   21500
   29862	   22380
   29762	   21990
   29400	   22130
   29053	   22490
   29410	   22810
   29765	   23060
   29445	   23240
   29493	   23720
   29673	   23500
   29809	   23150
   29673	   22910
   29285	   23160
   28857	   24080
   29279	   25000
   30012	   27540
   29838	   28360
   29864	   27910
   29102	   28500
   29444	   28960
   29590	   29480
   29693	   30560
   29889	   30680
   29518	   28880
   29730	   28220
   28784	   27390
   29077	   28960
   29873	   29950
   29844	   29070
   29935	   29670
   29874	   28510
   29444	   28650
   29040	   28400
   29444	   29310
   29591	   28520
   29655	   29390
   29469	   30190
   29418	   28840
   29509	   28570
   29383	   29220
   29574	   28790
   29529	   29920
   29812	   30080
   30001	   30220
   29554	   28210
   29530	   29640
   29199	   29520
   29004	   29540
   29456	   30150
   29432	   30130
   29420	   30210
   29771	   28830
   29535	   28760
   29327	   28250
   29432	   28940
   29628	   29240
   29745	   29440
   29998	   30510
   29784	   28240
   29275	   29270
   29779	   29680
   29789	   29150
   29471	   29230
   29809	   30490
   29701	   30710
   29734	   28750
   29444	   29860
   29383	   29470
   29773	   29170
   29102	   29270
   29730	   30520
   29933	   29740
   29511	   29000
   29830	   28520
   29410	   28340
   29532	   29060
   29784	   30220
   29358	   30110
   29647	   30300
   29703	   28290
   29610	   28550
   29432	   27350
   29508	   29340
   29701	   29050
   29681	   29210
   29767	   29160
   29309	   28600
   29713	   26600
   29481	   26470
   29309	   26220
   29628	   27740
   29772	   29400
   29730	   29660
   29740	   26950
   29694	   26730
   29591	   26470
   29823	   26460
   29992	   26280
   29953	   26210
   29236	   26970
   28923	   27550
   29495	   28170
   29417	   27260
   29197	   28400
   29072	   28280
   29738	   29640
   29782	   29290
   29787	   28050
   29305	   26840
   28935	   26920
   29662	   26970
   29779	   26770
   29628	   26770
   29635	   29730
   28972	   26880
   29214	   28330
   29040	   27450
   29569	   27000
   29258	   24610
   29128	   27490
   29728	   29620
   29740	   27280
   29542	   27300
   29026	   27840
   29549	   29260
   29743	   28880
   29659	   27440
   29826	   27770
   29623	   27140
   29610	   26380
   29662	   26810
   29574	   27770
   29368	   27710
   29478	   29270
   29564	   29770
   29576	   27210
   29361	   27540
   29493	   27600
   28911	   27800
   29053	   28430
   29774	   29450
   29823	   29700
   29552	   26170
   29532	   26410
   29261	   26390
   29354	   25600
   29887	   24910
   29603	   24770
   29610	   26160
   29635	   24750
   29234	   24230
   29082	   26060
   29092	   27620
   29914	   28960
   29875	   27960
   29138	   28580
   28857	   26910
   29060	   27220
   29882	   27470
   29150	   27270
   29593	   27060
   29608	   26450
   28820	   26930
   29114	   27420
   29297	   27550
   29669	   26120
   28965	   26300
   29716	   27220
   29750	   28960
   29931	   29770
   29720	   28290
   29799	   27500
   29469	   26360
   29853	   25910
   29799	   25460
