1985-01-01
     obs	     sim
    8279	    8236
    8362	    8102
    8247	    7835
    8264	    7702
    8318	    7637
    8355	    7572
    8362	    7507
    8372	    7450
    8374	    7385
    8372	    7320
    8372	    7262
    8369	    7212
    8372	    7169
    8379	    7136
    8391	    7351
    8418	    7370
    8433	    7348
    8462	    7326
    8487	    7301
    8499	    7276
    8511	    7250
    8528	    7287
    8548	    7274
    8565	    7258
    8592	    7242
    8602	    7231
    8624	    7215
    8651	    7442
    8675	    8070
    8702	    8120
    8797	    8124
    9064	    8007
    9081	    7793
    9013	    9038
    8998	    9699
    9204	    9719
    9438	    9590
    9463	    9380
    9470	   10380
    9492	   11040
    9524	   11110
    9786	   10980
    9940	   11010
    9827	   10830
    9685	   10510
    9605	   10300
    9566	   10150
    9534	   10140
    9504	   10000
    9571	    9853
    9624	    9703
    9634	    9552
    9615	    9425
    9573	    9287
    9551	    9146
    9514	    9003
    9500	    8915
    9514	    8863
    9551	    8841
    9607	    8837
    9644	    8834
    9693	    8871
    9747	    8870
    9786	    8869
    9825	    8869
    9871	    9025
    9896	    9034
    9960	    9037
   10004	    9049
   10045	    9053
   10074	    9062
   10121	    9067
   10145	    9073
   10177	    9079
   10197	    9085
   10224	    9092
   10256	    9098
   10273	    9120
   10295	    9564
   10336	    9607
   10400	    9654
   10471	    9666
   10534	    9678
   10598	    9690
   10640	    9711
   10684	    9724
   10725	    9737
   10760	    9923
   10789	    9946
   10830	    9961
   10879	    9977
   10909	    9991
   10965	   10000
   10982	   10240
   11026	   10270
   11058	   10280
   11100	   10300
   11139	   10320
   11151	   10340
   11173	   10350
   11195	   10370
   11215	   10390
   11229	   10630
   11271	   10660
   11310	   10680
   11352	   10700
   11383	   10720
   11408	   10740
   11430	   10760
   11454	   10780
   11476	   10800
   11494	   11100
   11511	   11130
   11525	   11140
   11535	   11220
   11557	   11280
   11572	   11290
   11574	   11300
   11582	   11340
   11594	   11590
   11613	   11600
   11609	   11610
   11660	   11620
   11667	   11630
   11667	   11640
   11667	   12140
   11701	   12170
   11721	   12190
   11750	   12250
   11794	   12260
   11797	   12270
   11804	   12280
   11816	   12290
   11826	   12300
   11826	   12310
   11821	   12310
   11809	   12310
   11802	   12310
   11775	   12520
   11758	   12620
   11758	   12630
   11758	   12630
   11755	   12630
   11748	   12630
   11743	   12630
   11728	   12740
   11711	   12740
   11714	   12730
   11704	   12720
   11694	   12720
   11672	   12710
   11660	   12700
   11648	   12690
   11628	   12680
   11594	   12670
   11579	   12770
   11562	   12820
   11562	   12810
   11542	   12790
   11525	   12840
   11503	   12880
   11508	   12860
   11491	   12850
   11484	   12830
   11447	   12900
   11420	   12880
   11405	   13410
   11432	   13420
   11447	   13390
   11445	   13370
   11430	   13350
   11415	   13360
   11401	   13340
   11393	   13310
   11383	   13290
   11369	   13270
   11357	   13240
   11334	   13210
   11312	   13180
   11295	   13230
   11264	   13200
   11246	   13170
   11229	   13210
   11212	   13210
   11215	   13210
   11197	   13180
   11188	   13150
   11163	   13120
   11146	   13090
   11127	   13140
   11100	   13110
   11092	   13080
   11060	   13040
   11048	   13010
   11031	   13030
   11019	   12990
   11016	   12960
   10999	   12930
   10975	   12900
   10948	   12870
   10926	   12830
   10892	   12790
   10872	   12760
   10862	   12720
   10845	   12730
   10816	   12780
   10816	   12780
   10811	   12750
   10789	   12710
   10772	   12670
   10752	   12630
   10735	   12600
   10711	   12560
   10686	   12530
   10659	   12490
   10635	   12480
   10608	   12650
   10588	   12800
   10603	   12770
   10581	   12740
   10561	   12700
   10537	   12660
   10510	   12630
   10488	   12590
   10464	   12550
   10434	   12570
   10395	   14110
   10400	   14170
   10454	   14160
   10454	   14140
   10454	   14110
   10449	   14080
   10454	   14040
   10434	   14030
   10407	   14080
   10383	   14100
   10371	   14060
   10363	   14030
   10349	   14000
   10326	   13960
   10302	   14010
   10282	   13980
   10258	   13940
   10234	   13900
   10202	   13860
   10182	   13820
   10153	   13780
   10121	   13740
   10099	   13700
   10067	   13660
   10040	   13620
   10011	   13600
    9982	   13560
    9955	   13520
    9923	   13480
    9884	   13450
    9852	   13410
    9813	   13370
    9786	   13320
    9749	   13280
    9712	   13240
    9688	   13200
    9659	   13170
    9641	   13140
    9622	   13170
    9597	   13140
    9571	   14390
    9546	   14440
    9580	   14430
    9588	   14420
    9593	   14410
    9593	   15000
    9602	   15040
    9634	   15040
    9637	   15030
    9641	   15020
    9632	   14990
    9617	   14960
    9593	   14930
    9573	   14910
    9571	   14900
    9571	   14890
    9556	   14860
    9541	   14830
    9514	   14790
    9497	   14870
    9473	   14830
    9470	   14800
    9448	   14770
    9414	   14730
    9392	   14700
    9375	   14700
    9353	   14670
    9343	   14650
    9321	   14660
    9309	   14630
    9289	   14600
    9255	   14570
    9230	   14540
    9201	   14500
    9172	   14470
    9152	   14500
    9135	   14570
    9113	   14550
    9086	   14580
    9069	   14570
    9054	   14540
    9040	   14510
    9010	   14500
    8996	   14480
    8988	   14450
    8952	   14430
    8925	   14400
    8912	   14380
    8885	   14350
    8866	   14330
    8849	   14300
    8834	   14400
    8810	   14490
    8824	   14480
    8812	   14460
    8800	   14440
    8788	   14420
    8766	   14420
    8751	   14410
    8741	   14390
    8724	   14370
    8709	   14350
    8690	   14910
    8663	   15260
    8724	   15280
    8810	   15260
    8883	   15310
    8912	   15290
    8939	   15280
    8949	   15270
    8961	   15270
    8961	   15260
    8959	   15250
    8954	   15240
    8932	   15230
    8925	   15220
    8920	   15220
    8912	   15230
    8898	   15260
    8861	   15220
    8812	   15180
    8766	   15130
    8714	   15080
    8675	   15040
    8594	   14980
    8536	   14930
    8460	   14870
    8399	   14840
    8325	   14780
    8262	   14730
    8188	   14680
    8156	   14670
    8151	   14680
    8134	   14690
    8122	   14700
    8107	   14710
    8095	   15110
    8081	   15150
    8078	   15170
    8076	   15180
    8071	   15190
    8068	   15210
    8056	   15220
    8054	   15240
    8046	   15250
    8034	   15270
    8027	   15280
    8007	   15290
    7997	   15310
    7990	   15320
    7973	   15330
    7961	   15340
    7946	   15350
    7936	   15360
    7907	   15380
    7899	   15450
    7907	   15480
    7914	   15510
    7919	   15530
    7924	   15530
    7934	   15530
    7936	   15530
    7946	   15530
    7946	   15530
    7951	   15530
    7958	   15530
    7966	   15530
    7978	   15530
    7983	   15530
    7992	   15530
    7997	   15530
    8005	   15530
    8012	   15530
    8039	   15530
    8071	   15530
    8132	   15530
    8164	   15530
    8181	   15530
    8210	   15530
    8240	   15530
    8254	   15530
    8271	   15530
    8288	   15530
    8340	   15530
    8472	   15530
    8553	   15530
    9013	   15530
    9842	   15530
   10048	   15530
   10172	   15530
   10256	   15530
   10312	   15530
   10358	   15530
   10395	   15530
   10437	   15530
   10488	   15530
   10525	   15530
   10542	   15530
   10561	   15530
   10598	   15530
   10618	   15530
   10635	   15530
   10659	   15530
   10664	   15530
   10676	   15530
   10693	   15530
   10703	   15530
   10720	   15530
   10725	   15530
   10804	   15530
   11516	   15530
   11758	   15530
   11983	   15530
   12105	   15530
   12164	   15510
   12242	   15500
   12377	   15460
   12345	   15390
   12340	   15390
   12367	   15430
   12369	   15460
   12374	   15490
   12367	   15490
   12352	   15490
   12345	   15500
   12340	   15500
   12333	   15500
   12325	   15500
   12330	   15520
   12345	   15530
   12362	   15530
   12382	   15530
   12396	   15530
   12401	   15530
   12411	   15530
   12438	   15530
   12467	   15530
   12516	   15530
   12533	   15530
   12548	   15530
   12568	   15530
   12582	   15530
   12590	   15530
   12597	   15530
   12602	   15530
   12609	   15530
   12616	   15530
   12619	   15530
   12639	   15530
   12668	   15530
   12683	   15530
   12695	   15530
   12709	   15530
   12717	   15530
   12724	   15530
   12731	   15530
   12744	   15530
   12746	   15530
   12736	   15530
   12731	   15520
   12719	   15520
   12709	   15520
   12697	   15520
   12683	   15510
   12665	   15510
   12648	   15510
   12631	   15510
   12609	   15510
   12585	   15510
   12568	   15510
   12548	   15510
   12526	   15510
   12504	   15510
   12482	   15510
   12462	   15510
   12445	   15510
   12448	   15510
   12438	   15510
   12423	   15510
   12394	   15510
   12369	   15510
   12345	   15510
   12333	   15510
   12318	   15510
   12362	   15510
   12411	   15510
   12842	   15520
   13201	   15530
   13289	   15530
   13338	   15530
   13370	   15530
   13387	   15530
   13424	   15520
   13495	   15520
   13580	   15520
   13607	   15520
   13627	   15520
   13671	   15520
   13720	   15520
   13764	   15520
   13798	   15520
   13801	   15520
   13801	   15520
   13801	   15520
   13798	   15520
   13786	   15520
   13771	   15510
   13752	   15510
   13732	   15510
   13708	   15510
   13688	   15510
   13659	   15510
   13659	   15510
   13639	   15510
   13615	   15510
   13588	   15510
   13568	   15510
   13546	   15510
   13930	   15510
   13989	   15510
   14001	   15510
   14001	   15510
   13989	   15510
   13969	   15500
   13950	   15500
   13923	   15500
   13898	   15500
   13869	   15500
   13850	   15500
   13825	   15500
   13801	   15500
   13774	   15500
   13744	   15500
   13732	   15500
   13705	   15500
   13681	   15500
   13659	   15500
   13624	   15500
   13595	   15500
   13566	   15500
   13534	   15500
   13505	   15500
   13473	   15500
   13441	   15500
   13412	   15500
   13385	   15500
   13358	   15500
   13331	   15500
   13304	   15500
   13272	   15500
   13238	   15490
   13209	   15480
   13177	   15480
   13143	   15470
   13113	   15460
   13084	   15460
   13052	   15480
   13030	   15490
   13008	   15470
   12981	   15500
   12961	   15490
   12939	   15470
   12905	   15460
   12878	   15440
   12844	   15420
   12817	   15500
   12807	   15500
   12780	   15480
   12746	   15460
   12719	   15500
   12690	   15480
   12661	   15460
   12634	   15440
   12609	   15420
   12582	   15390
   12548	   15390
   12516	   15500
   12531	   15500
   12538	   15480
   12516	   15500
   12489	   15500
   12482	   15500
   12475	   15470
   12453	   15500
   12440	   15500
   12949	   15500
   13385	   15480
   13412	   15460
   13404	   15440
   13387	   15410
   13372	   15390
   13358	   15500
   13350	   15500
   13326	   15490
   13304	   15460
   13282	   15440
   13262	   15420
   13238	   15400
   13216	   15500
   13189	   15500
   13174	   15480
   13155	   15460
   13128	   15440
   13101	   15430
   13091	   15410
   13072	   15390
   13052	   15370
   13025	   15350
   13008	   15330
   12988	   15310
   12961	   15300
   12932	   15280
   12898	   15260
   12878	   15250
   12849	   15230
   12817	   15220
   12793	   15200
   12758	   15190
   12729	   15180
   12697	   15160
   12673	   15150
   12646	   15500
   12612	   15500
   12619	   15500
   12648	   15510
   12665	   15530
   12673	   15530
   12673	   15530
   12673	   15530
   12673	   15530
   12668	   15530
   12668	   15530
   12665	   15530
   12661	   15530
   12648	   15520
   12673	   15510
   12702	   15510
   12712	   15500
   12712	   15500
   12702	   15490
   12690	   15490
   12673	   15480
   12653	   15480
   12631	   15480
   12612	   15480
   12594	   15510
   12582	   15510
   12563	   15510
   12538	   15500
   12548	   15450
   12744	   15410
   13747	   15410
   13791	   15290
   13659	   15080
   13404	   14780
   13084	   14470
   12761	   14150
   12460	   13830
   12169	   13530
   11885	   13240
   11609	   13170
   11344	   12920
   11090	   12660
   10950	   12770
   10833	   13960
   10772	   14040
   10975	   15380
   11056	   15380
   11432	   15320
   11496	   15250
   11357	   15060
   11149	   14850
   10948	   14650
   10760	   14450
   10586	   14270
   10410	   14100
   10234	   13960
   10060	   13820
    9896	   14580
    9734	   15330
    9788	   15340
   10882	   15290
   11325	   15110
   11268	   14910
   11146	   14710
   10972	   14530
   10779	   14370
   10588	   14290
   10410	   14180
   10248	   14070
   10121	   13970
    9979	   13880
    9835	   13800
    9688	   14110
    9551	   15250
    9593	   15400
    9818	   15450
    9854	   15390
    9837	   15390
    9793	   15390
    9725	   15400
    9656	   15400
    9632	   15460
    9632	   15490
    9624	   15490
    9621	   15490
    9611	   15490
    9602	   15490
    9602	   15500
    9605	   15510
    9605	   15510
    9608	   15510
    9615	   15510
    9615	   15510
    9615	   15510
    9615	   15510
    9615	   15510
    9621	   15510
    9624	   15510
    9628	   15510
    9634	   15510
    9708	   15510
   10216	   15510
   10306	   15420
   10256	   15360
   10193	   15350
   10113	   15370
   10021	   15380
   10008	   15380
   10054	   15380
   10008	   15380
    9939	   15380
    9874	   15390
    9802	   15390
    9731	   15400
    9653	   15400
    9753	   15400
    9818	   15390
    9799	   15390
    9756	   15390
    9692	   15400
    9624	   15400
    9563	   15410
    9541	   15470
    9560	   15510
    9573	   15510
    9586	   15510
    9595	   15510
    9621	   15510
    9656	   15510
    9831	   15510
    9965	   15510
   10021	   15470
   10005	   15420
    9978	   15420
    9952	   15420
   10107	   15420
   10373	   15330
   10319	   15240
   10213	   15300
   10133	   15300
   11419	   15250
   11679	   15110
   11729	   14900
   11536	   14610
   11254	   14310
   10965	   14030
   10680	   13770
   10561	   14050
   10538	   14300
   10544	   14380
   10653	   14450
   10690	   14520
   10697	   14580
   10694	   14650
   10690	   14740
   10690	   14830
   10683	   14930
   10711	   15490
   10765	   15530
   10882	   15530
   10996	   15530
   11072	   15530
   11138	   15530
   11187	   15530
   11236	   15530
   11282	   15530
   11320	   15530
   11356	   15530
   11394	   15530
   11430	   15530
   11490	   15530
   11547	   15530
   11618	   15530
   11672	   15530
   11718	   15530
   11758	   15530
   11794	   15530
   11823	   15530
   11859	   15530
   11891	   15530
   11920	   15530
   11942	   15530
   11971	   15530
   12007	   15530
   12044	   15530
   12084	   15530
   12142	   15530
   12223	   15530
   12282	   15530
   12333	   15530
   12370	   15530
   12408	   15530
   12441	   15530
   12467	   15530
   12482	   15530
   12500	   15530
   12523	   15530
   12534	   15530
   12545	   15530
   12556	   15520
   12560	   15520
   12560	   15520
   12567	   15520
   12567	   15520
   12567	   15520
   12563	   15520
   12560	   15520
   12556	   15520
   12552	   15520
   12545	   15520
   12534	   15510
   12523	   15510
   12511	   15510
   12496	   15510
   12496	   15510
   12485	   15510
   12474	   15510
   12459	   15510
   12448	   15510
   12437	   15510
   12422	   15510
   12415	   15510
   12396	   15510
   12382	   15510
   12370	   15510
   12363	   15510
   12356	   15510
   12348	   15510
   12341	   15510
   12330	   15510
   12311	   15510
   12322	   15510
   12326	   15510
   12333	   15510
   12333	   15510
   12322	   15510
   12304	   15510
   12289	   15510
   12267	   15510
   12252	   15510
   12230	   15510
   12208	   15510
   12183	   15510
   12164	   15510
   12150	   15510
   12131	   15510
   12117	   15510
   12088	   15510
   12069	   15510
   12051	   15510
   12047	   15510
   12033	   15500
   12011	   15500
   11986	   15500
   11975	   15500
   11953	   15490
   11931	   15500
   11906	   15500
   11884	   15490
   11862	   15480
   11841	   15470
   11812	   15450
   11787	   15500
   11765	   15500
   11754	   15510
   11743	   15510
   11725	   15510
   11711	   15510
   11689	   15500
   11675	   15500
   11654	   15490
   11629	   15510
   11611	   15510
   11604	   15500
   11582	   15500
   11561	   15510
   11564	   15510
   11547	   15510
   11529	   15500
   11504	   15500
   11479	   15490
   11458	   15490
   11437	   15480
   11412	   15480
   11387	   15480
   11369	   15480
   11352	   15470
   11331	   15460
   11306	   15460
   11278	   15450
   11250	   15450
   11226	   15440
   11197	   15430
   11177	   15430
   11149	   15440
   11128	   15440
   11117	   15430
   11093	   15510
   11079	   15510
   11096	   15500
   11090	   15490
   11072	   15490
   11051	   15480
   11027	   15470
   11010	   15460
   10989	   15460
   10958	   15450
   10933	   15430
   10910	   15420
   10878	   15410
   10854	   15510
   10851	   15500
   10851	   15490
   10834	   15470
   10813	   15450
   10783	   15430
   10755	   15410
   10731	   15390
   10707	   15370
   10677	   15350
   10656	   15340
   10622	   15320
   10595	   15290
   10565	   15270
   10534	   15240
   10507	   15220
   10480	   15190
   10447	   15160
   10410	   15130
   10383	   15160
   10356	   15140
   10339	   15160
   10329	   15130
   10319	   15110
   10299	   15150
   10266	   15290
   10253	   15280
   10236	   15330
   10239	   15310
   10236	   15280
   10219	   15250
   10196	   15220
   10173	   15240
   10156	   15230
   10140	   15190
   10107	   15160
   10074	   15130
   10054	   15100
   10021	   15070
    9995	   15040
    9968	   15000
    9932	   14970
    9910	   15010
    9883	   15430
    9874	   15420
    9851	   15380
    9828	   15350
    9789	   15320
    9753	   15280
    9734	   15250
    9705	   15210
    9673	   15180
    9647	   15150
    9615	   15110
    9586	   15080
    9573	   15050
    9547	   15010
    9518	   14980
    9496	   14950
    9451	   14910
    9420	   14870
    9387	   14820
    9356	   14780
    9324	   14750
    9293	   14710
    9271	   14670
    9239	   14630
    9207	   14580
    9176	   14540
    9148	   14500
    9123	   14510
    9104	   14470
    9082	   14430
    9057	   14390
    9035	   14360
    9014	   14330
    8989	   14300
    8970	   14260
    8952	   14230
    8933	   14200
    8911	   14170
    8886	   14140
    8868	   14100
    8843	   14070
    8825	   15510
    8849	   15510
    8890	   15500
    8871	   15470
    8859	   15440
    8846	   15420
    8837	   15400
    8825	   15520
    8840	   15520
    8893	   15520
    8905	   15510
    8911	   15500
    8911	   15500
    8911	   15490
    8908	   15480
    8905	   15470
    8899	   15450
    8896	   15460
    8890	   15520
    8880	   15520
    8886	   15520
    8877	   15510
    8871	   15490
    8862	   15490
    8859	   15480
    8852	   15480
    8849	   15480
    8846	   15470
    8843	   15470
    8843	   15470
    8834	   15470
    8831	   15460
    8828	   15460
    8819	   15450
    8813	   15510
    8806	   15520
    8815	   15520
    8819	   15520
    8813	   15520
    8813	   15520
    8813	   15520
    8815	   15520
    8813	   15520
    8813	   15530
    8813	   15530
    8819	   15530
    8880	   15530
    8924	   15530
    8970	   15530
    9014	   15530
    9045	   15530
    9063	   15530
    9076	   15530
    9095	   15530
    9118	   15530
    9147	   15530
    9179	   15530
    9196	   15530
    9208	   15530
    9216	   15530
    9248	   15530
    9260	   15530
    9262	   15530
    9267	   15530
    9272	   15530
    9284	   15530
    9301	   15530
    9321	   15530
    9338	   15530
    9355	   15530
