1985-01-01
     obs	     sim
  122404	  122100
  123385	  121800
  124980	  121200
  126823	  120400
  128398	  119600
  130199	  118800
  131251	  117900
  131540	  116700
  131488	  115500
  131119	  114300
  130722	  113000
  130067	  111700
  129675	  110700
  128892	  109400
  128139	  108200
  127312	  106900
  126487	  105700
  125643	  104400
  124905	  103300
  123941	  101900
  122279	  100000
  120684	   98150
  119449	   96790
  118514	   95590
  117758	   94340
  117075	   93280
  116229	   92210
  115434	   90960
  114428	   93040
  113667	   99400
  113004	  101800
  116204	  103900
  123510	  105400
  130855	  107300
  134603	  109500
  137225	  111000
  139415	  111900
  141434	  112600
  142270	  112400
  143278	  112900
  144066	  116600
  144546	  118000
  145908	  118400
  147220	  118500
  148108	  118200
  148800	  118700
  149204	  119800
  149784	  121300
  150014	  121900
  150276	  122200
  150799	  122200
  151587	  122000
  152818	  122000
  154322	  122200
  156045	  122400
  157843	  122200
  159320	  121900
  160625	  121600
  161510	  121200
  161938	  120500
  162675	  120300
  163228	  120000
  163719	  119600
  163967	  119100
  163905	  118500
  163844	  118200
  163998	  117800
  164277	  117600
  164463	  117600
  164524	  117200
  164710	  116700
  164245	  115900
  164030	  115000
  163998	  114600
  164307	  114500
  164649	  114400
  164649	  113900
  164586	  113500
  164524	  113300
  164431	  113100
  164338	  113200
  164710	  113500
  165236	  113700
  165611	  113700
  166046	  113500
  165983	  112800
  165890	  112000
  165765	  111600
  166232	  111700
  166763	  111800
  167265	  111700
  167734	  111700
  168204	  111600
  168676	  113000
  169403	  114000
  170352	  114800
  171402	  115400
  172326	  115700
  173095	  115700
  173802	  115700
  174509	  115800
  175189	  115900
  175803	  116100
  176420	  116400
  177039	  116700
  177692	  116800
  178181	  116800
  178575	  116800
  178903	  116700
  179297	  116700
  179625	  116600
  179625	  116300
  179955	  116300
  180185	  116200
  180349	  116500
  180613	  117700
  180912	  118200
  181242	  118500
  181374	  118700
  181773	  119100
  182203	  120400
  182903	  121000
  183336	  121500
  183772	  121700
  184173	  121900
  183838	  121400
  184104	  121400
  184439	  121500
  184608	  121500
  184775	  121600
  184943	  121700
  185078	  121700
  184775	  121300
  184843	  121800
  185010	  122800
  185247	  123900
  185447	  124500
  185651	  124900
  185920	  125200
  186223	  125500
  186155	  126200
  185954	  126700
  186020	  127400
  186257	  127900
  186830	  128300
  187610	  128600
  188288	  128800
  188051	  128100
  188322	  128300
  188119	  128100
  188016	  128300
  188188	  129700
  188153	  129900
  187645	  129600
  187067	  130000
  186629	  130200
  186120	  130300
  186358	  130700
  186729	  131200
  187136	  132600
  186695	  133400
  186629	  134100
  186561	  134500
  187270	  135100
  187813	  135500
  188153	  135900
  188322	  136900
  188288	  137300
  188493	  137700
  188662	  138000
  188731	  138300
  188528	  138300
  188562	  138800
  188596	  139200
  188085	  138800
  187270	  138300
  186292	  137500
  185851	  137200
  185347	  137000
  185178	  137100
  185279	  137700
  184709	  137600
  184439	  138400
  183772	  138300
  183671	  138700
  183270	  138700
  183270	  139000
  183204	  139200
  182771	  138800
  182172	  139200
  181540	  139000
  180978	  138800
  180217	  138200
  180119	  138400
  180119	  139100
  179133	  138300
  178967	  138400
  178803	  138300
  178575	  138200
  177462	  137200
  176451	  136500
  175610	  135900
  174509	  135000
  173447	  134000
  172647	  133400
  171847	  134800
  171179	  134700
  171147	  134900
  170956	  135000
  170448	  134500
  169591	  134200
  168772	  133800
  168204	  133000
  167578	  132200
  168047	  132000
  168331	  131700
  167986	  131200
  167326	  130700
  166420	  129700
  165393	  128600
  164277	  127500
  163443	  126600
  162550	  125700
  161633	  124500
  160625	  123200
  159563	  122600
  158293	  124500
  157963	  126500
  158956	  127900
  159411	  128800
  159169	  128300
  158626	  127700
  158021	  127000
  157302	  127000
  156404	  127100
  156641	  127400
  156641	  127600
  155837	  126700
  155509	  126200
  154530	  125600
  153407	  124600
  152348	  123500
  151296	  122500
  149987	  121300
  149463	  120800
  148196	  119600
  146762	  118300
  145453	  117300
  144406	  116100
  143870	  115800
  142999	  115000
  142104	  114400
  141323	  113700
  140435	  113000
  139579	  112200
  138728	  111500
  138290	  111300
  138096	  111100
  137169	  110300
  136002	  109300
  134710	  108100
  133450	  106900
  132227	  105700
  132149	  105900
  132149	  106200
  131488	  105600
  130617	  104800
  129543	  104000
  128398	  102900
  127234	  101800
  126385	  101100
  126052	  101600
  124905	  101100
  124168	  100600
  123209	  100200
  122404	   99600
  121430	   98910
  121156	   98850
  120907	   98710
  119916	   97750
  118883	   96820
  117878	   95820
  116882	   94840
  115842	   93780
  115434	   93530
  114954	   93200
  113929	   92270
  113548	   91890
  113193	   91520
  112767	   91120
  112319	   90710
  112060	   91200
  111967	   92130
  111754	   92290
  111544	   92390
  111473	   92350
  111287	   92200
  111216	   92180
  111309	   92280
  111380	   92350
  111169	   92140
  110842	   91880
  110773	   91840
  110702	   91960
  110587	   92190
  110470	   93300
  110448	   95140
  110609	   96270
  110820	   96870
  111147	   97270
  111708	   97510
  112153	   97630
  112412	   97660
  112554	   97630
  112650	   97580
  112483	   97280
  112224	   96960
  112038	   97060
  111779	   97350
  111896	   97500
  111943	   97550
  111918	   97580
  111872	   97540
  111637	   98480
  111497	   98620
  111637	   98870
  111918	   99020
  112319	   99190
  112650	  100100
  112838	  102200
  113264	  107200
  114548	  111000
  116980	  113500
  120014	  115400
  122906	  116800
  124929	  117700
  125900	  118000
  126206	  118200
  126514	  118400
  126412	  118100
  126052	  117900
  125746	  117700
  126155	  118200
  126182	  118600
  126103	  119200
  126155	  119700
  126103	  120100
  126052	  120300
  126027	  120500
  126103	  120700
  126155	  120900
  126257	  121100
  126182	  121200
  125976	  121200
  125489	  121000
  124956	  120900
  124853	  121100
  124550	  121100
  123916	  120800
  123285	  120700
  122957	  120700
  122455	  120400
  121903	  120400
  121629	  120700
  121406	  121000
  120858	  120900
  120361	  120800
  120139	  120900
  119547	  120600
  119153	  120500
  118932	  120500
  118783	  120500
  118416	  120500
  117807	  120200
  117222	  119900
  116956	  119900
  116713	  120000
  115747	  119100
  114308	  118100
  113288	  117300
  112672	  116800
  111896	  117100
  111708	  117700
  111590	  118100
  111006	  117900
  110401	  117600
  109958	  117300
  109474	  117000
  108921	  116900
  109220	  117300
  109704	  117700
  109083	  117100
  108300	  116500
  107842	  118700
  107705	  119800
  107546	  120500
  107683	  121600
  107774	  123400
  108048	  124900
  109105	  126000
  111287	  128200
  112862	  129100
  114406	  129900
  116204	  130900
  118123	  131600
  119226	  132100
  119250	  131800
  118808	  131300
  118392	  130900
  118172	  133100
  118514	  138000
  118808	  145200
  121156	  149100
  127442	  153100
  135033	  155600
  141101	  157600
  145536	  159300
  148338	  160800
  150508	  162500
  152025	  163500
  153199	  165300
  154530	  166700
  155687	  168000
  156673	  169100
  157212	  169800
  157963	  170700
  158596	  171500
  158234	  171500
  157811	  171400
  157302	  171300
  156673	  171200
  157150	  172100
  157542	  173300
  157390	  173700
  157451	  174600
  157390	  175900
  157992	  178600
  159502	  180500
  161449	  182100
  164091	  183500
  166513	  185400
  167827	  186400
  169403	  187400
  169687	  187600
  169782	  187700
  169750	  187800
  170384	  188800
  170607	  189300
  171211	  190400
  171688	  191300
  172136	  192200
  172583	  193100
  172999	  193900
  173320	  194800
  173383	  195300
  173447	  195900
  173447	  196300
  173352	  196700
  173224	  197200
  173256	  197900
  173545	  198600
  173545	  199100
  173770	  199800
  173802	  200400
  173834	  201000
  173931	  201600
  174090	  202200
  174252	  202900
  174350	  203600
  174477	  204200
  174543	  204800
  174543	  205400
  174705	  205900
  174832	  207000
  175028	  207800
  175157	  208500
  175189	  209000
  175287	  209500
  175350	  210000
  175448	  210400
  175544	  210900
  175642	  211400
  175869	  211900
  175869	  212300
  175933	  212700
  175999	  213100
  175999	  213400
  176031	  213700
  175933	  214000
  175901	  214200
  175803	  214500
  175705	  214600
  175512	  214600
  175157	  214400
  174832	  214900
  174477	  215100
  174220	  215200
  174027	  215700
  173865	  215800
  174027	  217000
  174607	  217300
  174930	  217600
  175382	  218100
  175673	  218100
  175739	  218100
  175869	  218000
  176160	  218300
  177266	  218900
  177856	  219100
  178443	  220400
  179099	  221100
  180021	  221500
  181044	  221800
  181738	  221500
  181540	  220700
  181440	  220100
  181508	  219800
  181440	  219300
  181276	  218900
  181242	  218600
  181012	  218500
  180880	  218700
  180713	  219000
  180912	  219100
  180679	  219100
  180547	  219000
  180415	  218800
  180317	  218500
  180119	  218100
  179921	  217900
  179656	  217800
  179133	  217200
  178803	  216700
  178345	  216500
  178115	  216300
  177462	  215600
  177266	  215300
  176811	  215100
  176128	  214300
  175157	  213500
  174670	  213000
  174316	  213300
  173609	  212900
  173383	  212800
  173193	  212600
  172806	  213300
  172231	  214100
  171879	  213900
  171720	  214000
  171529	  213900
  171306	  213800
  171115	  213600
  170193	  212600
  169244	  213100
  168392	  213400
  168111	  214000
  167233	  213600
  167044	  215300
  166702	  216600
  166171	  216800
  166014	  217100
  165236	  216500
  164338	  215800
  163411	  215000
  163074	  215000
  162797	  214900
  162090	  214300
  161356	  213600
  160563	  212900
  159563	  212100
  158746	  211300
  158445	  211100
  158112	  210800
  157481	  210100
  156761	  209500
  156194	  209000
  155866	  208600
  155210	  208000
  154885	  207700
  154648	  207500
  154055	  207000
  153466	  206600
  153082	  206500
  152700	  206300
  152436	  206100
  152230	  207200
  152318	  208600
  152054	  208700
  151937	  208800
  151587	  208600
  151178	  208400
  150770	  208300
  150567	  208600
  150364	  208600
  149987	  209000
  149493	  208800
  149089	  208600
  148627	  208300
  148311	  208100
  148081	  207900
  147907	  207700
  147190	  207100
  146620	  207000
  145879	  206400
  145196	  205800
  144406	  205100
  144039	  206600
  143897	  208800
  143476	  209900
  143364	  210900
  142914	  212200
  142495	  212500
  142160	  212600
  142131	  213000
  142327	  213400
  141964	  213000
  141297	  212600
  140629	  212600
  139689	  212100
  139085	  211600
  138948	  211600
  138811	  211800
  138370	  211400
  137607	  210700
  136871	  210200
  136032	  209600
  135787	  209900
  135599	  210000
  135410	  210100
  134980	  210400
  134280	  209800
  133423	  209100
  132545	  208400
  131645	  207600
  130987	  207200
  130803	  207100
  129989	  206300
  129073	  205700
  127855	  204800
  126798	  203800
  125568	  203200
  125056	  203100
  124320	  202500
  123461	  201800
  122881	  201400
  122681	  201300
  122455	  201300
  122304	  201200
  122155	  202000
  122228	  205200
  122380	  206400
  122730	  207200
  122982	  207700
  123434	  208100
  123637	  208300
  123713	  208400
  123586	  208300
  122255	  207100
  120858	  205800
  119449	  204600
  118025	  204200
  116640	  203600
  116713	  203700
  116956	  204000
  116591	  203700
  116109	  203300
  115747	  202800
  115148	  202400
  114524	  202100
  114382	  202000
  114213	  201900
  113359	  201400
  112437	  201200
  111522	  201700
