1985-01-01
     obs	     sim
    8081	    8266
    8196	    8431
    8215	    8106
    8117	    7761
    8176	    7532
    8176	    7294
    8156	    7077
    8117	    6827
    8117	    6783
    8137	    6588
    8137	    6393
    8156	    6180
    8100	    5980
    8081	    5747
    8061	    5695
    8100	    5673
    8081	    5523
    8081	    5347
    8117	    5330
    8044	    5073
    7988	    4775
    8176	    4642
    8156	    4475
    8176	    4276
    8176	    4080
    8156	    3873
    8156	    3672
    8137	    4984
    8117	    7379
    8100	   10070
    8215	   10070
    9497	    9759
    9708	    9294
    9475	    9627
    9111	    9130
    8805	    8525
    8575	    7951
    8514	    7630
    8452	    7385
    8411	    7138
    8372	    6915
    8313	    6662
    8430	    6475
    8472	    6327
    8553	    6220
    8658	    6927
    8763	    7020
    8849	    7024
    8849	    7504
    8871	    7405
    8849	    7182
    8575	    6889
    8616	    6679
    8514	    6849
    8411	    8099
    8372	    7988
    8372	    7842
    8372	    7625
    8313	    7533
    8313	    7409
    8293	    7336
    8372	    7262
    8254	    7053
    8274	    6961
    8333	    6877
    8372	    6763
    8372	    6634
    8391	    6568
    8411	    6500
    8430	    6440
    8452	    6388
    8452	    6316
    8472	    6260
    8472	    6219
    8492	    6173
    8514	    6126
    8514	    6085
    8533	    6567
    8553	    6957
    8594	    7045
    8678	    7261
    8763	    7241
    8827	    7184
    8827	    7137
    8827	    7053
    8763	    6922
    8763	    6835
    8763	    6747
    8805	    6910
    8893	    6848
    8912	    6812
    8893	    6730
    8893	    6661
    8912	    8451
    8934	    8664
    9022	    8642
    9111	    8574
    9111	    8504
    9111	    8430
    9135	    8339
    9111	    8269
    9111	    8178
    9135	    8608
    9157	    8573
    9223	    8548
    9292	    8505
    9360	    8447
    9407	    8351
    9382	    8241
    9429	    8130
    9475	    8033
    9429	    7944
    9407	    7877
    9453	    7833
    9522	    7994
    9544	    8211
    9590	    8133
    9639	    8041
    9615	    8316
    9639	    9058
    9639	    9334
    9615	    9249
    9685	    9136
    9685	    8994
    9685	    8876
    9708	    8918
