1985-01-01
     obs	     sim
   90366	   92040
   88832	   92840
   91176	   99990
   91369	   99410
   92583	  100400
   93234	  101300
   92353	  100400
   91758	  100600
   90645	   99100
   89547	   98420
   89715	   98020
   91330	   99280
   92253	  100200
   88480	   97070
   89696	   98190
   91421	  102800
   92001	  102500
   91920	  102500
   91964	  103000
   92451	  102400
   93192	  105000
   91969	  102700
   91318	  101500
   91832	  101500
   89715	   99090
   90197	   98750
   89894	   98470
   90109	   99850
   90295	  102000
   90604	  102600
   91680	  103100
   93767	  112300
   94198	  108600
   93921	  108800
   93806	  107200
   96495	  102800
   95191	  100800
   93681	   97150
   93640	  106300
   93412	  110500
   92864	  111100
   95245	  109200
   98340	  108800
   99054	  108300
   97796	  104200
   99299	  104200
   96925	  100500
   93919	   96600
   92314	   92920
   91961	   90270
   92463	   89440
   90151	   86520
   88800	   85150
   90158	   85620
   91467	   85690
   91112	   85340
   91457	   85690
   92201	   86750
   90530	   85060
   88573	   83580
   88035	   83060
   89427	   84570
   87966	   83930
   88700	   85330
   88999	   86270
   89202	   86510
   89588	   88240
   89742	   88870
   90454	   90150
   90122	   89990
   89701	   90240
   89512	   90640
   90288	   92000
   90254	   92940
   90266	   93850
   89745	   94000
   89904	   93420
   89872	   94270
   90266	   96460
   90875	   97180
   92583	   97350
   93060	   97820
   93075	   97550
   94606	   98330
   95374	   99740
   97028	  101500
   98144	  102400
   98335	  104400
   99905	  106600
  101403	  108600
  101092	  108800
  101628	  109900
  102912	  111900
  104960	  114600
  105939	  116300
  106978	  116300
  105613	  116100
  107666	  118200
  109229	  119900
  108767	  118700
  108713	  118600
  108344	  118700
  107367	  119100
  107487	  119400
  108371	  119700
  108185	  120100
  109332	  120800
  110054	  121700
  111505	  123200
  110756	  122700
  109650	  125100
  110467	  131700
  112853	  130900
  113682	  131300
  114235	  131600
  114394	  131400
  115456	  131300
  114629	  130700
  113824	  132500
  113689	  132800
  116549	  132700
  118074	  127600
  118093	  122700
  115989	  118200
  115030	  116800
  114658	  117500
  113198	  116900
  115243	  117000
  113826	  114400
  113543	  112600
  113401	  111800
  114025	  111300
  113379	  110000
  114710	  111200
  112909	  109100
  112160	  108600
  112513	  108800
  112500	  109300
  112904	  109200
  112784	  109600
  112960	  109700
  112909	  110100
  113386	  110800
  112640	  110700
  113251	  111600
  113203	  112400
  113623	  113200
  114076	  113900
  114624	  114300
  115297	  114300
  113308	  112900
  112199	  112000
  110709	  111400
  111488	  111900
  115030	  115600
  115862	  117700
  112999	  114200
  112473	  114500
  111510	  114100
  110969	  114400
  112985	  116800
  112053	  116400
  113636	  118500
  113007	  118100
  111534	  116900
  110558	  116500
  109430	  118300
  112187	  120100
  112919	  121400
  113834	  122800
  113450	  122600
  113680	  123000
  112708	  121900
  110328	  120200
  111903	  121200
  113225	  123300
  113599	  125100
  114294	  125600
  110320	  124200
  110377	  124400
  109792	  123900
  111925	  125000
  111478	  125500
  113269	  127200
  113873	  128400
  112655	  127100
  111475	  126100
  108870	  123400
  109900	  123900
  110572	  124400
  110832	  125500
  111473	  126900
  110778	  126900
  107960	  125000
  107182	  125800
  107436	  126100
  108084	  127000
  109675	  129100
  109704	  129700
  108209	  127600
  106805	  125800
  105716	  125200
  106489	  126800
  107938	  128500
  108278	  130400
  108968	  131500
  110262	  127000
  109797	  126700
  107871	  125800
  106244	  121300
  106563	  122600
  107133	  123300
  106883	  124000
  106805	  124700
  105462	  124100
  104422	  124900
  105175	  126500
  106805	  128500
  107013	  129600
  107734	  129000
  108043	  125500
  106007	  123200
  103612	  120500
  105564	  121500
  107049	  123600
  107216	  128500
  107933	  130100
  110739	  128100
  111813	  119000
  110675	  115800
  109775	  113700
  107972	  110300
  107240	  109000
  106991	  107600
  104598	  105100
  104407	  102700
  103419	  102300
  105212	  103200
  107522	  106200
  108517	  106600
  108972	  106700
  108904	  106600
