1985-01-01
     obs	     sim
   50213	   50330
   50487	   50550
   50854	   50400
   51431	   50170
   51950	   50040
   52288	   49890
   52457	   49720
   52513	   49500
   52535	   49290
   52527	   49070
   52457	   48850
   52422	   48680
   52505	   48600
   52310	   48270
   52097	   47930
   51957	   47740
   51957	   47580
   51886	   47420
   51908	   47340
   51725	   47080
   51118	   46410
   51008	   46240
   51028	   46150
   50959	   45990
   50820	   45770
   50820	   45690
   50812	   45610
   50702	   45390
   50551	   46100
   50482	   49010
   50453	   49940
   52183	   50030
   54088	   50080
   55331	   50100
   55791	   50020
   56290	   50030
   56711	   50030
   57022	   50000
   57132	   49760
   57333	   49680
   57496	   50050
   57602	   49930
   57856	   49790
   57976	   49590
   58013	   49360
   58020	   49220
   58071	   49220
   58184	   49170
   58216	   49010
   58252	   49430
   58297	   49280
   58426	   49110
   58695	   49030
   59089	   49000
   59569	   49130
   60009	   49050
   60540	   48980
   60956	   48910
   61264	   48830
   61592	   48800
   61856	   48770
   62098	   48750
   62277	   48670
   62245	   48440
   62199	   48280
   62199	   48190
   62412	   48190
   62568	   48190
   62725	   48190
   62852	   48090
   62969	   48030
   62852	   47720
   62732	   47420
   62788	   47340
   62921	   47320
   63023	   47290
   63087	   47210
   63136	   47140
   63207	   47140
   63285	   47130
   63341	   47170
   63451	   47260
   63635	   47250
   63777	   47180
   63919	   47100
   63752	   46720
   63603	   46330
   63713	   46300
   63872	   46340
   64017	   46320
   64095	   46250
   64176	   46170
   64232	   46100
   64359	   46250
   64455	   46290
   64584	   46430
   64736	   46460
   64785	   46360
   64888	   46280
   64897	   46100
   65010	   46020
   65228	   45990
   65365	   46060
   65533	   46220
   65582	   46080
   65582	   45910
   65614	   45730
   65622	   45550
   65656	   45380
   65607	   45190
   65582	   45010
   65436	   44700
   65379	   44510
   65323	   44390
   65284	   44330
   65299	   44330
   65284	   44240
   65470	   44160
   65639	   44160
   65776	   44180
   65859	   44330
   66013	   44320
   66150	   44300
   66272	   44280
   66387	   44270
   66502	   44250
   66593	   44230
   66666	   44190
   66715	   44170
   66813	   44160
   66918	   44140
   67043	   44120
   67141	   44150
   67207	   44280
   67280	   44510
   67322	   44510
   67371	   44470
   67488	   44430
   67603	   44400
   67735	   44410
   67826	   45710
   67985	   46520
   68484	   46750
   69152	   46710
   69986	   46670
   70454	   46630
   70776	   46600
   71006	   46560
   71170	   46520
   71315	   46480
   71427	   46560
   71547	   46640
   71616	   46710
   71701	   46680
   71797	   46710
   71762	   46720
   71762	   46630
   71736	   46530
   71728	   46430
   71762	   46390
   71780	   46440
   71770	   46350
   71701	   46250
   71581	   46160
   71599	   46120
   71643	   46100
   71718	   46190
   71804	   46110
   71804	   46030
   71780	   45940
   71718	   45850
   71711	   45790
   71728	   45700
   71770	   45620
   71831	   45530
   71780	   45430
   71537	   45150
   71290	   44860
   71016	   44610
   70999	   44600
   71068	   44690
   70931	   44560
   70828	   44500
   70742	   44320
   70752	   44310
   70725	   44200
   70735	   44130
   70742	   44060
   70605	   43870
   70505	   43760
   70368	   43580
   70265	   43390
   70028	   43070
   70003	   42990
   70028	   43190
   69852	   42900
   69852	   42700
   69724	   42490
   69590	   42290
   69287	   41920
   69052	   41640
   68834	   41340
   68516	   40980
   68190	   40870
   67850	   40640
   67753	   42350
   67718	   42710
   68225	   42670
   68775	   42620
   68834	   42400
   68775	   42370
   68658	   42700
   68685	   42440
   68699	   42180
   68809	   42120
   68834	   42070
   68584	   41710
   68315	   41410
   68034	   41030
   67777	   40660
   67503	   40280
   67273	   40000
   67067	   39710
   66803	   39360
   66485	   38990
   66160	   38700
   65834	   39090
   65680	   40270
   65727	   40140
   65947	   40100
   65768	   39770
   65533	   39410
   65228	   39040
   64880	   38670
   64592	   38550
   64486	   38350
   64472	   38220
   64095	   37850
   63738	   37420
   63363	   37000
   62969	   36610
   62639	   36230
   62245	   35810
   61849	   35370
   61714	   35200
   61475	   34920
   61227	   34640
   60971	   34350
   60709	   34080
   60562	   33890
   60418	   33760
   60171	   33490
   59904	   33220
   59645	   32950
   59349	   32670
   59128	   32470
   59006	   32370
   58908	   32270
   58644	   32000
   58402	   31750
   58147	   31480
   57893	   31220
   57653	   30960
   57526	   30830
   57430	   30730
   57362	   30650
   57230	   30480
   57044	   30360
   56733	   29990
   56408	   29670
   56305	   29560
   56202	   29440
   55887	   29260
   55573	   29050
   55434	   28870
   55273	   28680
   55099	   28480
   54999	   28360
   54910	   28270
   54629	   27960
   54441	   27760
   54252	   27540
   54096	   27360
   53959	   27190
   53851	   27060
   53787	   26960
   53636	   26790
   53494	   26620
   53173	   26280
   53017	   26100
   52782	   25840
   52677	   26240
   52606	   26290
   52415	   26000
   52408	   25890
   52344	   25770
   52266	   25640
   52202	   25540
   52141	   25440
   52126	   25390
   52063	   25290
   51992	   25220
   51999	   25540
   52014	   26430
   52070	   26420
   52197	   28020
   52302	   29480
   52887	   29740
   53814	   29700
   54375	   29670
   54766	   29640
   55040	   29600
   55216	   29600
   55361	   29600
   55273	   29380
   55172	   29170
   55040	   28960
   54910	   28760
   54800	   28690
   54808	   28620
   54788	   28540
   54678	   28360
   54556	   28180
   54419	   28840
   54318	   28680
   54282	   28510
   54382	   28440
   54463	   28410
   54382	   28710
   54311	   29200
   54389	   30030
   54649	   32020
   55265	   32200
   56393	   32270
   57281	   32260
   57511	   32030
   57482	   31720
   57386	   31410
   57518	   31380
   57631	   31370
   57788	   31430
   57922	   31500
   57682	   31190
   57467	   31180
   57222	   31200
   57333	   31210
   57430	   31240
   57244	   30950
   57044	   30640
   56836	   30340
   56814	   30240
   56755	   30150
   56503	   29880
   56246	   29610
   55967	   29390
   56004	   29430
   56085	   29490
   56151	   29530
   55813	   29190
   55427	   28860
   55317	   28760
   55209	   28660
   55091	   28560
   54969	   28550
   54874	   28450
   54766	   28360
   54649	   28240
   54656	   28260
   54685	   28280
   54700	   28310
   54497	   28100
   54267	   27880
   54030	   27660
   53773	   27430
   53836	   27470
   53900	   29790
   53966	   30140
   53743	   29950
   53509	   29730
   53266	   29500
   53237	   29500
   53279	   30050
   53315	   30570
   53435	   30590
   53323	   30370
   53129	   30140
   53102	   30010
   53066	   29840
   53002	   29820
   53200	   29880
   53372	   29950
   53044	   29550
   52591	   29100
   52557	   30320
   52493	   30460
   52557	   30530
   52669	   31390
   52853	   31520
   53513	   32070
   54397	   32220
   55187	   32680
   55522	   32440
   55857	   32310
   56283	   32400
   56667	   32930
   56843	   32820
   56682	   32460
   56525	   32130
   56364	   31880
   56327	   32320
   56533	   32910
   56733	   33440
   57081	   34140
   57863	   34930
   58742	   35050
   59911	   35220
   60609	   35690
   61188	   35930
   61646	   36170
   61778	   36030
   61935	   36580
   62277	   36850
   62700	   37000
   63111	   37160
   63278	   37160
   63593	   37300
   63664	   37300
   63540	   37090
   63317	   36840
   63136	   36590
   62906	   36340
   63055	   36510
   63221	   36680
   63168	   36570
   63143	   36780
   63023	   37540
   63158	   38260
   63728	   38440
   65130	   38610
   65866	   38790
   66380	   39180
   66593	   39170
   66918	   39280
   66862	   39120
   66764	   38960
   66649	   38790
   66855	   38960
   66904	   38960
   67019	   39070
   67134	   39160
   67207	   39240
   67249	   39330
   67412	   39490
   67545	   39640
   67652	   39750
   67753	   39850
   67850	   39950
   67934	   40050
   68009	   40150
   68068	   40380
   68142	   40450
   68176	   40540
   68225	   40630
   68183	   40690
   68190	   40770
   68225	   40840
   68249	   40920
   68283	   40980
   68374	   41060
   68398	   41130
   68367	   41180
   68349	   41230
   68384	   41250
   68433	   41400
   68467	   41470
   68509	   41510
   68499	   41550
   68491	   41590
   68509	   41630
   68575	   41650
   68626	   41680
   68709	   41710
   68726	   41720
   68734	   41740
   68783	   41750
   68792	   41760
   68783	   41770
   68751	   41770
   68751	   41770
   68768	   41770
   68741	   41700
   68709	   41610
   68658	   41530
   68575	   41450
   68484	   41450
   68398	   41530
   68384	   41470
   68425	   41390
   68650	   41290
   68751	   41660
   68858	   41550
   69162	   41990
   69421	   43070
   69928	   43070
   70622	   42940
   70921	   42890
   71068	   43590
   71195	   43960
   71804	   43920
   72271	   44270
   72775	   44550
   73167	   44600
   73568	   44640
   73920	   44690
   74202	   44750
   74476	   44800
   74686	   44850
   74821	   44850
   74909	   44860
   74963	   44870
   75024	   44930
   75112	   44990
   75254	   45020
   75371	   45050
   75486	   45190
   75584	   45200
   75692	   45210
   75755	   45220
   75692	   45160
   75745	   45190
   75799	   45220
   75745	   45140
   75675	   45070
   75584	   45010
   75513	   44950
   75398	   44830
   75354	   44760
   75254	   44800
   75095	   44630
   74926	   44420
   74801	   44300
   74642	   44180
   74635	   44150
   74547	   44070
   74500	   43990
   74368	   44480
   74219	   44410
   74324	   44300
   74253	   44170
   74185	   44080
   74158	   43980
   74104	   43890
   73903	   43620
   73673	   43950
   73402	   43770
   73201	   43810
   72993	   43540
   72844	   43400
   72731	   43180
   72523	   42900
   72288	   42620
   72063	   42330
   71858	   42050
   71633	   41770
   71452	   41580
   71383	   41490
   71205	   41280
   71033	   41070
   70828	   41060
   70622	   40840
   70385	   40630
   70224	   40460
   70131	   40360
   69910	   40140
   69759	   39960
   69556	   39790
   69362	   39610
   69203	   39440
   69145	   39360
   69110	   39500
   68934	   39380
   68783	   39210
   68633	   39130
   68416	   38910
   68166	   38660
   68051	   38660
   68009	   39380
   67860	   39190
   67694	   38990
   67527	   38790
   67356	   38590
   67175	   38450
   67043	   38830
   66886	   38690
   66740	   38840
   66617	   38630
   66461	   38430
   66314	   38870
   66160	   38990
   66045	   38810
   65898	   38630
   65705	   38500
   65526	   39020
   65411	   38830
   65284	   38640
   65105	   38480
   65034	   40060
   64954	   40890
   64993	   41300
   65113	   42370
   65203	   43640
   65396	   44040
   65663	   44010
   65800	   44060
   65866	   44070
   65859	   44040
   65859	   44030
   65768	   44020
   65825	   44080
   65883	   44160
   65898	   44240
   65922	   44330
   65954	   44410
   65996	   44500
   66020	   44590
   66028	   44690
   66069	   44790
   65964	   44680
   65817	   44580
   65614	   44680
   65509	   44540
   65340	   44410
   65179	   44280
   65010	   44310
   64824	   44160
   64655	   44020
   64462	   43890
   64271	   43760
   64088	   43630
   63897	   43490
   63674	   44070
   63483	   43950
   63324	   43810
   63094	   43660
   62881	   43540
   62693	   43390
   62590	   43240
   62262	   43110
   62042	   43310
   61849	   43780
   61763	   43650
   61599	   43530
   61396	   43390
   61296	   43260
   61056	   43120
   60887	   43000
   60709	   42870
   60533	   42730
   60332	   42580
   60149	   42440
   60095	   42520
   59818	   42850
   59706	   42720
   59645	   42660
   59522	   42540
   59393	   42420
   59248	   42300
   59097	   42160
   58945	   42070
   58832	   41950
   58673	   41820
   58517	   41750
   58387	   41660
   58267	   42420
   58125	   42910
   58064	   43020
   58064	   42880
   58042	   43000
   57780	   42850
   57543	   42530
   57289	   42220
   56917	   41870
   56525	   41540
   56217	   41230
   56011	   41000
   55696	   40660
   55353	   40370
   55006	   40340
   54685	   39980
   54353	   39630
   54108	   39690
   53907	   39860
   53606	   40020
   53293	   39670
   52987	   39330
   52838	   39100
   52689	   38870
   52677	   38810
   52633	   39200
   52337	   38970
   51992	   38620
   51732	   38280
   51431	   37950
   51148	   37640
   51091	   37640
   51042	   38610
   50959	   39380
   50952	   40590
   51084	   41140
   51424	   41050
   51894	   40970
   52190	   40950
   52322	   40930
   52373	   40850
   52393	   41330
   52359	   41260
   52408	   41210
   52393	   41150
   52457	   41150
   52464	   41150
   52295	   42560
   52253	   43030
   52344	   42980
   52894	   43000
   53215	   43030
   53428	   43050
   53550	   43070
   53594	   43040
   53587	   43030
   53487	   42970
   53436	   42910
   53308	   42780
   53229	   42730
   53194	   42770
   53109	   42720
   52988	   42670
   52740	   42450
   52464	   42250
   52337	   42200
   52309	   42220
   52295	   42290
   52147	   42230
   52027	   42220
   51999	   42430
   52076	   42510
   52091	   43470
   52126	   46310
   52203	   46650
   53030	   46770
   53894	   46930
   54332	   47060
   54650	   47140
   54954	   47300
   55171	   47420
   55404	   47530
   55638	   47640
   55506	   47500
   55558	   51520
   55726	   52280
   56092	   52580
   56784	   53180
   57326	   53350
   57773	   53520
   58267	   53680
   58779	   53840
   59271	   54000
   59652	   54160
   59995	   54320
   60317	   54470
   60493	   54580
   60686	   54680
   60909	   54830
   61110	   54970
   61304	   55180
   61498	   55810
   61715	   56170
   62012	   56730
   62199	   57600
   62442	   57760
   62670	   57910
   62961	   58060
   63245	   59160
   63618	   59350
   64327	   59450
   64832	   59480
   65299	   61320
   65704	   62810
   66501	   64050
   67743	   64270
   69615	   64460
   70564	   64290
   71144	   64120
   71444	   63950
   71436	   63580
   71341	   63220
   71196	   62960
   71033	   62840
   71007	   62530
   71024	   62200
   70845	   61780
   70581	   61360
   70266	   60940
   69970	   60680
   69809	   60460
   69666	   60230
   69581	   60130
   69497	   59910
   69716	   59690
   69961	   59470
   70385	   59610
   70734	   59740
   71041	   59880
   71281	   60010
   71204	   59850
   71392	   60110
   71461	   60080
   71633	   60340
   71797	   61470
   72055	   61670
   72670	   61850
   73245	   62550
   73683	   62770
   74183	   62970
   74589	   64230
   74962	   64700
   75326	   64880
   75710	   65060
   76553	   65250
   77921	   65450
   79260	   65690
   80419	   65870
   80885	   65600
   81185	   66290
   81269	   68780
   81767	   70720
   84794	   70600
   87191	   69940
   87772	   69130
   87832	   68280
   87611	   67430
   87271	   66600
   86853	   66950
   86556	   67510
