1985-01-01
     obs	     sim
   49807	   49710
   49765	   49290
   49396	   48700
   49178	   48090
   48897	   47510
   48657	   47020
   48522	   46660
   48491	   46450
   48481	   46210
   48368	   45980
   48263	   45740
   48224	   45570
   48275	   45460
   47987	   45040
   47720	   44990
   47566	   44720
   47485	   44520
   47434	   44330
   47463	   44250
   47373	   44000
   46844	   43400
   46763	   43210
   46754	   43120
   46754	   43040
   46734	   42950
   46763	   42900
   46795	   42810
   46825	   42920
   46825	   43600
   46895	   43850
   47118	   43840
   48522	   43790
   49628	   43790
   50348	   45550
   50634	   46360
   51277	   46350
   51752	   46040
   51688	   45410
   51493	   46030
   51407	   46280
   51546	   46320
   51850	   46040
   52146	   45760
   52058	   45200
   51818	   44590
   51524	   43980
   51546	   43680
   51612	   43720
   51471	   43390
   51524	   43060
   51612	   42690
   51407	   42110
   51170	   41600
   50849	   41020
   50529	   40470
   50103	   39760
   49555	   39020
   49261	   38580
   48938	   38140
   48637	   37710
   48855	   37750
   49041	   37870
   49281	   37900
   49418	   37940
   49618	   37980
   49807	   38140
   49976	   38180
   50145	   38220
   50335	   38280
   50560	   38320
   50761	   38360
   50945	   38400
   51106	   38440
   51233	   38470
   51341	   38510
   51461	   38540
   51612	   38570
   51720	   38660
   51808	   39300
   51928	   39390
   52209	   39500
   52474	   39550
   52650	   39600
   52826	   39640
   52990	   39700
   53134	   39740
   53313	   39780
   53423	   40100
   53513	   40150
   53802	   40190
   54005	   40240
   54252	   40270
   54355	   40180
   54208	   40530
   54490	   40590
   54786	   40630
   55104	   40680
   55390	   40720
   55517	   40760
   55654	   40800
   55794	   40850
   55943	   40890
   56095	   41540
   56351	   41630
   56503	   41670
   56667	   41710
   56877	   41750
   57054	   41780
   57183	   41810
   57289	   41850
   57359	   41880
   57408	   42190
   57526	   42180
   57717	   42210
   57824	   42310
   57871	   42350
   57942	   42340
   57966	   42330
   58074	   42460
   58123	   42760
   58218	   42790
   58289	   42790
   58326	   42780
   58338	   42780
   58363	   42770
   58409	   43650
   58482	   43700
   58541	   43720
   58566	   43810
   58590	   43810
   58602	   43810
   58651	   43800
   58771	   43820
   58808	   43820
   58832	   43810
   58832	   43810
   58832	   43800
   58820	   43790
   58808	   43930
   58857	   43960
   58903	   43970
   58903	   43970
   58903	   43960
   58867	   43950
   58857	   43950
   58857	   44090
   58857	   44100
   58879	   44080
   58867	   44070
   58845	   44050
   58832	   44030
   58820	   44040
   58820	   44040
   58808	   44020
   58783	   44010
   58759	   44080
   58663	   44140
   58686	   44070
   58639	   44080
   58639	   44240
   58578	   44360
   58553	   44310
   58482	   44250
   58421	   44190
   58350	   44350
   58338	   44340
   58338	   45190
   58385	   45170
   58458	   45110
   58397	   45050
   58326	   44980
   58289	   44960
   58265	   44950
   58289	   44940
   58255	   44870
   58169	   44800
   58135	   44730
   58074	   44650
   57978	   44570
   57966	   44640
   58003	   44630
   58015	   44550
   57966	   44590
   57895	   44730
   58037	   44700
   57991	   44630
   58015	   44610
   58015	   44600
   58049	   44580
   58049	   44790
   58074	   44780
   58086	   44760
   58086	   44750
   58062	   44930
   58062	   45020
   58062	   45000
   58062	   44980
   58062	   44960
   58049	   44930
   58015	   44910
   58003	   44880
   58003	   44850
   58003	   44990
   58027	   44960
   58027	   45030
   58015	   45220
   58135	   45330
   58135	   45360
   58135	   45350
   58206	   45330
   58265	   45310
   58326	   45290
   58338	   45270
   58338	   45250
   58338	   45220
   58326	   45250
   58301	   45740
   58363	   45940
   58566	   45930
   58651	   45920
   58676	   45910
   58686	   45890
   58710	   45870
   58734	   45840
   58734	   45820
   58747	   45950
   58734	   49690
   58891	   49830
   59268	   49830
   59647	   49830
   59855	   49820
   60026	   49810
   60100	   49800
   60224	   49840
   60310	   50090
   60520	   50080
   60743	   50070
   60917	   50050
   61078	   50040
   61142	   50030
   61191	   50130
   61254	   50110
   61291	   50100
   61328	   50080
   61367	   50060
   61191	   49930
   60990	   49720
   60816	   49490
   60618	   49260
   60582	   49180
   60533	   49110
   60396	   48960
   60286	   48810
   60149	   48660
   60002	   48510
   59831	   48360
   59782	   48290
   59671	   48230
   59623	   48150
   59549	   48080
   59488	   48010
