1985-01-01
     obs	     sim
   46193	   46420
   46237	   46760
   46274	   46770
   46294	   46660
   46413	   46590
   46445	   46490
   46489	   46380
   46489	   46330
   46573	   46280
   46597	   46220
   46577	   46160
   46597	   46100
   46577	   46040
   46394	   45810
   46230	   45620
   46166	   45500
   46206	   45450
   46206	   45410
   46218	   45350
   46017	   45080
   45415	   44430
   45202	   44260
   45185	   44210
   45153	   44150
   45134	   44070
   45158	   44020
   45153	   43980
   45166	   43920
   45134	   45840
   45166	   48360
   45202	   49210
   45998	   49210
   46864	   49210
   47527	   49270
   47818	   49370
   48094	   49370
   48314	   49370
   48542	   49370
   48535	   49130
   48569	   49070
   48679	   49210
   48796	   49170
   49281	   49110
   49472	   49060
   49604	   48990
   49702	   48950
   49780	   49560
   49846	   49990
   49907	   49940
   50012	   50490
   50091	   50680
   50186	   50770
   50326	   50790
   50570	   50880
   50905	   51190
   51113	   51210
   51407	   51210
   51644	   51180
   51845	   51140
   52036	   51150
   52192	   51160
   52373	   51190
   52457	   51150
   52461	   51010
   52461	   50890
   52449	   50870
   52496	   50830
   52645	   50840
   52721	   50860
   52789	   50790
   52843	   50740
   52885	   50680
   52926	   50620
   52980	   50560
   53049	   50560
   53122	   50560
   53190	   50520
   53286	   50500
   53293	   50710
   53391	   50850
   53457	   51000
   53540	   51080
   53677	   51100
   53753	   51090
   53814	   51080
   53746	   50880
   53787	   50850
   53883	   50820
   53966	   50920
   54054	   50930
   54164	   50930
   54235	   50920
   54387	   50920
   54460	   51400
   54585	   51480
   54725	   51550
   54930	   51670
   55001	   51700
   55111	   51720
   55180	   51710
   55263	   51690
   55410	   51690
   55520	   52030
   55610	   52350
   55755	   52470
   55958	   52540
   56109	   52560
   56263	   52570
   56373	   52570
   56501	   52570
   56591	   52560
   56577	   52450
   56652	   52500
   56738	   52500
   56799	   52480
   56877	   52750
   57002	   52960
   57142	   53020
   57156	   52950
   57198	   52950
   57289	   53100
   57284	   53090
   57367	   53060
   57416	   53010
   57423	   52960
   57479	   52910
   57506	   52850
   57570	   52830
   57570	   52780
   57548	   52780
   57555	   52950
   57555	   52930
   57585	   53090
   57604	   53400
   57626	   53720
   57717	   54100
   57704	   54170
   57829	   54190
   57927	   54160
   57900	   54120
   57915	   54430
   58155	   54810
   58436	   55000
   58668	   55050
   58859	   55050
   58982	   55020
   59060	   54990
   59094	   54930
   59116	   54870
   59172	   54810
   59194	   54750
   59229	   55150
   59295	   55170
   59187	   55040
   59123	   55160
   58933	   55210
   58903	   55310
   58889	   55230
   58925	   55240
   58967	   55770
   58938	   55810
   58996	   55790
   59045	   55740
   59075	   55720
   59087	   55770
   59109	   55740
   59158	   55860
   59172	   55840
   59202	   55820
   59216	   55780
   59216	   55740
   59229	   55690
   59224	   55640
   59224	   55580
   59158	   55450
   58918	   55140
   58641	   54800
   58267	   54470
   58111	   54510
   58111	   54620
   58155	   54780
   58069	   54810
   58054	   54890
   58027	   54870
   58020	   54950
   57998	   54970
   58013	   54950
   58020	   54920
   57934	   54810
   57878	   54850
   57810	   54760
   57739	   54660
   57457	   54490
   57443	   54480
   57430	   55130
   57220	   54970
   57183	   54920
   57115	   54850
   57032	   54740
   56640	   54340
   56361	   54070
   56033	   53830
   55666	   53440
   55270	   53420
   54847	   53360
   54800	   54720
   54771	   55150
   54937	   55500
   55055	   55620
   54979	   55640
   55001	   55800
   54959	   56230
   54925	   56150
   54888	   55990
   54979	   55990
   54994	   55990
   54888	   55860
   54771	   55830
   54490	   55590
   54164	   55240
   53841	   54870
   53616	   54600
   53396	   54320
   53225	   54090
   53034	   53870
   52735	   53780
   52491	   55210
   52354	   56750
   52701	   57080
   53122	   57240
   53129	   57140
   53041	   57000
   52946	   56820
   52797	   56620
   52645	   56520
   52598	   56470
   52552	   56680
   52342	   56740
   52197	   56570
   52043	   56440
   51840	   56220
   51656	   55970
   51407	   55700
   51194	   55420
   51206	   55390
   51140	   55260
   51060	   55210
   50959	   55090
   50825	   54910
   50817	   54850
   50737	   54740
   50604	   54540
   50450	   54340
   50284	   54140
   50098	   53940
   50032	   53860
   50039	   53850
   50052	   53850
   50032	   53790
   49846	   53580
   49570	   53290
   49313	   53000
   49320	   52970
   49300	   52930
   49308	   52970
   49168	   52810
   49168	   52760
   49149	   52900
   49019	   52760
   49012	   52730
   49004	   52700
   49004	   52680
   48867	   52760
   48628	   52780
   48608	   52830
   48633	   52830
   48659	   52800
   48647	   52780
   48659	   52760
   48381	   52430
   48341	   52380
   48327	   52330
   48322	   52270
   48314	   52220
   48302	   52170
   48307	   52140
   48302	   52090
   48283	   52030
   47960	   51670
   47945	   51610
   47830	   51480
   47823	   51770
   47830	   52000
   47625	   51820
   47629	   51840
   47617	   51820
   47605	   51790
   47625	   51770
   47629	   51750
   47617	   51730
   47617	   51690
   47605	   51960
   47612	   53440
   47637	   55120
   48082	   55680
   48765	   57820
   49019	   59160
   49826	   59670
   50651	   59940
   51199	   60090
   51568	   60170
   51845	   60210
   52028	   60240
   52205	   60250
   52116	   60010
   51994	   59760
   51874	   59520
   51732	   59270
   51630	   59120
   51710	   59130
   51798	   59140
   51705	   58910
   51568	   58850
   51402	   59610
   51348	   59620
   51429	   59510
   51630	   59530
   51786	   59520
   51725	   59320
   51664	   59320
   51745	   59690
   51901	   60940
   52192	   61240
   52660	   61360
   53171	   61420
   53328	   61360
   53239	   61060
   53117	   60740
   53151	   60650
   53178	   60550
   53308	   60570
   53423	   60580
   53225	   60240
   53007	   60030
   52797	   59900
   52836	   60020
   52931	   60040
   52762	   59730
   52457	   59310
   52219	   58980
   52163	   58820
   52082	   58660
   51818	   58320
   51556	   57980
   51280	   57640
   51294	   57600
   51341	   57550
   51368	   57510
   50991	   57030
   50531	   56570
   50465	   56400
   50392	   56230
   50272	   56100
   50171	   55970
   50071	   55800
   50012	   55630
   49841	   55460
   49861	   55420
   49866	   55340
   49841	   55250
   49655	   55000
   49452	   54740
   49247	   54480
   49019	   54220
   49051	   54180
   49097	   54170
   49122	   54160
   48980	   53900
   48757	   53640
   48562	   53370
   48522	   53280
   48562	   53880
   48593	   54100
   48691	   54410
   48691	   54340
   48652	   54220
   48628	   54120
   48620	   54000
   48628	   53920
   48725	   53930
   48809	   53920
   48483	   53480
   47984	   52910
   47960	   53350
   47928	   53220
   47972	   53180
   48055	   53230
   48160	   53290
   48471	   53520
   48699	   53680
   48946	   54000
   48848	   53780
   48953	   53710
   49090	   53730
   49207	   53980
   49281	   53920
   49058	   53610
   48652	   53110
   48373	   52770
   48102	   53560
   48177	   54290
   48256	   55240
   48483	   55990
   48921	   56730
   49464	   57010
   50047	   57180
   50470	   57310
   50790	   57430
   51064	   57590
   51253	   57640
   51387	   58030
   51610	   58170
   51825	   58240
   52102	   58420
   52258	   58470
   52415	   58500
   52552	   58510
   52491	   58310
   52373	   58110
   52327	   57910
   52224	   57700
   52285	   57690
   52388	   57700
   52381	   57610
   52415	   57960
   52457	   58890
   52572	   59760
   53000	   60060
   53677	   60250
   54088	   60380
   54399	   60750
   54683	   60860
   54930	   60940
   54820	   60710
   54725	   60480
   54619	   60230
   54732	   60260
   54869	   60300
   54979	   60330
   55096	   60360
   55228	   60390
   55331	   60410
   55471	   60440
   55561	   60470
   55652	   60480
   55728	   60500
   55833	   60510
   55916	   60530
   55992	   60540
   56055	   60640
   56158	   60680
   56236	   60770
   56327	   60820
   56388	   60840
   56422	   60860
   56486	   60860
   56520	   60880
   56591	   60890
   56667	   60920
   56723	   60940
   56758	   60950
   56836	   60960
   56912	   60970
   56953	   61090
   56988	   61140
   57073	   61160
   57107	   61160
   57142	   61160
   57149	   61120
   57156	   61080
   57183	   61040
   57205	   61000
   57213	   60960
   57240	   60910
   57262	   60870
   57220	   60820
   57205	   60780
   57198	   60740
   57191	   60690
   57205	   60640
   57213	   60650
   57220	   60590
   57235	   60540
   57227	   60480
   57213	   60650
   57205	   60710
   57276	   60830
   57352	   60830
   57394	   60810
   57423	   61180
   57479	   61300
   57528	   62000
   57585	   62480
   57668	   62650
   57766	   62730
   57837	   62900
   57893	   63170
   57934	   63490
   58042	   63580
   58211	   64290
   58372	   64500
   58563	   64610
   58761	   64680
   58881	   64690
   59052	   64720
   59131	   64710
   59216	   64720
   59307	   64710
   59380	   64720
   59415	   64700
   59486	   64710
   59564	   64800
   59635	   64810
   59742	   64830
   59801	   64820
   59843	   64870
   59879	   64860
   59914	   64850
   59901	   64800
   59928	   64800
   59958	   64790
   59950	   64740
   59928	   64690
   59909	   64640
   59879	   64590
   59742	   64390
   59735	   64340
   59716	   64270
   59500	   63990
   59444	   63880
   59393	   63800
   59336	   63710
   59116	   63790
   59101	   63800
   59123	   63780
   59052	   64290
   59045	   64520
   59038	   64570
   59030	   64540
   59008	   64520
   58974	   64460
   58945	   64390
   58776	   64200
