1985-01-01
     obs	     sim
  103159	  101700
  101770	   99660
  100610	   97450
  102012	   96550
  103737	   96200
  103061	   94020
  101836	   92450
  102056	   91730
  101939	   90920
  101488	   89500
  100524	   88240
  100527	   87580
  100578	   87240
  100960	   86900
  101545	   86610
  101564	   86730
  101388	   86350
  101924	   86390
  101983	   86500
  102408	   87080
  102724	   87160
  102413	   86590
  101929	   85900
  100184	   84540
  100348	   84230
  101016	   84890
  101760	   84770
  101806	   84820
  101268	   92390
  100571	   94130
  101682	   94030
  106934	   93380
  110707	   92880
  110536	   91580
  105904	   86060
  102741	   79350
  102296	   75990
  102205	   72600
  102548	   76570
  102599	   77810
  101608	   77560
  102340	   77080
  102954	   75660
  103771	   72800
  103908	   70740
  103392	   74710
  102085	   75440
  102122	   75880
  101733	   75040
  102570	   76370
  102758	   76290
  102438	   73550
  102575	   69930
  101674	   68170
  101403	   69840
  101665	   68460
  101843	   67060
  101782	   65150
  101508	   63610
  101278	   63880
  101422	   59870
  101185	   59830
  100720	   58850
  101121	   58620
  101337	   59680
  102124	   59740
  100911	   57230
  100823	   57120
  101371	   57510
  101530	   57180
  101929	   57570
  102107	   56680
  101731	   55150
  101892	   54280
  101723	   53800
  101616	   53700
  100953	   52220
  101569	   52040
  101574	   53380
  101811	   54290
  101579	   56310
  102328	   57330
  101824	   57300
  101775	   56620
  102369	   56490
  103747	   58000
  103864	   57380
  103426	   57000
  103573	   57860
  103404	   57300
  103864	   56760
  103852	   56390
  103656	   56200
  103862	   61270
  105175	   62720
  106435	   63810
  106991	   64210
  108008	   64340
  108581	   64860
  109760	   65720
  110232	   66550
  110311	   66470
  110776	   71500
  111248	   73530
  112691	   74840
  113601	   75260
  113817	   74850
  113552	   74310
  113626	   73370
  114203	   73230
  114431	   73200
  114783	   74360
  115177	   74180
  115590	   74990
  115656	   75860
  115771	   77060
  116273	   77600
  116410	   77820
  116236	   78340
  116882	   80840
  117178	   85100
  118468	   86170
  120628	   87280
  121029	   87550
  120863	   87360
  122380	   89320
  122544	   90800
  122512	   91550
  122659	   92940
  123099	   94360
  124349	   96510
  124486	   96790
  125399	   98140
  126617	   97980
  123762	   95150
  122837	   94850
  122641	   94650
  122952	   95050
  122857	   95760
  123319	   96440
  123035	   96910
  124188	   98140
  124670	   96270
  123593	   96280
  123799	   96710
  123796	   97630
  124024	   98130
  124486	   98550
  125110	   97670
  124868	   97510
  125132	   97610
  124579	   96860
  124535	   98060
  124479	   98550
  124829	   99180
  124726	  104900
  124063	  106700
  122933	  104400
  122519	  104400
  122240	  105400
  121335	  108200
  121418	  108300
  124073	  109500
  124966	  109500
  123114	  108400
  121232	  108300
  120065	  111600
  120674	  114900
  122583	  117000
  123982	  118000
  123857	  118300
  124675	  120000
  123045	  117500
  120205	  115300
  121005	  117200
  123987	  119900
  125678	  120200
  124675	  118400
  122615	  116800
  120770	  118500
  120300	  120100
  121903	  122100
  123669	  124500
  125272	  126000
  125546	  127100
  122771	  124600
  121286	  123900
  119757	  122900
  120628	  123800
  121761	  125000
  122879	  126300
  124129	  127000
  125727	  128800
  123241	  126200
  120581	  124600
  121286	  125900
  121807	  125200
  122221	  124900
  120853	  124500
  121523	  124800
  121286	  125800
  120440	  126500
  122052	  129200
  123977	  133300
  125829	  134900
  126101	  136900
  125499	  136500
  123713	  137400
  121315	  136700
  121553	  138200
  122235	  140600
  123649	  140400
  125364	  139400
  125369	  138500
  122827	  136600
  120386	  136000
  121315	  139100
  121954	  140300
  122747	  140500
  124838	  140500
  126081	  140400
  124489	  139700
  122470	  138700
  121286	  138900
  122519	  139700
  123554	  139200
  125438	  139600
  126529	  141100
  128122	  139500
  125741	  136600
  125401	  136900
  123520	  136600
  124014	  138900
  124868	  140200
  124772	  139900
  123723	  140600
  123424	  141700
  126275	  138700
  126304	  136800
  125210	  136900
  124286	  137600
  123872	  137700
  121619	  136100
  120158	  136000
  120584	  137500
  121381	  139800
  121966	  140100
  123040	  140000
  125308	  140400
  124489	  139400
  120936	  137000
  120897	  139200
  122076	  139800
  123466	  139800
  124048	  140000
  124435	  139800
  122747	  139300
  120535	  138400
  120019	  140000
  120388	  141800
  123234	  140100
  124569	  139900
  124127	  139000
  122157	  138300
  120569	  139000
  121005	  141000
  121293	  141800
  121381	  141800
  123101	  141300
  125022	  141100
  124442	  142000
  125015	  143100
  124675	  140400
  125144	  139000
  125362	  137500
  124917	  138300
  123747	  139000
  123838	  140400
  123522	  141500
  124134	  140500
  124051	  138700
  122999	  138200
  121335	  137100
  121005	  137900
  120393	  137700
  120674	  138800
  119877	  138900
  119145	  139200
  119830	  141600
  120271	  139900
  118622	  139900
  118066	  141100
  118512	  142400
  118262	  142100
  119118	  141200
  118482	  140700
  116547	  139100
  115272	  137400
  114700	  137900
  114830	  138400
  114066	  138200
  113873	  138100
  113022	  138800
  112843	  139900
  112383	  140700
  113648	  143000
  113543	  143200
  113826	  141700
  113112	  140300
  113677	  139900
  112809	  138100
  111960	  136400
  110736	  134100
  109900	  133100
  109648	  132900
  109095	  133000
  108750	  131700
  108141	  131300
  107893	  131000
  107206	  130400
  106692	  129800
  106565	  129600
  106041	  129200
  106196	  131600
  106457	  132400
  106218	  132400
  105535	  131700
  105082	  131900
  104720	  134700
  104199	  140400
  103989	  141200
  106949	  142600
  108711	  139200
  107162	  138200
  105425	  136200
  105449	  135100
  105303	  136200
  104348	  135800
  103350	  134700
  102832	  134300
  101726	  133800
  101848	  134400
  102237	  135200
  104096	  140100
  103629	  137700
  103350	  137400
  101987	  136300
  101263	  136500
  102893	  138100
  102428	  136700
  102237	  136700
  102154	  137300
  102242	  137900
  102477	  137900
  102851	  139500
  102616	  140100
  102741	  141400
  103431	  141300
  102310	  138500
  101207	  138000
  101349	  139500
  101075	  140000
  101466	  142700
  101413	  142500
  101650	  141500
  102252	  142000
  102171	  142000
  101892	  140000
  102210	  140700
  101980	  141500
  102046	  140000
  102134	  140200
  101975	  140000
  101691	  140600
  102132	  141400
  101929	  141800
  101422	  142400
  101684	  141500
  101887	  140600
  102575	  141300
  102533	  141700
  102049	  141800
  101598	  142800
  102171	  143600
  102252	  141700
  102533	  141600
  104370	  141900
  103906	  142500
  103565	  142200
  104114	  143100
  103981	  143800
  104038	  138200
  103451	  136400
  103433	  137400
  103470	  138400
  103279	  137700
  103218	  139100
  103864	  139900
  103321	  142500
  103864	  143000
  104828	  142600
  105577	  141000
  106125	  140000
  105241	  139000
  104182	  139500
  104451	  139600
  103304	  137700
  103448	  136700
  103377	  136500
  103404	  139900
  103529	  141700
  103071	  142300
  107248	  141300
  112909	  137600
  111204	  133200
  109562	  130900
  106722	  127600
  107957	  128000
  106521	  127200
  105789	  126000
  104745	  127200
  104647	  126400
  103446	  125000
  101762	  123400
  101515	  122600
  101684	  122700
  101846	  123000
  101488	  123600
  101342	  124100
  101173	  124100
  101337	  123900
  100977	  123900
  101757	  125300
  101527	  126300
  102056	  133000
  102951	  138000
  103110	  139300
  100845	  138200
  101471	  139100
  102450	  139400
  102575	  141900
  102051	  141300
  103573	  140400
  104370	  137700
  104840	  137500
  104050	  135800
  100977	  131800
  101183	  132200
  101080	  133100
  101934	  134400
  102252	  134700
  101606	  134400
  101518	  135000
  101645	  135500
  101268	  136000
  101094	  136600
  101496	  137600
  102699	  138500
  101748	  139000
  102132	  141100
  102988	  144200
  103362	  143400
  103436	  143500
  103612	  143200
  103487	  143100
  103446	  142800
  103695	  143600
  103739	  143700
  104282	  143700
  104109	  143700
  104282	  143700
  104204	  143600
  104158	  143600
  104334	  143600
  104772	  143700
  105082	  143600
  104786	  143600
  104268	  143500
  104432	  143800
  104559	  143800
  104825	  143800
  104759	  143700
  104828	  143800
  105166	  143900
  105564	  143700
  105520	  143700
  105650	  143700
  106095	  143900
  105848	  143800
  105613	  143600
  105692	  143700
  105865	  143900
  106296	  143400
  106088	  142900
  105679	  142900
  105809	  142900
  105922	  143000
  105966	  143200
  105770	  143400
  106169	  143300
  105975	  143300
  106296	  143300
  106416	  143400
  106435	  143300
  106479	  143300
  106479	  143400
  106337	  143300
  107076	  143400
  107893	  143600
  108733	  143300
  109141	  143000
  109540	  143000
  111512	  143400
  112911	  143000
  113636	  142700
  114108	  142800
  114578	  143300
  116136	  143300
  116960	  143200
  117293	  143500
  118091	  143500
  118710	  143500
  118996	  143600
  119177	  143600
  119096	  143500
  119830	  143600
  120603	  143700
  121726	  143800
  122739	  143300
  123801	  143200
  124396	  143300
  123708	  141500
  122639	  141100
  121147	  140500
  120004	  140400
  120486	  141200
  121034	  142800
  123664	  144200
  124917	  142400
  124224	  139800
  123539	  139300
  120300	  137400
  120486	  138400
  122431	  141000
  124222	  143000
  122999	  141900
  122835	  141600
  121854	  141900
  120770	  141500
  122044	  143200
  123282	  143700
  124675	  143700
  124628	  141300
  124014	  140400
  122903	  140300
  122140	  140700
  121193	  140000
  123552	  143500
  124772	  143000
  124486	  140600
  123669	  140800
  122345	  140200
  121051	  140000
  120628	  139700
  123811	  142700
  125159	  143700
  123828	  141300
  122044	  140600
  120347	  140000
  118198	  139100
  119679	  140700
  122793	  143300
  123835	  143300
  123172	  141600
  122646	  141900
  122551	  142000
  122424	  141400
  121665	  141100
  123378	  143600
  125159	  143700
  123933	  142000
  123126	  142100
  122553	  142100
  121761	  141800
  121191	  142000
  121883	  143700
  123260	  143700
  124440	  142200
  123664	  142200
  122125	  141800
  121570	  142000
  121381	  141600
  123679	  142300
  125110	  143700
  124259	  142100
  123121	  142100
  122749	  140800
  121477	  140500
  120347	  140300
  122331	  142200
  123923	  143800
  122852	  140800
  122568	  141100
  122685	  141100
  121714	  140700
  120486	  140200
  122693	  143300
  124966	  143200
  123605	  141500
  123454	  141300
  123652	  140700
  122933	  140000
  121286	  139000
  122959	  141500
  124440	  142900
  123292	  141600
  122986	  141100
  121998	  140100
  120581	  139800
  121122	  140000
  123363	  143700
  124628	  143700
  123449	  141700
  123141	  140300
  122044	  140500
  120816	  140300
  121147	  141500
  123236	  143400
  124486	  144200
  124021	  142500
  123972	  141000
  123473	  139900
  121998	  138700
  121193	  138500
  123216	  141400
  123654	  142600
  123794	  142100
  124298	  141700
  124579	  141100
  124770	  140600
  124584	  140400
  125110	  141100
  123128	  140000
  123028	  139800
  122937	  141500
  122876	  142100
  122426	  142600
  121854	  142300
  121381	  143600
  121381	  143600
  122470	  143500
  122759	  142700
  121802	  142000
  120019	  140800
  119314	  139700
  118497	  140100
  118042	  140600
  118387	  139800
  118255	  139800
  118426	  139600
  117861	  139600
  117964	  139500
  119759	  140800
  117692	  138400
  117650	  139200
  115590	  138200
  114830	  137700
  113985	  137500
  112486	  137400
  111867	  137800
  111292	  137800
  111380	  138700
  111292	  140000
  110690	  139800
  110895	  140300
  111600	  140500
  111754	  140600
  114595	  142200
  115045	  141000
  114778	  139600
  114519	  139000
  113540	  137200
  111881	  136600
  110895	  137500
  110776	  137900
  110519	  138900
  109978	  139400
  109538	  139500
  107837	  139400
  109102	  141100
  107463	  141200
  107504	  142300
  107162	  138200
  108508	  139200
  114294	  138400
  115316	  137100
  112217	  134200
  110272	  132500
  108150	  132200
  106000	  135800
  104290	  136100
  103683	  136600
  101870	  137100
  101865	  138500
  101885	  138200
  101912	  137700
  102915	  137000
  110298	  136700
  115177	  138300
  116136	  138800
  115953	  137800
  115490	  138200
  114269	  138100
  112532	  137200
  110807	  136600
  107805	  135500
  106027	  135000
  105104	  135900
  104992	  137700
  103521	  137600
  103044	  136000
  102697	  135500
  102521	  135500
  102242	  136300
  101882	  137000
  103101	  137500
  103747	  137400
  102929	  137500
  103977	  136800
  104065	  136300
  103744	  135700
  103176	  135400
  102763	  136100
  101337	  137100
  101396	  138700
  101801	  138000
  103324	  137300
  101889	  137500
  101996	  137400
  101686	  139100
  101431	  140300
  101196	  140300
  101068	  139800
  101381	  139400
  101809	  140800
  102389	  140500
  103062	  140900
  103237	  141100
  109643	  137600
  111601	  137500
  111910	  138300
  111115	  138200
  110256	  139400
  107420	  137100
  105234	  135100
  106477	  136000
  108102	  136700
  111281	  138200
  110444	  137900
  109119	  137900
  106777	  138200
  103905	  137100
  104434	  136000
  104270	  136500
  104430	  136500
  104841	  136600
  105542	  136800
  103803	  136400
  102182	  136300
  101753	  136400
  102611	  136300
  102790	  137300
  102901	  137400
  102373	  137500
  102490	  141400
  102534	  142600
  104188	  140600
  105423	  139500
  106789	  138600
  105679	  137800
  104361	  136700
  102303	  137700
  103725	  140300
  104674	  138300
  106693	  135400
  107411	  136800
  105626	  136800
  104381	  129500
  104376	  127700
  105248	  127000
  106441	  129400
  105763	  130200
  104917	  130500
  106071	  132300
  107205	  134100
  107641	  134100
  106762	  134900
  106175	  134200
  105335	  134200
  104622	  134200
  104723	  135000
  104002	  134300
  104077	  135100
  100726	  134400
  101028	  137500
  102263	  138600
  100358	  136600
  102304	  137600
  102837	  137700
  102409	  137700
  103179	  138800
  103031	  139800
  102924	  139600
  102323	  139400
  101982	  139800
  101838	  139100
  102211	  142000
  102093	  142800
  104513	  142300
  103834	  139100
  104030	  140100
  104860	  140700
  105279	  140300
  105596	  140500
  106373	  142400
  107979	  142800
  109015	  141200
  110387	  140300
  111725	  141700
  112576	  142800
  113649	  143500
  114140	  143500
  115176	  142700
  115544	  141200
  120064	  140300
  123154	  140000
  125345	  139100
  125255	  138900
  125606	  138700
  124440	  136800
  125051	  137400
  126904	  139300
  126354	  138200
  126634	  139500
  128277	  139700
  126299	  138700
  124352	  139100
  123534	  138400
  123295	  137800
  123259	  138000
  124545	  138000
  124579	  140300
  124348	  140300
  123355	  139700
  123307	  140100
  123865	  138100
  123321	  138400
  122803	  139400
  124438	  141500
  125014	  143300
  123462	  138600
  123262	  138800
  123216	  138900
  123506	  139100
  123434	  140000
  124166	  142100
  125062	  143300
  123496	  139900
  123698	  140100
  124599	  139400
  124677	  137800
  125857	  139200
  124853	  138400
  125159	  142000
  124122	  141900
  124076	  139000
  124624	  138800
  124948	  138500
  123776	  138100
  122693	  139300
  121430	  141900
  120237	  139200
  120805	  139200
  121574	  139400
  122677	  140500
  123841	  141700
  122950	  141200
  121175	  140300
  121003	  138400
  121736	  139000
  122242	  139000
  123858	  140400
  124972	  141000
  123194	  140000
  120896	  139900
  119518	  140000
  119346	  140000
  120555	  140300
  122418	  140500
  124687	  141200
  123103	  141200
  120844	  142200
  120234	  140300
  120807	  139600
  121253	  140800
  122583	  140600
  123857	  141300
  122689	  140900
  121618	  140500
  121351	  140500
  121878	  139500
  123878	  141100
  124914	  139900
  124821	  140600
  122993	  142500
  122085	  142200
  124068	  139000
  124579	  138300
  122685	  135500
  121193	  136000
  122000	  138500
  122139	  140200
  120911	  140200
  122218	  138700
  122576	  138200
  123379	  139200
  124056	  138000
  124218	  137900
  121739	  137300
  120628	  137600
  120404	  138900
  122061	  138700
  122218	  139000
  123512	  139000
  125454	  139100
  122813	  139100
  120384	  138000
  120899	  138800
  121666	  138700
  123201	  138800
  123884	  139100
  124076	  138300
  121836	  137000
  119850	  136400
  119999	  138600
  120265	  138200
  121550	  139500
  123463	  139900
  125169	  139700
  122189	  137900
  121426	  138100
  122365	  138600
  122497	  138500
  123151	  138600
  124218	  139000
  125476	  138700
  122853	  137400
  119755	  136300
  121155	  139300
  122526	  139500
  123559	  139500
  124636	  139500
  122165	  138600
  121897	  139900
  120253	  139100
  120805	  140100
  121642	  139200
  122723	  139200
  123739	  139100
  125158	  138500
  120678	  135700
  119938	  135600
  121093	  138100
  122550	  139900
  122733	  141500
  123648	  142000
  124917	  142300
  122909	  142200
  121560	  141700
  121335	  141600
  121979	  140700
  122777	  140600
  123437	  140700
  125406	  140200
  123120	  138500
  121257	  137600
  122330	  138200
  122635	  138500
  121012	  137100
  122682	  138900
  124579	  141900
  121951	  139700
  120722	  139200
  120789	  140000
  121729	  140300
  123737	  139800
  124234	  139100
  124579	  139800
  122377	  138600
  120584	  137900
  122332	  141000
  123053	  140200
  124169	  141300
  124643	  138600
  123614	  137300
  122777	  136100
  123027	  136900
  122662	  137600
  122503	  138800
  122053	  138400
  121833	  138400
  122039	  138800
  122247	  137900
  122733	  137500
  121004	  136700
  118998	  135500
  119234	  136600
  119275	  136400
  118184	  135200
  118426	  135300
  118385	  136200
  117900	  137100
  118202	  137600
  118656	  138100
  118240	  138200
  116611	  135100
  116411	  135800
  116639	  136900
  116364	  136900
  115544	  136600
  115635	  136800
  115726	  136300
  116091	  136100
  114776	  135700
  113196	  134900
  113954	  134200
  113990	  134200
  113200	  133600
  112398	  132300
  110807	  131800
  110613	  130100
  110648	  133700
  110851	  133900
  110851	  133200
  110034	  131800
  108745	  130500
  107863	  129200
  108323	  127900
  107978	  131300
  107935	  131400
  108539	  131300
  108468	  130800
  107220	  129400
  105267	  127700
  105019	  127300
  104374	  127100
  104323	  125500
  104387	  124500
  104529	  122800
  104618	  123300
  104576	  123600
  104828	  123300
  104744	  123400
  104296	  123500
  103822	  123800
  103780	  123300
  103031	  122300
  102241	  120800
  102658	  121100
  102865	  121300
  102534	  121500
  102492	  122400
  102740	  122900
  102658	  122900
  102989	  122800
  102699	  122600
  102409	  124900
  102948	  125500
  102906	  125800
  102658	  126800
  103608	  128000
  102696	  128700
  103180	  127500
  103155	  128100
  103280	  127800
  102740	  128100
  102244	  138000
  102616	  140100
  103155	  142900
  103655	  141900
  103780	  143600
  102210	  141100
  101304	  138800
  101822	  140800
  102250	  141200
  103405	  142100
  103780	  144000
  103847	  143300
  102286	  139600
  101583	  138200
  102721	  138600
  104195	  139100
  102534	  138000
  102658	  137600
  103694	  138400
  102844	  139000
  102822	  139100
  103779	  139800
  103341	  138000
  102616	  138700
  102699	  142500
  102740	  142300
  104114	  141700
  108107	  140400
  117331	  136900
  115020	  133000
  110801	  128400
  106092	  123600
  104993	  121000
  103342	  118000
  102772	  116600
   99713	  115600
  101570	  116900
  102492	  118100
  103006	  119400
  103155	  121900
  102782	  126600
  103583	  134100
  101269	  133500
  103019	  135200
  102909	  136400
  103405	  136400
  104595	  136700
  104976	  136600
  105258	  137000
  104429	  138000
  105549	  138600
  104052	  136600
  103166	  138400
  102670	  139100
  103067	  139400
  103197	  139400
  103031	  140100
  103488	  141500
  102640	  138300
  102244	  139200
  102088	  139600
  102171	  140300
  102830	  140800
  104369	  138800
  103565	  138100
  103320	  137400
  103031	  136400
  103405	  137600
  103322	  137400
  103114	  137300
  103155	  138600
  103542	  139900
  104232	  140900
  104282	  141500
  104030	  141900
  103322	  140400
  103739	  142000
  103863	  143600
  106692	  143500
  108755	  142100
  109103	  141500
  108480	  141000
  108550	  139300
  107269	  136800
  104692	  133100
  103308	  128600
  103100	  127900
  103027	  128700
  103239	  129400
  103938	  130200
  104373	  130700
  104909	  131700
  104660	  132900
  105067	  133600
  105000	  134200
  105422	  134800
  105403	  135200
  105032	  135900
  105923	  137900
  106292	  142200
  106564	  143900
  108107	  143900
  109430	  143900
  109793	  143700
  109931	  143600
  110938	  143700
  111291	  143600
  112176	  143300
  111954	  143400
  112398	  143600
  112280	  143300
  113000	  143600
  113683	  143900
  113443	  142800
  113405	  143200
  113437	  143700
  113716	  143900
  114281	  143600
  114963	  143600
  115272	  143100
  115454	  143400
  115317	  143200
  115544	  143400
  115999	  143500
  115363	  143500
  115363	  143200
  116410	  143800
  116730	  143700
  116471	  143400
  116319	  143800
  116685	  143800
  116091	  143700
  116044	  143900
  116182	  143800
  116914	  143800
  116044	  142900
  116502	  143700
  116502	  143700
  116364	  143600
  116227	  143700
  116685	  143700
  116960	  143600
  116547	  143700
  116822	  143600
  117143	  144100
  116182	  143700
  116751	  143700
  115862	  143600
  115908	  143600
  115726	  143700
  116091	  143700
  116593	  143600
  116025	  142600
  116730	  143500
  117511	  144000
  116827	  143900
  117404	  143900
  117508	  143700
  117649	  143600
  117695	  143500
  117666	  143500
  117624	  143600
  117942	  143500
  118179	  143600
  118360	  143400
  119167	  143400
  118282	  143400
  118805	  143400
  118654	  142600
  118561	  142800
  118994	  143100
  119273	  143200
  119583	  143000
  119955	  142700
  119067	  141000
  120293	  142400
  121240	  142700
  121521	  142400
  121665	  143200
  122734	  143200
  122367	  141500
  122597	  141500
  122754	  141200
  123101	  141000
  124087	  140800
  124261	  141900
  125435	  143100
  124924	  142100
  124513	  142300
  124046	  141400
  125159	  142500
  124723	  142400
  124442	  143200
  124579	  143600
  124868	  143300
  124489	  141600
  124234	  141300
  124215	  141200
  124520	  141900
  125012	  143100
  124447	  143100
  124723	  142500
  125205	  142500
  126622	  142500
  127447	  142500
  128354	  141700
  129352	  141700
  130018	  142400
  130258	  142800
  128626	  142800
  127385	  142800
  127150	  142800
  126906	  142800
  126876	  142700
  126086	  142300
  125078	  142600
  123669	  142600
  123848	  142700
  124442	  142700
  123977	  141600
  125159	  143200
  125039	  143200
  124917	  142800
  124675	  142400
  125401	  142700
  125690	  142600
  126424	  142500
  128555	  143100
  127686	  143100
  127439	  142300
  127104	  141800
  127730	  140800
  126935	  140200
  126062	  139800
  126309	  140300
  125739	  140500
  124440	  140000
  125149	  141800
  127126	  141300
  127187	  142200
  128021	  142200
  129399	  142200
  128393	  142300
  127615	  142100
  126544	  141400
  125208	  141000
  124912	  141600
  124819	  142400
  125181	  143100
  124398	  143100
  125159	  143100
  125012	  143100
  124963	  142600
  124579	  140900
  124202	  141400
  124819	  143000
  127566	  143800
  128127	  142100
  126906	  142000
  125935	  141500
  125497	  141500
  124675	  141500
  124772	  142200
  124114	  142000
  124068	  142300
  124582	  141800
  125303	  141000
  123916	  140400
  123454	  141000
  124486	  142900
  124626	  143200
  125594	  143700
  123478	  141300
  122492	  141500
  122522	  143100
  122137	  142600
  122407	  143400
  123520	  144300
  123804	  143700
  123422	  143600
  124073	  143500
  125012	  143500
  124963	  143500
  124770	  143900
  125061	  143900
  124256	  142800
  123645	  143000
  122818	  143000
  123187	  141700
  121949	  141600
  121854	  142000
  121523	  142900
  121474	  142600
  122091	  142500
  121665	  141900
  120112	  140300
  119346	  141500
  119175	  142600
  119113	  143100
  119211	  143300
  118531	  143000
  118299	  141900
  117555	  141200
