1985-01-01
     obs	     sim
   95433	   90380
   98070	   87070
   97540	   82370
   95910	   79250
   97195	   77580
   98036	   76250
   96766	   74510
   97640	   73290
   97777	   71790
   95695	   69440
   93532	   66670
   92292	   64770
   91264	   63340
   92458	   64420
   92940	   65030
   93999	   66000
   93941	   65940
   92517	   63910
   93353	   64750
   95391	   65430
   95086	   61400
   95528	   61170
   93444	   59640
   94609	   60480
   93667	   59930
   93813	   60780
   93329	   60480
   92595	   58920
   92867	   60080
   93476	   62610
   94149	   63240
  101530	   59600
  108615	   59060
  112219	   79110
  112116	   84490
  108432	   78530
  107977	   73260
  108104	   68840
  105687	   63050
  101542	   58690
   97608	   53260
   97677	   49980
  103110	   46330
  104975	   40730
  102746	   34650
   98102	   27050
   97028	   23250
   95509	   20680
   95729	   19040
   96316	   16600
   98871	   15650
   99409	   12910
   98058	    9195
   96828	    7021
   94699	    4157
   94459	    1231
   95230	     630
   93914	       0
   94342	       0
   95108	       0
   95250	       0
   93977	       0
   92913	       0
   91812	       0
   92377	       0
   93026	       0
   93444	       0
   93432	     171
   93092	     503
   93021	       0
   92673	       0
   92637	       0
   91934	       0
   92659	     368
   92245	     947
   91815	    1484
   92118	     810
   92040	     649
   92529	    2603
   94061	    4549
   93946	    5982
   95558	    7444
   96977	    8235
   98731	    9029
  100891	   10200
  102156	   11030
  104468	   11750
  104874	   14780
  107098	   16700
  107871	   17940
  108762	   18380
  110869	   19380
  112701	   20170
  114783	   23400
  115138	   25140
  117939	   26700
  119860	   27500
  119926	   26240
  120258	   25380
  122010	   25620
  122637	   25880
  122637	   25490
  123503	   26710
  122871	   26430
  121969	   25850
  123363	   25430
  125154	   25410
  124951	   24640
  125817	   24520
  125631	   25320
  125541	   25360
  125303	   26280
  124298	   26110
  126399	   26570
  128041	   27510
  127995	   27240
  127437	   26810
  126683	   26320
  127608	   28930
  128034	   33080
  130436	   34780
  128741	   31200
  128560	   27000
  130099	   25900
  130940	   32040
  128180	   37360
  130267	   40810
  129932	   39230
  127131	   37030
  126642	   34430
  128782	   35400
  128530	   34320
  127787	   32780
  128376	   31180
  127552	   30540
  125753	   30220
  124814	   29750
  126353	   31850
  127175	   33360
  127787	   33900
  128105	   33530
  126473	   33220
  127146	   33550
  127327	   33570
  127239	   34410
  127777	   36190
  127239	   36560
  126517	   35550
  126622	   35910
  126091	   35260
  125367	   35070
  126556	   36700
  127177	   38710
  126512	   37750
  124449	   36230
  124149	   36320
  128709	   40730
  123344	   37510
  122869	   39640
  125022	   42160
  123960	   41090
  125993	   43340
  130365	   47620
  128521	   47890
  125927	   49240
  124853	   49440
  125949	   50700
  126333	   51620
  128704	   51980
  127263	   51860
  124846	   50590
  123033	   49530
  123265	   49110
  122512	   49160
  123750	   49900
  124219	   50020
  127694	   52580
  130896	   55500
  126277	   54010
  122930	   52880
  123620	   53500
  126688	   54240
  130099	   56300
  130642	   57930
  128180	   57100
  123459	   53470
  121932	   52140
  121545	   51820
  121484	   51880
  123738	   53150
  127980	   55480
  128981	   57660
  127735	   56640
  124775	   55200
  119840	   51700
  120491	   52050
  123994	   54050
  127520	   57570
  128435	   58810
  127432	   57690
  124056	   55020
  122480	   54350
  122930	   55970
  127160	   58140
  129854	   62830
  130720	   72800
  128450	   74320
  127424	   75150
  126911	   73370
  124356	   68350
  124415	   68310
  126421	   68790
  129348	   70960
  128107	   70940
  125526	   69490
  124520	   69710
  124579	   70110
  127207	   71470
  129597	   72290
  128090	   70400
  126837	   68910
  123187	   65870
  119248	   63470
  116882	   60480
  119072	   60920
  120721	   67210
  122497	   82690
  125181	   86910
  127011	   82680
  125005	   77100
  124376	   73750
  126209	   73350
  126918	   72980
  125144	   76610
  120462	   76030
  115652	   73230
  115586	   71840
  116630	   69690
  117225	   68360
  117983	   68340
  117017	   68070
  116718	   67520
  112270	   64970
  110132	   62830
  110465	   63190
  109158	   61610
  110475	   62630
  112361	   64500
  113381	   66620
  110034	   64990
  108972	   63370
  107864	   61790
  108809	   61690
  109856	   62660
  110193	   63310
  110626	   64310
  107693	   63840
  107228	   62850
  105192	   61210
  106536	   61490
  106636	   61600
  107015	   61850
  107375	   61820
  109405	   64340
  103614	   61610
  103556	   61030
  104708	   63920
  105085	   65350
  106242	   66240
  106849	   66520
  107835	   68210
  107700	   79440
  105454	   99630
  107054	  112400
  107023	  120700
  106976	  123900
  106328	  124500
  106633	  125100
  106851	  125100
  107676	  124800
  108106	  123900
  105533	  122800
  105188	  121700
  104970	  121600
  104155	  120700
  103923	  122000
  103154	  120200
  107074	  122300
  106357	  121700
  105557	  120100
  105320	  118800
  103825	  121000
  103162	  122000
  103891	  122500
  104730	  124800
  105863	  125900
  105244	  124600
  104892	  122400
  103886	  121400
  102597	  119200
   99096	  114300
   99313	  112700
   98675	  116600
   97681	  117500
   98848	  117400
  101298	  117600
  102242	  117500
  102521	  116000
  102795	  117000
  101430	  117400
  100874	  116900
   99426	  115500
   97645	  113300
   97579	  113100
   97300	  111600
   96715	  110900
   96960	  110500
   97077	  110800
   97043	  111100
   97160	  111200
   97371	  111400
   97143	  110400
   98763	  110600
   97200	  109100
   95612	  107600
   96311	  106900
   96576	  107500
   96497	  107900
   95621	  106500
   94557	  105900
   93914	  106400
   95120	  106400
   96377	  105900
   97094	  112100
   98354	  114900
   98557	  116000
   98934	  115100
   97669	  113700
   96524	  112500
   95932	  110900
   95925	  110600
   94105	  110200
   93823	  108900
   93241	  109600
   93801	  110700
   95565	  111600
   97525	  113300
   98756	  113500
   99827	  115200
  101023	  114400
   97295	  111200
   95763	  108300
   95213	  107400
   93437	  105100
   91692	  103800
   91783	  104000
   91612	  104000
   91915	  104400
   93346	  103900
   92563	  103100
   92169	  103400
   92734	  104500
   93138	  106500
   93544	  106900
   94004	  107400
   95237	  107800
   95829	  108200
   96177	  107500
   95524	  107800
   96177	  107500
   94750	  105000
   94579	  103800
   94731	  104000
   93309	  103400
   93559	  104000
   94190	  104200
   94484	  104400
   93336	  103800
   93226	  102800
   93845	  102800
   93946	  103200
   94484	  103200
   94484	  104500
   93999	  105200
   94486	  107000
   94841	  108000
   95027	  109500
   95453	  111300
   96106	  114300
   94565	  114400
   93451	  115200
   96458	  126400
   95577	  126100
   93620	  125800
   93928	  126700
   94836	  127200
   94719	  127800
   94543	  128000
   94954	  128700
   95308	  129400
   95406	  129600
   96994	  129300
   98276	  128000
   96781	  127000
   96160	  126400
   97322	  126300
   97728	  123600
   96304	  121900
   94523	  124800
   96500	  129900
   98031	  129100
   98601	  128800
  102183	  129300
  110365	  121900
  117066	  117300
  118967	  114200
  116315	  108500
  109758	  100300
  106024	   94340
  100715	   88570
   98455	   85970
   95712	   82940
   95196	   80860
   94687	   79640
   93889	   77700
   93581	   78690
   93547	   79030
   91976	   76370
   93601	   76130
   92879	   75760
   92390	   75510
   92730	   76590
   93092	   77890
   93192	   83790
   93968	   98560
   96923	  104800
   96348	  101000
   96162	   95540
   96138	   92190
   98012	   91770
   97794	   92330
   97978	   92000
  101789	   92220
  104236	   91350
  105501	   89380
  105545	   88350
  103891	   87090
  104794	   88990
  107903	   90510
  107509	   91350
  107823	   92200
  109738	   93290
  109660	   94220
  109609	   94920
  109958	   95220
  110389	   95760
  110328	   96180
  110565	   96470
  110497	   96910
  110949	   97810
  111118	   98870
  111106	   99340
  110460	   99470
  109702	   99140
  109577	   99520
  110433	   99960
  110555	  100900
  110472	  101900
  110528	  102000
  108769	  102000
  109768	  102300
  110756	  103400
  111015	  104300
  111047	  105400
  109824	  106100
  110259	  106600
  110484	  107300
  110298	  107500
  109134	  107300
  108889	  107400
  108427	  107800
  108366	  108000
  108593	  108200
  108366	  108200
  107854	  108300
  107668	  108700
  107235	  108800
  107235	  109400
  108720	  109700
  108720	  109800
  108720	  110200
  107512	  110500
  107908	  111300
  109141	  112800
  109430	  115300
  109753	  116700
  109687	  117200
  109699	  117400
  110313	  117900
  110391	  118500
  110778	  119700
  110565	  121900
  109846	  123100
  110269	  125800
  110673	  127700
  110056	  128900
  110130	  131900
  109831	  136200
  109890	  136400
  111610	  136300
  113985	  136300
  116753	  136400
  123503	  136000
  128198	  131700
  125213	  128100
  124973	  125900
  125249	  127300
  125709	  130300
  127699	  133100
  127491	  135300
  129932	  135100
  128949	  133800
  128088	  134600
  129680	  136300
  130015	  133700
  129039	  132900
  126820	  132600
  127175	  133300
  128592	  133900
  129597	  133500
  129396	  133700
  128347	  134100
  126793	  134300
  124880	  134600
  122387	  135600
  120897	  132800
  124506	  136000
  127065	  136400
  127723	  134800
  127310	  133000
  126064	  132900
  123833	  133400
  121932	  135700
  124631	  136600
  131427	  136800
  128550	  131400
  127305	  133300
  126443	  135500
  124012	  133800
  122245	  133600
  124535	  133200
  129739	  134000
  129514	  133400
  126938	  131500
  124327	  130900
  123424	  131200
  121467	  133600
  125526	  133700
  130165	  135000
  129680	  133600
  129316	  133500
  126265	  131600
  123581	  130900
  121599	  130700
  124677	  134300
  129054	  136500
  128286	  134000
  126632	  133100
  124513	  131400
  122245	  129100
  121846	  129000
  126642	  133600
  131180	  135100
  128521	  134100
  126752	  132900
  125739	  131900
  123740	  130500
  121545	  129500
  122548	  132200
  126289	  136000
  126257	  133800
  124790	  134900
  123740	  134700
  120410	  133900
  118766	  135700
  122226	  135100
  126250	  135900
  125702	  135600
  124298	  134700
  120535	  132700
  117521	  132600
  116195	  133400
  118781	  133800
  123588	  135400
  123581	  134500
  120388	  133400
  118935	  133400
  117416	  133100
  115512	  132800
  115338	  133400
  118918	  134900
  117550	  132100
  116731	  134900
  115713	  135000
  115439	  133800
  112349	  131800
  113995	  133000
  116212	  134400
  116765	  134500
  114710	  134200
  111637	  133300
  109763	  131100
  110125	  131200
  113144	  131700
  115904	  131600
  112089	  130000
  110722	  128400
  108454	  130800
  106002	  131200
  106844	  130400
  108816	  131000
  109736	  131400
  108481	  131300
  106582	  130800
  105511	  132600
  103849	  133200
  103822	  133000
  104816	  133400
  108339	  135900
  109268	  134700
  105924	  132800
  105063	  132100
  102638	  130400
  100816	  130600
  102695	  133100
  104735	  136300
  105559	  135600
  105070	  134500
  104060	  133800
  104326	  133900
  104547	  134000
  105065	  134700
  104192	  132800
  103203	  131800
  103025	  132500
  103563	  133500
  103739	  134300
  103906	  135400
  104363	  136000
  104505	  136100
  103947	  135400
  103509	  131900
  102616	  131500
  102575	  131200
  102443	  131900
  102220	  133400
  102283	  134000
  101442	  130800
  100512	  130100
  100035	  130500
   99967	  130600
  102753	  132000
  106063	  131000
  108997	  128600
  112097	  127400
  111187	  127100
  108975	  125000
  105946	  121900
  104057	  119600
  102391	  119800
  100605	  118700
   99678	  117300
   99237	  116100
   98012	  115600
   98413	  118900
  100077	  131800
  101562	  132700
  112990	  132700
  118203	  127000
  119740	  126900
  115502	  123900
  110470	  123800
  107108	  123600
  103605	  120700
  103086	  121900
  102029	  122600
  100823	  126800
   99534	  127300
   98853	  127100
   98641	  127300
   98291	  127200
  102851	  127400
  110455	  121500
  125795	  117900
  134916	  106200
  130740	   90890
  126583	   79860
  121156	   71150
  118027	   65840
  113555	   60520
  107688	   55250
  103940	   51330
  101046	   48380
   97285	   44490
   96199	   46810
   93084	   60340
   96463	   72040
  108877	   99580
  114064	   96450
  121452	   90330
  124870	   86010
  123711	   81290
  120188	   76050
  115197	   70960
  109320	   64900
  105613	   61340
  102350	   58550
   99255	   54670
   98873	   55150
   98748	   58870
   99641	   64750
  100409	   65250
  105427	   66280
  106724	   63750
  106428	   61520
  104899	   59310
  103321	   57180
  101307	   54440
  100480	   54760
   99993	   54730
   99248	   56150
   98616	   59250
   96759	   60220
   96995	   62280
   97498	   64310
   96149	   65220
   94398	   70290
   94650	   76660
   94236	   82150
   92155	   83790
   92491	   85990
   92580	   87860
   93007	   94250
   93404	  102400
   94446	  106400
   93062	  130700
   93813	  131600
  100369	  132800
  113820	  121400
  127913	  114500
  134606	  112900
  133595	  110500
  130483	  111100
  123015	  106200
  116953	  101000
  116236	   95490
  115259	   94250
  113230	   92130
  108432	   87660
  102431	   83010
  102107	   86630
  101341	   88030
  101192	   90240
  102349	   90070
  100496	   87520
   98675	   85300
   97472	   84240
   97733	   85170
   96991	   85940
   96602	   85490
   95263	   84850
   94820	   85170
   94976	   86730
   93382	   90200
   92410	   95900
   94270	  100700
   96802	  116100
   97541	  123600
   98288	  123400
   97629	  123000
   96920	  122900
   96402	  124200
   98016	  125100
  102947	  126100
  105595	  121900
  107373	  121300
  110584	  116700
  117535	   99820
  122993	   85940
  129896	   76950
  132465	   70600
  128807	   62780
  121736	   53810
  117531	   48390
  117061	   49450
  114590	   52070
  110915	   49960
  109970	   47460
  110482	   46470
  108843	   44670
  104404	   40410
   99210	   36110
   98364	   35690
   98052	   36240
   95585	   39320
   96062	   42090
   97490	   44340
  100928	   47040
  102225	   46880
  107399	   51300
  107648	   53350
  108610	   52910
  106617	   52260
  106714	   53470
  106857	   54370
  105201	   53470
  104942	   57330
  104928	   61280
  105774	   61980
  111340	   63510
  113055	   65280
  111977	   65180
  109978	   65130
  109347	   66080
  110955	   67690
  110217	   69420
  110662	   71500
  110330	   78120
  110306	   83200
  109843	   88300
  112140	   94200
  112429	  105200
  115806	  135100
  115921	  133700
  117900	  133400
  120636	  132100
  126133	  129800
  127669	  131600
  129520	  130300
