1985-01-01
     obs	     sim
   74133	   70550
   74077	   67940
   74094	   63760
   73710	   63410
   73903	   63160
   73595	   62660
   73500	   62900
   73250	   62720
   73270	   63180
   73519	   63470
   74077	   64120
   74077	   64560
   74326	   65010
   73999	   65160
   74231	   65900
   74326	   67490
   74676	   67210
   74559	   67060
   74461	   67070
   74114	   66800
   74172	   64820
   74231	   65070
   74211	   65350
   74211	   65310
   74094	   65560
   74077	   65840
   74038	   65960
   74268	   67100
   74598	   69170
   74461	   69480
   75046	   69200
   75026	   60550
   75259	   52840
   75007	   52450
   75239	   51440
   75065	   44290
   75161	   42920
   74676	   41270
   74850	   46480
   75046	   49330
   74657	   48610
   75007	   47130
   75007	   44140
   74251	   41260
   74657	   40340
   74598	   39210
   74928	   38590
   74268	   37870
   74657	   37850
   74850	   37780
   74366	   36490
   74461	   36430
   74114	   36080
   73519	   35230
   74520	   36240
   75007	   36210
   74461	   34660
   73690	   30250
   74752	   28390
   74620	   26190
   74375	   22720
   74375	   20570
   74375	   18050
   74375	   15180
   72932	   12300
   72810	   10940
   73959	   11070
   74057	   10380
   73788	    9709
   73788	    8779
   73886	    7011
   74180	    5591
   74375	    3320
   74131	    2277
   73911	    1417
   74082	     970
   73886	    1317
   73788	    2142
   73959	    3068
   73299	    2782
   73201	    3074
   73128	    3116
   73568	    3801
   73764	    4177
   73911	    3987
   74057	    3936
   74351	    4303
   74400	    5352
   74645	    4753
   73959	    3758
   74204	    3090
   74473	    3147
   74889	    4042
   74889	    4427
   74816	    4317
   74669	    4357
   74718	    4408
   74816	    4540
   75452	    5342
   75721	    5766
   76210	    6647
   76846	    7976
   76993	    8715
   77287	    9127
   77042	    9317
   77116	    9452
   77018	    9388
   76944	   10040
   76871	   10600
   76822	   10680
   76626	   12880
   76700	   18630
   77140	   19540
   77238	   19470
   77458	   18780
   77727	   18650
   77605	   18540
   77605	   18780
   77801	   23570
   77996	   26560
   77018	   25320
   77409	   24580
   77287	   22590
   77116	   21750
   77336	   22050
   77042	   23430
   77434	   23570
   77213	   23360
   77947	   23740
   77776	   23810
   77703	   24100
   77434	   24280
   77311	   24440
   77140	   24110
   76284	   23840
   76504	   24500
   77164	   25280
   77213	   25520
   77042	   25650
   77531	   26440
   77947	   27040
   77018	   26190
   76749	   26320
   77238	   27150
   77140	   27390
   77238	   28000
   77116	   28660
   77801	   29760
   77996	   30440
   77507	   30240
   77605	   30720
   77801	   31210
   77996	   31670
   77898	   31970
   77018	   31510
   75941	   30780
   75574	   30890
   77923	   33470
   78412	   34400
   77996	   34440
   77580	   34550
   77385	   34700
   76724	   34460
   77458	   35490
   77434	   35850
   78094	   36270
   77996	   37650
   77042	   37000
   76406	   36480
   75917	   36520
   76137	   37500
   76308	   38180
   77140	   39110
   77458	   39920
   77458	   39470
   76577	   39240
   75941	   38940
   75574	   38470
   76822	   39660
   77409	   39900
   77629	   40180
   77385	   39610
   76749	   39520
   75574	   38780
   75794	   39160
   76871	   40540
   77458	   40860
   77605	   41260
   77360	   41240
   77213	   41250
   77116	   40610
   76822	   40050
   75378	   38460
   76895	   39390
   77727	   39730
   77605	   39800
   77678	   39770
   76088	   38340
   76431	   38860
   76749	   39480
   76773	   39700
   77311	   40390
   76969	   40200
   76455	   39770
   75966	   39790
   76308	   40650
   76088	   40860
   76944	   41540
   77458	   41730
   78021	   42160
   77874	   41450
   77483	   41010
   75917	   39420
   76308	   39490
   76112	   39490
   76724	   40100
   77140	   40460
   77018	   40040
   76724	   39420
   77116	   39470
   76895	   38890
   77458	   39380
   78094	   40060
   77507	   39410
   76798	   38620
   76382	   41880
   75868	   45670
   76577	   45280
   77972	   44620
   77116	   43210
   76993	   42430
   77042	   42300
   76455	   41600
   76235	   41410
   76259	   41730
   76675	   41960
   77923	   43020
   78143	   42970
   77678	   42250
   77238	   41460
   76088	   39590
   76112	   39590
   77556	   41110
   77091	   40710
   76308	   40320
   75941	   40180
   76259	   40350
   75892	   40150
   75672	   40100
   76406	   40950
   77458	   42100
   77189	   42310
   77238	   42260
   76700	   41680
   76724	   41240
   75990	   41110
   76969	   42260
   77776	   43510
   77385	   43250
   76895	   42840
   76235	   42280
   76015	   42360
   75525	   42320
   75476	   42710
   77996	   45970
   77580	   45540
   77434	   46210
   77556	   46320
   77776	   46180
   77458	   45970
   77189	   46220
   76895	   47200
   76920	   47150
   76944	   47130
   77654	   47970
   78021	   48330
   78437	   48950
   77531	   48420
   77042	   48210
   77434	   48900
   76895	   48550
   77067	   48850
   77507	   49520
   77874	   49960
   77385	   50270
   77042	   51520
   77605	   52130
   77507	   52300
   77531	   52560
   77801	   52730
   77385	   52420
   76993	   52380
   77336	   52950
   77213	   53990
   77311	   54970
   77434	   55370
   77458	   55570
   77458	   55950
   77287	   56550
   77458	   57140
   77311	   57580
   77360	   58030
   77336	   59740
   77703	   59950
   76822	   59470
   76969	   59220
   77385	   59360
   77458	   59000
   77360	   58990
   76822	   58540
   76969	   58470
   76944	   58240
   77850	   58870
   77629	   58760
   77654	   58950
