!!USGS Station ID 03609750: Tennessee River at Highway 60 near Paducah, KY
197310										
YYYYMM  Flow_cms  Sed_ton  TP_ton   TN_ton  NO2+3_ton NO3_ton  Sed_sd  TP_sd   TN_sd   NO2+3_sd   NO3_sd 
197310         927     8290     197    1130        424   -9999    1388      21     125         86   -9999
197311        1320    15100     307    1989       1100   -9999    2300      38     306        283   -9999
197312        3270    47200     859    6630       4460   -9999    6750     107    1093       1060   -9999
197401        7450   103000    2070   20560      15800   -9999   21050     323    4622       4570   -9999
197402        6040    73800    1400   15270      11800   -9999   11275     193    3064       3030   -9999
197403        2470    29400     532    5480       3850   -9999    3575      57     811        790   -9999
197404        2280    23600     446    4260       2710   -9999    2950      48     611        585   -9999
197405        1500    13300     271    2200       1020   -9999    1700      27     241        200   -9999
197406        2330    21300     432    3210       1280   -9999    3175      57     421        335   -9999
197407        1010     8060     177    1249        337   -9999     983      18     124         66   -9999
197408        1070     9720     201    1317        334   -9999    1135      20     128         65   -9999
197409        1150    12000     228    1401        403   -9999    1370      23     135         80   -9999
197410         904    10300     192    1166        412   -9999    1253      20     119         84   -9999
197411        1080    14600     239    1574        773   -9999    1675      27     189        167   -9999
197412        1810    30200     444    3570       2280   -9999    3475      51     535        518   -9999
197501        4580    82700    1200   11810       8620   -9999    9825     150    2033       2000   -9999
197502        4540    68700    1010   11120       8270   -9999    7850     123    1889       1863   -9999
197503        6470    87000    1560   17460      12700   -9999   17125     243    3789       3730   -9999
197504        3900    47700     827    8470       5540   -9999    6775     115    1593       1550   -9999
197505        1760    18900     325    2800       1280   -9999    2375      34     300        258   -9999
197506        1210    10900     203    1622        532   -9999    1263      20     152        105   -9999
197507        1120    10500     199    1492        382   -9999    1218      20     134         74   -9999
197508        1020    10100     190    1344        314   -9999    1170      19     119         61   -9999
197509        1060    11900     209    1371        372   -9999    1423      21     123         75   -9999
197510        1940    30400     462    2950       1160   -9999    4550      56     342        281   -9999
197511        1560    24800     360    2480       1200   -9999    3350      39     275        245   -9999
197512        1740    30400     423    3410       2040   -9999    4150      46     447        425   -9999
197601        3120    57700     789    7730       5360   -9999    7875      90    1167       1140   -9999
197602        2270    34300     488    5310       3700   -9999    4525      54     796        780   -9999
197603        1800    24300     370    3960       2540   -9999    3175      39     530        513   -9999
197604        1210    13000     222    2244       1260   -9999    1668      25     303        286   -9999
197605         920     7960     157    1418        554   -9999    1063      17     147        118   -9999
197606        1270    11300     216    1838        568   -9999    1368      22     162        112   -9999
197607        1300    12100     235    1881        461   -9999    1530      24     163         92   -9999
