No. of Subbasins:
55
Subbasin	#HRUs	Area (km2)	Latitude	Elev(m)
1	24	1785	36.71	781.64
2	39	1883	36.71	678.08
3	60	1805	36.71	136.58
4	57	377	36.71	471.8
5	33	163	36.71	473.43
6	66	728	36.71	544.07
7	39	1244	36.71	134.2
8	39	1211	36.71	941.69
9	27	1038	36.71	731.07
10	63	2456	36.71	518.13
11	51	1687	36.71	408.07
12	42	5086	36.71	586.65
13	27	4558	36.71	696.61
14	66	3443	36.71	149.94
15	54	557	36.71	351.18
16	75	907	36.71	340.91
17	43	7	36.71	282.12
18	45	1499	36.71	510.37
19	69	1119	36.71	333.76
20	66	110	36.71	277.71
21	51	2242	36.71	488.21
22	63	421	36.71	314.82
23	60	1789	36.71	980.66
24	66	1675	36.71	431.53
25	39	447	36.81	178.04
26	63	1210	36.81	416.43
27	48	4865	36.81	792.12
28	39	1859	36.81	349.04
29	36	3566	36.81	221.25
30	45	1901	36.81	1042.15
31	33	2168	36.81	904.58
32	48	1520	36.81	687.37
33	51	2028	36.81	235.85
34	54	1030	36.81	310.77
35	60	1009	36.81	261.36
36	81	4596	36.81	163.81
37	60	1807	36.81	364.18
38	54	1987	36.81	238.58
39	51	2506	36.81	696.39
40	45	116	36.81	270.88
41	81	1384	36.81	357.54
42	66	2049	36.81	327.49
43	78	1530	36.81	308.38
44	42	1540	36.81	628.33
45	66	1525	36.81	417.77
46	39	476	36.81	427.47
47	51	1248	36.81	371.37
48	63	1940	36.81	261.1
49	84	812	36.81	142.44
50	72	3109	36.81	183.89
51	93	2975	36.81	221.14
52	48	2491	36.81	247.98
53	81	7498	36.81	244.93
54	54	2443	36.81	216.12
55	72	4696	36.81	326.22
